epoch 0:	style:4.60e-02 	 Rec:2.47e-01 	 Color:7.85e-04 	Time: 0.01
epoch 50:	style:3.82e-03 	 Rec:5.45e-03 	 Color:3.15e-04 	Time: 0.45
epoch 100:	style:4.06e-03 	 Rec:1.47e-03 	 Color:2.59e-04 	Time: 0.45
epoch 150:	style:4.24e-03 	 Rec:5.96e-04 	 Color:3.15e-04 	Time: 0.45
epoch 200:	style:4.09e-03 	 Rec:1.14e-03 	 Color:2.02e-04 	Time: 0.45
epoch 250:	style:4.90e-03 	 Rec:4.12e-04 	 Color:1.97e-04 	Time: 0.46
epoch 300:	style:5.86e-03 	 Rec:8.57e-05 	 Color:3.86e-04 	Time: 0.46
epoch 350:	style:4.27e-03 	 Rec:5.21e-05 	 Color:1.42e-04 	Time: 0.46
epoch 400:	style:5.06e-03 	 Rec:1.94e-04 	 Color:2.61e-04 	Time: 0.46
epoch 450:	style:5.63e-03 	 Rec:3.62e-05 	 Color:1.81e-04 	Time: 0.45
epoch 500:	style:4.80e-03 	 Rec:8.18e-05 	 Color:1.80e-04 	Time: 0.45
epoch 550:	style:4.74e-03 	 Rec:3.74e-05 	 Color:1.28e-04 	Time: 0.45
epoch 600:	style:4.82e-03 	 Rec:6.62e-05 	 Color:1.86e-04 	Time: 0.45
epoch 650:	style:4.32e-03 	 Rec:6.80e-05 	 Color:2.92e-04 	Time: 0.45
epoch 700:	style:4.15e-03 	 Rec:1.35e-04 	 Color:1.54e-04 	Time: 0.45
epoch 750:	style:3.71e-03 	 Rec:8.36e-05 	 Color:2.01e-04 	Time: 0.45
epoch 800:	style:5.07e-03 	 Rec:1.53e-04 	 Color:2.02e-04 	Time: 0.45
epoch 850:	style:4.29e-03 	 Rec:3.47e-05 	 Color:2.59e-04 	Time: 0.46
epoch 900:	style:5.03e-03 	 Rec:7.96e-05 	 Color:2.34e-04 	Time: 0.46
epoch 950:	style:4.39e-03 	 Rec:1.30e-04 	 Color:2.47e-04 	Time: 0.46
epoch 1000:	style:5.01e-03 	 Rec:1.29e-04 	 Color:2.75e-04 	Time: 0.46
epoch 1050:	style:5.33e-03 	 Rec:9.64e-05 	 Color:1.86e-04 	Time: 0.46
epoch 1100:	style:4.63e-03 	 Rec:3.86e-04 	 Color:2.22e-04 	Time: 0.46
epoch 1150:	style:4.51e-03 	 Rec:1.95e-04 	 Color:2.42e-04 	Time: 0.46
epoch 1200:	style:4.88e-03 	 Rec:9.54e-04 	 Color:2.75e-04 	Time: 0.46
epoch 1250:	style:4.02e-03 	 Rec:1.42e-05 	 Color:1.76e-04 	Time: 0.45
epoch 1300:	style:3.53e-03 	 Rec:4.37e-05 	 Color:4.05e-04 	Time: 0.46
epoch 1350:	style:3.55e-03 	 Rec:1.65e-04 	 Color:2.21e-04 	Time: 0.45
epoch 1400:	style:3.96e-03 	 Rec:1.46e-04 	 Color:1.71e-04 	Time: 0.45
epoch 1450:	style:4.00e-03 	 Rec:2.77e-04 	 Color:1.81e-04 	Time: 0.45
epoch 1500:	style:4.22e-03 	 Rec:9.26e-04 	 Color:2.60e-04 	Time: 0.45
epoch 1550:	style:4.73e-03 	 Rec:1.34e-05 	 Color:2.13e-04 	Time: 0.46
epoch 1600:	style:3.23e-03 	 Rec:3.23e-05 	 Color:1.45e-04 	Time: 0.45
epoch 1650:	style:4.13e-03 	 Rec:1.94e-04 	 Color:3.08e-04 	Time: 0.45
epoch 1700:	style:3.74e-03 	 Rec:3.26e-05 	 Color:2.37e-04 	Time: 0.45
epoch 1750:	style:3.98e-03 	 Rec:1.08e-04 	 Color:1.94e-04 	Time: 0.45
epoch 1800:	style:4.11e-03 	 Rec:7.36e-05 	 Color:1.47e-04 	Time: 0.45
epoch 1850:	style:4.64e-03 	 Rec:6.29e-05 	 Color:2.89e-04 	Time: 0.45
epoch 1900:	style:3.59e-03 	 Rec:2.75e-05 	 Color:3.07e-04 	Time: 0.45
epoch 1950:	style:4.65e-03 	 Rec:6.52e-04 	 Color:2.02e-04 	Time: 0.45
