epoch 0:	pdl:9.16e-01 	 Rec:5.49e-02 	 Color:1.49e-01 	Time: 0.02
epoch 50:	pdl:5.10e-01 	 Rec:8.85e-03 	 Color:9.09e-02 	Time: 1.04
epoch 100:	pdl:4.63e-01 	 Rec:7.51e-03 	 Color:9.69e-02 	Time: 1.03
epoch 150:	pdl:5.56e-01 	 Rec:7.13e-03 	 Color:8.22e-02 	Time: 1.05
epoch 200:	pdl:6.02e-01 	 Rec:7.80e-03 	 Color:9.72e-02 	Time: 1.05
epoch 250:	pdl:4.93e-01 	 Rec:6.49e-03 	 Color:9.12e-02 	Time: 1.05
epoch 300:	pdl:4.88e-01 	 Rec:6.20e-03 	 Color:8.68e-02 	Time: 1.03
epoch 350:	pdl:5.16e-01 	 Rec:5.94e-03 	 Color:9.15e-02 	Time: 1.04
epoch 400:	pdl:4.94e-01 	 Rec:5.29e-03 	 Color:8.85e-02 	Time: 1.03
epoch 450:	pdl:5.61e-01 	 Rec:7.09e-03 	 Color:9.32e-02 	Time: 1.03
epoch 500:	pdl:4.66e-01 	 Rec:5.72e-03 	 Color:7.84e-02 	Time: 1.02
epoch 550:	pdl:4.76e-01 	 Rec:5.51e-03 	 Color:9.39e-02 	Time: 1.03
epoch 600:	pdl:4.77e-01 	 Rec:5.34e-03 	 Color:9.04e-02 	Time: 1.04
epoch 650:	pdl:4.64e-01 	 Rec:5.23e-03 	 Color:8.00e-02 	Time: 1.04
epoch 700:	pdl:4.34e-01 	 Rec:5.18e-03 	 Color:8.61e-02 	Time: 1.02
epoch 750:	pdl:4.39e-01 	 Rec:5.28e-03 	 Color:7.86e-02 	Time: 1.03
epoch 800:	pdl:5.45e-01 	 Rec:5.05e-03 	 Color:8.30e-02 	Time: 1.03
epoch 850:	pdl:4.48e-01 	 Rec:5.00e-03 	 Color:9.52e-02 	Time: 1.03
epoch 900:	pdl:4.38e-01 	 Rec:5.02e-03 	 Color:8.75e-02 	Time: 1.03
epoch 950:	pdl:4.38e-01 	 Rec:5.17e-03 	 Color:8.36e-02 	Time: 1.03
epoch 1000:	pdl:4.60e-01 	 Rec:5.23e-03 	 Color:8.27e-02 	Time: 1.03
epoch 1050:	pdl:4.91e-01 	 Rec:5.36e-03 	 Color:8.10e-02 	Time: 1.03
epoch 1100:	pdl:4.45e-01 	 Rec:4.48e-03 	 Color:1.01e-01 	Time: 1.03
epoch 1150:	pdl:4.43e-01 	 Rec:5.04e-03 	 Color:8.12e-02 	Time: 1.02
