epoch 0:	pdl:1.42e-01 	 Rec:2.05e-03 	 Color:1.22e-01 	Time: 0.07
epoch 50:	pdl:1.26e-01 	 Rec:1.27e-03 	 Color:1.23e-01 	Time: 8.95
epoch 100:	pdl:1.29e-01 	 Rec:1.05e-03 	 Color:1.22e-01 	Time: 8.81
epoch 150:	pdl:1.34e-01 	 Rec:1.02e-03 	 Color:1.27e-01 	Time: 8.79
epoch 200:	pdl:1.21e-01 	 Rec:9.67e-04 	 Color:1.18e-01 	Time: 8.84
epoch 250:	pdl:1.28e-01 	 Rec:8.56e-04 	 Color:1.21e-01 	Time: 8.83
epoch 300:	pdl:1.28e-01 	 Rec:8.51e-04 	 Color:1.18e-01 	Time: 8.78
epoch 350:	pdl:1.45e-01 	 Rec:7.90e-04 	 Color:1.27e-01 	Time: 8.85
epoch 400:	pdl:1.27e-01 	 Rec:7.76e-04 	 Color:1.20e-01 	Time: 8.82
epoch 450:	pdl:1.23e-01 	 Rec:8.10e-04 	 Color:1.14e-01 	Time: 8.83
epoch 500:	pdl:1.34e-01 	 Rec:7.25e-04 	 Color:1.29e-01 	Time: 8.80
epoch 550:	pdl:1.35e-01 	 Rec:6.94e-04 	 Color:1.19e-01 	Time: 8.81
epoch 600:	pdl:1.19e-01 	 Rec:7.22e-04 	 Color:1.11e-01 	Time: 8.76
epoch 650:	pdl:1.22e-01 	 Rec:6.56e-04 	 Color:1.21e-01 	Time: 8.76
epoch 700:	pdl:1.36e-01 	 Rec:6.90e-04 	 Color:1.31e-01 	Time: 8.78
epoch 750:	pdl:1.28e-01 	 Rec:6.52e-04 	 Color:1.15e-01 	Time: 8.31
epoch 800:	pdl:1.26e-01 	 Rec:6.83e-04 	 Color:1.19e-01 	Time: 8.31
epoch 850:	pdl:1.31e-01 	 Rec:6.02e-04 	 Color:1.15e-01 	Time: 8.31
epoch 900:	pdl:1.30e-01 	 Rec:6.16e-04 	 Color:1.26e-01 	Time: 8.34
epoch 950:	pdl:1.51e-01 	 Rec:6.28e-04 	 Color:1.36e-01 	Time: 8.36
epoch 1000:	pdl:1.30e-01 	 Rec:5.87e-04 	 Color:1.25e-01 	Time: 8.37
epoch 1050:	pdl:1.23e-01 	 Rec:5.85e-04 	 Color:1.22e-01 	Time: 8.93
epoch 1100:	pdl:1.23e-01 	 Rec:5.43e-04 	 Color:1.19e-01 	Time: 8.87
epoch 1150:	pdl:1.26e-01 	 Rec:5.57e-04 	 Color:1.20e-01 	Time: 8.79
epoch 1200:	pdl:1.28e-01 	 Rec:5.60e-04 	 Color:1.26e-01 	Time: 8.79
epoch 1250:	pdl:1.32e-01 	 Rec:5.25e-04 	 Color:1.21e-01 	Time: 8.78
epoch 1300:	pdl:1.30e-01 	 Rec:4.77e-04 	 Color:1.24e-01 	Time: 8.78
epoch 1350:	pdl:1.35e-01 	 Rec:6.12e-04 	 Color:1.17e-01 	Time: 8.77
epoch 1400:	pdl:1.28e-01 	 Rec:5.04e-04 	 Color:1.21e-01 	Time: 8.75
epoch 1450:	pdl:1.38e-01 	 Rec:4.95e-04 	 Color:1.20e-01 	Time: 8.80
epoch 1500:	pdl:1.25e-01 	 Rec:5.47e-04 	 Color:1.23e-01 	Time: 8.81
epoch 1550:	pdl:1.33e-01 	 Rec:4.59e-04 	 Color:1.27e-01 	Time: 8.79
epoch 1600:	pdl:1.23e-01 	 Rec:4.79e-04 	 Color:1.16e-01 	Time: 8.78
epoch 1650:	pdl:1.28e-01 	 Rec:5.46e-04 	 Color:1.20e-01 	Time: 8.77
epoch 1700:	pdl:1.28e-01 	 Rec:4.97e-04 	 Color:1.19e-01 	Time: 8.81
epoch 1750:	pdl:1.32e-01 	 Rec:4.61e-04 	 Color:1.20e-01 	Time: 8.31
epoch 1800:	pdl:1.37e-01 	 Rec:5.13e-04 	 Color:1.26e-01 	Time: 8.30
epoch 1850:	pdl:1.49e-01 	 Rec:4.63e-04 	 Color:1.45e-01 	Time: 8.32
epoch 1900:	pdl:1.26e-01 	 Rec:5.88e-04 	 Color:1.23e-01 	Time: 8.35
epoch 1950:	pdl:1.27e-01 	 Rec:5.08e-04 	 Color:1.13e-01 	Time: 8.34
epoch 2000:	pdl:1.41e-01 	 Rec:5.05e-04 	 Color:1.37e-01 	Time: 8.35
epoch 2050:	pdl:1.18e-01 	 Rec:4.23e-04 	 Color:1.11e-01 	Time: 8.95
epoch 2100:	pdl:1.27e-01 	 Rec:4.84e-04 	 Color:1.21e-01 	Time: 8.83
epoch 2150:	pdl:1.20e-01 	 Rec:4.40e-04 	 Color:1.08e-01 	Time: 8.81
epoch 2200:	pdl:1.30e-01 	 Rec:4.64e-04 	 Color:1.31e-01 	Time: 8.76
epoch 2250:	pdl:1.32e-01 	 Rec:5.55e-04 	 Color:1.23e-01 	Time: 8.82
epoch 2300:	pdl:1.22e-01 	 Rec:4.50e-04 	 Color:1.22e-01 	Time: 8.78
epoch 2350:	pdl:1.24e-01 	 Rec:4.09e-04 	 Color:1.20e-01 	Time: 8.76
epoch 2400:	pdl:1.34e-01 	 Rec:4.55e-04 	 Color:1.20e-01 	Time: 8.80
epoch 2450:	pdl:1.26e-01 	 Rec:4.47e-04 	 Color:1.22e-01 	Time: 8.78
epoch 2500:	pdl:1.21e-01 	 Rec:4.60e-04 	 Color:1.14e-01 	Time: 8.78
epoch 2550:	pdl:1.20e-01 	 Rec:4.81e-04 	 Color:1.11e-01 	Time: 8.78
epoch 2600:	pdl:1.28e-01 	 Rec:4.12e-04 	 Color:1.25e-01 	Time: 8.79
epoch 2650:	pdl:1.31e-01 	 Rec:4.88e-04 	 Color:1.22e-01 	Time: 8.77
epoch 2700:	pdl:1.25e-01 	 Rec:4.54e-04 	 Color:1.15e-01 	Time: 8.79
epoch 2750:	pdl:1.27e-01 	 Rec:4.09e-04 	 Color:1.19e-01 	Time: 8.74
epoch 2800:	pdl:1.28e-01 	 Rec:4.32e-04 	 Color:1.27e-01 	Time: 8.83
epoch 2850:	pdl:1.22e-01 	 Rec:4.43e-04 	 Color:1.16e-01 	Time: 8.76
epoch 2900:	pdl:1.33e-01 	 Rec:4.81e-04 	 Color:1.22e-01 	Time: 8.76
epoch 2950:	pdl:1.18e-01 	 Rec:4.14e-04 	 Color:1.14e-01 	Time: 8.76
epoch 3000:	pdl:1.30e-01 	 Rec:4.72e-04 	 Color:1.33e-01 	Time: 8.81
epoch 3050:	pdl:1.30e-01 	 Rec:4.46e-04 	 Color:1.13e-01 	Time: 8.91
