epoch 0:	pdl:1.08e-01 	 Rec:2.01e-03 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:9.79e-02 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 3.10
epoch 100:	pdl:1.08e-01 	 Rec:9.91e-04 	 Color:0.00e+00 	Time: 3.10
epoch 150:	pdl:9.82e-02 	 Rec:9.06e-04 	 Color:0.00e+00 	Time: 3.09
epoch 200:	pdl:9.97e-02 	 Rec:9.13e-04 	 Color:0.00e+00 	Time: 3.08
epoch 250:	pdl:1.07e-01 	 Rec:9.68e-04 	 Color:0.00e+00 	Time: 3.08
epoch 300:	pdl:1.16e-01 	 Rec:8.49e-04 	 Color:0.00e+00 	Time: 3.09
epoch 350:	pdl:9.76e-02 	 Rec:7.94e-04 	 Color:0.00e+00 	Time: 3.06
epoch 400:	pdl:1.11e-01 	 Rec:7.06e-04 	 Color:0.00e+00 	Time: 3.10
epoch 450:	pdl:1.09e-01 	 Rec:6.57e-04 	 Color:0.00e+00 	Time: 3.12
epoch 500:	pdl:1.08e-01 	 Rec:7.26e-04 	 Color:0.00e+00 	Time: 3.12
epoch 550:	pdl:1.08e-01 	 Rec:7.19e-04 	 Color:0.00e+00 	Time: 3.10
epoch 600:	pdl:1.06e-01 	 Rec:7.61e-04 	 Color:0.00e+00 	Time: 3.09
epoch 650:	pdl:1.04e-01 	 Rec:6.51e-04 	 Color:0.00e+00 	Time: 3.10
epoch 700:	pdl:1.28e-01 	 Rec:6.24e-04 	 Color:0.00e+00 	Time: 3.08
epoch 750:	pdl:1.11e-01 	 Rec:5.20e-04 	 Color:0.00e+00 	Time: 3.08
epoch 800:	pdl:1.09e-01 	 Rec:6.14e-04 	 Color:0.00e+00 	Time: 3.09
epoch 850:	pdl:1.07e-01 	 Rec:5.19e-04 	 Color:0.00e+00 	Time: 3.10
epoch 900:	pdl:1.04e-01 	 Rec:5.07e-04 	 Color:0.00e+00 	Time: 3.09
epoch 950:	pdl:9.57e-02 	 Rec:5.12e-04 	 Color:0.00e+00 	Time: 3.11
epoch 1000:	pdl:1.08e-01 	 Rec:5.01e-04 	 Color:0.00e+00 	Time: 3.11
epoch 1050:	pdl:9.71e-02 	 Rec:5.20e-04 	 Color:0.00e+00 	Time: 3.20
epoch 1100:	pdl:9.44e-02 	 Rec:4.73e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1150:	pdl:1.26e-01 	 Rec:5.62e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1200:	pdl:8.76e-02 	 Rec:4.46e-04 	 Color:0.00e+00 	Time: 3.14
epoch 1250:	pdl:9.28e-02 	 Rec:6.03e-04 	 Color:0.00e+00 	Time: 3.12
epoch 1300:	pdl:1.14e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 3.08
epoch 1350:	pdl:1.04e-01 	 Rec:5.06e-04 	 Color:0.00e+00 	Time: 3.10
epoch 1400:	pdl:1.05e-01 	 Rec:5.06e-04 	 Color:0.00e+00 	Time: 3.10
epoch 1450:	pdl:1.03e-01 	 Rec:4.33e-04 	 Color:0.00e+00 	Time: 3.11
epoch 1500:	pdl:1.18e-01 	 Rec:5.17e-04 	 Color:0.00e+00 	Time: 3.08
epoch 1550:	pdl:9.95e-02 	 Rec:6.65e-04 	 Color:0.00e+00 	Time: 3.09
