epoch 0:	pdl:2.13e-01 	 Rec:2.68e-03 	 Color:8.78e-02 	Time: 0.02
epoch 50:	pdl:1.83e-01 	 Rec:9.56e-04 	 Color:7.47e-02 	Time: 1.25
epoch 100:	pdl:2.05e-01 	 Rec:7.35e-04 	 Color:8.72e-02 	Time: 1.22
epoch 150:	pdl:1.96e-01 	 Rec:6.22e-04 	 Color:8.69e-02 	Time: 1.22
epoch 200:	pdl:1.86e-01 	 Rec:4.83e-04 	 Color:6.89e-02 	Time: 1.22
epoch 250:	pdl:1.81e-01 	 Rec:5.01e-04 	 Color:7.40e-02 	Time: 1.22
epoch 300:	pdl:1.89e-01 	 Rec:4.13e-04 	 Color:7.49e-02 	Time: 1.22
epoch 350:	pdl:1.85e-01 	 Rec:4.32e-04 	 Color:7.12e-02 	Time: 1.22
epoch 400:	pdl:1.88e-01 	 Rec:3.75e-04 	 Color:8.52e-02 	Time: 1.22
epoch 450:	pdl:1.83e-01 	 Rec:2.92e-04 	 Color:7.92e-02 	Time: 1.23
epoch 500:	pdl:1.85e-01 	 Rec:3.02e-04 	 Color:7.59e-02 	Time: 1.23
epoch 550:	pdl:1.80e-01 	 Rec:3.01e-04 	 Color:7.10e-02 	Time: 1.24
epoch 600:	pdl:1.83e-01 	 Rec:2.49e-04 	 Color:8.23e-02 	Time: 1.23
epoch 650:	pdl:1.93e-01 	 Rec:2.87e-04 	 Color:7.99e-02 	Time: 1.22
epoch 700:	pdl:2.15e-01 	 Rec:3.24e-04 	 Color:9.33e-02 	Time: 1.22
epoch 750:	pdl:1.82e-01 	 Rec:2.46e-04 	 Color:8.14e-02 	Time: 1.24
epoch 800:	pdl:1.94e-01 	 Rec:2.26e-04 	 Color:8.33e-02 	Time: 1.24
epoch 850:	pdl:1.94e-01 	 Rec:2.93e-04 	 Color:7.98e-02 	Time: 1.24
epoch 900:	pdl:1.87e-01 	 Rec:2.35e-04 	 Color:8.61e-02 	Time: 1.22
epoch 950:	pdl:1.82e-01 	 Rec:2.76e-04 	 Color:7.67e-02 	Time: 1.24
epoch 1000:	pdl:1.93e-01 	 Rec:2.40e-04 	 Color:8.41e-02 	Time: 1.25
epoch 1050:	pdl:1.83e-01 	 Rec:2.14e-04 	 Color:7.76e-02 	Time: 1.25
epoch 1100:	pdl:1.73e-01 	 Rec:1.97e-04 	 Color:6.96e-02 	Time: 1.24
epoch 1150:	pdl:1.75e-01 	 Rec:1.85e-04 	 Color:6.83e-02 	Time: 1.24
epoch 1200:	pdl:1.92e-01 	 Rec:2.20e-04 	 Color:7.14e-02 	Time: 1.25
epoch 1250:	pdl:2.04e-01 	 Rec:2.66e-04 	 Color:8.73e-02 	Time: 1.24
epoch 1300:	pdl:1.85e-01 	 Rec:2.49e-04 	 Color:7.58e-02 	Time: 1.22
epoch 1350:	pdl:1.82e-01 	 Rec:1.75e-04 	 Color:8.08e-02 	Time: 1.23
epoch 1400:	pdl:1.78e-01 	 Rec:1.97e-04 	 Color:7.04e-02 	Time: 1.22
epoch 1450:	pdl:1.86e-01 	 Rec:1.58e-04 	 Color:9.08e-02 	Time: 1.24
epoch 1500:	pdl:1.75e-01 	 Rec:1.59e-04 	 Color:7.73e-02 	Time: 1.25
epoch 1550:	pdl:1.89e-01 	 Rec:2.15e-04 	 Color:7.84e-02 	Time: 1.24
epoch 1600:	pdl:1.83e-01 	 Rec:1.71e-04 	 Color:7.65e-02 	Time: 1.25
epoch 1650:	pdl:1.88e-01 	 Rec:1.88e-04 	 Color:8.45e-02 	Time: 1.24
epoch 1700:	pdl:1.81e-01 	 Rec:1.57e-04 	 Color:8.29e-02 	Time: 1.25
epoch 1750:	pdl:2.13e-01 	 Rec:1.70e-04 	 Color:9.75e-02 	Time: 1.25
epoch 1800:	pdl:1.71e-01 	 Rec:1.52e-04 	 Color:7.27e-02 	Time: 1.23
epoch 1850:	pdl:1.87e-01 	 Rec:1.98e-04 	 Color:8.10e-02 	Time: 1.23
epoch 1900:	pdl:1.92e-01 	 Rec:1.41e-04 	 Color:8.01e-02 	Time: 1.25
epoch 1950:	pdl:1.86e-01 	 Rec:2.06e-04 	 Color:7.71e-02 	Time: 1.24
epoch 2000:	pdl:1.83e-01 	 Rec:1.66e-04 	 Color:7.69e-02 	Time: 1.24
epoch 2050:	pdl:1.92e-01 	 Rec:1.73e-04 	 Color:8.14e-02 	Time: 1.22
epoch 2100:	pdl:1.68e-01 	 Rec:1.54e-04 	 Color:7.53e-02 	Time: 1.21
