epoch 0:	pdl:1.11e+00 	 Rec:1.04e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:4.89e-01 	 Rec:5.52e-03 	 Color:0.00e+00 	Time: 0.47
epoch 100:	pdl:4.42e-01 	 Rec:3.61e-03 	 Color:0.00e+00 	Time: 0.43
epoch 150:	pdl:5.38e-01 	 Rec:3.18e-03 	 Color:0.00e+00 	Time: 0.42
epoch 200:	pdl:4.61e-01 	 Rec:2.80e-03 	 Color:0.00e+00 	Time: 0.43
epoch 250:	pdl:4.06e-01 	 Rec:2.67e-03 	 Color:0.00e+00 	Time: 0.41
epoch 300:	pdl:4.39e-01 	 Rec:2.17e-03 	 Color:0.00e+00 	Time: 0.40
epoch 350:	pdl:4.60e-01 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 0.41
epoch 400:	pdl:4.52e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.41
epoch 450:	pdl:3.91e-01 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 0.45
epoch 500:	pdl:4.01e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.42
epoch 550:	pdl:4.73e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.43
epoch 600:	pdl:4.65e-01 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 0.43
epoch 650:	pdl:4.12e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.40
epoch 700:	pdl:3.94e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.43
epoch 750:	pdl:4.12e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.42
epoch 800:	pdl:4.22e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.41
epoch 850:	pdl:4.16e-01 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 0.43
epoch 900:	pdl:5.16e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.44
epoch 950:	pdl:3.97e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1000:	pdl:4.87e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1050:	pdl:4.20e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1100:	pdl:4.21e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 0.43
epoch 1150:	pdl:4.13e-01 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1200:	pdl:4.09e-01 	 Rec:9.51e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1250:	pdl:4.49e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1300:	pdl:4.65e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1350:	pdl:4.42e-01 	 Rec:9.21e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1400:	pdl:4.13e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1450:	pdl:4.23e-01 	 Rec:8.76e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1500:	pdl:4.97e-01 	 Rec:8.62e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1550:	pdl:3.94e-01 	 Rec:8.37e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1600:	pdl:4.31e-01 	 Rec:7.89e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1650:	pdl:4.37e-01 	 Rec:7.70e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1700:	pdl:3.81e-01 	 Rec:7.49e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1750:	pdl:4.65e-01 	 Rec:7.90e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1800:	pdl:3.90e-01 	 Rec:8.34e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1850:	pdl:4.61e-01 	 Rec:6.53e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1900:	pdl:4.55e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1950:	pdl:4.38e-01 	 Rec:6.48e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2000:	pdl:5.30e-01 	 Rec:6.75e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2050:	pdl:4.81e-01 	 Rec:7.08e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2100:	pdl:5.19e-01 	 Rec:7.30e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2150:	pdl:4.71e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.43
epoch 2200:	pdl:4.02e-01 	 Rec:6.20e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2250:	pdl:4.64e-01 	 Rec:6.59e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2300:	pdl:4.68e-01 	 Rec:8.53e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2350:	pdl:4.40e-01 	 Rec:5.96e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2400:	pdl:4.24e-01 	 Rec:6.21e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2450:	pdl:4.16e-01 	 Rec:6.40e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2500:	pdl:3.78e-01 	 Rec:8.02e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2550:	pdl:3.66e-01 	 Rec:5.57e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2600:	pdl:3.94e-01 	 Rec:5.26e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2650:	pdl:3.76e-01 	 Rec:7.31e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2700:	pdl:4.13e-01 	 Rec:5.38e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2750:	pdl:4.00e-01 	 Rec:6.11e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2800:	pdl:3.49e-01 	 Rec:6.25e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2850:	pdl:3.66e-01 	 Rec:4.93e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2900:	pdl:3.83e-01 	 Rec:4.82e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2950:	pdl:3.70e-01 	 Rec:5.75e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3000:	pdl:3.91e-01 	 Rec:5.20e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3050:	pdl:4.59e-01 	 Rec:5.65e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3100:	pdl:3.86e-01 	 Rec:6.64e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3150:	pdl:3.73e-01 	 Rec:5.18e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3200:	pdl:3.58e-01 	 Rec:4.68e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3250:	pdl:3.95e-01 	 Rec:7.12e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3300:	pdl:4.12e-01 	 Rec:5.48e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3350:	pdl:3.88e-01 	 Rec:7.11e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3400:	pdl:3.53e-01 	 Rec:9.59e-04 	 Color:0.00e+00 	Time: 0.40
epoch 3450:	pdl:3.66e-01 	 Rec:4.97e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3500:	pdl:4.05e-01 	 Rec:4.84e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3550:	pdl:3.72e-01 	 Rec:4.52e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3600:	pdl:3.81e-01 	 Rec:4.56e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3650:	pdl:3.75e-01 	 Rec:4.56e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3700:	pdl:3.55e-01 	 Rec:5.02e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3750:	pdl:4.24e-01 	 Rec:5.04e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3800:	pdl:4.24e-01 	 Rec:4.28e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3850:	pdl:4.00e-01 	 Rec:4.05e-04 	 Color:0.00e+00 	Time: 0.42
epoch 3900:	pdl:3.75e-01 	 Rec:4.35e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3950:	pdl:4.04e-01 	 Rec:5.58e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4000:	pdl:3.72e-01 	 Rec:4.82e-04 	 Color:0.00e+00 	Time: 0.47
epoch 4050:	pdl:3.88e-01 	 Rec:4.50e-04 	 Color:0.00e+00 	Time: 0.50
epoch 4100:	pdl:3.56e-01 	 Rec:4.51e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4150:	pdl:4.21e-01 	 Rec:5.38e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4200:	pdl:3.93e-01 	 Rec:4.18e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4250:	pdl:4.11e-01 	 Rec:3.52e-04 	 Color:0.00e+00 	Time: 0.37
epoch 4300:	pdl:3.56e-01 	 Rec:4.98e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4350:	pdl:3.64e-01 	 Rec:4.31e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4400:	pdl:3.63e-01 	 Rec:5.11e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4450:	pdl:3.83e-01 	 Rec:5.71e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4500:	pdl:4.04e-01 	 Rec:3.74e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4550:	pdl:3.74e-01 	 Rec:4.88e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4600:	pdl:3.98e-01 	 Rec:3.96e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4650:	pdl:3.75e-01 	 Rec:5.43e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4700:	pdl:3.25e-01 	 Rec:4.66e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4750:	pdl:3.34e-01 	 Rec:4.27e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4800:	pdl:3.55e-01 	 Rec:4.38e-04 	 Color:0.00e+00 	Time: 0.40
epoch 4850:	pdl:3.81e-01 	 Rec:4.47e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4900:	pdl:3.66e-01 	 Rec:3.40e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4950:	pdl:4.19e-01 	 Rec:4.02e-04 	 Color:0.00e+00 	Time: 0.47
epoch 5000:	pdl:3.93e-01 	 Rec:2.87e-04 	 Color:0.00e+00 	Time: 0.47
epoch 5050:	pdl:4.03e-01 	 Rec:3.68e-04 	 Color:0.00e+00 	Time: 0.44
epoch 5100:	pdl:3.80e-01 	 Rec:3.93e-04 	 Color:0.00e+00 	Time: 0.44
