epoch 0:	pdl:1.30e+00 	 Rec:7.28e-02 	 Color:1.90e-01 	Time: 0.03
epoch 50:	pdl:7.81e-01 	 Rec:5.58e-03 	 Color:1.20e-01 	Time: 2.29
epoch 100:	pdl:6.78e-01 	 Rec:4.77e-03 	 Color:1.61e-01 	Time: 2.21
epoch 150:	pdl:5.93e-01 	 Rec:8.71e-03 	 Color:1.49e-01 	Time: 2.22
epoch 200:	pdl:5.82e-01 	 Rec:6.82e-03 	 Color:1.43e-01 	Time: 2.28
epoch 250:	pdl:6.45e-01 	 Rec:5.59e-03 	 Color:1.13e-01 	Time: 2.26
epoch 300:	pdl:5.66e-01 	 Rec:6.38e-03 	 Color:1.29e-01 	Time: 2.23
epoch 350:	pdl:5.49e-01 	 Rec:6.39e-03 	 Color:1.32e-01 	Time: 2.26
epoch 400:	pdl:5.85e-01 	 Rec:8.83e-03 	 Color:1.57e-01 	Time: 2.27
epoch 450:	pdl:8.01e-01 	 Rec:6.94e-03 	 Color:1.53e-01 	Time: 2.16
epoch 500:	pdl:5.99e-01 	 Rec:5.88e-03 	 Color:1.28e-01 	Time: 2.05
epoch 550:	pdl:5.99e-01 	 Rec:6.19e-03 	 Color:1.41e-01 	Time: 2.28
epoch 600:	pdl:5.46e-01 	 Rec:4.53e-03 	 Color:1.24e-01 	Time: 2.28
epoch 650:	pdl:5.02e-01 	 Rec:4.20e-03 	 Color:1.17e-01 	Time: 2.27
epoch 700:	pdl:8.39e-01 	 Rec:4.85e-03 	 Color:1.41e-01 	Time: 2.22
epoch 750:	pdl:6.17e-01 	 Rec:5.80e-03 	 Color:1.35e-01 	Time: 2.31
epoch 800:	pdl:5.71e-01 	 Rec:5.11e-03 	 Color:1.28e-01 	Time: 2.27
epoch 850:	pdl:5.09e-01 	 Rec:4.47e-03 	 Color:1.24e-01 	Time: 2.27
epoch 900:	pdl:5.24e-01 	 Rec:5.15e-03 	 Color:1.47e-01 	Time: 2.31
epoch 950:	pdl:5.48e-01 	 Rec:6.08e-03 	 Color:1.20e-01 	Time: 2.31
epoch 1000:	pdl:5.41e-01 	 Rec:3.96e-03 	 Color:1.17e-01 	Time: 2.32
epoch 1050:	pdl:5.87e-01 	 Rec:3.82e-03 	 Color:1.41e-01 	Time: 2.25
epoch 1100:	pdl:4.89e-01 	 Rec:3.89e-03 	 Color:1.43e-01 	Time: 2.29
epoch 1150:	pdl:6.56e-01 	 Rec:5.58e-03 	 Color:1.24e-01 	Time: 2.28
epoch 1200:	pdl:5.60e-01 	 Rec:3.18e-03 	 Color:1.20e-01 	Time: 2.29
epoch 1250:	pdl:5.53e-01 	 Rec:4.21e-03 	 Color:1.25e-01 	Time: 2.25
epoch 1300:	pdl:7.25e-01 	 Rec:3.43e-03 	 Color:1.07e-01 	Time: 2.30
epoch 1350:	pdl:5.06e-01 	 Rec:3.63e-03 	 Color:1.17e-01 	Time: 2.33
epoch 1400:	pdl:5.06e-01 	 Rec:3.64e-03 	 Color:1.39e-01 	Time: 2.24
epoch 1450:	pdl:5.55e-01 	 Rec:3.87e-03 	 Color:1.37e-01 	Time: 2.28
epoch 1500:	pdl:5.84e-01 	 Rec:3.55e-03 	 Color:1.21e-01 	Time: 2.22
epoch 1550:	pdl:5.56e-01 	 Rec:3.56e-03 	 Color:1.32e-01 	Time: 2.26
epoch 1600:	pdl:5.31e-01 	 Rec:3.38e-03 	 Color:1.21e-01 	Time: 2.25
epoch 1650:	pdl:5.41e-01 	 Rec:3.52e-03 	 Color:1.43e-01 	Time: 2.27
epoch 1700:	pdl:5.83e-01 	 Rec:2.93e-03 	 Color:1.12e-01 	Time: 2.27
epoch 1750:	pdl:5.96e-01 	 Rec:3.45e-03 	 Color:1.28e-01 	Time: 2.26
epoch 1800:	pdl:6.56e-01 	 Rec:3.89e-03 	 Color:1.45e-01 	Time: 2.25
epoch 1850:	pdl:5.12e-01 	 Rec:4.23e-03 	 Color:1.22e-01 	Time: 2.32
