epoch 0:	pdl:1.43e+00 	 Rec:5.87e-02 	 Color:1.80e-01 	Time: 0.02
epoch 50:	pdl:6.83e-01 	 Rec:8.23e-03 	 Color:1.26e-01 	Time: 1.34
epoch 100:	pdl:6.75e-01 	 Rec:7.44e-03 	 Color:1.18e-01 	Time: 1.35
epoch 150:	pdl:7.41e-01 	 Rec:6.57e-03 	 Color:1.19e-01 	Time: 1.36
epoch 200:	pdl:8.12e-01 	 Rec:6.06e-03 	 Color:1.24e-01 	Time: 1.30
epoch 250:	pdl:6.32e-01 	 Rec:6.21e-03 	 Color:1.26e-01 	Time: 1.30
epoch 300:	pdl:7.37e-01 	 Rec:5.93e-03 	 Color:1.21e-01 	Time: 1.33
epoch 350:	pdl:7.25e-01 	 Rec:5.84e-03 	 Color:1.40e-01 	Time: 1.32
epoch 400:	pdl:7.41e-01 	 Rec:6.58e-03 	 Color:1.22e-01 	Time: 1.33
epoch 450:	pdl:6.44e-01 	 Rec:5.15e-03 	 Color:1.16e-01 	Time: 1.35
epoch 500:	pdl:6.39e-01 	 Rec:5.33e-03 	 Color:1.22e-01 	Time: 1.33
epoch 550:	pdl:6.82e-01 	 Rec:5.60e-03 	 Color:1.17e-01 	Time: 1.35
epoch 600:	pdl:7.36e-01 	 Rec:5.47e-03 	 Color:1.20e-01 	Time: 1.31
epoch 650:	pdl:7.27e-01 	 Rec:5.47e-03 	 Color:1.10e-01 	Time: 1.34
epoch 700:	pdl:7.46e-01 	 Rec:4.71e-03 	 Color:1.17e-01 	Time: 1.32
epoch 750:	pdl:6.63e-01 	 Rec:4.74e-03 	 Color:1.14e-01 	Time: 1.36
epoch 800:	pdl:6.52e-01 	 Rec:4.85e-03 	 Color:1.29e-01 	Time: 1.31
epoch 850:	pdl:7.28e-01 	 Rec:5.23e-03 	 Color:9.22e-02 	Time: 1.34
epoch 900:	pdl:6.19e-01 	 Rec:4.54e-03 	 Color:1.31e-01 	Time: 1.35
epoch 950:	pdl:8.31e-01 	 Rec:5.05e-03 	 Color:1.01e-01 	Time: 1.34
epoch 1000:	pdl:6.67e-01 	 Rec:4.67e-03 	 Color:1.16e-01 	Time: 1.30
epoch 1050:	pdl:6.39e-01 	 Rec:4.52e-03 	 Color:1.23e-01 	Time: 1.34
epoch 1100:	pdl:6.78e-01 	 Rec:4.40e-03 	 Color:1.30e-01 	Time: 1.29
epoch 1150:	pdl:6.01e-01 	 Rec:4.37e-03 	 Color:9.02e-02 	Time: 1.32
epoch 1200:	pdl:6.89e-01 	 Rec:4.31e-03 	 Color:1.25e-01 	Time: 1.38
epoch 1250:	pdl:6.05e-01 	 Rec:4.75e-03 	 Color:1.03e-01 	Time: 1.32
epoch 1300:	pdl:5.80e-01 	 Rec:4.80e-03 	 Color:1.13e-01 	Time: 1.34
epoch 1350:	pdl:6.17e-01 	 Rec:4.68e-03 	 Color:1.11e-01 	Time: 1.32
