epoch 0:	pdl:9.56e-01 	 Rec:6.78e-02 	 Color:2.21e-01 	Time: 0.01
epoch 50:	pdl:5.59e-01 	 Rec:3.88e-03 	 Color:1.14e-01 	Time: 0.97
epoch 100:	pdl:6.06e-01 	 Rec:3.34e-03 	 Color:1.02e-01 	Time: 0.93
epoch 150:	pdl:4.63e-01 	 Rec:4.60e-03 	 Color:1.16e-01 	Time: 0.97
epoch 200:	pdl:3.80e-01 	 Rec:2.33e-03 	 Color:1.16e-01 	Time: 0.97
epoch 250:	pdl:4.13e-01 	 Rec:3.00e-03 	 Color:1.22e-01 	Time: 0.96
epoch 300:	pdl:4.46e-01 	 Rec:2.36e-03 	 Color:1.31e-01 	Time: 0.94
epoch 350:	pdl:3.87e-01 	 Rec:1.77e-03 	 Color:1.22e-01 	Time: 0.94
epoch 400:	pdl:3.89e-01 	 Rec:1.95e-03 	 Color:1.13e-01 	Time: 0.95
epoch 450:	pdl:3.92e-01 	 Rec:2.10e-03 	 Color:1.18e-01 	Time: 0.94
epoch 500:	pdl:4.18e-01 	 Rec:1.76e-03 	 Color:1.06e-01 	Time: 0.96
epoch 550:	pdl:3.78e-01 	 Rec:1.44e-03 	 Color:1.02e-01 	Time: 0.97
epoch 600:	pdl:6.46e-01 	 Rec:1.87e-03 	 Color:9.61e-02 	Time: 0.95
epoch 650:	pdl:3.90e-01 	 Rec:1.92e-03 	 Color:9.23e-02 	Time: 0.96
epoch 700:	pdl:4.13e-01 	 Rec:1.45e-03 	 Color:1.17e-01 	Time: 0.93
epoch 750:	pdl:3.84e-01 	 Rec:1.40e-03 	 Color:9.67e-02 	Time: 0.96
epoch 800:	pdl:4.28e-01 	 Rec:1.38e-03 	 Color:1.05e-01 	Time: 0.94
epoch 850:	pdl:4.87e-01 	 Rec:1.32e-03 	 Color:1.01e-01 	Time: 0.96
epoch 900:	pdl:3.79e-01 	 Rec:2.16e-03 	 Color:1.02e-01 	Time: 0.93
epoch 950:	pdl:4.24e-01 	 Rec:1.56e-03 	 Color:1.09e-01 	Time: 0.96
epoch 1000:	pdl:3.81e-01 	 Rec:1.34e-03 	 Color:1.12e-01 	Time: 0.94
epoch 1050:	pdl:4.01e-01 	 Rec:1.39e-03 	 Color:1.25e-01 	Time: 0.95
epoch 1100:	pdl:4.23e-01 	 Rec:1.37e-03 	 Color:1.09e-01 	Time: 0.95
epoch 1150:	pdl:3.88e-01 	 Rec:1.04e-03 	 Color:1.02e-01 	Time: 0.92
epoch 1200:	pdl:3.95e-01 	 Rec:1.43e-03 	 Color:1.02e-01 	Time: 0.96
epoch 1250:	pdl:3.75e-01 	 Rec:1.73e-03 	 Color:1.05e-01 	Time: 0.95
epoch 1300:	pdl:3.60e-01 	 Rec:1.39e-03 	 Color:1.01e-01 	Time: 0.95
epoch 1350:	pdl:3.81e-01 	 Rec:1.22e-03 	 Color:1.02e-01 	Time: 0.96
epoch 1400:	pdl:3.84e-01 	 Rec:1.20e-03 	 Color:1.14e-01 	Time: 0.94
epoch 1450:	pdl:3.81e-01 	 Rec:9.30e-04 	 Color:1.04e-01 	Time: 0.95
epoch 1500:	pdl:4.22e-01 	 Rec:1.19e-03 	 Color:1.03e-01 	Time: 0.97
epoch 1550:	pdl:3.89e-01 	 Rec:9.54e-04 	 Color:9.95e-02 	Time: 0.94
epoch 1600:	pdl:3.45e-01 	 Rec:1.03e-03 	 Color:9.35e-02 	Time: 0.92
epoch 1650:	pdl:3.75e-01 	 Rec:1.07e-03 	 Color:1.02e-01 	Time: 0.93
epoch 1700:	pdl:3.74e-01 	 Rec:9.76e-04 	 Color:1.03e-01 	Time: 0.93
epoch 1750:	pdl:3.77e-01 	 Rec:1.20e-03 	 Color:1.11e-01 	Time: 0.94
epoch 1800:	pdl:4.17e-01 	 Rec:1.03e-03 	 Color:1.06e-01 	Time: 0.97
epoch 1850:	pdl:3.75e-01 	 Rec:1.03e-03 	 Color:9.23e-02 	Time: 0.96
epoch 1900:	pdl:3.52e-01 	 Rec:7.53e-04 	 Color:1.01e-01 	Time: 0.97
epoch 1950:	pdl:4.73e-01 	 Rec:1.54e-03 	 Color:9.07e-02 	Time: 0.92
epoch 2000:	pdl:3.90e-01 	 Rec:9.49e-04 	 Color:1.06e-01 	Time: 0.92
epoch 2050:	pdl:3.95e-01 	 Rec:9.53e-04 	 Color:1.09e-01 	Time: 0.94
epoch 2100:	pdl:3.60e-01 	 Rec:8.27e-04 	 Color:1.04e-01 	Time: 0.91
epoch 2150:	pdl:3.64e-01 	 Rec:8.52e-04 	 Color:1.01e-01 	Time: 0.93
epoch 2200:	pdl:3.96e-01 	 Rec:8.73e-04 	 Color:1.10e-01 	Time: 0.93
epoch 2250:	pdl:4.15e-01 	 Rec:2.14e-03 	 Color:9.96e-02 	Time: 0.93
epoch 2300:	pdl:3.54e-01 	 Rec:9.54e-04 	 Color:1.01e-01 	Time: 0.93
epoch 2350:	pdl:3.97e-01 	 Rec:9.77e-04 	 Color:1.04e-01 	Time: 0.96
epoch 2400:	pdl:3.95e-01 	 Rec:8.38e-04 	 Color:9.95e-02 	Time: 0.94
epoch 2450:	pdl:4.30e-01 	 Rec:9.20e-04 	 Color:9.44e-02 	Time: 0.94
epoch 2500:	pdl:3.64e-01 	 Rec:8.68e-04 	 Color:1.09e-01 	Time: 0.96
epoch 2550:	pdl:4.09e-01 	 Rec:1.04e-03 	 Color:1.13e-01 	Time: 0.93
epoch 2600:	pdl:4.20e-01 	 Rec:7.58e-04 	 Color:1.01e-01 	Time: 0.90
epoch 2650:	pdl:4.37e-01 	 Rec:8.41e-04 	 Color:1.01e-01 	Time: 0.94
epoch 2700:	pdl:4.02e-01 	 Rec:8.02e-04 	 Color:9.95e-02 	Time: 0.91
epoch 2750:	pdl:3.48e-01 	 Rec:8.78e-04 	 Color:1.08e-01 	Time: 0.92
epoch 2800:	pdl:4.09e-01 	 Rec:9.11e-04 	 Color:1.11e-01 	Time: 0.90
epoch 2850:	pdl:3.54e-01 	 Rec:1.06e-03 	 Color:8.92e-02 	Time: 0.94
epoch 2900:	pdl:4.12e-01 	 Rec:8.95e-04 	 Color:1.06e-01 	Time: 0.90
epoch 2950:	pdl:3.61e-01 	 Rec:8.79e-04 	 Color:9.97e-02 	Time: 0.92
epoch 3000:	pdl:3.88e-01 	 Rec:8.32e-04 	 Color:1.15e-01 	Time: 0.95
epoch 3050:	pdl:4.04e-01 	 Rec:6.66e-04 	 Color:1.02e-01 	Time: 0.96
epoch 3100:	pdl:3.81e-01 	 Rec:9.11e-04 	 Color:9.80e-02 	Time: 0.91
epoch 3150:	pdl:3.74e-01 	 Rec:6.92e-04 	 Color:1.06e-01 	Time: 0.94
epoch 3200:	pdl:3.73e-01 	 Rec:6.28e-04 	 Color:1.05e-01 	Time: 0.92
epoch 3250:	pdl:3.79e-01 	 Rec:7.64e-04 	 Color:9.69e-02 	Time: 0.95
epoch 3300:	pdl:3.80e-01 	 Rec:7.38e-04 	 Color:1.02e-01 	Time: 0.93
epoch 3350:	pdl:4.12e-01 	 Rec:1.73e-03 	 Color:1.07e-01 	Time: 0.91
epoch 3400:	pdl:4.23e-01 	 Rec:9.78e-04 	 Color:1.18e-01 	Time: 0.92
epoch 3450:	pdl:3.98e-01 	 Rec:7.58e-04 	 Color:1.03e-01 	Time: 0.90
epoch 3500:	pdl:4.05e-01 	 Rec:8.19e-04 	 Color:1.03e-01 	Time: 0.93
epoch 3550:	pdl:3.89e-01 	 Rec:6.28e-04 	 Color:1.05e-01 	Time: 0.92
epoch 3600:	pdl:3.75e-01 	 Rec:7.64e-04 	 Color:1.20e-01 	Time: 0.90
epoch 3650:	pdl:4.01e-01 	 Rec:6.58e-04 	 Color:1.03e-01 	Time: 0.92
epoch 3700:	pdl:3.66e-01 	 Rec:5.22e-04 	 Color:9.93e-02 	Time: 0.93
epoch 3750:	pdl:3.76e-01 	 Rec:6.55e-04 	 Color:1.01e-01 	Time: 0.93
epoch 3800:	pdl:3.71e-01 	 Rec:8.99e-04 	 Color:1.03e-01 	Time: 0.92
epoch 3850:	pdl:3.59e-01 	 Rec:8.11e-04 	 Color:9.71e-02 	Time: 0.93
epoch 3900:	pdl:3.62e-01 	 Rec:6.58e-04 	 Color:9.06e-02 	Time: 0.91
epoch 3950:	pdl:3.73e-01 	 Rec:1.04e-03 	 Color:1.03e-01 	Time: 0.91
epoch 4000:	pdl:3.88e-01 	 Rec:7.87e-04 	 Color:8.95e-02 	Time: 0.93
epoch 4050:	pdl:3.74e-01 	 Rec:7.72e-04 	 Color:1.00e-01 	Time: 0.95
epoch 4100:	pdl:3.53e-01 	 Rec:7.55e-04 	 Color:8.71e-02 	Time: 0.93
epoch 4150:	pdl:4.01e-01 	 Rec:1.87e-03 	 Color:9.11e-02 	Time: 0.91
epoch 4200:	pdl:3.68e-01 	 Rec:7.12e-04 	 Color:1.09e-01 	Time: 0.94
epoch 4250:	pdl:4.10e-01 	 Rec:8.28e-04 	 Color:1.08e-01 	Time: 0.91
epoch 4300:	pdl:3.72e-01 	 Rec:8.94e-04 	 Color:1.05e-01 	Time: 0.92
epoch 4350:	pdl:3.64e-01 	 Rec:6.63e-04 	 Color:9.62e-02 	Time: 0.93
epoch 4400:	pdl:3.56e-01 	 Rec:6.44e-04 	 Color:1.06e-01 	Time: 0.93
epoch 4450:	pdl:3.60e-01 	 Rec:8.61e-04 	 Color:9.80e-02 	Time: 0.92
epoch 4500:	pdl:4.09e-01 	 Rec:6.63e-04 	 Color:1.05e-01 	Time: 0.93
epoch 4550:	pdl:3.60e-01 	 Rec:6.49e-04 	 Color:1.16e-01 	Time: 0.92
epoch 4600:	pdl:3.43e-01 	 Rec:1.01e-03 	 Color:9.57e-02 	Time: 0.95
