epoch 0:	pdl:5.82e-01 	 Rec:4.95e-02 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:2.99e-01 	 Rec:4.52e-03 	 Color:0.00e+00 	Time: 1.61
epoch 100:	pdl:3.35e-01 	 Rec:5.39e-03 	 Color:0.00e+00 	Time: 1.54
epoch 150:	pdl:2.68e-01 	 Rec:3.73e-03 	 Color:0.00e+00 	Time: 1.52
epoch 200:	pdl:3.15e-01 	 Rec:3.95e-03 	 Color:0.00e+00 	Time: 1.56
epoch 250:	pdl:2.59e-01 	 Rec:3.42e-03 	 Color:0.00e+00 	Time: 1.62
epoch 300:	pdl:2.67e-01 	 Rec:3.55e-03 	 Color:0.00e+00 	Time: 1.64
epoch 350:	pdl:2.55e-01 	 Rec:3.54e-03 	 Color:0.00e+00 	Time: 1.53
epoch 400:	pdl:3.25e-01 	 Rec:3.31e-03 	 Color:0.00e+00 	Time: 1.57
epoch 450:	pdl:2.49e-01 	 Rec:3.17e-03 	 Color:0.00e+00 	Time: 1.57
epoch 500:	pdl:2.52e-01 	 Rec:3.71e-03 	 Color:0.00e+00 	Time: 1.58
epoch 550:	pdl:3.08e-01 	 Rec:2.91e-03 	 Color:0.00e+00 	Time: 1.57
epoch 600:	pdl:2.72e-01 	 Rec:3.04e-03 	 Color:0.00e+00 	Time: 1.54
epoch 650:	pdl:2.66e-01 	 Rec:3.13e-03 	 Color:0.00e+00 	Time: 1.60
epoch 700:	pdl:2.36e-01 	 Rec:3.00e-03 	 Color:0.00e+00 	Time: 1.59
epoch 750:	pdl:3.19e-01 	 Rec:2.51e-03 	 Color:0.00e+00 	Time: 1.59
epoch 800:	pdl:3.41e-01 	 Rec:2.75e-03 	 Color:0.00e+00 	Time: 1.57
epoch 850:	pdl:2.92e-01 	 Rec:3.30e-03 	 Color:0.00e+00 	Time: 1.59
epoch 900:	pdl:2.96e-01 	 Rec:3.10e-03 	 Color:0.00e+00 	Time: 1.56
epoch 950:	pdl:2.50e-01 	 Rec:2.29e-03 	 Color:0.00e+00 	Time: 1.59
epoch 1000:	pdl:2.64e-01 	 Rec:2.68e-03 	 Color:0.00e+00 	Time: 1.61
epoch 1050:	pdl:2.95e-01 	 Rec:2.68e-03 	 Color:0.00e+00 	Time: 1.61
epoch 1100:	pdl:3.40e-01 	 Rec:2.44e-03 	 Color:0.00e+00 	Time: 1.59
epoch 1150:	pdl:2.67e-01 	 Rec:3.18e-03 	 Color:0.00e+00 	Time: 1.58
epoch 1200:	pdl:3.42e-01 	 Rec:2.58e-03 	 Color:0.00e+00 	Time: 1.60
epoch 1250:	pdl:2.62e-01 	 Rec:2.36e-03 	 Color:0.00e+00 	Time: 1.58
epoch 1300:	pdl:2.73e-01 	 Rec:2.15e-03 	 Color:0.00e+00 	Time: 1.55
epoch 1350:	pdl:2.57e-01 	 Rec:2.27e-03 	 Color:0.00e+00 	Time: 1.60
epoch 1400:	pdl:2.74e-01 	 Rec:2.03e-03 	 Color:0.00e+00 	Time: 1.60
epoch 1450:	pdl:2.86e-01 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 1.59
epoch 1500:	pdl:2.64e-01 	 Rec:2.08e-03 	 Color:0.00e+00 	Time: 1.60
epoch 1550:	pdl:2.45e-01 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 1.45
epoch 1600:	pdl:3.17e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1650:	pdl:3.07e-01 	 Rec:1.92e-03 	 Color:0.00e+00 	Time: 1.56
epoch 1700:	pdl:3.31e-01 	 Rec:2.33e-03 	 Color:0.00e+00 	Time: 1.57
epoch 1750:	pdl:2.48e-01 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 1.51
epoch 1800:	pdl:2.93e-01 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 1.56
epoch 1850:	pdl:3.23e-01 	 Rec:2.38e-03 	 Color:0.00e+00 	Time: 1.63
epoch 1900:	pdl:2.39e-01 	 Rec:2.02e-03 	 Color:0.00e+00 	Time: 1.52
epoch 1950:	pdl:2.64e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 1.53
epoch 2000:	pdl:2.55e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 1.57
epoch 2050:	pdl:2.92e-01 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 1.60
epoch 2100:	pdl:2.33e-01 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 1.56
epoch 2150:	pdl:2.57e-01 	 Rec:1.80e-03 	 Color:0.00e+00 	Time: 1.54
epoch 2200:	pdl:2.49e-01 	 Rec:2.44e-03 	 Color:0.00e+00 	Time: 1.56
epoch 2250:	pdl:2.52e-01 	 Rec:1.58e-03 	 Color:0.00e+00 	Time: 1.56
epoch 2300:	pdl:2.65e-01 	 Rec:1.78e-03 	 Color:0.00e+00 	Time: 1.55
epoch 2350:	pdl:2.46e-01 	 Rec:2.31e-03 	 Color:0.00e+00 	Time: 1.59
epoch 2400:	pdl:2.56e-01 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 1.54
epoch 2450:	pdl:2.78e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 1.55
epoch 2500:	pdl:2.82e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 1.57
epoch 2550:	pdl:2.62e-01 	 Rec:2.18e-03 	 Color:0.00e+00 	Time: 1.56
epoch 2600:	pdl:2.63e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 1.53
epoch 2650:	pdl:2.80e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 1.54
epoch 2700:	pdl:3.45e-01 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 1.51
epoch 2750:	pdl:3.85e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 1.58
epoch 2800:	pdl:2.24e-01 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 1.56
epoch 2850:	pdl:2.58e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 1.55
epoch 2900:	pdl:2.31e-01 	 Rec:1.70e-03 	 Color:0.00e+00 	Time: 1.60
epoch 2950:	pdl:2.64e-01 	 Rec:1.54e-03 	 Color:0.00e+00 	Time: 1.55
epoch 3000:	pdl:2.43e-01 	 Rec:1.65e-03 	 Color:0.00e+00 	Time: 1.57
epoch 3050:	pdl:2.57e-01 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 1.52
epoch 3100:	pdl:2.57e-01 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 1.54
epoch 3150:	pdl:2.30e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 1.54
