epoch 0:	pdl:6.68e-01 	 Rec:9.71e-02 	 Color:2.03e-01 	Time: 0.04
epoch 50:	pdl:2.24e-01 	 Rec:7.27e-03 	 Color:1.27e-01 	Time: 4.37
epoch 100:	pdl:2.47e-01 	 Rec:6.25e-03 	 Color:1.38e-01 	Time: 4.23
epoch 150:	pdl:2.39e-01 	 Rec:6.00e-03 	 Color:1.39e-01 	Time: 4.16
epoch 200:	pdl:3.37e-01 	 Rec:5.00e-03 	 Color:1.12e-01 	Time: 4.24
epoch 250:	pdl:2.53e-01 	 Rec:5.44e-03 	 Color:1.23e-01 	Time: 4.23
epoch 300:	pdl:2.60e-01 	 Rec:4.54e-03 	 Color:1.19e-01 	Time: 4.20
epoch 350:	pdl:3.17e-01 	 Rec:4.24e-03 	 Color:1.43e-01 	Time: 4.22
epoch 400:	pdl:2.79e-01 	 Rec:4.83e-03 	 Color:1.20e-01 	Time: 4.30
epoch 450:	pdl:2.29e-01 	 Rec:4.34e-03 	 Color:1.26e-01 	Time: 4.25
epoch 500:	pdl:2.27e-01 	 Rec:4.07e-03 	 Color:1.31e-01 	Time: 4.24
epoch 550:	pdl:2.17e-01 	 Rec:4.29e-03 	 Color:1.26e-01 	Time: 4.24
epoch 600:	pdl:2.64e-01 	 Rec:4.52e-03 	 Color:1.33e-01 	Time: 4.19
epoch 650:	pdl:2.31e-01 	 Rec:4.13e-03 	 Color:1.06e-01 	Time: 4.21
epoch 700:	pdl:2.60e-01 	 Rec:3.13e-03 	 Color:1.38e-01 	Time: 4.22
epoch 750:	pdl:2.23e-01 	 Rec:3.99e-03 	 Color:1.26e-01 	Time: 4.27
epoch 800:	pdl:2.09e-01 	 Rec:3.19e-03 	 Color:1.29e-01 	Time: 4.23
epoch 850:	pdl:2.57e-01 	 Rec:3.01e-03 	 Color:1.12e-01 	Time: 4.27
epoch 900:	pdl:2.04e-01 	 Rec:2.82e-03 	 Color:1.20e-01 	Time: 4.25
epoch 950:	pdl:2.19e-01 	 Rec:2.45e-03 	 Color:1.21e-01 	Time: 4.24
epoch 1000:	pdl:2.37e-01 	 Rec:3.53e-03 	 Color:1.33e-01 	Time: 4.29
epoch 1050:	pdl:2.15e-01 	 Rec:2.51e-03 	 Color:1.39e-01 	Time: 4.35
epoch 1100:	pdl:2.17e-01 	 Rec:2.49e-03 	 Color:1.28e-01 	Time: 4.19
epoch 1150:	pdl:2.48e-01 	 Rec:2.37e-03 	 Color:1.14e-01 	Time: 4.24
epoch 1200:	pdl:2.54e-01 	 Rec:2.60e-03 	 Color:1.31e-01 	Time: 4.27
epoch 1250:	pdl:2.28e-01 	 Rec:2.91e-03 	 Color:1.17e-01 	Time: 4.00
epoch 1300:	pdl:2.11e-01 	 Rec:2.52e-03 	 Color:1.24e-01 	Time: 4.20
epoch 1350:	pdl:2.65e-01 	 Rec:2.51e-03 	 Color:1.19e-01 	Time: 4.19
epoch 1400:	pdl:2.00e-01 	 Rec:2.03e-03 	 Color:1.27e-01 	Time: 4.23
epoch 1450:	pdl:1.97e-01 	 Rec:2.15e-03 	 Color:1.28e-01 	Time: 4.30
epoch 1500:	pdl:2.37e-01 	 Rec:1.79e-03 	 Color:1.14e-01 	Time: 4.24
epoch 1550:	pdl:2.41e-01 	 Rec:2.57e-03 	 Color:1.31e-01 	Time: 4.24
