epoch 0:	pdl:6.04e-01 	 Rec:7.34e-02 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:1.78e-01 	 Rec:4.41e-03 	 Color:0.00e+00 	Time: 2.41
epoch 100:	pdl:1.88e-01 	 Rec:4.70e-03 	 Color:0.00e+00 	Time: 2.32
epoch 150:	pdl:1.68e-01 	 Rec:3.33e-03 	 Color:0.00e+00 	Time: 2.36
epoch 200:	pdl:1.44e-01 	 Rec:2.29e-03 	 Color:0.00e+00 	Time: 2.37
epoch 250:	pdl:1.46e-01 	 Rec:2.88e-03 	 Color:0.00e+00 	Time: 2.37
epoch 300:	pdl:2.42e-01 	 Rec:2.35e-03 	 Color:0.00e+00 	Time: 2.36
epoch 350:	pdl:1.44e-01 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 2.33
epoch 400:	pdl:1.71e-01 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 2.39
epoch 450:	pdl:1.86e-01 	 Rec:2.23e-03 	 Color:0.00e+00 	Time: 2.38
epoch 500:	pdl:1.92e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 2.38
epoch 550:	pdl:2.16e-01 	 Rec:2.62e-03 	 Color:0.00e+00 	Time: 2.39
epoch 600:	pdl:1.73e-01 	 Rec:2.66e-03 	 Color:0.00e+00 	Time: 2.36
epoch 650:	pdl:1.54e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 2.34
epoch 700:	pdl:1.47e-01 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 2.37
epoch 750:	pdl:1.71e-01 	 Rec:2.02e-03 	 Color:0.00e+00 	Time: 2.41
epoch 800:	pdl:1.74e-01 	 Rec:2.04e-03 	 Color:0.00e+00 	Time: 2.37
epoch 850:	pdl:1.69e-01 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 2.34
epoch 900:	pdl:1.83e-01 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 2.37
epoch 950:	pdl:1.75e-01 	 Rec:2.02e-03 	 Color:0.00e+00 	Time: 2.38
epoch 1000:	pdl:1.67e-01 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 2.36
epoch 1050:	pdl:1.45e-01 	 Rec:2.04e-03 	 Color:0.00e+00 	Time: 2.37
epoch 1100:	pdl:1.55e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 2.37
epoch 1150:	pdl:1.69e-01 	 Rec:2.08e-03 	 Color:0.00e+00 	Time: 2.34
epoch 1200:	pdl:2.11e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 2.39
epoch 1250:	pdl:1.50e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 2.36
epoch 1300:	pdl:1.44e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 2.37
epoch 1350:	pdl:1.37e-01 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 2.36
epoch 1400:	pdl:1.47e-01 	 Rec:2.11e-03 	 Color:0.00e+00 	Time: 2.39
epoch 1450:	pdl:1.73e-01 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 2.34
epoch 1500:	pdl:1.62e-01 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 2.43
epoch 1550:	pdl:1.99e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 2.34
epoch 1600:	pdl:1.40e-01 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 2.37
epoch 1650:	pdl:1.48e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 2.44
epoch 1700:	pdl:1.57e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 2.47
epoch 1750:	pdl:1.54e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 2.33
epoch 1800:	pdl:1.49e-01 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 2.35
epoch 1850:	pdl:1.35e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 2.39
epoch 1900:	pdl:1.52e-01 	 Rec:1.91e-03 	 Color:0.00e+00 	Time: 2.35
epoch 1950:	pdl:1.38e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 2.38
epoch 2000:	pdl:1.58e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 2.38
epoch 2050:	pdl:1.43e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 2.39
epoch 2100:	pdl:1.61e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 2.36
epoch 2150:	pdl:1.33e-01 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 2.42
epoch 2200:	pdl:1.42e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 2.33
epoch 2250:	pdl:1.39e-01 	 Rec:1.65e-03 	 Color:0.00e+00 	Time: 2.35
epoch 2300:	pdl:1.50e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 2.37
epoch 2350:	pdl:1.47e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 2.38
epoch 2400:	pdl:1.44e-01 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 2.40
epoch 2450:	pdl:1.46e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 2.39
epoch 2500:	pdl:1.56e-01 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 2.42
epoch 2550:	pdl:1.35e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 2.39
epoch 2600:	pdl:1.38e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 2.10
epoch 2650:	pdl:1.43e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 2.41
