epoch 0:	pdl:4.70e-01 	 Rec:2.57e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:4.22e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 1.13
epoch 100:	pdl:4.95e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 1.02
epoch 150:	pdl:4.20e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.07
epoch 200:	pdl:4.72e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 1.02
epoch 250:	pdl:4.28e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.02
epoch 300:	pdl:5.00e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 1.02
epoch 350:	pdl:4.20e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 1.02
epoch 400:	pdl:4.47e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.02
epoch 450:	pdl:4.31e-01 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 1.05
epoch 500:	pdl:4.41e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 1.03
epoch 550:	pdl:4.64e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.03
epoch 600:	pdl:4.37e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 1.04
epoch 650:	pdl:4.44e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 1.02
epoch 700:	pdl:3.95e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 1.02
epoch 750:	pdl:4.61e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 1.05
epoch 800:	pdl:4.46e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 1.02
epoch 850:	pdl:4.85e-01 	 Rec:9.90e-04 	 Color:0.00e+00 	Time: 1.04
epoch 900:	pdl:4.16e-01 	 Rec:9.98e-04 	 Color:0.00e+00 	Time: 1.05
epoch 950:	pdl:4.19e-01 	 Rec:9.15e-04 	 Color:0.00e+00 	Time: 1.02
epoch 1000:	pdl:4.39e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1050:	pdl:4.11e-01 	 Rec:9.36e-04 	 Color:0.00e+00 	Time: 1.06
epoch 1100:	pdl:4.16e-01 	 Rec:9.10e-04 	 Color:0.00e+00 	Time: 1.01
epoch 1150:	pdl:4.52e-01 	 Rec:9.13e-04 	 Color:0.00e+00 	Time: 1.01
epoch 1200:	pdl:6.30e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1250:	pdl:4.15e-01 	 Rec:9.61e-04 	 Color:0.00e+00 	Time: 1.03
epoch 1300:	pdl:4.00e-01 	 Rec:9.61e-04 	 Color:0.00e+00 	Time: 1.04
epoch 1350:	pdl:4.61e-01 	 Rec:9.40e-04 	 Color:0.00e+00 	Time: 1.01
epoch 1400:	pdl:4.46e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 1.02
epoch 1450:	pdl:3.97e-01 	 Rec:9.97e-04 	 Color:0.00e+00 	Time: 1.04
epoch 1500:	pdl:3.75e-01 	 Rec:8.88e-04 	 Color:0.00e+00 	Time: 1.04
epoch 1550:	pdl:3.94e-01 	 Rec:8.92e-04 	 Color:0.00e+00 	Time: 1.02
epoch 1600:	pdl:3.99e-01 	 Rec:8.72e-04 	 Color:0.00e+00 	Time: 1.06
epoch 1650:	pdl:4.56e-01 	 Rec:9.64e-04 	 Color:0.00e+00 	Time: 1.05
epoch 1700:	pdl:3.93e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1750:	pdl:4.17e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1800:	pdl:4.44e-01 	 Rec:8.97e-04 	 Color:0.00e+00 	Time: 1.04
epoch 1850:	pdl:4.33e-01 	 Rec:8.36e-04 	 Color:0.00e+00 	Time: 1.04
epoch 1900:	pdl:4.27e-01 	 Rec:9.07e-04 	 Color:0.00e+00 	Time: 1.03
epoch 1950:	pdl:4.16e-01 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 1.03
epoch 2000:	pdl:4.56e-01 	 Rec:8.45e-04 	 Color:0.00e+00 	Time: 1.06
epoch 2050:	pdl:4.45e-01 	 Rec:8.63e-04 	 Color:0.00e+00 	Time: 1.04
epoch 2100:	pdl:4.14e-01 	 Rec:8.21e-04 	 Color:0.00e+00 	Time: 1.05
epoch 2150:	pdl:4.49e-01 	 Rec:8.88e-04 	 Color:0.00e+00 	Time: 1.03
epoch 2200:	pdl:5.08e-01 	 Rec:8.69e-04 	 Color:0.00e+00 	Time: 1.06
epoch 2250:	pdl:4.29e-01 	 Rec:8.35e-04 	 Color:0.00e+00 	Time: 1.04
epoch 2300:	pdl:3.83e-01 	 Rec:8.25e-04 	 Color:0.00e+00 	Time: 1.05
epoch 2350:	pdl:4.67e-01 	 Rec:8.34e-04 	 Color:0.00e+00 	Time: 1.08
epoch 2400:	pdl:4.32e-01 	 Rec:8.11e-04 	 Color:0.00e+00 	Time: 1.06
epoch 2450:	pdl:4.15e-01 	 Rec:8.70e-04 	 Color:0.00e+00 	Time: 1.04
epoch 2500:	pdl:3.76e-01 	 Rec:7.77e-04 	 Color:0.00e+00 	Time: 1.05
epoch 2550:	pdl:4.25e-01 	 Rec:8.03e-04 	 Color:0.00e+00 	Time: 1.04
epoch 2600:	pdl:3.94e-01 	 Rec:8.57e-04 	 Color:0.00e+00 	Time: 1.03
epoch 2650:	pdl:4.58e-01 	 Rec:7.98e-04 	 Color:0.00e+00 	Time: 1.06
epoch 2700:	pdl:4.06e-01 	 Rec:7.85e-04 	 Color:0.00e+00 	Time: 1.04
epoch 2750:	pdl:4.70e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 1.07
epoch 2800:	pdl:4.01e-01 	 Rec:8.29e-04 	 Color:0.00e+00 	Time: 1.05
epoch 2850:	pdl:4.59e-01 	 Rec:8.60e-04 	 Color:0.00e+00 	Time: 1.05
epoch 2900:	pdl:3.97e-01 	 Rec:8.44e-04 	 Color:0.00e+00 	Time: 1.04
epoch 2950:	pdl:4.36e-01 	 Rec:8.46e-04 	 Color:0.00e+00 	Time: 1.07
epoch 3000:	pdl:4.59e-01 	 Rec:8.83e-04 	 Color:0.00e+00 	Time: 1.04
epoch 3050:	pdl:4.19e-01 	 Rec:8.27e-04 	 Color:0.00e+00 	Time: 1.05
epoch 3100:	pdl:4.53e-01 	 Rec:9.03e-04 	 Color:0.00e+00 	Time: 1.07
epoch 3150:	pdl:4.24e-01 	 Rec:7.90e-04 	 Color:0.00e+00 	Time: 1.04
epoch 3200:	pdl:4.00e-01 	 Rec:7.62e-04 	 Color:0.00e+00 	Time: 1.04
epoch 3250:	pdl:4.26e-01 	 Rec:8.50e-04 	 Color:0.00e+00 	Time: 1.04
epoch 3300:	pdl:3.91e-01 	 Rec:7.84e-04 	 Color:0.00e+00 	Time: 1.04
epoch 3350:	pdl:5.14e-01 	 Rec:8.13e-04 	 Color:0.00e+00 	Time: 1.02
epoch 3400:	pdl:4.70e-01 	 Rec:8.41e-04 	 Color:0.00e+00 	Time: 1.02
epoch 3450:	pdl:4.10e-01 	 Rec:8.01e-04 	 Color:0.00e+00 	Time: 1.03
epoch 3500:	pdl:4.23e-01 	 Rec:8.00e-04 	 Color:0.00e+00 	Time: 1.05
epoch 3550:	pdl:4.62e-01 	 Rec:7.43e-04 	 Color:0.00e+00 	Time: 1.02
epoch 3600:	pdl:4.11e-01 	 Rec:8.41e-04 	 Color:0.00e+00 	Time: 1.03
epoch 3650:	pdl:4.39e-01 	 Rec:8.01e-04 	 Color:0.00e+00 	Time: 1.02
epoch 3700:	pdl:3.93e-01 	 Rec:8.04e-04 	 Color:0.00e+00 	Time: 1.03
epoch 3750:	pdl:4.36e-01 	 Rec:7.26e-04 	 Color:0.00e+00 	Time: 1.02
epoch 3800:	pdl:3.75e-01 	 Rec:7.79e-04 	 Color:0.00e+00 	Time: 1.02
epoch 3850:	pdl:4.31e-01 	 Rec:7.42e-04 	 Color:0.00e+00 	Time: 1.05
epoch 3900:	pdl:4.20e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 1.02
epoch 3950:	pdl:4.38e-01 	 Rec:7.58e-04 	 Color:0.00e+00 	Time: 1.05
epoch 4000:	pdl:4.23e-01 	 Rec:7.95e-04 	 Color:0.00e+00 	Time: 1.05
epoch 4050:	pdl:4.17e-01 	 Rec:7.94e-04 	 Color:0.00e+00 	Time: 1.06
epoch 4100:	pdl:4.37e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 1.03
epoch 4150:	pdl:5.01e-01 	 Rec:7.65e-04 	 Color:0.00e+00 	Time: 1.08
epoch 4200:	pdl:4.40e-01 	 Rec:7.72e-04 	 Color:0.00e+00 	Time: 1.07
epoch 4250:	pdl:4.05e-01 	 Rec:7.72e-04 	 Color:0.00e+00 	Time: 1.05
epoch 4300:	pdl:4.27e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 1.05
epoch 4350:	pdl:4.03e-01 	 Rec:7.34e-04 	 Color:0.00e+00 	Time: 1.02
epoch 4400:	pdl:4.22e-01 	 Rec:7.52e-04 	 Color:0.00e+00 	Time: 1.03
epoch 4450:	pdl:4.35e-01 	 Rec:7.73e-04 	 Color:0.00e+00 	Time: 1.02
epoch 4500:	pdl:3.90e-01 	 Rec:7.16e-04 	 Color:0.00e+00 	Time: 1.06
epoch 4550:	pdl:4.41e-01 	 Rec:8.09e-04 	 Color:0.00e+00 	Time: 1.06
epoch 4600:	pdl:4.12e-01 	 Rec:7.44e-04 	 Color:0.00e+00 	Time: 1.05
epoch 4650:	pdl:4.42e-01 	 Rec:8.70e-04 	 Color:0.00e+00 	Time: 1.04
epoch 4700:	pdl:4.20e-01 	 Rec:7.74e-04 	 Color:0.00e+00 	Time: 1.04
epoch 4750:	pdl:4.83e-01 	 Rec:7.32e-04 	 Color:0.00e+00 	Time: 1.06
