epoch 0:	pdl:2.83e-01 	 Rec:3.09e-03 	 Color:2.83e-01 	Time: 0.01
epoch 50:	pdl:2.76e-01 	 Rec:1.27e-03 	 Color:2.76e-01 	Time: 0.79
epoch 100:	pdl:2.66e-01 	 Rec:9.81e-04 	 Color:2.66e-01 	Time: 0.70
epoch 150:	pdl:2.72e-01 	 Rec:8.94e-04 	 Color:2.72e-01 	Time: 0.68
epoch 200:	pdl:2.59e-01 	 Rec:7.28e-04 	 Color:2.59e-01 	Time: 0.67
epoch 250:	pdl:2.73e-01 	 Rec:6.72e-04 	 Color:2.73e-01 	Time: 0.67
epoch 300:	pdl:2.58e-01 	 Rec:6.99e-04 	 Color:2.58e-01 	Time: 0.67
epoch 350:	pdl:2.80e-01 	 Rec:6.27e-04 	 Color:2.80e-01 	Time: 0.65
epoch 400:	pdl:2.49e-01 	 Rec:6.58e-04 	 Color:2.49e-01 	Time: 0.65
epoch 450:	pdl:2.58e-01 	 Rec:5.86e-04 	 Color:2.58e-01 	Time: 0.65
epoch 500:	pdl:2.59e-01 	 Rec:5.26e-04 	 Color:2.59e-01 	Time: 0.65
epoch 550:	pdl:2.64e-01 	 Rec:5.18e-04 	 Color:2.64e-01 	Time: 0.65
epoch 600:	pdl:2.43e-01 	 Rec:5.40e-04 	 Color:2.43e-01 	Time: 0.69
epoch 650:	pdl:2.89e-01 	 Rec:5.25e-04 	 Color:2.89e-01 	Time: 0.67
epoch 700:	pdl:2.53e-01 	 Rec:5.09e-04 	 Color:2.53e-01 	Time: 0.71
epoch 750:	pdl:2.55e-01 	 Rec:4.67e-04 	 Color:2.55e-01 	Time: 0.71
epoch 800:	pdl:2.80e-01 	 Rec:5.38e-04 	 Color:2.80e-01 	Time: 0.68
epoch 850:	pdl:2.53e-01 	 Rec:4.77e-04 	 Color:2.53e-01 	Time: 0.69
epoch 900:	pdl:2.72e-01 	 Rec:5.02e-04 	 Color:2.72e-01 	Time: 0.72
epoch 950:	pdl:2.52e-01 	 Rec:4.48e-04 	 Color:2.52e-01 	Time: 0.69
epoch 1000:	pdl:2.56e-01 	 Rec:4.39e-04 	 Color:2.56e-01 	Time: 0.71
epoch 1050:	pdl:2.58e-01 	 Rec:4.65e-04 	 Color:2.58e-01 	Time: 0.70
epoch 1100:	pdl:2.67e-01 	 Rec:5.09e-04 	 Color:2.67e-01 	Time: 0.69
epoch 1150:	pdl:2.47e-01 	 Rec:4.62e-04 	 Color:2.47e-01 	Time: 0.74
epoch 1200:	pdl:2.51e-01 	 Rec:4.55e-04 	 Color:2.51e-01 	Time: 0.69
epoch 1250:	pdl:2.58e-01 	 Rec:4.50e-04 	 Color:2.58e-01 	Time: 0.69
epoch 1300:	pdl:2.64e-01 	 Rec:4.31e-04 	 Color:2.64e-01 	Time: 0.69
epoch 1350:	pdl:2.43e-01 	 Rec:4.16e-04 	 Color:2.43e-01 	Time: 0.68
epoch 1400:	pdl:2.70e-01 	 Rec:3.87e-04 	 Color:2.70e-01 	Time: 0.66
epoch 1450:	pdl:2.53e-01 	 Rec:4.05e-04 	 Color:2.53e-01 	Time: 0.65
epoch 1500:	pdl:2.92e-01 	 Rec:3.90e-04 	 Color:2.92e-01 	Time: 0.67
epoch 1550:	pdl:2.48e-01 	 Rec:4.33e-04 	 Color:2.48e-01 	Time: 0.65
epoch 1600:	pdl:2.59e-01 	 Rec:3.91e-04 	 Color:2.59e-01 	Time: 0.68
epoch 1650:	pdl:2.77e-01 	 Rec:4.32e-04 	 Color:2.77e-01 	Time: 0.65
epoch 1700:	pdl:2.43e-01 	 Rec:4.23e-04 	 Color:2.43e-01 	Time: 0.67
epoch 1750:	pdl:2.84e-01 	 Rec:3.99e-04 	 Color:2.84e-01 	Time: 0.65
epoch 1800:	pdl:2.51e-01 	 Rec:3.46e-04 	 Color:2.51e-01 	Time: 0.69
epoch 1850:	pdl:2.50e-01 	 Rec:3.69e-04 	 Color:2.50e-01 	Time: 0.66
epoch 1900:	pdl:2.61e-01 	 Rec:4.24e-04 	 Color:2.61e-01 	Time: 0.67
epoch 1950:	pdl:2.56e-01 	 Rec:4.44e-04 	 Color:2.56e-01 	Time: 0.69
epoch 2000:	pdl:2.59e-01 	 Rec:4.33e-04 	 Color:2.59e-01 	Time: 0.71
epoch 2050:	pdl:2.60e-01 	 Rec:3.54e-04 	 Color:2.60e-01 	Time: 0.71
epoch 2100:	pdl:2.49e-01 	 Rec:3.90e-04 	 Color:2.49e-01 	Time: 0.71
epoch 2150:	pdl:2.51e-01 	 Rec:3.64e-04 	 Color:2.51e-01 	Time: 0.70
epoch 2200:	pdl:2.59e-01 	 Rec:3.91e-04 	 Color:2.59e-01 	Time: 0.73
epoch 2250:	pdl:2.59e-01 	 Rec:3.50e-04 	 Color:2.59e-01 	Time: 0.74
epoch 2300:	pdl:2.51e-01 	 Rec:3.99e-04 	 Color:2.51e-01 	Time: 0.68
epoch 2350:	pdl:2.75e-01 	 Rec:4.10e-04 	 Color:2.75e-01 	Time: 0.68
epoch 2400:	pdl:2.56e-01 	 Rec:3.42e-04 	 Color:2.56e-01 	Time: 0.68
epoch 2450:	pdl:2.51e-01 	 Rec:3.29e-04 	 Color:2.51e-01 	Time: 0.66
epoch 2500:	pdl:2.95e-01 	 Rec:3.91e-04 	 Color:2.95e-01 	Time: 0.71
epoch 2550:	pdl:2.60e-01 	 Rec:3.38e-04 	 Color:2.60e-01 	Time: 0.65
epoch 2600:	pdl:2.58e-01 	 Rec:3.66e-04 	 Color:2.58e-01 	Time: 0.70
epoch 2650:	pdl:2.59e-01 	 Rec:3.26e-04 	 Color:2.59e-01 	Time: 0.68
epoch 2700:	pdl:2.52e-01 	 Rec:3.15e-04 	 Color:2.52e-01 	Time: 0.71
epoch 2750:	pdl:2.48e-01 	 Rec:3.43e-04 	 Color:2.48e-01 	Time: 0.71
epoch 2800:	pdl:2.47e-01 	 Rec:3.41e-04 	 Color:2.47e-01 	Time: 0.68
epoch 2850:	pdl:2.51e-01 	 Rec:3.12e-04 	 Color:2.51e-01 	Time: 0.66
epoch 2900:	pdl:2.43e-01 	 Rec:3.53e-04 	 Color:2.43e-01 	Time: 0.71
epoch 2950:	pdl:2.49e-01 	 Rec:3.96e-04 	 Color:2.49e-01 	Time: 0.66
epoch 3000:	pdl:2.48e-01 	 Rec:3.42e-04 	 Color:2.48e-01 	Time: 0.66
epoch 3050:	pdl:2.62e-01 	 Rec:3.88e-04 	 Color:2.62e-01 	Time: 0.72
epoch 3100:	pdl:2.57e-01 	 Rec:3.25e-04 	 Color:2.57e-01 	Time: 0.69
epoch 3150:	pdl:2.57e-01 	 Rec:3.07e-04 	 Color:2.57e-01 	Time: 0.68
epoch 3200:	pdl:2.53e-01 	 Rec:3.14e-04 	 Color:2.53e-01 	Time: 0.65
epoch 3250:	pdl:2.72e-01 	 Rec:3.95e-04 	 Color:2.72e-01 	Time: 0.67
