epoch 0:	pdl:1.22e+00 	 Rec:4.65e-02 	 Color:1.66e-01 	Time: 0.02
epoch 50:	pdl:6.36e-01 	 Rec:8.15e-03 	 Color:8.94e-02 	Time: 1.16
epoch 100:	pdl:5.37e-01 	 Rec:7.53e-03 	 Color:1.05e-01 	Time: 1.16
epoch 150:	pdl:5.45e-01 	 Rec:6.92e-03 	 Color:9.20e-02 	Time: 1.15
epoch 200:	pdl:6.02e-01 	 Rec:6.52e-03 	 Color:1.02e-01 	Time: 1.15
epoch 250:	pdl:5.42e-01 	 Rec:6.22e-03 	 Color:1.02e-01 	Time: 1.16
epoch 300:	pdl:5.44e-01 	 Rec:6.02e-03 	 Color:9.45e-02 	Time: 1.13
epoch 350:	pdl:4.94e-01 	 Rec:5.85e-03 	 Color:1.06e-01 	Time: 1.15
epoch 400:	pdl:4.93e-01 	 Rec:5.66e-03 	 Color:8.80e-02 	Time: 1.15
epoch 450:	pdl:4.73e-01 	 Rec:5.52e-03 	 Color:8.88e-02 	Time: 1.17
epoch 500:	pdl:6.20e-01 	 Rec:5.52e-03 	 Color:9.05e-02 	Time: 1.14
epoch 550:	pdl:5.24e-01 	 Rec:5.55e-03 	 Color:9.45e-02 	Time: 1.19
epoch 600:	pdl:5.03e-01 	 Rec:5.70e-03 	 Color:9.45e-02 	Time: 1.17
epoch 650:	pdl:5.21e-01 	 Rec:5.46e-03 	 Color:8.90e-02 	Time: 1.15
epoch 700:	pdl:4.84e-01 	 Rec:5.25e-03 	 Color:9.27e-02 	Time: 1.16
epoch 750:	pdl:4.98e-01 	 Rec:5.36e-03 	 Color:9.38e-02 	Time: 1.14
epoch 800:	pdl:4.74e-01 	 Rec:5.23e-03 	 Color:1.00e-01 	Time: 1.17
epoch 850:	pdl:4.86e-01 	 Rec:5.49e-03 	 Color:9.63e-02 	Time: 1.16
epoch 900:	pdl:4.98e-01 	 Rec:5.15e-03 	 Color:9.69e-02 	Time: 1.15
epoch 950:	pdl:5.61e-01 	 Rec:5.10e-03 	 Color:8.92e-02 	Time: 1.15
epoch 1000:	pdl:4.80e-01 	 Rec:5.10e-03 	 Color:9.37e-02 	Time: 1.16
epoch 1050:	pdl:5.04e-01 	 Rec:5.22e-03 	 Color:9.17e-02 	Time: 1.16
epoch 1100:	pdl:4.83e-01 	 Rec:5.14e-03 	 Color:9.64e-02 	Time: 1.21
epoch 1150:	pdl:4.86e-01 	 Rec:5.08e-03 	 Color:8.14e-02 	Time: 1.09
epoch 1200:	pdl:4.66e-01 	 Rec:5.03e-03 	 Color:9.12e-02 	Time: 1.19
epoch 1250:	pdl:4.75e-01 	 Rec:4.98e-03 	 Color:9.56e-02 	Time: 1.19
epoch 1300:	pdl:4.99e-01 	 Rec:4.99e-03 	 Color:8.62e-02 	Time: 1.22
epoch 1350:	pdl:4.77e-01 	 Rec:4.97e-03 	 Color:1.01e-01 	Time: 1.21
epoch 1400:	pdl:4.97e-01 	 Rec:4.87e-03 	 Color:8.93e-02 	Time: 1.22
epoch 1450:	pdl:5.09e-01 	 Rec:5.29e-03 	 Color:9.65e-02 	Time: 1.22
epoch 1500:	pdl:4.62e-01 	 Rec:4.99e-03 	 Color:1.02e-01 	Time: 1.22
epoch 1550:	pdl:4.92e-01 	 Rec:5.06e-03 	 Color:9.82e-02 	Time: 1.21
epoch 1600:	pdl:4.58e-01 	 Rec:4.87e-03 	 Color:9.20e-02 	Time: 1.18
epoch 1650:	pdl:4.81e-01 	 Rec:5.10e-03 	 Color:1.01e-01 	Time: 1.20
epoch 1700:	pdl:5.31e-01 	 Rec:4.69e-03 	 Color:8.51e-02 	Time: 1.23
epoch 1750:	pdl:4.81e-01 	 Rec:5.12e-03 	 Color:8.59e-02 	Time: 1.18
epoch 1800:	pdl:4.69e-01 	 Rec:4.66e-03 	 Color:9.36e-02 	Time: 1.19
epoch 1850:	pdl:4.43e-01 	 Rec:4.78e-03 	 Color:9.72e-02 	Time: 1.25
epoch 1900:	pdl:5.03e-01 	 Rec:4.75e-03 	 Color:8.76e-02 	Time: 1.22
epoch 1950:	pdl:5.24e-01 	 Rec:4.79e-03 	 Color:9.08e-02 	Time: 1.19
epoch 2000:	pdl:4.84e-01 	 Rec:4.82e-03 	 Color:1.00e-01 	Time: 1.22
epoch 2050:	pdl:4.91e-01 	 Rec:5.10e-03 	 Color:8.92e-02 	Time: 1.19
epoch 2100:	pdl:5.35e-01 	 Rec:4.75e-03 	 Color:9.15e-02 	Time: 1.21
epoch 2150:	pdl:5.23e-01 	 Rec:4.71e-03 	 Color:1.03e-01 	Time: 1.19
epoch 2200:	pdl:5.50e-01 	 Rec:4.94e-03 	 Color:9.71e-02 	Time: 1.21
epoch 2250:	pdl:4.58e-01 	 Rec:4.77e-03 	 Color:9.90e-02 	Time: 1.20
epoch 2300:	pdl:4.47e-01 	 Rec:4.75e-03 	 Color:8.61e-02 	Time: 1.22
epoch 2350:	pdl:4.70e-01 	 Rec:4.72e-03 	 Color:9.23e-02 	Time: 1.19
epoch 2400:	pdl:4.59e-01 	 Rec:4.68e-03 	 Color:9.20e-02 	Time: 1.22
epoch 2450:	pdl:5.12e-01 	 Rec:4.51e-03 	 Color:8.98e-02 	Time: 1.21
