epoch 0:	pdl:1.01e+00 	 Rec:1.16e-01 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:1.99e-01 	 Rec:4.08e-03 	 Color:0.00e+00 	Time: 2.87
epoch 100:	pdl:1.76e-01 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 2.75
epoch 150:	pdl:1.77e-01 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 2.64
epoch 200:	pdl:2.13e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 2.66
epoch 250:	pdl:1.68e-01 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 2.65
epoch 300:	pdl:1.37e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 2.64
epoch 350:	pdl:1.59e-01 	 Rec:9.96e-04 	 Color:0.00e+00 	Time: 2.63
epoch 400:	pdl:1.25e-01 	 Rec:9.39e-04 	 Color:0.00e+00 	Time: 2.64
epoch 450:	pdl:1.17e-01 	 Rec:8.89e-04 	 Color:0.00e+00 	Time: 2.64
epoch 500:	pdl:1.28e-01 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 2.62
epoch 550:	pdl:1.18e-01 	 Rec:8.28e-04 	 Color:0.00e+00 	Time: 2.65
epoch 600:	pdl:1.04e-01 	 Rec:8.43e-04 	 Color:0.00e+00 	Time: 2.64
epoch 650:	pdl:1.67e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 2.63
epoch 700:	pdl:1.34e-01 	 Rec:6.68e-04 	 Color:0.00e+00 	Time: 2.64
epoch 750:	pdl:1.95e-01 	 Rec:7.74e-04 	 Color:0.00e+00 	Time: 2.65
epoch 800:	pdl:1.59e-01 	 Rec:7.56e-04 	 Color:0.00e+00 	Time: 2.63
epoch 850:	pdl:1.22e-01 	 Rec:6.39e-04 	 Color:0.00e+00 	Time: 2.64
epoch 900:	pdl:1.04e-01 	 Rec:6.28e-04 	 Color:0.00e+00 	Time: 2.66
epoch 950:	pdl:1.10e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 2.62
epoch 1000:	pdl:1.38e-01 	 Rec:6.54e-04 	 Color:0.00e+00 	Time: 2.63
epoch 1050:	pdl:1.06e-01 	 Rec:5.44e-04 	 Color:0.00e+00 	Time: 2.67
epoch 1100:	pdl:1.15e-01 	 Rec:5.52e-04 	 Color:0.00e+00 	Time: 2.65
epoch 1150:	pdl:1.12e-01 	 Rec:5.92e-04 	 Color:0.00e+00 	Time: 2.64
