epoch 0:	pdl:1.30e+00 	 Rec:7.60e-02 	 Color:1.89e-01 	Time: 0.03
epoch 50:	pdl:3.66e-01 	 Rec:8.57e-03 	 Color:1.10e-01 	Time: 2.60
epoch 100:	pdl:4.38e-01 	 Rec:5.69e-03 	 Color:1.13e-01 	Time: 2.60
epoch 150:	pdl:3.65e-01 	 Rec:5.00e-03 	 Color:8.87e-02 	Time: 2.59
epoch 200:	pdl:3.30e-01 	 Rec:4.36e-03 	 Color:9.90e-02 	Time: 2.62
epoch 250:	pdl:3.51e-01 	 Rec:5.57e-03 	 Color:9.07e-02 	Time: 2.61
epoch 300:	pdl:3.41e-01 	 Rec:5.22e-03 	 Color:1.00e-01 	Time: 2.62
epoch 350:	pdl:3.30e-01 	 Rec:5.81e-03 	 Color:9.56e-02 	Time: 2.57
epoch 400:	pdl:4.87e-01 	 Rec:6.86e-03 	 Color:1.01e-01 	Time: 2.57
epoch 450:	pdl:3.14e-01 	 Rec:4.37e-03 	 Color:9.56e-02 	Time: 2.58
epoch 500:	pdl:4.04e-01 	 Rec:6.13e-03 	 Color:1.10e-01 	Time: 2.64
epoch 550:	pdl:3.63e-01 	 Rec:7.81e-03 	 Color:1.10e-01 	Time: 2.60
epoch 600:	pdl:3.41e-01 	 Rec:4.33e-03 	 Color:8.73e-02 	Time: 2.58
epoch 650:	pdl:3.26e-01 	 Rec:4.60e-03 	 Color:9.60e-02 	Time: 2.57
epoch 700:	pdl:3.35e-01 	 Rec:5.22e-03 	 Color:9.79e-02 	Time: 2.59
epoch 750:	pdl:3.54e-01 	 Rec:5.38e-03 	 Color:9.42e-02 	Time: 2.59
epoch 800:	pdl:4.54e-01 	 Rec:5.99e-03 	 Color:1.02e-01 	Time: 2.55
epoch 850:	pdl:3.81e-01 	 Rec:4.74e-03 	 Color:1.08e-01 	Time: 2.61
epoch 900:	pdl:3.45e-01 	 Rec:5.64e-03 	 Color:1.02e-01 	Time: 2.58
epoch 950:	pdl:3.43e-01 	 Rec:6.36e-03 	 Color:9.71e-02 	Time: 2.58
epoch 1000:	pdl:3.41e-01 	 Rec:4.93e-03 	 Color:9.65e-02 	Time: 2.61
epoch 1050:	pdl:3.62e-01 	 Rec:5.18e-03 	 Color:1.00e-01 	Time: 2.60
epoch 1100:	pdl:3.29e-01 	 Rec:4.36e-03 	 Color:9.77e-02 	Time: 2.63
epoch 1150:	pdl:3.27e-01 	 Rec:5.23e-03 	 Color:1.02e-01 	Time: 2.59
epoch 1200:	pdl:4.10e-01 	 Rec:4.60e-03 	 Color:1.10e-01 	Time: 2.60
epoch 1250:	pdl:3.42e-01 	 Rec:4.99e-03 	 Color:9.44e-02 	Time: 2.61
epoch 1300:	pdl:3.40e-01 	 Rec:4.88e-03 	 Color:9.79e-02 	Time: 2.64
epoch 1350:	pdl:3.53e-01 	 Rec:4.84e-03 	 Color:1.01e-01 	Time: 2.61
epoch 1400:	pdl:3.32e-01 	 Rec:5.64e-03 	 Color:9.76e-02 	Time: 2.60
epoch 1450:	pdl:3.44e-01 	 Rec:4.22e-03 	 Color:9.09e-02 	Time: 2.38
epoch 1500:	pdl:3.63e-01 	 Rec:4.63e-03 	 Color:1.01e-01 	Time: 2.59
epoch 1550:	pdl:3.36e-01 	 Rec:4.15e-03 	 Color:9.39e-02 	Time: 2.60
epoch 1600:	pdl:3.09e-01 	 Rec:4.36e-03 	 Color:9.98e-02 	Time: 2.56
epoch 1650:	pdl:3.34e-01 	 Rec:4.46e-03 	 Color:9.79e-02 	Time: 2.58
epoch 1700:	pdl:3.84e-01 	 Rec:4.39e-03 	 Color:8.52e-02 	Time: 2.56
epoch 1750:	pdl:3.30e-01 	 Rec:4.05e-03 	 Color:9.85e-02 	Time: 2.58
epoch 1800:	pdl:3.33e-01 	 Rec:4.00e-03 	 Color:1.03e-01 	Time: 2.60
epoch 1850:	pdl:3.33e-01 	 Rec:4.13e-03 	 Color:8.76e-02 	Time: 2.58
epoch 1900:	pdl:3.23e-01 	 Rec:4.01e-03 	 Color:9.33e-02 	Time: 2.59
epoch 1950:	pdl:4.08e-01 	 Rec:4.20e-03 	 Color:9.12e-02 	Time: 2.57
epoch 2000:	pdl:3.41e-01 	 Rec:4.27e-03 	 Color:8.91e-02 	Time: 2.41
epoch 2050:	pdl:3.52e-01 	 Rec:4.18e-03 	 Color:9.09e-02 	Time: 2.61
epoch 2100:	pdl:4.12e-01 	 Rec:4.36e-03 	 Color:1.02e-01 	Time: 2.60
epoch 2150:	pdl:3.02e-01 	 Rec:4.09e-03 	 Color:9.65e-02 	Time: 2.57
epoch 2200:	pdl:3.29e-01 	 Rec:3.96e-03 	 Color:9.66e-02 	Time: 2.54
epoch 2250:	pdl:3.50e-01 	 Rec:4.13e-03 	 Color:9.17e-02 	Time: 2.60
epoch 2300:	pdl:3.21e-01 	 Rec:4.03e-03 	 Color:9.73e-02 	Time: 2.58
epoch 2350:	pdl:3.60e-01 	 Rec:4.11e-03 	 Color:9.59e-02 	Time: 2.69
epoch 2400:	pdl:3.62e-01 	 Rec:4.40e-03 	 Color:8.98e-02 	Time: 2.67
epoch 2450:	pdl:3.30e-01 	 Rec:3.96e-03 	 Color:1.04e-01 	Time: 2.69
epoch 2500:	pdl:3.23e-01 	 Rec:3.82e-03 	 Color:9.28e-02 	Time: 2.65
epoch 2550:	pdl:3.11e-01 	 Rec:3.81e-03 	 Color:9.21e-02 	Time: 2.65
epoch 2600:	pdl:3.67e-01 	 Rec:4.12e-03 	 Color:1.06e-01 	Time: 2.63
epoch 2650:	pdl:3.12e-01 	 Rec:3.88e-03 	 Color:9.97e-02 	Time: 2.57
epoch 2700:	pdl:3.19e-01 	 Rec:3.75e-03 	 Color:1.00e-01 	Time: 2.58
epoch 2750:	pdl:3.05e-01 	 Rec:4.02e-03 	 Color:9.90e-02 	Time: 2.66
epoch 2800:	pdl:3.38e-01 	 Rec:3.90e-03 	 Color:9.49e-02 	Time: 2.65
epoch 2850:	pdl:3.06e-01 	 Rec:3.74e-03 	 Color:9.64e-02 	Time: 2.56
epoch 2900:	pdl:3.56e-01 	 Rec:3.71e-03 	 Color:9.82e-02 	Time: 2.20
epoch 2950:	pdl:3.06e-01 	 Rec:3.68e-03 	 Color:9.06e-02 	Time: 2.21
epoch 3000:	pdl:3.11e-01 	 Rec:3.80e-03 	 Color:1.02e-01 	Time: 1.97
epoch 3050:	pdl:3.26e-01 	 Rec:3.88e-03 	 Color:9.40e-02 	Time: 1.99
epoch 3100:	pdl:3.68e-01 	 Rec:3.83e-03 	 Color:1.00e-01 	Time: 1.98
epoch 3150:	pdl:3.24e-01 	 Rec:3.49e-03 	 Color:1.01e-01 	Time: 2.02
epoch 3200:	pdl:3.56e-01 	 Rec:3.70e-03 	 Color:8.29e-02 	Time: 2.05
epoch 3250:	pdl:3.46e-01 	 Rec:3.66e-03 	 Color:9.41e-02 	Time: 1.98
epoch 3300:	pdl:3.52e-01 	 Rec:3.85e-03 	 Color:9.16e-02 	Time: 2.00
epoch 3350:	pdl:3.45e-01 	 Rec:3.77e-03 	 Color:9.85e-02 	Time: 1.97
epoch 3400:	pdl:3.80e-01 	 Rec:3.71e-03 	 Color:1.05e-01 	Time: 1.98
epoch 3450:	pdl:3.30e-01 	 Rec:3.90e-03 	 Color:8.73e-02 	Time: 2.16
epoch 3500:	pdl:3.18e-01 	 Rec:3.79e-03 	 Color:1.01e-01 	Time: 2.39
epoch 3550:	pdl:3.18e-01 	 Rec:3.68e-03 	 Color:9.57e-02 	Time: 2.30
epoch 3600:	pdl:3.31e-01 	 Rec:3.98e-03 	 Color:9.36e-02 	Time: 2.31
epoch 3650:	pdl:3.16e-01 	 Rec:3.97e-03 	 Color:9.05e-02 	Time: 2.31
epoch 3700:	pdl:3.39e-01 	 Rec:3.75e-03 	 Color:9.05e-02 	Time: 2.31
epoch 3750:	pdl:3.38e-01 	 Rec:4.01e-03 	 Color:8.46e-02 	Time: 2.33
epoch 3800:	pdl:3.63e-01 	 Rec:3.73e-03 	 Color:1.02e-01 	Time: 2.36
epoch 3850:	pdl:3.32e-01 	 Rec:3.59e-03 	 Color:8.94e-02 	Time: 2.30
epoch 3900:	pdl:3.16e-01 	 Rec:3.57e-03 	 Color:9.10e-02 	Time: 2.35
epoch 3950:	pdl:3.24e-01 	 Rec:3.58e-03 	 Color:9.38e-02 	Time: 2.32
