epoch 0:	pdl:8.95e-01 	 Rec:6.58e-02 	 Color:1.71e-01 	Time: 0.01
epoch 50:	pdl:3.00e-01 	 Rec:5.34e-03 	 Color:9.30e-02 	Time: 0.78
epoch 100:	pdl:3.73e-01 	 Rec:5.34e-03 	 Color:9.29e-02 	Time: 0.78
epoch 150:	pdl:3.38e-01 	 Rec:5.06e-03 	 Color:8.67e-02 	Time: 0.79
epoch 200:	pdl:2.68e-01 	 Rec:4.24e-03 	 Color:8.08e-02 	Time: 0.78
epoch 250:	pdl:2.62e-01 	 Rec:4.06e-03 	 Color:8.89e-02 	Time: 0.78
epoch 300:	pdl:2.60e-01 	 Rec:3.52e-03 	 Color:8.35e-02 	Time: 0.78
epoch 350:	pdl:3.01e-01 	 Rec:3.21e-03 	 Color:7.61e-02 	Time: 0.77
epoch 400:	pdl:2.55e-01 	 Rec:3.64e-03 	 Color:8.04e-02 	Time: 0.77
epoch 450:	pdl:2.78e-01 	 Rec:3.71e-03 	 Color:8.14e-02 	Time: 0.77
epoch 500:	pdl:2.84e-01 	 Rec:3.20e-03 	 Color:8.10e-02 	Time: 0.78
epoch 550:	pdl:3.03e-01 	 Rec:3.07e-03 	 Color:7.60e-02 	Time: 0.77
epoch 600:	pdl:3.43e-01 	 Rec:3.22e-03 	 Color:6.76e-02 	Time: 0.79
epoch 650:	pdl:2.58e-01 	 Rec:2.83e-03 	 Color:8.72e-02 	Time: 0.80
epoch 700:	pdl:3.02e-01 	 Rec:2.78e-03 	 Color:7.64e-02 	Time: 0.79
epoch 750:	pdl:2.69e-01 	 Rec:2.77e-03 	 Color:8.73e-02 	Time: 0.78
epoch 800:	pdl:2.92e-01 	 Rec:2.67e-03 	 Color:8.34e-02 	Time: 0.79
epoch 850:	pdl:2.84e-01 	 Rec:2.47e-03 	 Color:8.33e-02 	Time: 0.78
epoch 900:	pdl:2.46e-01 	 Rec:2.41e-03 	 Color:7.39e-02 	Time: 0.77
