epoch 0:	pdl:8.14e-01 	 Rec:1.56e-01 	 Color:3.48e-01 	Time: 0.01
epoch 50:	pdl:2.89e-01 	 Rec:5.77e-03 	 Color:1.62e-01 	Time: 0.54
epoch 100:	pdl:3.13e-01 	 Rec:3.57e-03 	 Color:1.56e-01 	Time: 0.48
epoch 150:	pdl:2.60e-01 	 Rec:2.56e-03 	 Color:1.37e-01 	Time: 0.47
epoch 200:	pdl:2.55e-01 	 Rec:1.95e-03 	 Color:1.04e-01 	Time: 0.48
epoch 250:	pdl:2.53e-01 	 Rec:1.83e-03 	 Color:1.07e-01 	Time: 0.44
epoch 300:	pdl:2.90e-01 	 Rec:1.51e-03 	 Color:1.31e-01 	Time: 0.41
epoch 350:	pdl:2.26e-01 	 Rec:1.14e-03 	 Color:1.02e-01 	Time: 0.43
epoch 400:	pdl:2.35e-01 	 Rec:1.05e-03 	 Color:9.71e-02 	Time: 0.45
epoch 450:	pdl:2.20e-01 	 Rec:1.00e-03 	 Color:9.88e-02 	Time: 0.46
epoch 500:	pdl:2.34e-01 	 Rec:9.21e-04 	 Color:1.15e-01 	Time: 0.49
epoch 550:	pdl:2.37e-01 	 Rec:7.86e-04 	 Color:1.08e-01 	Time: 0.48
epoch 600:	pdl:2.13e-01 	 Rec:7.12e-04 	 Color:9.65e-02 	Time: 0.43
epoch 650:	pdl:2.22e-01 	 Rec:6.63e-04 	 Color:8.85e-02 	Time: 0.49
epoch 700:	pdl:2.20e-01 	 Rec:6.31e-04 	 Color:8.46e-02 	Time: 0.49
epoch 750:	pdl:2.18e-01 	 Rec:6.15e-04 	 Color:7.83e-02 	Time: 0.44
epoch 800:	pdl:2.09e-01 	 Rec:7.24e-04 	 Color:7.31e-02 	Time: 0.47
epoch 850:	pdl:2.21e-01 	 Rec:4.77e-04 	 Color:9.06e-02 	Time: 0.47
epoch 900:	pdl:2.09e-01 	 Rec:4.46e-04 	 Color:8.01e-02 	Time: 0.49
epoch 950:	pdl:2.19e-01 	 Rec:4.28e-04 	 Color:8.55e-02 	Time: 0.48
epoch 1000:	pdl:2.06e-01 	 Rec:6.15e-04 	 Color:7.65e-02 	Time: 0.51
epoch 1050:	pdl:2.01e-01 	 Rec:4.95e-04 	 Color:7.52e-02 	Time: 0.48
