epoch 0:	pdl:6.08e-01 	 Rec:5.92e-03 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.35e-01 	 Rec:2.68e-03 	 Color:0.00e+00 	Time: 1.07
epoch 100:	pdl:5.40e-01 	 Rec:2.21e-03 	 Color:0.00e+00 	Time: 0.94
epoch 150:	pdl:5.97e-01 	 Rec:1.91e-03 	 Color:0.00e+00 	Time: 0.93
epoch 200:	pdl:5.74e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.95
epoch 250:	pdl:6.34e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.96
epoch 300:	pdl:6.00e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 0.96
epoch 350:	pdl:5.48e-01 	 Rec:1.43e-03 	 Color:0.00e+00 	Time: 0.98
epoch 400:	pdl:5.73e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.93
epoch 450:	pdl:6.09e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.94
epoch 500:	pdl:5.37e-01 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 0.93
epoch 550:	pdl:5.78e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.94
epoch 600:	pdl:5.63e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.97
epoch 650:	pdl:5.61e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 0.96
epoch 700:	pdl:5.57e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.98
epoch 750:	pdl:5.04e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.96
epoch 800:	pdl:5.60e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.96
epoch 850:	pdl:5.58e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.94
epoch 900:	pdl:5.26e-01 	 Rec:9.72e-04 	 Color:0.00e+00 	Time: 0.94
epoch 950:	pdl:5.39e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.95
epoch 1000:	pdl:5.38e-01 	 Rec:9.85e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1050:	pdl:5.67e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.98
epoch 1100:	pdl:5.21e-01 	 Rec:9.15e-04 	 Color:0.00e+00 	Time: 0.96
epoch 1150:	pdl:5.73e-01 	 Rec:9.91e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1200:	pdl:5.54e-01 	 Rec:9.79e-04 	 Color:0.00e+00 	Time: 0.97
epoch 1250:	pdl:5.58e-01 	 Rec:9.49e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1300:	pdl:5.28e-01 	 Rec:8.71e-04 	 Color:0.00e+00 	Time: 0.95
epoch 1350:	pdl:5.63e-01 	 Rec:9.42e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1400:	pdl:5.53e-01 	 Rec:8.69e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1450:	pdl:5.69e-01 	 Rec:8.41e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1500:	pdl:5.07e-01 	 Rec:8.03e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1550:	pdl:5.38e-01 	 Rec:8.22e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1600:	pdl:5.61e-01 	 Rec:8.15e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1650:	pdl:5.28e-01 	 Rec:7.33e-04 	 Color:0.00e+00 	Time: 1.00
epoch 1700:	pdl:5.47e-01 	 Rec:9.91e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1750:	pdl:5.61e-01 	 Rec:7.47e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1800:	pdl:5.33e-01 	 Rec:8.12e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1850:	pdl:5.42e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 1.02
epoch 1900:	pdl:5.27e-01 	 Rec:9.11e-04 	 Color:0.00e+00 	Time: 0.97
epoch 1950:	pdl:5.43e-01 	 Rec:7.79e-04 	 Color:0.00e+00 	Time: 0.94
epoch 2000:	pdl:5.76e-01 	 Rec:7.67e-04 	 Color:0.00e+00 	Time: 0.98
epoch 2050:	pdl:5.65e-01 	 Rec:6.99e-04 	 Color:0.00e+00 	Time: 1.01
epoch 2100:	pdl:5.60e-01 	 Rec:8.67e-04 	 Color:0.00e+00 	Time: 0.96
epoch 2150:	pdl:5.13e-01 	 Rec:7.75e-04 	 Color:0.00e+00 	Time: 0.99
epoch 2200:	pdl:5.30e-01 	 Rec:6.81e-04 	 Color:0.00e+00 	Time: 0.96
epoch 2250:	pdl:5.52e-01 	 Rec:8.69e-04 	 Color:0.00e+00 	Time: 0.96
epoch 2300:	pdl:6.12e-01 	 Rec:6.73e-04 	 Color:0.00e+00 	Time: 0.96
epoch 2350:	pdl:5.77e-01 	 Rec:7.04e-04 	 Color:0.00e+00 	Time: 0.99
epoch 2400:	pdl:5.27e-01 	 Rec:6.96e-04 	 Color:0.00e+00 	Time: 0.99
epoch 2450:	pdl:5.89e-01 	 Rec:6.19e-04 	 Color:0.00e+00 	Time: 0.97
epoch 2500:	pdl:5.17e-01 	 Rec:7.35e-04 	 Color:0.00e+00 	Time: 0.97
epoch 2550:	pdl:5.32e-01 	 Rec:6.70e-04 	 Color:0.00e+00 	Time: 1.01
epoch 2600:	pdl:5.26e-01 	 Rec:6.10e-04 	 Color:0.00e+00 	Time: 1.01
epoch 2650:	pdl:5.41e-01 	 Rec:7.12e-04 	 Color:0.00e+00 	Time: 1.00
epoch 2700:	pdl:7.13e-01 	 Rec:7.04e-04 	 Color:0.00e+00 	Time: 0.98
epoch 2750:	pdl:5.13e-01 	 Rec:6.70e-04 	 Color:0.00e+00 	Time: 0.97
epoch 2800:	pdl:5.71e-01 	 Rec:6.31e-04 	 Color:0.00e+00 	Time: 0.99
epoch 2850:	pdl:5.65e-01 	 Rec:6.03e-04 	 Color:0.00e+00 	Time: 0.96
epoch 2900:	pdl:5.03e-01 	 Rec:6.54e-04 	 Color:0.00e+00 	Time: 0.98
epoch 2950:	pdl:4.90e-01 	 Rec:6.72e-04 	 Color:0.00e+00 	Time: 0.96
epoch 3000:	pdl:5.15e-01 	 Rec:6.12e-04 	 Color:0.00e+00 	Time: 0.95
epoch 3050:	pdl:5.34e-01 	 Rec:6.21e-04 	 Color:0.00e+00 	Time: 0.98
epoch 3100:	pdl:5.29e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 0.96
epoch 3150:	pdl:5.52e-01 	 Rec:6.44e-04 	 Color:0.00e+00 	Time: 0.96
epoch 3200:	pdl:4.97e-01 	 Rec:7.00e-04 	 Color:0.00e+00 	Time: 0.97
epoch 3250:	pdl:5.27e-01 	 Rec:6.77e-04 	 Color:0.00e+00 	Time: 0.95
epoch 3300:	pdl:5.34e-01 	 Rec:5.92e-04 	 Color:0.00e+00 	Time: 0.98
epoch 3350:	pdl:5.52e-01 	 Rec:7.13e-04 	 Color:0.00e+00 	Time: 0.97
epoch 3400:	pdl:5.43e-01 	 Rec:5.39e-04 	 Color:0.00e+00 	Time: 0.95
epoch 3450:	pdl:5.55e-01 	 Rec:6.91e-04 	 Color:0.00e+00 	Time: 0.96
epoch 3500:	pdl:5.18e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 0.95
epoch 3550:	pdl:6.06e-01 	 Rec:7.08e-04 	 Color:0.00e+00 	Time: 0.97
epoch 3600:	pdl:5.49e-01 	 Rec:6.53e-04 	 Color:0.00e+00 	Time: 0.98
epoch 3650:	pdl:5.34e-01 	 Rec:6.41e-04 	 Color:0.00e+00 	Time: 0.94
epoch 3700:	pdl:5.30e-01 	 Rec:6.58e-04 	 Color:0.00e+00 	Time: 0.96
epoch 3750:	pdl:5.20e-01 	 Rec:6.06e-04 	 Color:0.00e+00 	Time: 0.93
epoch 3800:	pdl:5.34e-01 	 Rec:6.12e-04 	 Color:0.00e+00 	Time: 0.94
epoch 3850:	pdl:5.30e-01 	 Rec:6.83e-04 	 Color:0.00e+00 	Time: 0.93
epoch 3900:	pdl:5.55e-01 	 Rec:5.52e-04 	 Color:0.00e+00 	Time: 0.94
epoch 3950:	pdl:5.33e-01 	 Rec:6.38e-04 	 Color:0.00e+00 	Time: 0.93
epoch 4000:	pdl:5.47e-01 	 Rec:5.90e-04 	 Color:0.00e+00 	Time: 0.96
epoch 4050:	pdl:5.37e-01 	 Rec:5.76e-04 	 Color:0.00e+00 	Time: 0.99
epoch 4100:	pdl:5.21e-01 	 Rec:5.67e-04 	 Color:0.00e+00 	Time: 0.94
epoch 4150:	pdl:5.49e-01 	 Rec:7.09e-04 	 Color:0.00e+00 	Time: 0.94
epoch 4200:	pdl:5.28e-01 	 Rec:6.05e-04 	 Color:0.00e+00 	Time: 0.94
epoch 4250:	pdl:5.15e-01 	 Rec:5.89e-04 	 Color:0.00e+00 	Time: 0.96
epoch 4300:	pdl:5.06e-01 	 Rec:5.18e-04 	 Color:0.00e+00 	Time: 0.93
epoch 4350:	pdl:5.24e-01 	 Rec:5.58e-04 	 Color:0.00e+00 	Time: 0.94
epoch 4400:	pdl:5.48e-01 	 Rec:5.71e-04 	 Color:0.00e+00 	Time: 0.93
epoch 4450:	pdl:5.42e-01 	 Rec:6.53e-04 	 Color:0.00e+00 	Time: 0.93
epoch 4500:	pdl:5.61e-01 	 Rec:5.56e-04 	 Color:0.00e+00 	Time: 0.94
epoch 4550:	pdl:5.39e-01 	 Rec:6.17e-04 	 Color:0.00e+00 	Time: 0.97
epoch 4600:	pdl:5.51e-01 	 Rec:6.14e-04 	 Color:0.00e+00 	Time: 0.97
epoch 4650:	pdl:5.49e-01 	 Rec:5.44e-04 	 Color:0.00e+00 	Time: 0.94
epoch 4700:	pdl:5.36e-01 	 Rec:5.84e-04 	 Color:0.00e+00 	Time: 0.96
epoch 4750:	pdl:5.48e-01 	 Rec:5.97e-04 	 Color:0.00e+00 	Time: 0.95
epoch 4800:	pdl:5.22e-01 	 Rec:5.05e-04 	 Color:0.00e+00 	Time: 0.94
epoch 4850:	pdl:5.34e-01 	 Rec:5.77e-04 	 Color:0.00e+00 	Time: 0.95
epoch 4900:	pdl:5.38e-01 	 Rec:5.62e-04 	 Color:0.00e+00 	Time: 0.95
epoch 4950:	pdl:5.17e-01 	 Rec:5.53e-04 	 Color:0.00e+00 	Time: 0.95
epoch 5000:	pdl:5.49e-01 	 Rec:6.05e-04 	 Color:0.00e+00 	Time: 0.95
epoch 5050:	pdl:5.30e-01 	 Rec:5.70e-04 	 Color:0.00e+00 	Time: 1.00
epoch 5100:	pdl:5.30e-01 	 Rec:5.53e-04 	 Color:0.00e+00 	Time: 0.95
epoch 5150:	pdl:5.30e-01 	 Rec:5.36e-04 	 Color:0.00e+00 	Time: 0.99
epoch 5200:	pdl:5.56e-01 	 Rec:5.97e-04 	 Color:0.00e+00 	Time: 0.95
epoch 5250:	pdl:5.08e-01 	 Rec:5.15e-04 	 Color:0.00e+00 	Time: 0.95
