epoch 0:	pdl:1.53e+00 	 Rec:9.17e-02 	 Color:7.84e-02 	Time: 0.02
epoch 50:	pdl:6.19e-01 	 Rec:5.77e-03 	 Color:4.84e-02 	Time: 0.96
epoch 100:	pdl:7.21e-01 	 Rec:3.77e-03 	 Color:5.59e-02 	Time: 0.83
epoch 150:	pdl:5.85e-01 	 Rec:3.03e-03 	 Color:4.69e-02 	Time: 0.80
epoch 200:	pdl:5.65e-01 	 Rec:2.71e-03 	 Color:4.39e-02 	Time: 0.83
epoch 250:	pdl:5.56e-01 	 Rec:2.38e-03 	 Color:4.62e-02 	Time: 0.88
epoch 300:	pdl:6.27e-01 	 Rec:2.43e-03 	 Color:4.16e-02 	Time: 0.85
epoch 350:	pdl:6.68e-01 	 Rec:2.38e-03 	 Color:4.28e-02 	Time: 0.82
epoch 400:	pdl:5.40e-01 	 Rec:2.13e-03 	 Color:4.72e-02 	Time: 0.85
epoch 450:	pdl:6.32e-01 	 Rec:1.79e-03 	 Color:4.53e-02 	Time: 0.88
epoch 500:	pdl:5.30e-01 	 Rec:1.86e-03 	 Color:4.67e-02 	Time: 0.87
epoch 550:	pdl:5.67e-01 	 Rec:1.72e-03 	 Color:4.74e-02 	Time: 0.83
epoch 600:	pdl:5.47e-01 	 Rec:1.70e-03 	 Color:4.34e-02 	Time: 0.83
epoch 650:	pdl:6.00e-01 	 Rec:1.57e-03 	 Color:4.56e-02 	Time: 0.83
epoch 700:	pdl:6.61e-01 	 Rec:1.52e-03 	 Color:4.77e-02 	Time: 0.82
epoch 750:	pdl:5.96e-01 	 Rec:1.66e-03 	 Color:4.93e-02 	Time: 0.89
epoch 800:	pdl:5.42e-01 	 Rec:1.52e-03 	 Color:4.83e-02 	Time: 0.85
epoch 850:	pdl:5.56e-01 	 Rec:1.38e-03 	 Color:5.73e-02 	Time: 0.82
epoch 900:	pdl:5.72e-01 	 Rec:1.43e-03 	 Color:5.15e-02 	Time: 0.84
epoch 950:	pdl:5.34e-01 	 Rec:1.39e-03 	 Color:3.93e-02 	Time: 0.84
epoch 1000:	pdl:5.97e-01 	 Rec:1.43e-03 	 Color:4.89e-02 	Time: 0.84
epoch 1050:	pdl:6.03e-01 	 Rec:1.19e-03 	 Color:5.10e-02 	Time: 0.88
epoch 1100:	pdl:6.04e-01 	 Rec:1.39e-03 	 Color:4.96e-02 	Time: 0.90
epoch 1150:	pdl:5.66e-01 	 Rec:1.30e-03 	 Color:4.29e-02 	Time: 0.81
