epoch 0:	pdl:2.55e-01 	 Rec:9.95e-03 	 Color:7.74e-02 	Time: 0.01
epoch 50:	pdl:2.20e-01 	 Rec:2.49e-03 	 Color:7.12e-02 	Time: 0.70
epoch 100:	pdl:2.22e-01 	 Rec:1.59e-03 	 Color:8.08e-02 	Time: 0.66
epoch 150:	pdl:1.91e-01 	 Rec:1.25e-03 	 Color:6.34e-02 	Time: 0.63
epoch 200:	pdl:1.98e-01 	 Rec:1.01e-03 	 Color:7.17e-02 	Time: 0.60
epoch 250:	pdl:2.01e-01 	 Rec:8.90e-04 	 Color:6.59e-02 	Time: 0.60
epoch 300:	pdl:2.31e-01 	 Rec:8.40e-04 	 Color:7.24e-02 	Time: 0.60
epoch 350:	pdl:1.95e-01 	 Rec:8.03e-04 	 Color:5.91e-02 	Time: 0.65
epoch 400:	pdl:2.05e-01 	 Rec:7.65e-04 	 Color:6.88e-02 	Time: 0.60
epoch 450:	pdl:1.98e-01 	 Rec:6.30e-04 	 Color:6.17e-02 	Time: 0.65
epoch 500:	pdl:1.95e-01 	 Rec:6.62e-04 	 Color:6.71e-02 	Time: 0.63
epoch 550:	pdl:1.91e-01 	 Rec:5.64e-04 	 Color:6.35e-02 	Time: 0.66
epoch 600:	pdl:1.89e-01 	 Rec:4.74e-04 	 Color:6.49e-02 	Time: 0.65
epoch 650:	pdl:2.04e-01 	 Rec:5.29e-04 	 Color:7.02e-02 	Time: 0.60
epoch 700:	pdl:1.96e-01 	 Rec:5.05e-04 	 Color:5.54e-02 	Time: 0.60
epoch 750:	pdl:1.99e-01 	 Rec:5.35e-04 	 Color:7.13e-02 	Time: 0.63
epoch 800:	pdl:1.90e-01 	 Rec:3.99e-04 	 Color:5.92e-02 	Time: 0.63
epoch 850:	pdl:1.92e-01 	 Rec:4.12e-04 	 Color:6.56e-02 	Time: 0.62
epoch 900:	pdl:2.00e-01 	 Rec:4.81e-04 	 Color:6.94e-02 	Time: 0.65
epoch 950:	pdl:2.00e-01 	 Rec:4.03e-04 	 Color:6.36e-02 	Time: 0.65
epoch 1000:	pdl:1.89e-01 	 Rec:4.25e-04 	 Color:6.41e-02 	Time: 0.60
epoch 1050:	pdl:2.07e-01 	 Rec:4.51e-04 	 Color:6.91e-02 	Time: 0.65
epoch 1100:	pdl:1.85e-01 	 Rec:3.76e-04 	 Color:6.53e-02 	Time: 0.61
epoch 1150:	pdl:2.09e-01 	 Rec:4.38e-04 	 Color:7.15e-02 	Time: 0.62
epoch 1200:	pdl:2.12e-01 	 Rec:3.60e-04 	 Color:7.77e-02 	Time: 0.65
epoch 1250:	pdl:2.05e-01 	 Rec:3.55e-04 	 Color:6.05e-02 	Time: 0.62
epoch 1300:	pdl:1.81e-01 	 Rec:3.59e-04 	 Color:5.82e-02 	Time: 0.59
epoch 1350:	pdl:1.93e-01 	 Rec:3.48e-04 	 Color:6.25e-02 	Time: 0.59
epoch 1400:	pdl:1.95e-01 	 Rec:3.73e-04 	 Color:5.33e-02 	Time: 0.61
epoch 1450:	pdl:2.05e-01 	 Rec:3.57e-04 	 Color:6.98e-02 	Time: 0.61
epoch 1500:	pdl:1.83e-01 	 Rec:4.31e-04 	 Color:5.90e-02 	Time: 0.61
epoch 1550:	pdl:1.92e-01 	 Rec:3.22e-04 	 Color:5.65e-02 	Time: 0.61
epoch 1600:	pdl:1.95e-01 	 Rec:3.69e-04 	 Color:6.44e-02 	Time: 0.63
epoch 1650:	pdl:1.99e-01 	 Rec:3.89e-04 	 Color:5.72e-02 	Time: 0.58
epoch 1700:	pdl:1.87e-01 	 Rec:2.73e-04 	 Color:6.17e-02 	Time: 0.61
epoch 1750:	pdl:2.00e-01 	 Rec:3.08e-04 	 Color:6.08e-02 	Time: 0.59
epoch 1800:	pdl:2.03e-01 	 Rec:3.26e-04 	 Color:6.27e-02 	Time: 0.58
epoch 1850:	pdl:1.97e-01 	 Rec:3.17e-04 	 Color:6.56e-02 	Time: 0.64
epoch 1900:	pdl:1.79e-01 	 Rec:3.29e-04 	 Color:5.53e-02 	Time: 0.61
epoch 1950:	pdl:2.03e-01 	 Rec:2.84e-04 	 Color:7.03e-02 	Time: 0.58
epoch 2000:	pdl:1.75e-01 	 Rec:3.41e-04 	 Color:5.08e-02 	Time: 0.61
epoch 2050:	pdl:2.07e-01 	 Rec:3.08e-04 	 Color:7.76e-02 	Time: 0.64
epoch 2100:	pdl:1.77e-01 	 Rec:3.27e-04 	 Color:5.99e-02 	Time: 0.63
epoch 2150:	pdl:2.02e-01 	 Rec:3.08e-04 	 Color:7.40e-02 	Time: 0.59
epoch 2200:	pdl:1.88e-01 	 Rec:2.70e-04 	 Color:5.92e-02 	Time: 0.58
epoch 2250:	pdl:1.87e-01 	 Rec:2.73e-04 	 Color:5.73e-02 	Time: 0.60
epoch 2300:	pdl:2.06e-01 	 Rec:3.53e-04 	 Color:6.27e-02 	Time: 0.58
epoch 2350:	pdl:1.91e-01 	 Rec:2.56e-04 	 Color:6.63e-02 	Time: 0.63
epoch 2400:	pdl:1.91e-01 	 Rec:2.64e-04 	 Color:6.30e-02 	Time: 0.60
epoch 2450:	pdl:2.05e-01 	 Rec:3.10e-04 	 Color:7.41e-02 	Time: 0.58
epoch 2500:	pdl:2.00e-01 	 Rec:3.14e-04 	 Color:7.23e-02 	Time: 0.60
epoch 2550:	pdl:1.94e-01 	 Rec:2.89e-04 	 Color:6.08e-02 	Time: 0.60
epoch 2600:	pdl:2.05e-01 	 Rec:2.83e-04 	 Color:6.48e-02 	Time: 0.60
epoch 2650:	pdl:2.17e-01 	 Rec:3.49e-04 	 Color:6.70e-02 	Time: 0.60
epoch 2700:	pdl:1.76e-01 	 Rec:2.18e-04 	 Color:5.84e-02 	Time: 0.63
epoch 2750:	pdl:1.73e-01 	 Rec:2.44e-04 	 Color:5.71e-02 	Time: 0.59
epoch 2800:	pdl:1.92e-01 	 Rec:2.77e-04 	 Color:6.15e-02 	Time: 0.59
epoch 2850:	pdl:1.86e-01 	 Rec:2.47e-04 	 Color:6.06e-02 	Time: 0.57
epoch 2900:	pdl:1.81e-01 	 Rec:2.68e-04 	 Color:5.56e-02 	Time: 0.57
