epoch 0:	pdl:1.73e+00 	 Rec:1.06e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.34e-01 	 Rec:9.84e-03 	 Color:0.00e+00 	Time: 0.54
epoch 100:	pdl:4.71e-01 	 Rec:6.91e-03 	 Color:0.00e+00 	Time: 0.48
epoch 150:	pdl:4.68e-01 	 Rec:6.24e-03 	 Color:0.00e+00 	Time: 0.48
epoch 200:	pdl:4.69e-01 	 Rec:5.11e-03 	 Color:0.00e+00 	Time: 0.48
epoch 250:	pdl:4.80e-01 	 Rec:4.86e-03 	 Color:0.00e+00 	Time: 0.48
epoch 300:	pdl:4.45e-01 	 Rec:4.41e-03 	 Color:0.00e+00 	Time: 0.46
epoch 350:	pdl:4.58e-01 	 Rec:3.84e-03 	 Color:0.00e+00 	Time: 0.46
epoch 400:	pdl:4.48e-01 	 Rec:4.02e-03 	 Color:0.00e+00 	Time: 0.46
epoch 450:	pdl:4.42e-01 	 Rec:3.78e-03 	 Color:0.00e+00 	Time: 0.46
epoch 500:	pdl:4.38e-01 	 Rec:3.67e-03 	 Color:0.00e+00 	Time: 0.45
epoch 550:	pdl:4.91e-01 	 Rec:3.66e-03 	 Color:0.00e+00 	Time: 0.47
epoch 600:	pdl:4.79e-01 	 Rec:3.31e-03 	 Color:0.00e+00 	Time: 0.47
epoch 650:	pdl:5.53e-01 	 Rec:3.10e-03 	 Color:0.00e+00 	Time: 0.44
epoch 700:	pdl:4.09e-01 	 Rec:3.03e-03 	 Color:0.00e+00 	Time: 0.43
epoch 750:	pdl:4.08e-01 	 Rec:2.96e-03 	 Color:0.00e+00 	Time: 0.42
epoch 800:	pdl:5.54e-01 	 Rec:3.17e-03 	 Color:0.00e+00 	Time: 0.42
epoch 850:	pdl:4.91e-01 	 Rec:2.80e-03 	 Color:0.00e+00 	Time: 0.48
epoch 900:	pdl:4.24e-01 	 Rec:2.81e-03 	 Color:0.00e+00 	Time: 0.45
epoch 950:	pdl:4.64e-01 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1000:	pdl:4.84e-01 	 Rec:2.91e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1050:	pdl:4.18e-01 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1100:	pdl:4.79e-01 	 Rec:2.37e-03 	 Color:0.00e+00 	Time: 0.48
epoch 1150:	pdl:4.37e-01 	 Rec:2.36e-03 	 Color:0.00e+00 	Time: 0.48
epoch 1200:	pdl:4.57e-01 	 Rec:2.31e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1250:	pdl:3.95e-01 	 Rec:2.26e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1300:	pdl:4.39e-01 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1350:	pdl:4.57e-01 	 Rec:2.17e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1400:	pdl:4.37e-01 	 Rec:2.05e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1450:	pdl:4.00e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1500:	pdl:4.59e-01 	 Rec:2.08e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1550:	pdl:5.08e-01 	 Rec:2.04e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1600:	pdl:4.55e-01 	 Rec:2.01e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1650:	pdl:5.14e-01 	 Rec:2.03e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1700:	pdl:4.26e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1750:	pdl:4.56e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.48
epoch 1800:	pdl:4.28e-01 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1850:	pdl:4.29e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1900:	pdl:4.31e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 0.43
epoch 1950:	pdl:4.14e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2000:	pdl:4.61e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2050:	pdl:4.09e-01 	 Rec:1.58e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2100:	pdl:4.53e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.43
epoch 2150:	pdl:4.06e-01 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2200:	pdl:4.12e-01 	 Rec:1.58e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2250:	pdl:4.46e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2300:	pdl:3.95e-01 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 0.43
epoch 2350:	pdl:4.40e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2400:	pdl:5.41e-01 	 Rec:1.74e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2450:	pdl:4.25e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2500:	pdl:4.31e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2550:	pdl:4.54e-01 	 Rec:1.43e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2600:	pdl:4.13e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2650:	pdl:3.76e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2700:	pdl:4.16e-01 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2750:	pdl:4.71e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2800:	pdl:3.88e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.42
epoch 2850:	pdl:4.01e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2900:	pdl:4.41e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2950:	pdl:4.09e-01 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3000:	pdl:4.11e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3050:	pdl:4.52e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 0.49
epoch 3100:	pdl:4.64e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 0.49
epoch 3150:	pdl:3.93e-01 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.47
epoch 3200:	pdl:4.53e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3250:	pdl:4.23e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3300:	pdl:4.17e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.46
epoch 3350:	pdl:4.41e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.43
epoch 3400:	pdl:4.35e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.47
epoch 3450:	pdl:4.42e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.43
epoch 3500:	pdl:4.40e-01 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 0.43
epoch 3550:	pdl:4.83e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3600:	pdl:4.13e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.43
epoch 3650:	pdl:4.24e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3700:	pdl:4.19e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3750:	pdl:4.50e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3800:	pdl:4.03e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3850:	pdl:4.28e-01 	 Rec:9.88e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3900:	pdl:4.04e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.43
epoch 3950:	pdl:4.14e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.44
epoch 4000:	pdl:3.91e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.44
epoch 4050:	pdl:3.82e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.41
epoch 4100:	pdl:4.55e-01 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 0.46
