epoch 0:	pdl:2.01e+00 	 Rec:8.83e-02 	 Color:0.00e+00 	Time: 0.04
epoch 50:	pdl:5.27e-01 	 Rec:1.63e-02 	 Color:0.00e+00 	Time: 1.04
epoch 100:	pdl:5.13e-01 	 Rec:1.20e-02 	 Color:0.00e+00 	Time: 1.02
epoch 150:	pdl:4.24e-01 	 Rec:1.00e-02 	 Color:0.00e+00 	Time: 1.04
epoch 200:	pdl:3.89e-01 	 Rec:8.33e-03 	 Color:0.00e+00 	Time: 1.02
epoch 250:	pdl:4.70e-01 	 Rec:7.40e-03 	 Color:0.00e+00 	Time: 1.05
epoch 300:	pdl:4.76e-01 	 Rec:6.55e-03 	 Color:0.00e+00 	Time: 1.06
epoch 350:	pdl:4.61e-01 	 Rec:5.76e-03 	 Color:0.00e+00 	Time: 1.04
epoch 400:	pdl:4.27e-01 	 Rec:5.26e-03 	 Color:0.00e+00 	Time: 1.11
epoch 450:	pdl:3.71e-01 	 Rec:4.76e-03 	 Color:0.00e+00 	Time: 1.07
epoch 500:	pdl:4.53e-01 	 Rec:4.47e-03 	 Color:0.00e+00 	Time: 1.05
epoch 550:	pdl:4.63e-01 	 Rec:4.11e-03 	 Color:0.00e+00 	Time: 1.05
epoch 600:	pdl:4.37e-01 	 Rec:3.84e-03 	 Color:0.00e+00 	Time: 1.06
epoch 650:	pdl:4.95e-01 	 Rec:3.53e-03 	 Color:0.00e+00 	Time: 1.06
epoch 700:	pdl:4.26e-01 	 Rec:3.32e-03 	 Color:0.00e+00 	Time: 1.03
epoch 750:	pdl:4.23e-01 	 Rec:3.21e-03 	 Color:0.00e+00 	Time: 1.02
epoch 800:	pdl:4.32e-01 	 Rec:3.23e-03 	 Color:0.00e+00 	Time: 1.04
epoch 850:	pdl:4.35e-01 	 Rec:2.87e-03 	 Color:0.00e+00 	Time: 1.03
epoch 900:	pdl:4.98e-01 	 Rec:2.88e-03 	 Color:0.00e+00 	Time: 1.01
epoch 950:	pdl:3.95e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1000:	pdl:4.08e-01 	 Rec:2.46e-03 	 Color:0.00e+00 	Time: 1.02
epoch 1050:	pdl:4.60e-01 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 1.06
epoch 1100:	pdl:4.48e-01 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1150:	pdl:4.41e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1200:	pdl:3.69e-01 	 Rec:2.18e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1250:	pdl:4.57e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 1.06
epoch 1300:	pdl:4.25e-01 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 1.02
epoch 1350:	pdl:3.86e-01 	 Rec:1.93e-03 	 Color:0.00e+00 	Time: 1.07
epoch 1400:	pdl:3.82e-01 	 Rec:1.78e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1450:	pdl:4.49e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1500:	pdl:4.31e-01 	 Rec:1.94e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1550:	pdl:3.86e-01 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1600:	pdl:4.12e-01 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1650:	pdl:4.15e-01 	 Rec:1.47e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1700:	pdl:3.96e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1750:	pdl:4.14e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 1.06
epoch 1800:	pdl:4.12e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 1.10
epoch 1850:	pdl:3.90e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1900:	pdl:4.04e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1950:	pdl:4.09e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 1.03
epoch 2000:	pdl:4.29e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.08
epoch 2050:	pdl:4.22e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.04
epoch 2100:	pdl:4.16e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.08
epoch 2150:	pdl:3.94e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 1.03
epoch 2200:	pdl:4.20e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.01
epoch 2250:	pdl:3.79e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 1.01
epoch 2300:	pdl:3.95e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 1.03
epoch 2350:	pdl:4.49e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 1.02
epoch 2400:	pdl:4.20e-01 	 Rec:9.72e-04 	 Color:0.00e+00 	Time: 1.01
epoch 2450:	pdl:4.35e-01 	 Rec:9.84e-04 	 Color:0.00e+00 	Time: 1.03
epoch 2500:	pdl:3.99e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 1.00
epoch 2550:	pdl:3.46e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 1.06
