epoch 0:	pdl:6.84e-01 	 Rec:1.23e-01 	 Color:1.41e-01 	Time: 0.01
epoch 50:	pdl:3.24e-01 	 Rec:1.62e-02 	 Color:8.53e-02 	Time: 0.42
epoch 100:	pdl:3.01e-01 	 Rec:5.31e-03 	 Color:8.21e-02 	Time: 0.42
epoch 150:	pdl:2.55e-01 	 Rec:2.73e-03 	 Color:7.94e-02 	Time: 0.41
epoch 200:	pdl:2.48e-01 	 Rec:1.72e-03 	 Color:8.61e-02 	Time: 0.44
epoch 250:	pdl:2.63e-01 	 Rec:1.20e-03 	 Color:7.55e-02 	Time: 0.42
epoch 300:	pdl:2.53e-01 	 Rec:1.09e-03 	 Color:8.17e-02 	Time: 0.42
epoch 350:	pdl:2.56e-01 	 Rec:6.92e-04 	 Color:7.68e-02 	Time: 0.42
epoch 400:	pdl:2.87e-01 	 Rec:7.16e-04 	 Color:7.52e-02 	Time: 0.46
epoch 450:	pdl:2.55e-01 	 Rec:5.04e-04 	 Color:7.69e-02 	Time: 0.40
epoch 500:	pdl:2.30e-01 	 Rec:6.95e-04 	 Color:6.32e-02 	Time: 0.44
epoch 550:	pdl:2.59e-01 	 Rec:6.61e-04 	 Color:7.10e-02 	Time: 0.45
epoch 600:	pdl:2.39e-01 	 Rec:7.33e-04 	 Color:7.78e-02 	Time: 0.43
epoch 650:	pdl:2.28e-01 	 Rec:3.85e-04 	 Color:7.87e-02 	Time: 0.42
epoch 700:	pdl:2.50e-01 	 Rec:3.34e-04 	 Color:7.95e-02 	Time: 0.41
epoch 750:	pdl:2.53e-01 	 Rec:5.01e-04 	 Color:6.91e-02 	Time: 0.41
epoch 800:	pdl:2.30e-01 	 Rec:4.30e-04 	 Color:6.83e-02 	Time: 0.44
epoch 850:	pdl:2.16e-01 	 Rec:3.31e-04 	 Color:6.83e-02 	Time: 0.42
epoch 900:	pdl:2.29e-01 	 Rec:2.85e-04 	 Color:7.35e-02 	Time: 0.40
epoch 950:	pdl:2.23e-01 	 Rec:2.98e-04 	 Color:7.74e-02 	Time: 0.40
epoch 1000:	pdl:2.30e-01 	 Rec:3.72e-04 	 Color:6.41e-02 	Time: 0.41
epoch 1050:	pdl:2.45e-01 	 Rec:4.62e-04 	 Color:7.10e-02 	Time: 0.45
epoch 1100:	pdl:2.47e-01 	 Rec:3.51e-04 	 Color:7.07e-02 	Time: 0.43
epoch 1150:	pdl:2.18e-01 	 Rec:2.66e-04 	 Color:6.53e-02 	Time: 0.41
epoch 1200:	pdl:2.23e-01 	 Rec:5.68e-04 	 Color:7.26e-02 	Time: 0.41
epoch 1250:	pdl:2.12e-01 	 Rec:2.43e-04 	 Color:6.42e-02 	Time: 0.42
epoch 1300:	pdl:2.17e-01 	 Rec:3.59e-04 	 Color:6.70e-02 	Time: 0.43
epoch 1350:	pdl:2.29e-01 	 Rec:2.13e-04 	 Color:7.04e-02 	Time: 0.45
epoch 1400:	pdl:2.29e-01 	 Rec:3.15e-04 	 Color:6.71e-02 	Time: 0.39
epoch 1450:	pdl:2.25e-01 	 Rec:2.02e-04 	 Color:6.47e-02 	Time: 0.41
epoch 1500:	pdl:2.28e-01 	 Rec:1.71e-04 	 Color:6.64e-02 	Time: 0.45
epoch 1550:	pdl:2.18e-01 	 Rec:4.15e-04 	 Color:6.03e-02 	Time: 0.39
epoch 1600:	pdl:2.30e-01 	 Rec:1.66e-04 	 Color:6.66e-02 	Time: 0.44
epoch 1650:	pdl:2.11e-01 	 Rec:2.31e-04 	 Color:6.95e-02 	Time: 0.41
epoch 1700:	pdl:2.33e-01 	 Rec:2.55e-04 	 Color:6.61e-02 	Time: 0.41
epoch 1750:	pdl:2.28e-01 	 Rec:3.42e-04 	 Color:7.22e-02 	Time: 0.42
epoch 1800:	pdl:2.38e-01 	 Rec:2.42e-04 	 Color:7.28e-02 	Time: 0.43
epoch 1850:	pdl:2.15e-01 	 Rec:1.73e-04 	 Color:6.37e-02 	Time: 0.40
epoch 1900:	pdl:2.09e-01 	 Rec:1.99e-04 	 Color:6.08e-02 	Time: 0.37
epoch 1950:	pdl:2.25e-01 	 Rec:2.18e-04 	 Color:7.14e-02 	Time: 0.41
epoch 2000:	pdl:2.13e-01 	 Rec:4.43e-04 	 Color:6.65e-02 	Time: 0.40
