epoch 0:	pdl:4.25e-01 	 Rec:4.04e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:3.82e-01 	 Rec:2.67e-03 	 Color:0.00e+00 	Time: 1.33
epoch 100:	pdl:4.02e-01 	 Rec:2.32e-03 	 Color:0.00e+00 	Time: 1.26
epoch 150:	pdl:3.69e-01 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 1.27
epoch 200:	pdl:3.99e-01 	 Rec:1.98e-03 	 Color:0.00e+00 	Time: 1.28
epoch 250:	pdl:3.69e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 1.29
epoch 300:	pdl:4.15e-01 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 1.26
epoch 350:	pdl:3.67e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 1.26
epoch 400:	pdl:4.30e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 1.26
epoch 450:	pdl:4.01e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 1.26
epoch 500:	pdl:3.99e-01 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 1.29
epoch 550:	pdl:4.23e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 1.26
epoch 600:	pdl:3.71e-01 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 1.29
epoch 650:	pdl:4.27e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 1.26
epoch 700:	pdl:4.14e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 1.31
epoch 750:	pdl:3.95e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 1.28
epoch 800:	pdl:4.14e-01 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 1.27
epoch 850:	pdl:3.88e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.28
epoch 900:	pdl:3.74e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 1.28
epoch 950:	pdl:3.69e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1000:	pdl:4.41e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.29
epoch 1050:	pdl:3.77e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1100:	pdl:4.03e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.28
epoch 1150:	pdl:3.80e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.28
epoch 1200:	pdl:4.35e-01 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 1.29
epoch 1250:	pdl:3.91e-01 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 1.28
epoch 1300:	pdl:3.80e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 1.26
epoch 1350:	pdl:3.96e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 1.30
epoch 1400:	pdl:3.56e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 1.29
epoch 1450:	pdl:3.57e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 1.27
epoch 1500:	pdl:3.74e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 1.28
epoch 1550:	pdl:3.97e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 1.29
epoch 1600:	pdl:3.95e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 1.28
