epoch 0:	pdl:3.12e-01 	 Rec:3.60e-03 	 Color:4.92e-02 	Time: 0.02
epoch 50:	pdl:3.08e-01 	 Rec:2.08e-03 	 Color:4.91e-02 	Time: 1.39
epoch 100:	pdl:3.03e-01 	 Rec:1.78e-03 	 Color:4.95e-02 	Time: 1.29
epoch 150:	pdl:3.16e-01 	 Rec:1.72e-03 	 Color:4.96e-02 	Time: 1.29
epoch 200:	pdl:2.85e-01 	 Rec:1.51e-03 	 Color:4.82e-02 	Time: 1.31
epoch 250:	pdl:2.98e-01 	 Rec:1.36e-03 	 Color:4.92e-02 	Time: 1.28
epoch 300:	pdl:2.86e-01 	 Rec:1.28e-03 	 Color:4.83e-02 	Time: 1.29
epoch 350:	pdl:2.97e-01 	 Rec:1.25e-03 	 Color:4.89e-02 	Time: 1.29
epoch 400:	pdl:3.03e-01 	 Rec:1.20e-03 	 Color:4.74e-02 	Time: 1.28
epoch 450:	pdl:2.75e-01 	 Rec:1.11e-03 	 Color:4.97e-02 	Time: 1.28
epoch 500:	pdl:3.18e-01 	 Rec:1.08e-03 	 Color:4.85e-02 	Time: 1.29
epoch 550:	pdl:3.06e-01 	 Rec:1.03e-03 	 Color:5.08e-02 	Time: 1.28
epoch 600:	pdl:2.80e-01 	 Rec:9.91e-04 	 Color:4.73e-02 	Time: 1.29
epoch 650:	pdl:3.02e-01 	 Rec:9.86e-04 	 Color:5.22e-02 	Time: 1.33
epoch 700:	pdl:2.94e-01 	 Rec:9.59e-04 	 Color:4.98e-02 	Time: 1.28
epoch 750:	pdl:2.91e-01 	 Rec:9.54e-04 	 Color:4.84e-02 	Time: 1.29
epoch 800:	pdl:3.61e-01 	 Rec:9.87e-04 	 Color:5.26e-02 	Time: 1.30
epoch 850:	pdl:3.05e-01 	 Rec:8.74e-04 	 Color:4.93e-02 	Time: 1.29
epoch 900:	pdl:3.66e-01 	 Rec:9.05e-04 	 Color:5.04e-02 	Time: 1.28
epoch 950:	pdl:2.83e-01 	 Rec:8.69e-04 	 Color:4.96e-02 	Time: 1.28
epoch 1000:	pdl:3.08e-01 	 Rec:9.06e-04 	 Color:5.04e-02 	Time: 1.30
epoch 1050:	pdl:2.93e-01 	 Rec:8.65e-04 	 Color:4.83e-02 	Time: 1.34
epoch 1100:	pdl:2.75e-01 	 Rec:8.05e-04 	 Color:4.70e-02 	Time: 1.28
epoch 1150:	pdl:3.01e-01 	 Rec:8.16e-04 	 Color:4.81e-02 	Time: 1.30
epoch 1200:	pdl:3.19e-01 	 Rec:8.92e-04 	 Color:4.87e-02 	Time: 1.28
epoch 1250:	pdl:3.14e-01 	 Rec:7.88e-04 	 Color:5.02e-02 	Time: 1.28
epoch 1300:	pdl:2.94e-01 	 Rec:7.50e-04 	 Color:4.88e-02 	Time: 1.28
epoch 1350:	pdl:3.18e-01 	 Rec:7.36e-04 	 Color:4.89e-02 	Time: 1.29
epoch 1400:	pdl:2.88e-01 	 Rec:7.30e-04 	 Color:4.84e-02 	Time: 1.29
epoch 1450:	pdl:3.17e-01 	 Rec:7.28e-04 	 Color:5.24e-02 	Time: 1.28
epoch 1500:	pdl:2.79e-01 	 Rec:7.45e-04 	 Color:5.10e-02 	Time: 1.29
epoch 1550:	pdl:3.17e-01 	 Rec:7.15e-04 	 Color:4.71e-02 	Time: 1.28
epoch 1600:	pdl:2.87e-01 	 Rec:6.82e-04 	 Color:5.07e-02 	Time: 1.30
epoch 1650:	pdl:2.93e-01 	 Rec:6.75e-04 	 Color:4.85e-02 	Time: 1.28
epoch 1700:	pdl:2.95e-01 	 Rec:7.35e-04 	 Color:4.67e-02 	Time: 1.28
epoch 1750:	pdl:2.96e-01 	 Rec:6.85e-04 	 Color:4.75e-02 	Time: 1.30
epoch 1800:	pdl:2.83e-01 	 Rec:6.82e-04 	 Color:4.66e-02 	Time: 1.33
epoch 1850:	pdl:2.79e-01 	 Rec:6.97e-04 	 Color:5.05e-02 	Time: 1.29
epoch 1900:	pdl:3.05e-01 	 Rec:6.65e-04 	 Color:4.81e-02 	Time: 1.29
epoch 1950:	pdl:2.99e-01 	 Rec:6.85e-04 	 Color:4.79e-02 	Time: 1.29
epoch 2000:	pdl:3.05e-01 	 Rec:6.70e-04 	 Color:5.09e-02 	Time: 1.29
epoch 2050:	pdl:2.84e-01 	 Rec:6.84e-04 	 Color:4.63e-02 	Time: 1.30
epoch 2100:	pdl:3.03e-01 	 Rec:6.66e-04 	 Color:5.00e-02 	Time: 1.28
epoch 2150:	pdl:2.79e-01 	 Rec:6.62e-04 	 Color:4.93e-02 	Time: 1.29
epoch 2200:	pdl:2.71e-01 	 Rec:6.14e-04 	 Color:4.92e-02 	Time: 1.30
epoch 2250:	pdl:3.00e-01 	 Rec:6.29e-04 	 Color:4.89e-02 	Time: 1.29
epoch 2300:	pdl:2.76e-01 	 Rec:6.55e-04 	 Color:4.98e-02 	Time: 1.28
epoch 2350:	pdl:3.24e-01 	 Rec:6.33e-04 	 Color:4.84e-02 	Time: 1.29
epoch 2400:	pdl:2.81e-01 	 Rec:6.07e-04 	 Color:5.08e-02 	Time: 1.28
epoch 2450:	pdl:2.86e-01 	 Rec:6.44e-04 	 Color:4.95e-02 	Time: 1.30
epoch 2500:	pdl:2.89e-01 	 Rec:5.98e-04 	 Color:4.92e-02 	Time: 1.31
epoch 2550:	pdl:3.02e-01 	 Rec:6.24e-04 	 Color:5.00e-02 	Time: 1.31
epoch 2600:	pdl:3.19e-01 	 Rec:6.03e-04 	 Color:5.01e-02 	Time: 1.29
epoch 2650:	pdl:3.02e-01 	 Rec:6.61e-04 	 Color:4.90e-02 	Time: 1.28
epoch 2700:	pdl:2.86e-01 	 Rec:5.98e-04 	 Color:4.96e-02 	Time: 1.29
epoch 2750:	pdl:2.90e-01 	 Rec:5.72e-04 	 Color:5.00e-02 	Time: 1.28
epoch 2800:	pdl:2.82e-01 	 Rec:5.84e-04 	 Color:5.02e-02 	Time: 1.31
epoch 2850:	pdl:2.88e-01 	 Rec:5.64e-04 	 Color:4.78e-02 	Time: 1.30
epoch 2900:	pdl:2.74e-01 	 Rec:5.79e-04 	 Color:4.92e-02 	Time: 1.33
epoch 2950:	pdl:2.86e-01 	 Rec:5.87e-04 	 Color:5.06e-02 	Time: 1.32
epoch 3000:	pdl:2.88e-01 	 Rec:5.66e-04 	 Color:5.02e-02 	Time: 1.29
epoch 3050:	pdl:2.83e-01 	 Rec:5.45e-04 	 Color:4.74e-02 	Time: 1.31
epoch 3100:	pdl:2.89e-01 	 Rec:5.56e-04 	 Color:5.06e-02 	Time: 1.31
epoch 3150:	pdl:3.06e-01 	 Rec:5.69e-04 	 Color:4.77e-02 	Time: 1.30
epoch 3200:	pdl:2.98e-01 	 Rec:5.41e-04 	 Color:5.17e-02 	Time: 1.34
epoch 3250:	pdl:2.92e-01 	 Rec:5.44e-04 	 Color:4.84e-02 	Time: 1.31
epoch 3300:	pdl:3.03e-01 	 Rec:5.52e-04 	 Color:4.68e-02 	Time: 1.30
epoch 3350:	pdl:3.05e-01 	 Rec:5.16e-04 	 Color:4.92e-02 	Time: 1.30
