epoch 0:	pdl:2.42e-01 	 Rec:1.01e-02 	 Color:2.38e-02 	Time: 0.01
epoch 50:	pdl:2.15e-01 	 Rec:4.03e-03 	 Color:2.37e-02 	Time: 0.73
epoch 100:	pdl:2.06e-01 	 Rec:2.58e-03 	 Color:2.28e-02 	Time: 0.68
epoch 150:	pdl:2.28e-01 	 Rec:1.79e-03 	 Color:2.41e-02 	Time: 0.64
epoch 200:	pdl:2.22e-01 	 Rec:1.37e-03 	 Color:2.39e-02 	Time: 0.65
epoch 250:	pdl:2.14e-01 	 Rec:1.04e-03 	 Color:2.33e-02 	Time: 0.65
epoch 300:	pdl:2.14e-01 	 Rec:8.32e-04 	 Color:2.19e-02 	Time: 0.64
epoch 350:	pdl:2.04e-01 	 Rec:7.37e-04 	 Color:2.43e-02 	Time: 0.65
epoch 400:	pdl:2.00e-01 	 Rec:6.20e-04 	 Color:2.46e-02 	Time: 0.62
epoch 450:	pdl:1.95e-01 	 Rec:5.02e-04 	 Color:2.21e-02 	Time: 0.61
epoch 500:	pdl:2.06e-01 	 Rec:4.72e-04 	 Color:2.12e-02 	Time: 0.65
epoch 550:	pdl:2.12e-01 	 Rec:4.23e-04 	 Color:2.33e-02 	Time: 0.62
epoch 600:	pdl:2.04e-01 	 Rec:4.28e-04 	 Color:2.22e-02 	Time: 0.63
epoch 650:	pdl:2.38e-01 	 Rec:4.63e-04 	 Color:2.23e-02 	Time: 0.66
epoch 700:	pdl:2.31e-01 	 Rec:3.50e-04 	 Color:2.24e-02 	Time: 0.63
epoch 750:	pdl:2.05e-01 	 Rec:3.53e-04 	 Color:2.37e-02 	Time: 0.66
epoch 800:	pdl:2.12e-01 	 Rec:3.10e-04 	 Color:2.12e-02 	Time: 0.66
epoch 850:	pdl:2.28e-01 	 Rec:3.16e-04 	 Color:2.54e-02 	Time: 0.66
epoch 900:	pdl:2.21e-01 	 Rec:3.16e-04 	 Color:2.40e-02 	Time: 0.66
epoch 950:	pdl:2.15e-01 	 Rec:2.73e-04 	 Color:2.28e-02 	Time: 0.66
epoch 1000:	pdl:2.14e-01 	 Rec:2.63e-04 	 Color:2.39e-02 	Time: 0.66
epoch 1050:	pdl:1.95e-01 	 Rec:2.63e-04 	 Color:2.35e-02 	Time: 0.66
epoch 1100:	pdl:2.02e-01 	 Rec:2.53e-04 	 Color:2.21e-02 	Time: 0.63
epoch 1150:	pdl:2.32e-01 	 Rec:2.40e-04 	 Color:2.38e-02 	Time: 0.66
epoch 1200:	pdl:2.20e-01 	 Rec:2.33e-04 	 Color:2.57e-02 	Time: 0.64
epoch 1250:	pdl:2.00e-01 	 Rec:2.60e-04 	 Color:2.31e-02 	Time: 0.66
epoch 1300:	pdl:2.35e-01 	 Rec:2.70e-04 	 Color:2.33e-02 	Time: 0.65
epoch 1350:	pdl:2.24e-01 	 Rec:2.59e-04 	 Color:2.59e-02 	Time: 0.67
epoch 1400:	pdl:2.19e-01 	 Rec:2.79e-04 	 Color:2.12e-02 	Time: 0.62
epoch 1450:	pdl:2.21e-01 	 Rec:2.55e-04 	 Color:2.29e-02 	Time: 0.66
epoch 1500:	pdl:1.87e-01 	 Rec:2.25e-04 	 Color:2.27e-02 	Time: 0.63
epoch 1550:	pdl:2.01e-01 	 Rec:2.08e-04 	 Color:2.13e-02 	Time: 0.63
epoch 1600:	pdl:2.20e-01 	 Rec:2.03e-04 	 Color:2.30e-02 	Time: 0.65
epoch 1650:	pdl:2.14e-01 	 Rec:2.07e-04 	 Color:2.27e-02 	Time: 0.64
epoch 1700:	pdl:2.03e-01 	 Rec:2.31e-04 	 Color:2.08e-02 	Time: 0.63
epoch 1750:	pdl:2.10e-01 	 Rec:1.87e-04 	 Color:2.20e-02 	Time: 0.63
epoch 1800:	pdl:2.16e-01 	 Rec:1.90e-04 	 Color:2.19e-02 	Time: 0.68
epoch 1850:	pdl:2.13e-01 	 Rec:2.18e-04 	 Color:2.17e-02 	Time: 0.65
epoch 1900:	pdl:2.00e-01 	 Rec:1.96e-04 	 Color:2.19e-02 	Time: 0.67
epoch 1950:	pdl:1.98e-01 	 Rec:2.08e-04 	 Color:2.11e-02 	Time: 0.64
epoch 2000:	pdl:2.21e-01 	 Rec:3.13e-04 	 Color:2.33e-02 	Time: 0.64
epoch 2050:	pdl:1.89e-01 	 Rec:1.85e-04 	 Color:2.45e-02 	Time: 0.66
epoch 2100:	pdl:1.98e-01 	 Rec:1.88e-04 	 Color:2.16e-02 	Time: 0.63
epoch 2150:	pdl:2.05e-01 	 Rec:1.80e-04 	 Color:2.38e-02 	Time: 0.63
epoch 2200:	pdl:2.05e-01 	 Rec:1.99e-04 	 Color:2.42e-02 	Time: 0.66
epoch 2250:	pdl:2.17e-01 	 Rec:1.85e-04 	 Color:2.32e-02 	Time: 0.65
epoch 2300:	pdl:1.99e-01 	 Rec:1.82e-04 	 Color:2.36e-02 	Time: 0.63
epoch 2350:	pdl:2.14e-01 	 Rec:1.99e-04 	 Color:2.24e-02 	Time: 0.66
epoch 2400:	pdl:2.50e-01 	 Rec:2.10e-04 	 Color:2.22e-02 	Time: 0.68
epoch 2450:	pdl:2.29e-01 	 Rec:1.97e-04 	 Color:1.99e-02 	Time: 0.65
epoch 2500:	pdl:2.02e-01 	 Rec:1.79e-04 	 Color:2.27e-02 	Time: 0.65
epoch 2550:	pdl:2.01e-01 	 Rec:2.04e-04 	 Color:2.13e-02 	Time: 0.63
epoch 2600:	pdl:2.01e-01 	 Rec:1.90e-04 	 Color:2.25e-02 	Time: 0.66
epoch 2650:	pdl:2.17e-01 	 Rec:1.67e-04 	 Color:2.55e-02 	Time: 0.63
epoch 2700:	pdl:2.03e-01 	 Rec:1.79e-04 	 Color:2.22e-02 	Time: 0.65
epoch 2750:	pdl:1.99e-01 	 Rec:1.68e-04 	 Color:2.40e-02 	Time: 0.66
epoch 2800:	pdl:2.08e-01 	 Rec:1.49e-04 	 Color:2.14e-02 	Time: 0.65
epoch 2850:	pdl:1.99e-01 	 Rec:1.90e-04 	 Color:2.29e-02 	Time: 0.65
epoch 2900:	pdl:2.01e-01 	 Rec:1.67e-04 	 Color:2.41e-02 	Time: 0.65
epoch 2950:	pdl:2.08e-01 	 Rec:1.96e-04 	 Color:2.36e-02 	Time: 0.66
epoch 3000:	pdl:2.14e-01 	 Rec:1.76e-04 	 Color:2.31e-02 	Time: 0.64
epoch 3050:	pdl:1.95e-01 	 Rec:1.44e-04 	 Color:2.18e-02 	Time: 0.70
epoch 3100:	pdl:2.06e-01 	 Rec:1.63e-04 	 Color:2.30e-02 	Time: 0.67
epoch 3150:	pdl:1.95e-01 	 Rec:1.76e-04 	 Color:2.27e-02 	Time: 0.66
epoch 3200:	pdl:2.05e-01 	 Rec:1.79e-04 	 Color:2.03e-02 	Time: 0.63
epoch 3250:	pdl:2.06e-01 	 Rec:1.80e-04 	 Color:2.18e-02 	Time: 0.62
epoch 3300:	pdl:1.90e-01 	 Rec:1.59e-04 	 Color:2.19e-02 	Time: 0.65
epoch 3350:	pdl:2.00e-01 	 Rec:1.71e-04 	 Color:2.21e-02 	Time: 0.64
epoch 3400:	pdl:2.06e-01 	 Rec:1.61e-04 	 Color:2.38e-02 	Time: 0.65
epoch 3450:	pdl:2.12e-01 	 Rec:1.63e-04 	 Color:2.30e-02 	Time: 0.63
epoch 3500:	pdl:2.28e-01 	 Rec:2.03e-04 	 Color:2.34e-02 	Time: 0.66
epoch 3550:	pdl:2.21e-01 	 Rec:1.56e-04 	 Color:2.27e-02 	Time: 0.63
epoch 3600:	pdl:2.02e-01 	 Rec:1.63e-04 	 Color:2.25e-02 	Time: 0.63
epoch 3650:	pdl:2.16e-01 	 Rec:1.76e-04 	 Color:2.40e-02 	Time: 0.66
epoch 3700:	pdl:2.13e-01 	 Rec:1.70e-04 	 Color:2.37e-02 	Time: 0.65
epoch 3750:	pdl:2.40e-01 	 Rec:1.50e-04 	 Color:2.24e-02 	Time: 0.66
epoch 3800:	pdl:2.08e-01 	 Rec:2.02e-04 	 Color:2.12e-02 	Time: 0.66
epoch 3850:	pdl:1.97e-01 	 Rec:1.88e-04 	 Color:2.26e-02 	Time: 0.63
epoch 3900:	pdl:2.25e-01 	 Rec:1.95e-04 	 Color:2.34e-02 	Time: 0.65
epoch 3950:	pdl:1.92e-01 	 Rec:1.62e-04 	 Color:2.29e-02 	Time: 0.65
epoch 4000:	pdl:2.17e-01 	 Rec:1.67e-04 	 Color:2.31e-02 	Time: 0.64
epoch 4050:	pdl:2.17e-01 	 Rec:1.49e-04 	 Color:2.38e-02 	Time: 0.65
epoch 4100:	pdl:2.11e-01 	 Rec:1.70e-04 	 Color:2.31e-02 	Time: 0.69
epoch 4150:	pdl:2.06e-01 	 Rec:1.50e-04 	 Color:2.47e-02 	Time: 0.62
epoch 4200:	pdl:2.00e-01 	 Rec:1.64e-04 	 Color:2.31e-02 	Time: 0.62
epoch 4250:	pdl:2.01e-01 	 Rec:1.47e-04 	 Color:2.38e-02 	Time: 0.65
epoch 4300:	pdl:2.04e-01 	 Rec:1.74e-04 	 Color:2.51e-02 	Time: 0.62
epoch 4350:	pdl:2.16e-01 	 Rec:1.51e-04 	 Color:2.46e-02 	Time: 0.62
epoch 4400:	pdl:2.03e-01 	 Rec:1.66e-04 	 Color:2.24e-02 	Time: 0.65
epoch 4450:	pdl:1.94e-01 	 Rec:1.77e-04 	 Color:2.15e-02 	Time: 0.65
epoch 4500:	pdl:2.11e-01 	 Rec:1.64e-04 	 Color:2.32e-02 	Time: 0.65
epoch 4550:	pdl:2.03e-01 	 Rec:1.60e-04 	 Color:2.32e-02 	Time: 0.67
epoch 4600:	pdl:1.90e-01 	 Rec:1.54e-04 	 Color:2.36e-02 	Time: 0.67
epoch 4650:	pdl:1.95e-01 	 Rec:1.83e-04 	 Color:2.42e-02 	Time: 0.65
epoch 4700:	pdl:2.12e-01 	 Rec:1.73e-04 	 Color:2.21e-02 	Time: 0.66
epoch 4750:	pdl:2.15e-01 	 Rec:1.81e-04 	 Color:2.34e-02 	Time: 0.66
epoch 4800:	pdl:2.07e-01 	 Rec:1.48e-04 	 Color:2.36e-02 	Time: 0.66
epoch 4850:	pdl:2.10e-01 	 Rec:1.69e-04 	 Color:2.37e-02 	Time: 0.66
epoch 4900:	pdl:2.05e-01 	 Rec:1.36e-04 	 Color:2.48e-02 	Time: 0.69
epoch 4950:	pdl:2.45e-01 	 Rec:1.69e-04 	 Color:2.19e-02 	Time: 0.65
epoch 5000:	pdl:2.03e-01 	 Rec:1.80e-04 	 Color:2.22e-02 	Time: 0.62
epoch 5050:	pdl:1.98e-01 	 Rec:1.35e-04 	 Color:2.40e-02 	Time: 0.72
epoch 5100:	pdl:2.15e-01 	 Rec:1.48e-04 	 Color:2.34e-02 	Time: 0.62
epoch 5150:	pdl:2.01e-01 	 Rec:1.61e-04 	 Color:2.22e-02 	Time: 0.67
epoch 5200:	pdl:1.94e-01 	 Rec:1.46e-04 	 Color:2.21e-02 	Time: 0.65
epoch 5250:	pdl:2.12e-01 	 Rec:1.52e-04 	 Color:2.27e-02 	Time: 0.65
epoch 5300:	pdl:2.06e-01 	 Rec:1.55e-04 	 Color:2.45e-02 	Time: 0.63
epoch 5350:	pdl:1.98e-01 	 Rec:1.40e-04 	 Color:2.21e-02 	Time: 0.62
epoch 5400:	pdl:2.06e-01 	 Rec:1.81e-04 	 Color:2.32e-02 	Time: 0.62
epoch 5450:	pdl:2.14e-01 	 Rec:1.35e-04 	 Color:2.32e-02 	Time: 0.63
epoch 5500:	pdl:1.96e-01 	 Rec:1.50e-04 	 Color:2.38e-02 	Time: 0.65
epoch 5550:	pdl:2.18e-01 	 Rec:1.95e-04 	 Color:2.28e-02 	Time: 0.66
epoch 5600:	pdl:2.04e-01 	 Rec:1.49e-04 	 Color:2.43e-02 	Time: 0.62
epoch 5650:	pdl:2.12e-01 	 Rec:1.44e-04 	 Color:2.12e-02 	Time: 0.62
epoch 5700:	pdl:1.95e-01 	 Rec:1.55e-04 	 Color:2.14e-02 	Time: 0.65
epoch 5750:	pdl:1.96e-01 	 Rec:1.19e-04 	 Color:2.09e-02 	Time: 0.62
epoch 5800:	pdl:1.94e-01 	 Rec:1.47e-04 	 Color:2.36e-02 	Time: 0.62
epoch 5850:	pdl:1.96e-01 	 Rec:1.49e-04 	 Color:2.40e-02 	Time: 0.65
epoch 5900:	pdl:2.17e-01 	 Rec:1.90e-04 	 Color:2.36e-02 	Time: 0.63
epoch 5950:	pdl:2.14e-01 	 Rec:1.49e-04 	 Color:2.27e-02 	Time: 0.67
epoch 6000:	pdl:2.09e-01 	 Rec:1.61e-04 	 Color:2.36e-02 	Time: 0.67
epoch 6050:	pdl:2.00e-01 	 Rec:1.52e-04 	 Color:2.33e-02 	Time: 0.68
epoch 6100:	pdl:2.03e-01 	 Rec:1.90e-04 	 Color:2.09e-02 	Time: 0.65
epoch 6150:	pdl:1.96e-01 	 Rec:1.28e-04 	 Color:2.25e-02 	Time: 0.62
epoch 6200:	pdl:2.06e-01 	 Rec:1.74e-04 	 Color:2.29e-02 	Time: 0.64
epoch 6250:	pdl:2.27e-01 	 Rec:1.34e-04 	 Color:2.07e-02 	Time: 0.67
