epoch 0:	pdl:3.86e-01 	 Rec:2.89e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:3.86e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 1.87
epoch 100:	pdl:3.29e-01 	 Rec:2.44e-03 	 Color:0.00e+00 	Time: 1.80
epoch 150:	pdl:3.43e-01 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 1.79
epoch 200:	pdl:3.56e-01 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 1.83
epoch 250:	pdl:3.98e-01 	 Rec:2.36e-03 	 Color:0.00e+00 	Time: 1.81
epoch 300:	pdl:3.08e-01 	 Rec:2.36e-03 	 Color:0.00e+00 	Time: 1.86
epoch 350:	pdl:3.84e-01 	 Rec:2.30e-03 	 Color:0.00e+00 	Time: 1.83
epoch 400:	pdl:3.18e-01 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 1.83
epoch 450:	pdl:3.19e-01 	 Rec:2.33e-03 	 Color:0.00e+00 	Time: 1.85
epoch 500:	pdl:3.39e-01 	 Rec:2.17e-03 	 Color:0.00e+00 	Time: 1.87
epoch 550:	pdl:2.97e-01 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 1.85
epoch 600:	pdl:3.48e-01 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 1.81
epoch 650:	pdl:3.47e-01 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 1.82
epoch 700:	pdl:4.36e-01 	 Rec:3.75e-03 	 Color:0.00e+00 	Time: 1.80
epoch 750:	pdl:3.58e-01 	 Rec:2.17e-03 	 Color:0.00e+00 	Time: 1.84
epoch 800:	pdl:3.58e-01 	 Rec:2.08e-03 	 Color:0.00e+00 	Time: 1.81
epoch 850:	pdl:3.78e-01 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 1.85
epoch 900:	pdl:3.54e-01 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 1.84
epoch 950:	pdl:3.46e-01 	 Rec:2.04e-03 	 Color:0.00e+00 	Time: 1.83
epoch 1000:	pdl:3.89e-01 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 1.86
epoch 1050:	pdl:3.26e-01 	 Rec:2.03e-03 	 Color:0.00e+00 	Time: 1.89
epoch 1100:	pdl:3.22e-01 	 Rec:2.23e-03 	 Color:0.00e+00 	Time: 1.83
epoch 1150:	pdl:4.16e-01 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 1.80
epoch 1200:	pdl:3.51e-01 	 Rec:2.01e-03 	 Color:0.00e+00 	Time: 1.80
epoch 1250:	pdl:3.33e-01 	 Rec:1.93e-03 	 Color:0.00e+00 	Time: 1.83
epoch 1300:	pdl:3.45e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 1.86
epoch 1350:	pdl:2.95e-01 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 1.77
epoch 1400:	pdl:3.54e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 1.83
epoch 1450:	pdl:3.99e-01 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 1.84
epoch 1500:	pdl:3.15e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 1.84
epoch 1550:	pdl:3.81e-01 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 1.85
epoch 1600:	pdl:3.42e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 1.83
epoch 1650:	pdl:3.04e-01 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 1.81
epoch 1700:	pdl:3.25e-01 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 1.85
