epoch 0:	pdl:6.66e-01 	 Rec:6.25e-03 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.97e-01 	 Rec:3.23e-03 	 Color:0.00e+00 	Time: 0.98
epoch 100:	pdl:5.59e-01 	 Rec:2.85e-03 	 Color:0.00e+00 	Time: 0.88
epoch 150:	pdl:5.80e-01 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 0.92
epoch 200:	pdl:5.65e-01 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 0.90
epoch 250:	pdl:6.16e-01 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 0.90
epoch 300:	pdl:5.53e-01 	 Rec:2.00e-03 	 Color:0.00e+00 	Time: 0.91
epoch 350:	pdl:5.40e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 0.88
epoch 400:	pdl:6.44e-01 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 0.92
epoch 450:	pdl:5.64e-01 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 0.86
epoch 500:	pdl:5.70e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.88
epoch 550:	pdl:5.46e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.88
epoch 600:	pdl:6.09e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.89
epoch 650:	pdl:5.32e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 0.89
epoch 700:	pdl:5.19e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 0.91
epoch 750:	pdl:5.18e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.89
epoch 800:	pdl:5.83e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.86
epoch 850:	pdl:5.90e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 0.86
epoch 900:	pdl:6.55e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.86
