epoch 0:	pdl:1.94e+00 	 Rec:4.73e-01 	 Color:1.64e-01 	Time: 0.01
epoch 50:	pdl:8.61e-01 	 Rec:5.51e-02 	 Color:1.30e-01 	Time: 0.40
epoch 100:	pdl:7.41e-01 	 Rec:1.44e-02 	 Color:1.47e-01 	Time: 0.38
epoch 150:	pdl:6.47e-01 	 Rec:6.95e-03 	 Color:1.34e-01 	Time: 0.35
epoch 200:	pdl:5.66e-01 	 Rec:4.03e-03 	 Color:1.52e-01 	Time: 0.40
epoch 250:	pdl:5.17e-01 	 Rec:2.74e-03 	 Color:1.27e-01 	Time: 0.41
epoch 300:	pdl:4.97e-01 	 Rec:2.12e-03 	 Color:1.12e-01 	Time: 0.39
epoch 350:	pdl:6.29e-01 	 Rec:1.62e-03 	 Color:1.43e-01 	Time: 0.36
epoch 400:	pdl:5.29e-01 	 Rec:1.41e-03 	 Color:1.36e-01 	Time: 0.38
epoch 450:	pdl:5.31e-01 	 Rec:1.29e-03 	 Color:1.19e-01 	Time: 0.39
epoch 500:	pdl:5.20e-01 	 Rec:1.29e-03 	 Color:1.47e-01 	Time: 0.36
epoch 550:	pdl:5.08e-01 	 Rec:9.86e-04 	 Color:1.32e-01 	Time: 0.38
epoch 600:	pdl:5.44e-01 	 Rec:8.05e-04 	 Color:1.59e-01 	Time: 0.37
epoch 650:	pdl:5.45e-01 	 Rec:7.14e-04 	 Color:1.84e-01 	Time: 0.41
epoch 700:	pdl:5.49e-01 	 Rec:7.09e-04 	 Color:1.63e-01 	Time: 0.39
epoch 750:	pdl:4.64e-01 	 Rec:6.98e-04 	 Color:1.05e-01 	Time: 0.34
epoch 800:	pdl:5.16e-01 	 Rec:6.58e-04 	 Color:1.35e-01 	Time: 0.39
epoch 850:	pdl:5.46e-01 	 Rec:1.30e-03 	 Color:1.69e-01 	Time: 0.39
epoch 900:	pdl:5.44e-01 	 Rec:5.50e-04 	 Color:1.44e-01 	Time: 0.41
epoch 950:	pdl:5.26e-01 	 Rec:6.10e-04 	 Color:1.58e-01 	Time: 0.42
epoch 1000:	pdl:5.25e-01 	 Rec:6.72e-04 	 Color:1.34e-01 	Time: 0.38
epoch 1050:	pdl:4.66e-01 	 Rec:4.93e-04 	 Color:1.27e-01 	Time: 0.39
epoch 1100:	pdl:5.38e-01 	 Rec:4.69e-04 	 Color:1.54e-01 	Time: 0.41
epoch 1150:	pdl:5.14e-01 	 Rec:5.00e-04 	 Color:1.44e-01 	Time: 0.38
epoch 1200:	pdl:5.58e-01 	 Rec:6.47e-04 	 Color:1.44e-01 	Time: 0.37
epoch 1250:	pdl:4.72e-01 	 Rec:3.97e-04 	 Color:1.18e-01 	Time: 0.36
epoch 1300:	pdl:5.00e-01 	 Rec:4.31e-04 	 Color:1.28e-01 	Time: 0.38
epoch 1350:	pdl:5.01e-01 	 Rec:3.99e-04 	 Color:1.36e-01 	Time: 0.36
epoch 1400:	pdl:4.87e-01 	 Rec:5.56e-04 	 Color:1.39e-01 	Time: 0.37
epoch 1450:	pdl:4.89e-01 	 Rec:6.57e-04 	 Color:1.26e-01 	Time: 0.37
epoch 1500:	pdl:4.84e-01 	 Rec:4.43e-04 	 Color:1.32e-01 	Time: 0.39
epoch 1550:	pdl:5.65e-01 	 Rec:3.49e-04 	 Color:1.71e-01 	Time: 0.34
epoch 1600:	pdl:4.93e-01 	 Rec:1.38e-03 	 Color:1.43e-01 	Time: 0.39
epoch 1650:	pdl:4.94e-01 	 Rec:3.82e-04 	 Color:1.27e-01 	Time: 0.39
epoch 1700:	pdl:4.94e-01 	 Rec:6.42e-04 	 Color:1.38e-01 	Time: 0.33
epoch 1750:	pdl:5.04e-01 	 Rec:3.76e-04 	 Color:1.55e-01 	Time: 0.36
epoch 1800:	pdl:4.90e-01 	 Rec:4.58e-04 	 Color:1.67e-01 	Time: 0.39
epoch 1850:	pdl:4.97e-01 	 Rec:4.00e-04 	 Color:1.31e-01 	Time: 0.39
epoch 1900:	pdl:5.06e-01 	 Rec:4.32e-04 	 Color:1.26e-01 	Time: 0.36
epoch 1950:	pdl:4.96e-01 	 Rec:3.59e-04 	 Color:1.46e-01 	Time: 0.38
epoch 2000:	pdl:4.96e-01 	 Rec:5.07e-04 	 Color:1.35e-01 	Time: 0.38
epoch 2050:	pdl:5.11e-01 	 Rec:3.64e-04 	 Color:1.46e-01 	Time: 0.39
epoch 2100:	pdl:5.04e-01 	 Rec:3.74e-04 	 Color:1.63e-01 	Time: 0.40
epoch 2150:	pdl:5.03e-01 	 Rec:4.04e-04 	 Color:1.41e-01 	Time: 0.41
epoch 2200:	pdl:5.71e-01 	 Rec:6.22e-04 	 Color:1.61e-01 	Time: 0.40
epoch 2250:	pdl:4.67e-01 	 Rec:4.29e-04 	 Color:1.18e-01 	Time: 0.41
epoch 2300:	pdl:4.89e-01 	 Rec:4.08e-04 	 Color:1.61e-01 	Time: 0.39
epoch 2350:	pdl:4.40e-01 	 Rec:3.74e-04 	 Color:1.06e-01 	Time: 0.38
epoch 2400:	pdl:4.83e-01 	 Rec:5.88e-04 	 Color:1.20e-01 	Time: 0.38
epoch 2450:	pdl:4.86e-01 	 Rec:4.07e-04 	 Color:1.44e-01 	Time: 0.36
epoch 2500:	pdl:4.77e-01 	 Rec:7.89e-04 	 Color:1.32e-01 	Time: 0.36
epoch 2550:	pdl:4.55e-01 	 Rec:5.53e-04 	 Color:1.13e-01 	Time: 0.40
epoch 2600:	pdl:4.82e-01 	 Rec:3.17e-04 	 Color:1.42e-01 	Time: 0.41
epoch 2650:	pdl:5.19e-01 	 Rec:2.70e-04 	 Color:1.17e-01 	Time: 0.41
epoch 2700:	pdl:4.99e-01 	 Rec:3.76e-04 	 Color:1.28e-01 	Time: 0.41
epoch 2750:	pdl:4.45e-01 	 Rec:2.91e-04 	 Color:1.20e-01 	Time: 0.39
epoch 2800:	pdl:4.78e-01 	 Rec:3.99e-04 	 Color:1.28e-01 	Time: 0.41
epoch 2850:	pdl:5.04e-01 	 Rec:2.57e-04 	 Color:1.33e-01 	Time: 0.36
epoch 2900:	pdl:5.28e-01 	 Rec:5.24e-04 	 Color:1.62e-01 	Time: 0.38
epoch 2950:	pdl:4.63e-01 	 Rec:3.17e-04 	 Color:1.31e-01 	Time: 0.40
epoch 3000:	pdl:4.54e-01 	 Rec:2.46e-04 	 Color:1.14e-01 	Time: 0.39
epoch 3050:	pdl:4.98e-01 	 Rec:3.21e-04 	 Color:1.10e-01 	Time: 0.40
epoch 3100:	pdl:4.94e-01 	 Rec:3.54e-04 	 Color:1.39e-01 	Time: 0.36
epoch 3150:	pdl:5.29e-01 	 Rec:2.32e-04 	 Color:1.40e-01 	Time: 0.43
epoch 3200:	pdl:4.70e-01 	 Rec:4.05e-04 	 Color:1.41e-01 	Time: 0.39
epoch 3250:	pdl:4.81e-01 	 Rec:2.82e-04 	 Color:1.35e-01 	Time: 0.38
epoch 3300:	pdl:5.06e-01 	 Rec:3.69e-04 	 Color:1.28e-01 	Time: 0.40
epoch 3350:	pdl:4.72e-01 	 Rec:2.25e-04 	 Color:1.40e-01 	Time: 0.39
epoch 3400:	pdl:4.75e-01 	 Rec:2.53e-04 	 Color:1.45e-01 	Time: 0.41
epoch 3450:	pdl:5.52e-01 	 Rec:4.67e-04 	 Color:1.65e-01 	Time: 0.41
epoch 3500:	pdl:4.93e-01 	 Rec:3.38e-04 	 Color:1.60e-01 	Time: 0.41
epoch 3550:	pdl:4.92e-01 	 Rec:3.13e-04 	 Color:1.53e-01 	Time: 0.40
epoch 3600:	pdl:4.83e-01 	 Rec:2.20e-04 	 Color:1.33e-01 	Time: 0.36
epoch 3650:	pdl:4.59e-01 	 Rec:2.47e-04 	 Color:1.34e-01 	Time: 0.37
epoch 3700:	pdl:4.23e-01 	 Rec:2.46e-04 	 Color:1.06e-01 	Time: 0.37
epoch 3750:	pdl:4.45e-01 	 Rec:4.84e-04 	 Color:1.16e-01 	Time: 0.38
epoch 3800:	pdl:5.24e-01 	 Rec:2.66e-04 	 Color:1.46e-01 	Time: 0.39
epoch 3850:	pdl:5.01e-01 	 Rec:3.08e-04 	 Color:1.52e-01 	Time: 0.35
epoch 3900:	pdl:4.48e-01 	 Rec:2.20e-04 	 Color:1.39e-01 	Time: 0.38
epoch 3950:	pdl:4.60e-01 	 Rec:2.97e-04 	 Color:1.30e-01 	Time: 0.40
epoch 4000:	pdl:4.49e-01 	 Rec:2.55e-04 	 Color:1.04e-01 	Time: 0.38
epoch 4050:	pdl:4.44e-01 	 Rec:2.30e-04 	 Color:1.13e-01 	Time: 0.40
epoch 4100:	pdl:4.73e-01 	 Rec:2.05e-04 	 Color:1.31e-01 	Time: 0.39
epoch 4150:	pdl:4.54e-01 	 Rec:3.43e-04 	 Color:1.34e-01 	Time: 0.36
epoch 4200:	pdl:5.00e-01 	 Rec:8.12e-04 	 Color:1.60e-01 	Time: 0.41
epoch 4250:	pdl:5.23e-01 	 Rec:4.47e-04 	 Color:1.56e-01 	Time: 0.36
epoch 4300:	pdl:5.08e-01 	 Rec:5.29e-04 	 Color:1.68e-01 	Time: 0.41
epoch 4350:	pdl:4.41e-01 	 Rec:3.28e-04 	 Color:1.13e-01 	Time: 0.39
epoch 4400:	pdl:4.53e-01 	 Rec:2.94e-04 	 Color:1.15e-01 	Time: 0.34
epoch 4450:	pdl:4.63e-01 	 Rec:2.94e-04 	 Color:1.56e-01 	Time: 0.39
epoch 4500:	pdl:4.32e-01 	 Rec:3.98e-04 	 Color:1.30e-01 	Time: 0.41
epoch 4550:	pdl:4.92e-01 	 Rec:3.39e-04 	 Color:1.48e-01 	Time: 0.39
epoch 4600:	pdl:4.85e-01 	 Rec:2.60e-04 	 Color:1.49e-01 	Time: 0.36
epoch 4650:	pdl:4.65e-01 	 Rec:3.10e-04 	 Color:1.39e-01 	Time: 0.34
epoch 4700:	pdl:4.84e-01 	 Rec:3.43e-04 	 Color:1.41e-01 	Time: 0.37
epoch 4750:	pdl:4.74e-01 	 Rec:2.29e-04 	 Color:1.20e-01 	Time: 0.36
epoch 4800:	pdl:4.37e-01 	 Rec:2.57e-04 	 Color:1.21e-01 	Time: 0.36
epoch 4850:	pdl:4.82e-01 	 Rec:2.34e-04 	 Color:1.33e-01 	Time: 0.38
epoch 4900:	pdl:4.58e-01 	 Rec:2.40e-04 	 Color:1.28e-01 	Time: 0.41
epoch 4950:	pdl:4.48e-01 	 Rec:4.01e-04 	 Color:1.31e-01 	Time: 0.41
epoch 5000:	pdl:4.63e-01 	 Rec:2.45e-04 	 Color:1.22e-01 	Time: 0.39
epoch 5050:	pdl:4.91e-01 	 Rec:3.18e-04 	 Color:1.59e-01 	Time: 0.41
epoch 5100:	pdl:4.44e-01 	 Rec:1.65e-04 	 Color:1.15e-01 	Time: 0.36
epoch 5150:	pdl:4.52e-01 	 Rec:2.45e-04 	 Color:1.30e-01 	Time: 0.36
epoch 5200:	pdl:4.25e-01 	 Rec:5.21e-04 	 Color:1.19e-01 	Time: 0.34
epoch 5250:	pdl:5.09e-01 	 Rec:2.06e-04 	 Color:1.47e-01 	Time: 0.39
epoch 5300:	pdl:4.91e-01 	 Rec:2.14e-04 	 Color:1.44e-01 	Time: 0.39
