epoch 0:	pdl:4.01e-01 	 Rec:4.38e-03 	 Color:6.42e-02 	Time: 0.02
epoch 50:	pdl:3.93e-01 	 Rec:2.10e-03 	 Color:6.18e-02 	Time: 1.23
epoch 100:	pdl:3.66e-01 	 Rec:1.53e-03 	 Color:5.85e-02 	Time: 1.06
epoch 150:	pdl:4.09e-01 	 Rec:1.42e-03 	 Color:6.69e-02 	Time: 1.06
epoch 200:	pdl:4.49e-01 	 Rec:1.29e-03 	 Color:6.93e-02 	Time: 1.06
epoch 250:	pdl:4.05e-01 	 Rec:1.14e-03 	 Color:6.81e-02 	Time: 1.14
epoch 300:	pdl:4.42e-01 	 Rec:1.02e-03 	 Color:7.56e-02 	Time: 1.06
epoch 350:	pdl:4.41e-01 	 Rec:1.01e-03 	 Color:6.89e-02 	Time: 1.06
epoch 400:	pdl:3.96e-01 	 Rec:9.34e-04 	 Color:6.61e-02 	Time: 1.06
epoch 450:	pdl:4.13e-01 	 Rec:9.18e-04 	 Color:6.20e-02 	Time: 1.05
epoch 500:	pdl:3.92e-01 	 Rec:8.56e-04 	 Color:6.34e-02 	Time: 1.06
epoch 550:	pdl:4.35e-01 	 Rec:7.85e-04 	 Color:8.04e-02 	Time: 1.06
epoch 600:	pdl:3.89e-01 	 Rec:8.34e-04 	 Color:6.80e-02 	Time: 1.07
epoch 650:	pdl:4.37e-01 	 Rec:7.47e-04 	 Color:7.20e-02 	Time: 1.06
epoch 700:	pdl:3.74e-01 	 Rec:6.56e-04 	 Color:6.40e-02 	Time: 1.07
epoch 750:	pdl:4.26e-01 	 Rec:6.51e-04 	 Color:8.17e-02 	Time: 1.09
epoch 800:	pdl:4.34e-01 	 Rec:7.23e-04 	 Color:7.12e-02 	Time: 1.09
epoch 850:	pdl:4.26e-01 	 Rec:6.52e-04 	 Color:7.33e-02 	Time: 1.06
epoch 900:	pdl:3.91e-01 	 Rec:6.85e-04 	 Color:6.60e-02 	Time: 1.08
epoch 950:	pdl:4.26e-01 	 Rec:6.25e-04 	 Color:7.07e-02 	Time: 1.08
epoch 1000:	pdl:3.93e-01 	 Rec:5.53e-04 	 Color:6.24e-02 	Time: 1.08
epoch 1050:	pdl:3.96e-01 	 Rec:6.99e-04 	 Color:6.29e-02 	Time: 1.07
epoch 1100:	pdl:3.76e-01 	 Rec:7.58e-04 	 Color:6.67e-02 	Time: 1.05
epoch 1150:	pdl:3.76e-01 	 Rec:5.36e-04 	 Color:6.56e-02 	Time: 1.04
epoch 1200:	pdl:4.19e-01 	 Rec:5.67e-04 	 Color:7.68e-02 	Time: 1.04
epoch 1250:	pdl:3.85e-01 	 Rec:6.15e-04 	 Color:7.72e-02 	Time: 1.03
epoch 1300:	pdl:3.82e-01 	 Rec:5.42e-04 	 Color:6.35e-02 	Time: 1.03
epoch 1350:	pdl:4.04e-01 	 Rec:5.72e-04 	 Color:6.36e-02 	Time: 1.04
epoch 1400:	pdl:3.64e-01 	 Rec:5.97e-04 	 Color:6.66e-02 	Time: 1.03
epoch 1450:	pdl:4.03e-01 	 Rec:5.01e-04 	 Color:6.80e-02 	Time: 1.06
epoch 1500:	pdl:3.89e-01 	 Rec:5.99e-04 	 Color:6.56e-02 	Time: 1.04
epoch 1550:	pdl:3.66e-01 	 Rec:6.77e-04 	 Color:5.67e-02 	Time: 1.04
epoch 1600:	pdl:3.94e-01 	 Rec:5.17e-04 	 Color:6.70e-02 	Time: 1.04
epoch 1650:	pdl:4.25e-01 	 Rec:4.91e-04 	 Color:6.36e-02 	Time: 1.07
epoch 1700:	pdl:3.72e-01 	 Rec:5.14e-04 	 Color:6.45e-02 	Time: 1.06
epoch 1750:	pdl:4.10e-01 	 Rec:5.99e-04 	 Color:7.31e-02 	Time: 1.06
epoch 1800:	pdl:3.88e-01 	 Rec:5.01e-04 	 Color:6.92e-02 	Time: 1.04
epoch 1850:	pdl:3.87e-01 	 Rec:6.62e-04 	 Color:7.28e-02 	Time: 1.07
epoch 1900:	pdl:3.79e-01 	 Rec:6.42e-04 	 Color:6.76e-02 	Time: 1.05
epoch 1950:	pdl:4.21e-01 	 Rec:4.79e-04 	 Color:6.94e-02 	Time: 1.06
epoch 2000:	pdl:4.30e-01 	 Rec:4.67e-04 	 Color:6.86e-02 	Time: 1.04
epoch 2050:	pdl:4.04e-01 	 Rec:5.00e-04 	 Color:7.11e-02 	Time: 1.07
epoch 2100:	pdl:4.04e-01 	 Rec:4.99e-04 	 Color:6.98e-02 	Time: 1.04
epoch 2150:	pdl:3.68e-01 	 Rec:7.88e-04 	 Color:5.70e-02 	Time: 1.04
epoch 2200:	pdl:4.90e-01 	 Rec:5.15e-04 	 Color:7.71e-02 	Time: 1.04
epoch 2250:	pdl:3.85e-01 	 Rec:4.44e-04 	 Color:7.41e-02 	Time: 1.04
epoch 2300:	pdl:3.77e-01 	 Rec:3.93e-04 	 Color:6.27e-02 	Time: 1.04
epoch 2350:	pdl:4.52e-01 	 Rec:4.42e-04 	 Color:7.51e-02 	Time: 1.04
epoch 2400:	pdl:3.80e-01 	 Rec:5.05e-04 	 Color:6.54e-02 	Time: 1.06
epoch 2450:	pdl:4.06e-01 	 Rec:4.43e-04 	 Color:7.25e-02 	Time: 1.05
epoch 2500:	pdl:3.89e-01 	 Rec:4.64e-04 	 Color:7.16e-02 	Time: 1.07
epoch 2550:	pdl:3.97e-01 	 Rec:4.45e-04 	 Color:6.32e-02 	Time: 1.08
epoch 2600:	pdl:3.66e-01 	 Rec:4.27e-04 	 Color:5.83e-02 	Time: 1.07
epoch 2650:	pdl:3.74e-01 	 Rec:4.43e-04 	 Color:6.30e-02 	Time: 1.06
epoch 2700:	pdl:3.93e-01 	 Rec:4.57e-04 	 Color:6.66e-02 	Time: 1.06
epoch 2750:	pdl:3.76e-01 	 Rec:5.41e-04 	 Color:6.55e-02 	Time: 1.05
epoch 2800:	pdl:3.69e-01 	 Rec:4.39e-04 	 Color:6.53e-02 	Time: 1.08
epoch 2850:	pdl:3.68e-01 	 Rec:3.84e-04 	 Color:6.13e-02 	Time: 1.06
epoch 2900:	pdl:3.51e-01 	 Rec:3.80e-04 	 Color:6.08e-02 	Time: 1.06
epoch 2950:	pdl:3.63e-01 	 Rec:4.23e-04 	 Color:5.67e-02 	Time: 1.08
epoch 3000:	pdl:3.86e-01 	 Rec:4.80e-04 	 Color:6.79e-02 	Time: 1.05
epoch 3050:	pdl:3.87e-01 	 Rec:4.43e-04 	 Color:7.90e-02 	Time: 1.09
epoch 3100:	pdl:4.27e-01 	 Rec:4.17e-04 	 Color:6.16e-02 	Time: 1.08
epoch 3150:	pdl:4.05e-01 	 Rec:4.51e-04 	 Color:6.76e-02 	Time: 1.08
epoch 3200:	pdl:4.22e-01 	 Rec:4.15e-04 	 Color:7.22e-02 	Time: 1.04
epoch 3250:	pdl:3.83e-01 	 Rec:4.25e-04 	 Color:6.70e-02 	Time: 1.04
epoch 3300:	pdl:3.84e-01 	 Rec:4.80e-04 	 Color:6.38e-02 	Time: 1.05
epoch 3350:	pdl:3.77e-01 	 Rec:5.06e-04 	 Color:6.45e-02 	Time: 1.09
epoch 3400:	pdl:3.83e-01 	 Rec:3.75e-04 	 Color:6.10e-02 	Time: 1.08
epoch 3450:	pdl:3.78e-01 	 Rec:4.22e-04 	 Color:6.80e-02 	Time: 1.06
epoch 3500:	pdl:3.88e-01 	 Rec:4.46e-04 	 Color:7.95e-02 	Time: 1.05
epoch 3550:	pdl:4.13e-01 	 Rec:4.15e-04 	 Color:7.17e-02 	Time: 1.06
epoch 3600:	pdl:4.29e-01 	 Rec:4.13e-04 	 Color:8.54e-02 	Time: 1.05
epoch 3650:	pdl:3.68e-01 	 Rec:4.05e-04 	 Color:6.17e-02 	Time: 1.05
epoch 3700:	pdl:3.94e-01 	 Rec:6.03e-04 	 Color:7.07e-02 	Time: 1.05
epoch 3750:	pdl:3.87e-01 	 Rec:4.67e-04 	 Color:6.71e-02 	Time: 1.05
epoch 3800:	pdl:4.27e-01 	 Rec:3.62e-04 	 Color:7.78e-02 	Time: 1.06
epoch 3850:	pdl:4.10e-01 	 Rec:3.88e-04 	 Color:7.41e-02 	Time: 1.11
epoch 3900:	pdl:4.13e-01 	 Rec:4.71e-04 	 Color:6.64e-02 	Time: 1.08
epoch 3950:	pdl:4.24e-01 	 Rec:4.32e-04 	 Color:7.27e-02 	Time: 1.08
epoch 4000:	pdl:3.59e-01 	 Rec:4.02e-04 	 Color:5.97e-02 	Time: 1.10
epoch 4050:	pdl:3.51e-01 	 Rec:4.13e-04 	 Color:5.48e-02 	Time: 1.10
epoch 4100:	pdl:3.81e-01 	 Rec:3.50e-04 	 Color:6.34e-02 	Time: 1.07
epoch 4150:	pdl:4.31e-01 	 Rec:3.52e-04 	 Color:6.56e-02 	Time: 1.09
epoch 4200:	pdl:4.03e-01 	 Rec:5.58e-04 	 Color:8.07e-02 	Time: 1.06
epoch 4250:	pdl:3.77e-01 	 Rec:3.58e-04 	 Color:7.39e-02 	Time: 1.08
epoch 4300:	pdl:3.71e-01 	 Rec:3.86e-04 	 Color:5.85e-02 	Time: 1.09
epoch 4350:	pdl:4.06e-01 	 Rec:5.48e-04 	 Color:6.00e-02 	Time: 1.06
epoch 4400:	pdl:3.92e-01 	 Rec:3.64e-04 	 Color:7.12e-02 	Time: 1.06
epoch 4450:	pdl:4.07e-01 	 Rec:4.36e-04 	 Color:6.22e-02 	Time: 1.05
epoch 4500:	pdl:4.01e-01 	 Rec:5.30e-04 	 Color:6.54e-02 	Time: 1.04
epoch 4550:	pdl:3.69e-01 	 Rec:4.27e-04 	 Color:6.97e-02 	Time: 1.04
epoch 4600:	pdl:3.82e-01 	 Rec:3.23e-04 	 Color:6.98e-02 	Time: 1.06
epoch 4650:	pdl:3.65e-01 	 Rec:3.47e-04 	 Color:6.87e-02 	Time: 1.04
epoch 4700:	pdl:4.02e-01 	 Rec:3.74e-04 	 Color:7.62e-02 	Time: 1.04
epoch 4750:	pdl:3.58e-01 	 Rec:3.96e-04 	 Color:6.64e-02 	Time: 1.05
epoch 4800:	pdl:4.10e-01 	 Rec:4.46e-04 	 Color:6.82e-02 	Time: 1.09
epoch 4850:	pdl:3.57e-01 	 Rec:3.88e-04 	 Color:6.00e-02 	Time: 1.05
epoch 4900:	pdl:4.10e-01 	 Rec:3.51e-04 	 Color:7.21e-02 	Time: 1.05
epoch 4950:	pdl:3.62e-01 	 Rec:3.52e-04 	 Color:6.09e-02 	Time: 1.06
epoch 5000:	pdl:3.83e-01 	 Rec:4.72e-04 	 Color:6.05e-02 	Time: 1.05
epoch 5050:	pdl:3.61e-01 	 Rec:3.47e-04 	 Color:6.55e-02 	Time: 1.05
epoch 5100:	pdl:4.17e-01 	 Rec:3.79e-04 	 Color:6.59e-02 	Time: 1.04
epoch 5150:	pdl:3.79e-01 	 Rec:3.80e-04 	 Color:6.45e-02 	Time: 1.06
