epoch 0:	pdl:9.79e-01 	 Rec:1.64e-01 	 Color:2.39e-01 	Time: 0.03
epoch 50:	pdl:2.24e-01 	 Rec:6.90e-03 	 Color:1.37e-01 	Time: 2.11
epoch 100:	pdl:2.06e-01 	 Rec:4.44e-03 	 Color:1.42e-01 	Time: 2.11
epoch 150:	pdl:2.90e-01 	 Rec:3.45e-03 	 Color:1.97e-01 	Time: 2.13
epoch 200:	pdl:2.49e-01 	 Rec:3.05e-03 	 Color:1.93e-01 	Time: 2.16
epoch 250:	pdl:2.14e-01 	 Rec:2.56e-03 	 Color:1.69e-01 	Time: 2.13
epoch 300:	pdl:2.40e-01 	 Rec:2.59e-03 	 Color:1.58e-01 	Time: 2.15
epoch 350:	pdl:1.91e-01 	 Rec:2.19e-03 	 Color:1.28e-01 	Time: 2.16
epoch 400:	pdl:2.04e-01 	 Rec:2.38e-03 	 Color:1.29e-01 	Time: 2.13
epoch 450:	pdl:2.15e-01 	 Rec:2.16e-03 	 Color:1.59e-01 	Time: 2.16
epoch 500:	pdl:1.81e-01 	 Rec:1.98e-03 	 Color:1.34e-01 	Time: 2.12
epoch 550:	pdl:1.94e-01 	 Rec:1.77e-03 	 Color:1.34e-01 	Time: 2.10
epoch 600:	pdl:1.93e-01 	 Rec:1.79e-03 	 Color:1.32e-01 	Time: 2.18
epoch 650:	pdl:2.30e-01 	 Rec:1.52e-03 	 Color:1.62e-01 	Time: 2.11
epoch 700:	pdl:2.02e-01 	 Rec:1.50e-03 	 Color:1.59e-01 	Time: 2.13
epoch 750:	pdl:2.15e-01 	 Rec:1.40e-03 	 Color:1.57e-01 	Time: 2.15
epoch 800:	pdl:1.81e-01 	 Rec:1.29e-03 	 Color:1.40e-01 	Time: 2.13
epoch 850:	pdl:1.70e-01 	 Rec:1.11e-03 	 Color:1.20e-01 	Time: 2.17
epoch 900:	pdl:2.01e-01 	 Rec:1.34e-03 	 Color:1.46e-01 	Time: 2.16
epoch 950:	pdl:1.93e-01 	 Rec:1.38e-03 	 Color:1.42e-01 	Time: 2.09
epoch 1000:	pdl:2.01e-01 	 Rec:1.11e-03 	 Color:1.39e-01 	Time: 2.16
epoch 1050:	pdl:2.38e-01 	 Rec:1.09e-03 	 Color:1.56e-01 	Time: 2.19
