epoch 0:	pdl:1.34e-01 	 Rec:6.08e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:1.21e-01 	 Rec:3.18e-03 	 Color:0.00e+00 	Time: 1.41
epoch 100:	pdl:1.20e-01 	 Rec:2.52e-03 	 Color:0.00e+00 	Time: 1.32
epoch 150:	pdl:1.21e-01 	 Rec:2.10e-03 	 Color:0.00e+00 	Time: 1.31
epoch 200:	pdl:1.26e-01 	 Rec:2.00e-03 	 Color:0.00e+00 	Time: 1.32
epoch 250:	pdl:1.20e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 1.31
epoch 300:	pdl:1.13e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 1.33
epoch 350:	pdl:1.17e-01 	 Rec:1.64e-03 	 Color:0.00e+00 	Time: 1.32
epoch 400:	pdl:1.21e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 1.32
epoch 450:	pdl:1.39e-01 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 1.31
epoch 500:	pdl:1.17e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 1.33
epoch 550:	pdl:1.22e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 1.32
epoch 600:	pdl:1.24e-01 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 1.31
epoch 650:	pdl:1.39e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 1.33
epoch 700:	pdl:1.15e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.32
epoch 750:	pdl:1.14e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 1.30
epoch 800:	pdl:1.44e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.32
epoch 850:	pdl:1.23e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.32
epoch 900:	pdl:1.22e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 1.31
epoch 950:	pdl:1.33e-01 	 Rec:1.47e-03 	 Color:0.00e+00 	Time: 1.33
epoch 1000:	pdl:1.14e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 1.33
epoch 1050:	pdl:1.48e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.33
epoch 1100:	pdl:1.16e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1150:	pdl:1.23e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 1.31
epoch 1200:	pdl:1.22e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1250:	pdl:1.17e-01 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 1.34
epoch 1300:	pdl:1.18e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1350:	pdl:1.17e-01 	 Rec:9.58e-04 	 Color:0.00e+00 	Time: 1.31
epoch 1400:	pdl:1.24e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 1.33
epoch 1450:	pdl:1.54e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1500:	pdl:1.74e-01 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1550:	pdl:1.19e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1600:	pdl:1.23e-01 	 Rec:9.30e-04 	 Color:0.00e+00 	Time: 1.32
epoch 1650:	pdl:1.21e-01 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 1.34
epoch 1700:	pdl:1.21e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 1.34
epoch 1750:	pdl:1.14e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1800:	pdl:1.09e-01 	 Rec:9.50e-04 	 Color:0.00e+00 	Time: 1.31
epoch 1850:	pdl:1.13e-01 	 Rec:8.57e-04 	 Color:0.00e+00 	Time: 1.33
epoch 1900:	pdl:1.28e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.32
epoch 1950:	pdl:1.26e-01 	 Rec:9.18e-04 	 Color:0.00e+00 	Time: 1.33
epoch 2000:	pdl:1.25e-01 	 Rec:8.95e-04 	 Color:0.00e+00 	Time: 1.32
epoch 2050:	pdl:1.21e-01 	 Rec:8.53e-04 	 Color:0.00e+00 	Time: 1.33
epoch 2100:	pdl:1.17e-01 	 Rec:9.45e-04 	 Color:0.00e+00 	Time: 1.29
epoch 2150:	pdl:1.26e-01 	 Rec:8.96e-04 	 Color:0.00e+00 	Time: 1.32
epoch 2200:	pdl:1.29e-01 	 Rec:9.75e-04 	 Color:0.00e+00 	Time: 1.30
