epoch 0:	pdl:2.75e+00 	 Rec:2.75e+00 	 Color:3.71e-01 	Time: 0.02
epoch 50:	pdl:1.75e+00 	 Rec:3.00e-01 	 Color:2.11e-01 	Time: 1.38
epoch 100:	pdl:1.53e+00 	 Rec:2.07e-01 	 Color:1.47e-01 	Time: 1.36
epoch 150:	pdl:1.45e+00 	 Rec:1.98e-01 	 Color:1.37e-01 	Time: 1.37
epoch 200:	pdl:1.53e+00 	 Rec:1.69e-01 	 Color:1.32e-01 	Time: 1.35
epoch 250:	pdl:1.40e+00 	 Rec:1.67e-01 	 Color:1.21e-01 	Time: 1.37
epoch 300:	pdl:1.40e+00 	 Rec:1.58e-01 	 Color:1.27e-01 	Time: 1.38
epoch 350:	pdl:1.29e+00 	 Rec:1.52e-01 	 Color:1.08e-01 	Time: 1.39
epoch 400:	pdl:1.31e+00 	 Rec:1.47e-01 	 Color:1.13e-01 	Time: 1.35
epoch 450:	pdl:1.20e+00 	 Rec:1.53e-01 	 Color:1.02e-01 	Time: 1.34
epoch 500:	pdl:1.37e+00 	 Rec:1.45e-01 	 Color:1.11e-01 	Time: 1.37
epoch 550:	pdl:1.27e+00 	 Rec:1.43e-01 	 Color:1.13e-01 	Time: 1.34
epoch 600:	pdl:1.30e+00 	 Rec:1.47e-01 	 Color:1.04e-01 	Time: 1.33
epoch 650:	pdl:1.63e+00 	 Rec:4.52e-01 	 Color:1.45e-01 	Time: 1.36
epoch 700:	pdl:1.47e+00 	 Rec:1.50e-01 	 Color:1.26e-01 	Time: 1.37
epoch 750:	pdl:1.28e+00 	 Rec:1.40e-01 	 Color:1.09e-01 	Time: 1.36
epoch 800:	pdl:1.33e+00 	 Rec:1.44e-01 	 Color:1.05e-01 	Time: 1.35
epoch 850:	pdl:1.35e+00 	 Rec:1.38e-01 	 Color:1.11e-01 	Time: 1.36
epoch 900:	pdl:1.31e+00 	 Rec:1.40e-01 	 Color:1.10e-01 	Time: 1.35
epoch 950:	pdl:1.21e+00 	 Rec:1.37e-01 	 Color:9.71e-02 	Time: 1.38
epoch 1000:	pdl:1.26e+00 	 Rec:1.35e-01 	 Color:1.03e-01 	Time: 1.36
epoch 1050:	pdl:1.14e+00 	 Rec:1.37e-01 	 Color:9.88e-02 	Time: 1.38
epoch 1100:	pdl:1.21e+00 	 Rec:1.35e-01 	 Color:9.50e-02 	Time: 1.39
epoch 1150:	pdl:1.19e+00 	 Rec:1.35e-01 	 Color:9.46e-02 	Time: 1.37
epoch 1200:	pdl:1.25e+00 	 Rec:1.39e-01 	 Color:9.91e-02 	Time: 1.38
epoch 1250:	pdl:1.24e+00 	 Rec:1.34e-01 	 Color:9.53e-02 	Time: 1.38
epoch 1300:	pdl:1.23e+00 	 Rec:1.32e-01 	 Color:9.06e-02 	Time: 1.35
epoch 1350:	pdl:1.21e+00 	 Rec:1.35e-01 	 Color:9.15e-02 	Time: 1.38
epoch 1400:	pdl:1.74e+00 	 Rec:1.71e-01 	 Color:1.36e-01 	Time: 1.37
epoch 1450:	pdl:1.40e+00 	 Rec:1.78e-01 	 Color:1.22e-01 	Time: 1.35
epoch 1500:	pdl:1.44e+00 	 Rec:1.61e-01 	 Color:1.17e-01 	Time: 1.35
epoch 1550:	pdl:1.31e+00 	 Rec:1.50e-01 	 Color:9.58e-02 	Time: 1.36
epoch 1600:	pdl:1.31e+00 	 Rec:1.40e-01 	 Color:1.05e-01 	Time: 1.33
epoch 1650:	pdl:1.36e+00 	 Rec:1.37e-01 	 Color:1.04e-01 	Time: 1.35
epoch 1700:	pdl:1.20e+00 	 Rec:1.38e-01 	 Color:9.25e-02 	Time: 1.34
epoch 1750:	pdl:1.29e+00 	 Rec:1.33e-01 	 Color:9.44e-02 	Time: 1.31
epoch 1800:	pdl:1.17e+00 	 Rec:1.34e-01 	 Color:9.21e-02 	Time: 1.34
epoch 1850:	pdl:1.27e+00 	 Rec:1.37e-01 	 Color:9.93e-02 	Time: 1.35
epoch 1900:	pdl:1.21e+00 	 Rec:1.32e-01 	 Color:9.85e-02 	Time: 1.35
epoch 1950:	pdl:1.25e+00 	 Rec:1.36e-01 	 Color:1.00e-01 	Time: 1.32
epoch 2000:	pdl:1.22e+00 	 Rec:1.34e-01 	 Color:9.42e-02 	Time: 1.32
epoch 2050:	pdl:1.17e+00 	 Rec:1.34e-01 	 Color:1.05e-01 	Time: 1.35
epoch 2100:	pdl:1.16e+00 	 Rec:1.32e-01 	 Color:8.76e-02 	Time: 1.32
epoch 2150:	pdl:1.16e+00 	 Rec:1.33e-01 	 Color:8.97e-02 	Time: 1.36
epoch 2200:	pdl:1.15e+00 	 Rec:1.32e-01 	 Color:8.78e-02 	Time: 1.33
epoch 2250:	pdl:1.09e+00 	 Rec:1.34e-01 	 Color:8.14e-02 	Time: 1.34
epoch 2300:	pdl:1.14e+00 	 Rec:1.33e-01 	 Color:8.67e-02 	Time: 1.35
epoch 2350:	pdl:1.35e+00 	 Rec:1.43e-01 	 Color:1.06e-01 	Time: 1.34
epoch 2400:	pdl:1.16e+00 	 Rec:1.32e-01 	 Color:8.81e-02 	Time: 1.36
epoch 2450:	pdl:1.19e+00 	 Rec:1.36e-01 	 Color:9.42e-02 	Time: 1.38
epoch 2500:	pdl:1.21e+00 	 Rec:1.36e-01 	 Color:9.67e-02 	Time: 1.32
epoch 2550:	pdl:1.23e+00 	 Rec:1.34e-01 	 Color:1.06e-01 	Time: 1.35
epoch 2600:	pdl:1.25e+00 	 Rec:1.33e-01 	 Color:1.02e-01 	Time: 1.33
epoch 2650:	pdl:1.35e+00 	 Rec:1.36e-01 	 Color:1.04e-01 	Time: 1.36
epoch 2700:	pdl:1.27e+00 	 Rec:1.35e-01 	 Color:1.01e-01 	Time: 1.34
epoch 2750:	pdl:1.29e+00 	 Rec:1.34e-01 	 Color:1.20e-01 	Time: 1.36
epoch 2800:	pdl:1.13e+00 	 Rec:1.33e-01 	 Color:8.40e-02 	Time: 1.35
epoch 2850:	pdl:1.32e+00 	 Rec:1.32e-01 	 Color:1.07e-01 	Time: 1.35
epoch 2900:	pdl:1.11e+00 	 Rec:1.32e-01 	 Color:8.42e-02 	Time: 1.37
epoch 2950:	pdl:1.14e+00 	 Rec:1.32e-01 	 Color:9.41e-02 	Time: 1.35
epoch 3000:	pdl:1.13e+00 	 Rec:1.31e-01 	 Color:9.22e-02 	Time: 1.35
epoch 3050:	pdl:1.11e+00 	 Rec:1.32e-01 	 Color:8.77e-02 	Time: 1.37
epoch 3100:	pdl:1.12e+00 	 Rec:1.32e-01 	 Color:9.29e-02 	Time: 1.34
epoch 3150:	pdl:1.23e+00 	 Rec:1.32e-01 	 Color:9.76e-02 	Time: 1.35
epoch 3200:	pdl:1.28e+00 	 Rec:1.32e-01 	 Color:9.27e-02 	Time: 1.33
epoch 3250:	pdl:1.20e+00 	 Rec:1.32e-01 	 Color:8.65e-02 	Time: 1.35
epoch 3300:	pdl:1.22e+00 	 Rec:1.33e-01 	 Color:9.36e-02 	Time: 1.34
epoch 3350:	pdl:1.12e+00 	 Rec:1.30e-01 	 Color:9.77e-02 	Time: 1.39
epoch 3400:	pdl:1.15e+00 	 Rec:1.33e-01 	 Color:8.86e-02 	Time: 1.34
epoch 3450:	pdl:1.17e+00 	 Rec:1.31e-01 	 Color:9.85e-02 	Time: 1.34
epoch 3500:	pdl:1.15e+00 	 Rec:1.33e-01 	 Color:8.98e-02 	Time: 1.35
epoch 3550:	pdl:1.22e+00 	 Rec:1.32e-01 	 Color:9.73e-02 	Time: 1.38
epoch 3600:	pdl:1.18e+00 	 Rec:1.32e-01 	 Color:9.68e-02 	Time: 1.36
epoch 3650:	pdl:1.10e+00 	 Rec:1.30e-01 	 Color:8.93e-02 	Time: 1.36
epoch 3700:	pdl:1.15e+00 	 Rec:1.33e-01 	 Color:9.16e-02 	Time: 1.35
epoch 3750:	pdl:1.11e+00 	 Rec:1.30e-01 	 Color:8.64e-02 	Time: 1.36
epoch 3800:	pdl:1.11e+00 	 Rec:1.31e-01 	 Color:9.24e-02 	Time: 1.38
epoch 3850:	pdl:1.08e+00 	 Rec:1.19e-01 	 Color:8.62e-02 	Time: 1.36
epoch 3900:	pdl:1.11e+00 	 Rec:1.30e-01 	 Color:8.53e-02 	Time: 1.36
epoch 3950:	pdl:1.21e+00 	 Rec:1.20e-01 	 Color:9.97e-02 	Time: 1.37
epoch 4000:	pdl:1.17e+00 	 Rec:1.18e-01 	 Color:9.30e-02 	Time: 1.37
epoch 4050:	pdl:1.10e+00 	 Rec:1.19e-01 	 Color:8.57e-02 	Time: 1.37
epoch 4100:	pdl:1.19e+00 	 Rec:1.18e-01 	 Color:9.27e-02 	Time: 1.36
epoch 4150:	pdl:1.09e+00 	 Rec:1.18e-01 	 Color:8.15e-02 	Time: 1.36
epoch 4200:	pdl:1.16e+00 	 Rec:1.18e-01 	 Color:8.97e-02 	Time: 1.36
epoch 4250:	pdl:1.08e+00 	 Rec:1.19e-01 	 Color:8.29e-02 	Time: 1.39
epoch 4300:	pdl:1.03e+00 	 Rec:1.18e-01 	 Color:7.44e-02 	Time: 1.35
epoch 4350:	pdl:1.10e+00 	 Rec:1.18e-01 	 Color:8.13e-02 	Time: 1.38
epoch 4400:	pdl:1.24e+00 	 Rec:1.18e-01 	 Color:9.77e-02 	Time: 1.35
epoch 4450:	pdl:1.13e+00 	 Rec:1.18e-01 	 Color:8.93e-02 	Time: 1.38
epoch 4500:	pdl:1.20e+00 	 Rec:1.19e-01 	 Color:9.12e-02 	Time: 1.39
epoch 4550:	pdl:1.19e+00 	 Rec:1.18e-01 	 Color:9.46e-02 	Time: 1.40
epoch 4600:	pdl:1.22e+00 	 Rec:1.19e-01 	 Color:9.39e-02 	Time: 1.36
epoch 4650:	pdl:1.12e+00 	 Rec:1.18e-01 	 Color:8.50e-02 	Time: 1.40
epoch 4700:	pdl:1.09e+00 	 Rec:1.19e-01 	 Color:8.81e-02 	Time: 1.39
epoch 4750:	pdl:1.04e+00 	 Rec:1.17e-01 	 Color:7.78e-02 	Time: 1.38
