epoch 0:	pdl:3.77e+00 	 Rec:3.77e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:1.77e+00 	 Rec:3.72e-03 	 Color:0.00e+00 	Time: 0.33
epoch 100:	pdl:1.67e+00 	 Rec:4.95e-03 	 Color:0.00e+00 	Time: 0.33
epoch 150:	pdl:1.78e+00 	 Rec:4.75e-03 	 Color:0.00e+00 	Time: 0.33
epoch 200:	pdl:1.59e+00 	 Rec:3.13e-03 	 Color:0.00e+00 	Time: 0.33
epoch 250:	pdl:1.61e+00 	 Rec:3.55e-03 	 Color:0.00e+00 	Time: 0.33
epoch 300:	pdl:1.55e+00 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 0.33
epoch 350:	pdl:1.59e+00 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 0.33
epoch 400:	pdl:1.93e+00 	 Rec:2.79e-02 	 Color:0.00e+00 	Time: 0.33
epoch 450:	pdl:1.72e+00 	 Rec:7.84e-03 	 Color:0.00e+00 	Time: 0.33
epoch 500:	pdl:1.69e+00 	 Rec:4.18e-03 	 Color:0.00e+00 	Time: 0.33
epoch 550:	pdl:1.59e+00 	 Rec:3.11e-03 	 Color:0.00e+00 	Time: 0.33
epoch 600:	pdl:1.58e+00 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 0.34
epoch 650:	pdl:1.68e+00 	 Rec:3.09e-03 	 Color:0.00e+00 	Time: 0.32
epoch 700:	pdl:1.52e+00 	 Rec:2.27e-03 	 Color:0.00e+00 	Time: 0.32
epoch 750:	pdl:1.63e+00 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.32
epoch 800:	pdl:1.57e+00 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 0.32
epoch 850:	pdl:1.59e+00 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.35
epoch 900:	pdl:1.57e+00 	 Rec:4.37e-03 	 Color:0.00e+00 	Time: 0.33
epoch 950:	pdl:1.44e+00 	 Rec:2.07e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1000:	pdl:1.53e+00 	 Rec:2.05e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1050:	pdl:1.46e+00 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1100:	pdl:1.60e+00 	 Rec:1.53e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1150:	pdl:1.42e+00 	 Rec:2.89e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1200:	pdl:1.52e+00 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1250:	pdl:1.38e+00 	 Rec:2.43e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1300:	pdl:1.41e+00 	 Rec:3.17e-03 	 Color:0.00e+00 	Time: 0.34
epoch 1350:	pdl:1.43e+00 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1400:	pdl:1.41e+00 	 Rec:1.63e-02 	 Color:0.00e+00 	Time: 0.32
epoch 1450:	pdl:1.37e+00 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1500:	pdl:1.29e+00 	 Rec:4.53e-03 	 Color:0.00e+00 	Time: 0.34
epoch 1550:	pdl:1.31e+00 	 Rec:2.20e-03 	 Color:0.00e+00 	Time: 0.35
epoch 1600:	pdl:1.35e+00 	 Rec:5.04e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1650:	pdl:1.33e+00 	 Rec:5.64e-03 	 Color:0.00e+00 	Time: 0.36
epoch 1700:	pdl:1.27e+00 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.35
epoch 1750:	pdl:1.29e+00 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 0.35
epoch 1800:	pdl:1.33e+00 	 Rec:3.88e-03 	 Color:0.00e+00 	Time: 0.35
epoch 1850:	pdl:1.26e+00 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.33
epoch 1900:	pdl:1.20e+00 	 Rec:1.91e-03 	 Color:0.00e+00 	Time: 0.32
epoch 1950:	pdl:1.17e+00 	 Rec:3.90e-03 	 Color:0.00e+00 	Time: 0.32
epoch 2000:	pdl:1.22e+00 	 Rec:2.37e-03 	 Color:0.00e+00 	Time: 0.32
epoch 2050:	pdl:1.20e+00 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 0.32
epoch 2100:	pdl:1.18e+00 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.32
epoch 2150:	pdl:1.17e+00 	 Rec:5.37e-04 	 Color:0.00e+00 	Time: 0.33
epoch 2200:	pdl:1.14e+00 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.32
