epoch 0:	pdl:1.22e+00 	 Rec:2.51e-01 	 Color:3.08e-01 	Time: 0.01
epoch 50:	pdl:5.87e-01 	 Rec:5.16e-02 	 Color:2.06e-01 	Time: 0.41
epoch 100:	pdl:5.51e-01 	 Rec:1.65e-02 	 Color:2.11e-01 	Time: 0.41
epoch 150:	pdl:5.57e-01 	 Rec:9.68e-03 	 Color:2.17e-01 	Time: 0.40
epoch 200:	pdl:5.53e-01 	 Rec:6.50e-03 	 Color:2.24e-01 	Time: 0.40
epoch 250:	pdl:5.11e-01 	 Rec:4.75e-03 	 Color:1.93e-01 	Time: 0.42
epoch 300:	pdl:5.30e-01 	 Rec:3.95e-03 	 Color:1.96e-01 	Time: 0.40
epoch 350:	pdl:4.95e-01 	 Rec:3.36e-03 	 Color:1.84e-01 	Time: 0.44
epoch 400:	pdl:4.83e-01 	 Rec:2.58e-03 	 Color:1.71e-01 	Time: 0.41
epoch 450:	pdl:4.85e-01 	 Rec:2.22e-03 	 Color:1.69e-01 	Time: 0.41
epoch 500:	pdl:4.85e-01 	 Rec:2.07e-03 	 Color:1.76e-01 	Time: 0.40
epoch 550:	pdl:4.60e-01 	 Rec:2.43e-03 	 Color:1.61e-01 	Time: 0.43
epoch 600:	pdl:4.42e-01 	 Rec:2.15e-03 	 Color:1.51e-01 	Time: 0.45
epoch 650:	pdl:4.68e-01 	 Rec:1.95e-03 	 Color:1.72e-01 	Time: 0.41
epoch 700:	pdl:4.56e-01 	 Rec:2.67e-03 	 Color:1.87e-01 	Time: 0.39
epoch 750:	pdl:4.82e-01 	 Rec:1.85e-03 	 Color:2.13e-01 	Time: 0.39
epoch 800:	pdl:4.34e-01 	 Rec:1.49e-03 	 Color:1.60e-01 	Time: 0.41
epoch 850:	pdl:4.64e-01 	 Rec:1.42e-03 	 Color:1.87e-01 	Time: 0.42
epoch 900:	pdl:4.38e-01 	 Rec:1.24e-03 	 Color:1.66e-01 	Time: 0.43
epoch 950:	pdl:4.73e-01 	 Rec:2.22e-03 	 Color:1.52e-01 	Time: 0.39
epoch 1000:	pdl:4.79e-01 	 Rec:1.52e-03 	 Color:1.85e-01 	Time: 0.44
epoch 1050:	pdl:4.44e-01 	 Rec:1.68e-03 	 Color:1.83e-01 	Time: 0.40
epoch 1100:	pdl:4.36e-01 	 Rec:1.62e-03 	 Color:1.61e-01 	Time: 0.40
epoch 1150:	pdl:4.63e-01 	 Rec:1.20e-03 	 Color:1.72e-01 	Time: 0.42
