epoch 0:	pdl:2.03e-01 	 Rec:5.37e-03 	 Color:1.64e-01 	Time: 0.05
epoch 50:	pdl:1.54e-01 	 Rec:4.17e-03 	 Color:1.55e-01 	Time: 6.29
epoch 100:	pdl:1.77e-01 	 Rec:3.96e-03 	 Color:1.73e-01 	Time: 6.15
epoch 150:	pdl:1.50e-01 	 Rec:3.57e-03 	 Color:1.61e-01 	Time: 6.18
epoch 200:	pdl:1.85e-01 	 Rec:3.46e-03 	 Color:1.91e-01 	Time: 6.16
epoch 250:	pdl:1.59e-01 	 Rec:3.24e-03 	 Color:1.57e-01 	Time: 6.14
epoch 300:	pdl:1.56e-01 	 Rec:3.18e-03 	 Color:1.63e-01 	Time: 6.15
epoch 350:	pdl:1.62e-01 	 Rec:3.24e-03 	 Color:1.76e-01 	Time: 6.18
epoch 400:	pdl:1.55e-01 	 Rec:3.23e-03 	 Color:1.68e-01 	Time: 6.20
epoch 450:	pdl:1.63e-01 	 Rec:3.18e-03 	 Color:1.74e-01 	Time: 6.16
epoch 500:	pdl:1.72e-01 	 Rec:3.00e-03 	 Color:1.68e-01 	Time: 6.19
epoch 550:	pdl:1.62e-01 	 Rec:2.80e-03 	 Color:1.79e-01 	Time: 6.18
epoch 600:	pdl:1.81e-01 	 Rec:2.89e-03 	 Color:1.87e-01 	Time: 6.20
epoch 650:	pdl:1.47e-01 	 Rec:2.98e-03 	 Color:1.56e-01 	Time: 6.20
epoch 700:	pdl:1.57e-01 	 Rec:2.78e-03 	 Color:1.67e-01 	Time: 6.18
epoch 750:	pdl:1.68e-01 	 Rec:2.69e-03 	 Color:1.70e-01 	Time: 6.20
epoch 800:	pdl:1.54e-01 	 Rec:2.58e-03 	 Color:1.56e-01 	Time: 6.23
epoch 850:	pdl:1.70e-01 	 Rec:2.73e-03 	 Color:1.78e-01 	Time: 6.22
epoch 900:	pdl:1.53e-01 	 Rec:2.55e-03 	 Color:1.65e-01 	Time: 6.21
epoch 950:	pdl:1.70e-01 	 Rec:2.60e-03 	 Color:1.63e-01 	Time: 6.21
epoch 1000:	pdl:1.54e-01 	 Rec:2.60e-03 	 Color:1.59e-01 	Time: 6.20
epoch 1050:	pdl:1.69e-01 	 Rec:2.38e-03 	 Color:1.85e-01 	Time: 6.29
epoch 1100:	pdl:1.58e-01 	 Rec:2.68e-03 	 Color:1.63e-01 	Time: 6.21
epoch 1150:	pdl:1.57e-01 	 Rec:2.55e-03 	 Color:1.57e-01 	Time: 6.18
epoch 1200:	pdl:1.56e-01 	 Rec:2.37e-03 	 Color:1.62e-01 	Time: 6.20
epoch 1250:	pdl:1.62e-01 	 Rec:2.43e-03 	 Color:1.73e-01 	Time: 6.23
epoch 1300:	pdl:1.50e-01 	 Rec:2.37e-03 	 Color:1.62e-01 	Time: 6.24
