epoch 0:	pdl:2.37e-01 	 Rec:4.83e-03 	 Color:1.21e-01 	Time: 0.02
epoch 50:	pdl:2.44e-01 	 Rec:3.20e-03 	 Color:1.27e-01 	Time: 1.57
epoch 100:	pdl:2.23e-01 	 Rec:2.97e-03 	 Color:1.04e-01 	Time: 1.55
epoch 150:	pdl:2.16e-01 	 Rec:2.74e-03 	 Color:1.13e-01 	Time: 1.57
epoch 200:	pdl:2.23e-01 	 Rec:2.47e-03 	 Color:1.12e-01 	Time: 1.54
epoch 250:	pdl:2.22e-01 	 Rec:2.39e-03 	 Color:1.11e-01 	Time: 1.43
epoch 300:	pdl:2.15e-01 	 Rec:2.29e-03 	 Color:1.05e-01 	Time: 1.20
epoch 350:	pdl:2.10e-01 	 Rec:2.18e-03 	 Color:1.09e-01 	Time: 1.19
epoch 400:	pdl:2.23e-01 	 Rec:2.08e-03 	 Color:1.12e-01 	Time: 1.23
epoch 450:	pdl:2.09e-01 	 Rec:2.04e-03 	 Color:1.01e-01 	Time: 1.18
epoch 500:	pdl:2.23e-01 	 Rec:1.99e-03 	 Color:1.22e-01 	Time: 1.18
epoch 550:	pdl:2.18e-01 	 Rec:1.95e-03 	 Color:1.09e-01 	Time: 1.21
epoch 600:	pdl:2.18e-01 	 Rec:1.90e-03 	 Color:1.20e-01 	Time: 1.21
epoch 650:	pdl:2.09e-01 	 Rec:1.79e-03 	 Color:1.07e-01 	Time: 1.18
epoch 700:	pdl:2.47e-01 	 Rec:1.84e-03 	 Color:1.24e-01 	Time: 1.24
epoch 750:	pdl:2.28e-01 	 Rec:1.79e-03 	 Color:1.25e-01 	Time: 1.24
epoch 800:	pdl:2.26e-01 	 Rec:1.78e-03 	 Color:1.23e-01 	Time: 1.21
epoch 850:	pdl:2.14e-01 	 Rec:1.76e-03 	 Color:1.06e-01 	Time: 1.23
epoch 900:	pdl:2.17e-01 	 Rec:1.65e-03 	 Color:1.06e-01 	Time: 1.23
epoch 950:	pdl:2.06e-01 	 Rec:1.62e-03 	 Color:1.05e-01 	Time: 1.21
epoch 1000:	pdl:2.28e-01 	 Rec:1.61e-03 	 Color:1.18e-01 	Time: 1.19
epoch 1050:	pdl:2.18e-01 	 Rec:1.69e-03 	 Color:1.21e-01 	Time: 1.22
epoch 1100:	pdl:2.44e-01 	 Rec:1.55e-03 	 Color:1.37e-01 	Time: 1.21
epoch 1150:	pdl:2.20e-01 	 Rec:1.56e-03 	 Color:1.11e-01 	Time: 1.19
epoch 1200:	pdl:2.11e-01 	 Rec:1.56e-03 	 Color:1.11e-01 	Time: 1.21
epoch 1250:	pdl:2.08e-01 	 Rec:1.55e-03 	 Color:1.11e-01 	Time: 1.18
epoch 1300:	pdl:2.19e-01 	 Rec:1.59e-03 	 Color:1.21e-01 	Time: 1.20
epoch 1350:	pdl:2.22e-01 	 Rec:1.45e-03 	 Color:1.21e-01 	Time: 1.23
epoch 1400:	pdl:2.38e-01 	 Rec:1.50e-03 	 Color:1.19e-01 	Time: 1.18
epoch 1450:	pdl:2.36e-01 	 Rec:1.48e-03 	 Color:1.31e-01 	Time: 1.23
epoch 1500:	pdl:2.25e-01 	 Rec:1.41e-03 	 Color:1.13e-01 	Time: 1.21
epoch 1550:	pdl:1.97e-01 	 Rec:1.48e-03 	 Color:9.86e-02 	Time: 1.21
epoch 1600:	pdl:2.13e-01 	 Rec:1.45e-03 	 Color:1.10e-01 	Time: 1.24
epoch 1650:	pdl:2.12e-01 	 Rec:1.40e-03 	 Color:1.10e-01 	Time: 1.22
epoch 1700:	pdl:2.30e-01 	 Rec:1.45e-03 	 Color:1.14e-01 	Time: 1.18
epoch 1750:	pdl:2.09e-01 	 Rec:1.36e-03 	 Color:1.11e-01 	Time: 1.18
epoch 1800:	pdl:2.06e-01 	 Rec:1.29e-03 	 Color:1.07e-01 	Time: 1.20
epoch 1850:	pdl:2.47e-01 	 Rec:1.35e-03 	 Color:1.41e-01 	Time: 1.20
epoch 1900:	pdl:2.07e-01 	 Rec:1.38e-03 	 Color:1.06e-01 	Time: 1.26
epoch 1950:	pdl:2.24e-01 	 Rec:1.34e-03 	 Color:1.14e-01 	Time: 1.21
epoch 2000:	pdl:2.31e-01 	 Rec:1.26e-03 	 Color:1.29e-01 	Time: 1.22
epoch 2050:	pdl:2.04e-01 	 Rec:1.27e-03 	 Color:1.02e-01 	Time: 1.24
epoch 2100:	pdl:2.09e-01 	 Rec:1.35e-03 	 Color:9.98e-02 	Time: 1.22
epoch 2150:	pdl:2.16e-01 	 Rec:1.27e-03 	 Color:1.01e-01 	Time: 1.18
epoch 2200:	pdl:2.31e-01 	 Rec:1.25e-03 	 Color:1.20e-01 	Time: 1.23
epoch 2250:	pdl:2.06e-01 	 Rec:1.41e-03 	 Color:1.06e-01 	Time: 1.23
epoch 2300:	pdl:2.13e-01 	 Rec:1.23e-03 	 Color:1.22e-01 	Time: 1.25
epoch 2350:	pdl:2.09e-01 	 Rec:1.21e-03 	 Color:1.09e-01 	Time: 1.21
epoch 2400:	pdl:2.11e-01 	 Rec:1.17e-03 	 Color:1.05e-01 	Time: 1.27
epoch 2450:	pdl:2.14e-01 	 Rec:1.18e-03 	 Color:1.16e-01 	Time: 1.22
epoch 2500:	pdl:2.21e-01 	 Rec:1.23e-03 	 Color:1.21e-01 	Time: 1.23
epoch 2550:	pdl:2.12e-01 	 Rec:1.24e-03 	 Color:1.08e-01 	Time: 1.20
epoch 2600:	pdl:2.11e-01 	 Rec:1.17e-03 	 Color:1.16e-01 	Time: 1.20
epoch 2650:	pdl:2.14e-01 	 Rec:1.20e-03 	 Color:1.11e-01 	Time: 1.20
epoch 2700:	pdl:2.07e-01 	 Rec:1.18e-03 	 Color:1.05e-01 	Time: 1.24
epoch 2750:	pdl:2.29e-01 	 Rec:1.12e-03 	 Color:1.20e-01 	Time: 1.56
epoch 2800:	pdl:2.40e-01 	 Rec:1.12e-03 	 Color:1.31e-01 	Time: 1.50
epoch 2850:	pdl:2.21e-01 	 Rec:1.24e-03 	 Color:1.08e-01 	Time: 1.46
epoch 2900:	pdl:2.25e-01 	 Rec:1.11e-03 	 Color:1.08e-01 	Time: 1.49
epoch 2950:	pdl:2.26e-01 	 Rec:1.19e-03 	 Color:1.22e-01 	Time: 1.53
epoch 3000:	pdl:2.18e-01 	 Rec:1.08e-03 	 Color:1.12e-01 	Time: 1.51
epoch 3050:	pdl:2.15e-01 	 Rec:1.12e-03 	 Color:1.04e-01 	Time: 1.52
epoch 3100:	pdl:1.99e-01 	 Rec:1.10e-03 	 Color:1.02e-01 	Time: 1.46
epoch 3150:	pdl:2.14e-01 	 Rec:1.07e-03 	 Color:1.19e-01 	Time: 1.46
epoch 3200:	pdl:2.07e-01 	 Rec:1.10e-03 	 Color:1.05e-01 	Time: 1.51
epoch 3250:	pdl:2.17e-01 	 Rec:1.14e-03 	 Color:9.28e-02 	Time: 1.32
epoch 3300:	pdl:2.26e-01 	 Rec:1.08e-03 	 Color:1.23e-01 	Time: 1.16
epoch 3350:	pdl:2.22e-01 	 Rec:1.21e-03 	 Color:1.22e-01 	Time: 1.16
epoch 3400:	pdl:2.31e-01 	 Rec:1.08e-03 	 Color:1.37e-01 	Time: 1.16
epoch 3450:	pdl:2.11e-01 	 Rec:1.07e-03 	 Color:1.10e-01 	Time: 1.16
epoch 3500:	pdl:2.27e-01 	 Rec:1.08e-03 	 Color:1.39e-01 	Time: 1.17
epoch 3550:	pdl:2.24e-01 	 Rec:1.14e-03 	 Color:1.21e-01 	Time: 1.17
epoch 3600:	pdl:2.17e-01 	 Rec:1.05e-03 	 Color:1.18e-01 	Time: 1.17
epoch 3650:	pdl:2.18e-01 	 Rec:1.04e-03 	 Color:1.11e-01 	Time: 1.17
epoch 3700:	pdl:2.12e-01 	 Rec:9.86e-04 	 Color:1.15e-01 	Time: 1.16
epoch 3750:	pdl:2.03e-01 	 Rec:1.14e-03 	 Color:1.01e-01 	Time: 1.17
epoch 3800:	pdl:2.23e-01 	 Rec:9.91e-04 	 Color:1.23e-01 	Time: 1.20
epoch 3850:	pdl:2.02e-01 	 Rec:1.06e-03 	 Color:9.92e-02 	Time: 1.19
epoch 3900:	pdl:2.01e-01 	 Rec:1.02e-03 	 Color:1.05e-01 	Time: 1.20
epoch 3950:	pdl:2.21e-01 	 Rec:1.09e-03 	 Color:1.11e-01 	Time: 1.22
epoch 4000:	pdl:2.05e-01 	 Rec:1.07e-03 	 Color:9.25e-02 	Time: 1.22
epoch 4050:	pdl:2.28e-01 	 Rec:1.03e-03 	 Color:1.20e-01 	Time: 1.24
epoch 4100:	pdl:1.97e-01 	 Rec:1.01e-03 	 Color:9.78e-02 	Time: 1.20
epoch 4150:	pdl:2.24e-01 	 Rec:9.50e-04 	 Color:1.35e-01 	Time: 1.24
epoch 4200:	pdl:2.21e-01 	 Rec:1.02e-03 	 Color:1.10e-01 	Time: 1.19
epoch 4250:	pdl:2.28e-01 	 Rec:1.01e-03 	 Color:1.30e-01 	Time: 1.17
epoch 4300:	pdl:2.08e-01 	 Rec:1.08e-03 	 Color:1.03e-01 	Time: 1.17
epoch 4350:	pdl:2.42e-01 	 Rec:9.36e-04 	 Color:1.32e-01 	Time: 1.21
epoch 4400:	pdl:2.19e-01 	 Rec:9.97e-04 	 Color:1.08e-01 	Time: 1.17
epoch 4450:	pdl:2.00e-01 	 Rec:1.06e-03 	 Color:1.02e-01 	Time: 1.20
epoch 4500:	pdl:2.17e-01 	 Rec:1.04e-03 	 Color:1.10e-01 	Time: 1.17
epoch 4550:	pdl:2.13e-01 	 Rec:9.13e-04 	 Color:1.10e-01 	Time: 1.21
epoch 4600:	pdl:2.24e-01 	 Rec:1.06e-03 	 Color:1.20e-01 	Time: 1.20
epoch 4650:	pdl:2.04e-01 	 Rec:9.81e-04 	 Color:9.64e-02 	Time: 1.21
epoch 4700:	pdl:2.07e-01 	 Rec:9.87e-04 	 Color:1.06e-01 	Time: 1.18
epoch 4750:	pdl:2.16e-01 	 Rec:9.48e-04 	 Color:1.16e-01 	Time: 1.17
epoch 4800:	pdl:2.27e-01 	 Rec:1.01e-03 	 Color:1.20e-01 	Time: 1.18
epoch 4850:	pdl:2.14e-01 	 Rec:9.40e-04 	 Color:1.04e-01 	Time: 1.17
epoch 4900:	pdl:2.08e-01 	 Rec:1.02e-03 	 Color:1.14e-01 	Time: 1.17
epoch 4950:	pdl:2.24e-01 	 Rec:9.86e-04 	 Color:1.21e-01 	Time: 1.19
epoch 5000:	pdl:2.13e-01 	 Rec:9.41e-04 	 Color:1.14e-01 	Time: 1.19
epoch 5050:	pdl:2.16e-01 	 Rec:9.35e-04 	 Color:1.11e-01 	Time: 1.23
epoch 5100:	pdl:2.11e-01 	 Rec:9.83e-04 	 Color:1.18e-01 	Time: 1.19
epoch 5150:	pdl:2.15e-01 	 Rec:9.79e-04 	 Color:1.13e-01 	Time: 1.19
epoch 5200:	pdl:2.23e-01 	 Rec:1.12e-03 	 Color:1.24e-01 	Time: 1.19
epoch 5250:	pdl:2.26e-01 	 Rec:1.03e-03 	 Color:1.34e-01 	Time: 1.20
epoch 5300:	pdl:2.13e-01 	 Rec:1.14e-03 	 Color:1.16e-01 	Time: 1.19
epoch 5350:	pdl:2.25e-01 	 Rec:9.65e-04 	 Color:1.25e-01 	Time: 1.19
epoch 5400:	pdl:2.20e-01 	 Rec:8.80e-04 	 Color:1.29e-01 	Time: 1.21
epoch 5450:	pdl:2.14e-01 	 Rec:9.71e-04 	 Color:1.25e-01 	Time: 1.21
epoch 5500:	pdl:2.11e-01 	 Rec:9.98e-04 	 Color:1.03e-01 	Time: 1.18
epoch 5550:	pdl:2.19e-01 	 Rec:9.32e-04 	 Color:1.26e-01 	Time: 1.17
epoch 5600:	pdl:2.22e-01 	 Rec:8.96e-04 	 Color:1.22e-01 	Time: 1.17
epoch 5650:	pdl:2.24e-01 	 Rec:8.87e-04 	 Color:1.28e-01 	Time: 1.17
epoch 5700:	pdl:2.14e-01 	 Rec:9.10e-04 	 Color:1.02e-01 	Time: 1.20
epoch 5750:	pdl:2.25e-01 	 Rec:1.02e-03 	 Color:1.10e-01 	Time: 1.17
epoch 5800:	pdl:2.24e-01 	 Rec:8.99e-04 	 Color:1.21e-01 	Time: 1.17
epoch 5850:	pdl:2.05e-01 	 Rec:8.96e-04 	 Color:1.04e-01 	Time: 1.17
epoch 5900:	pdl:2.19e-01 	 Rec:9.15e-04 	 Color:1.08e-01 	Time: 1.17
epoch 5950:	pdl:2.28e-01 	 Rec:9.64e-04 	 Color:1.26e-01 	Time: 1.17
epoch 6000:	pdl:2.11e-01 	 Rec:8.58e-04 	 Color:1.05e-01 	Time: 1.17
epoch 6050:	pdl:1.97e-01 	 Rec:9.02e-04 	 Color:1.02e-01 	Time: 1.18
epoch 6100:	pdl:2.11e-01 	 Rec:9.90e-04 	 Color:1.07e-01 	Time: 1.17
epoch 6150:	pdl:2.14e-01 	 Rec:8.97e-04 	 Color:1.05e-01 	Time: 1.21
epoch 6200:	pdl:2.27e-01 	 Rec:1.03e-03 	 Color:1.24e-01 	Time: 1.19
epoch 6250:	pdl:2.01e-01 	 Rec:9.13e-04 	 Color:1.00e-01 	Time: 1.17
epoch 6300:	pdl:2.26e-01 	 Rec:8.80e-04 	 Color:1.32e-01 	Time: 1.17
epoch 6350:	pdl:2.06e-01 	 Rec:8.12e-04 	 Color:1.07e-01 	Time: 1.19
epoch 6400:	pdl:2.08e-01 	 Rec:8.61e-04 	 Color:1.15e-01 	Time: 1.19
epoch 6450:	pdl:2.02e-01 	 Rec:7.28e-04 	 Color:1.09e-01 	Time: 1.17
epoch 6500:	pdl:2.10e-01 	 Rec:7.05e-04 	 Color:1.08e-01 	Time: 1.17
epoch 6550:	pdl:1.99e-01 	 Rec:7.02e-04 	 Color:1.01e-01 	Time: 1.17
epoch 6600:	pdl:2.09e-01 	 Rec:7.04e-04 	 Color:1.15e-01 	Time: 1.21
epoch 6650:	pdl:2.11e-01 	 Rec:6.87e-04 	 Color:1.21e-01 	Time: 1.17
epoch 6700:	pdl:2.12e-01 	 Rec:6.95e-04 	 Color:1.18e-01 	Time: 1.20
