epoch 0:	pdl:2.01e+00 	 Rec:2.58e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:8.53e-01 	 Rec:3.71e-02 	 Color:0.00e+00 	Time: 0.36
epoch 100:	pdl:7.17e-01 	 Rec:1.06e-02 	 Color:0.00e+00 	Time: 0.37
epoch 150:	pdl:6.59e-01 	 Rec:5.74e-03 	 Color:0.00e+00 	Time: 0.37
epoch 200:	pdl:7.66e-01 	 Rec:4.08e-03 	 Color:0.00e+00 	Time: 0.36
epoch 250:	pdl:6.45e-01 	 Rec:2.93e-03 	 Color:0.00e+00 	Time: 0.33
epoch 300:	pdl:6.46e-01 	 Rec:3.06e-03 	 Color:0.00e+00 	Time: 0.35
epoch 350:	pdl:6.47e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 0.36
epoch 400:	pdl:6.71e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 0.35
epoch 450:	pdl:6.40e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 0.36
epoch 500:	pdl:6.13e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.34
epoch 550:	pdl:6.52e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.33
epoch 600:	pdl:5.86e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.36
epoch 650:	pdl:6.51e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 0.36
epoch 700:	pdl:6.23e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.36
epoch 750:	pdl:5.95e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.37
epoch 800:	pdl:6.18e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.36
epoch 850:	pdl:6.67e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.35
epoch 900:	pdl:5.93e-01 	 Rec:9.82e-04 	 Color:0.00e+00 	Time: 0.36
epoch 950:	pdl:6.01e-01 	 Rec:8.99e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1000:	pdl:6.17e-01 	 Rec:9.65e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1050:	pdl:6.13e-01 	 Rec:8.49e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1100:	pdl:5.81e-01 	 Rec:9.89e-04 	 Color:0.00e+00 	Time: 0.32
epoch 1150:	pdl:5.89e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1200:	pdl:6.00e-01 	 Rec:6.53e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1250:	pdl:6.01e-01 	 Rec:7.33e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1300:	pdl:6.03e-01 	 Rec:1.53e-03 	 Color:0.00e+00 	Time: 0.36
epoch 1350:	pdl:5.63e-01 	 Rec:8.33e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1400:	pdl:5.97e-01 	 Rec:5.39e-04 	 Color:0.00e+00 	Time: 0.33
epoch 1450:	pdl:5.55e-01 	 Rec:8.99e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1500:	pdl:6.12e-01 	 Rec:9.18e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1550:	pdl:6.29e-01 	 Rec:7.61e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1600:	pdl:5.95e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 0.35
epoch 1650:	pdl:5.90e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 0.34
epoch 1700:	pdl:5.71e-01 	 Rec:5.35e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1750:	pdl:5.51e-01 	 Rec:9.51e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1800:	pdl:5.61e-01 	 Rec:6.57e-04 	 Color:0.00e+00 	Time: 0.34
epoch 1850:	pdl:5.62e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1900:	pdl:5.17e-01 	 Rec:8.53e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1950:	pdl:5.45e-01 	 Rec:8.41e-04 	 Color:0.00e+00 	Time: 0.33
epoch 2000:	pdl:5.84e-01 	 Rec:9.60e-04 	 Color:0.00e+00 	Time: 0.36
epoch 2050:	pdl:5.29e-01 	 Rec:5.23e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2100:	pdl:5.05e-01 	 Rec:5.50e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2150:	pdl:5.56e-01 	 Rec:9.37e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2200:	pdl:5.01e-01 	 Rec:5.02e-04 	 Color:0.00e+00 	Time: 0.34
epoch 2250:	pdl:5.58e-01 	 Rec:7.35e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2300:	pdl:5.85e-01 	 Rec:7.38e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2350:	pdl:5.88e-01 	 Rec:9.31e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2400:	pdl:5.66e-01 	 Rec:6.88e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2450:	pdl:5.06e-01 	 Rec:5.60e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2500:	pdl:5.40e-01 	 Rec:8.13e-04 	 Color:0.00e+00 	Time: 0.34
epoch 2550:	pdl:5.39e-01 	 Rec:6.26e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2600:	pdl:5.65e-01 	 Rec:6.65e-04 	 Color:0.00e+00 	Time: 0.37
epoch 2650:	pdl:5.54e-01 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2700:	pdl:5.62e-01 	 Rec:5.80e-04 	 Color:0.00e+00 	Time: 0.37
