epoch 0:	pdl:8.37e-01 	 Rec:6.30e-02 	 Color:7.55e-02 	Time: 0.04
epoch 50:	pdl:3.21e-01 	 Rec:1.43e-02 	 Color:4.81e-02 	Time: 1.21
epoch 100:	pdl:3.76e-01 	 Rec:1.03e-02 	 Color:6.29e-02 	Time: 1.16
epoch 150:	pdl:3.31e-01 	 Rec:8.36e-03 	 Color:5.66e-02 	Time: 1.15
epoch 200:	pdl:3.54e-01 	 Rec:6.97e-03 	 Color:6.34e-02 	Time: 1.13
epoch 250:	pdl:3.62e-01 	 Rec:6.00e-03 	 Color:7.43e-02 	Time: 1.15
epoch 300:	pdl:2.81e-01 	 Rec:5.35e-03 	 Color:5.44e-02 	Time: 1.13
epoch 350:	pdl:3.27e-01 	 Rec:4.77e-03 	 Color:6.06e-02 	Time: 1.13
epoch 400:	pdl:3.31e-01 	 Rec:4.27e-03 	 Color:5.91e-02 	Time: 1.14
epoch 450:	pdl:2.90e-01 	 Rec:3.78e-03 	 Color:4.63e-02 	Time: 1.14
epoch 500:	pdl:2.74e-01 	 Rec:3.44e-03 	 Color:3.99e-02 	Time: 1.12
epoch 550:	pdl:3.05e-01 	 Rec:3.17e-03 	 Color:6.31e-02 	Time: 1.13
epoch 600:	pdl:3.19e-01 	 Rec:3.00e-03 	 Color:5.42e-02 	Time: 1.15
epoch 650:	pdl:2.96e-01 	 Rec:2.76e-03 	 Color:5.44e-02 	Time: 1.13
epoch 700:	pdl:3.13e-01 	 Rec:2.85e-03 	 Color:5.14e-02 	Time: 1.13
epoch 750:	pdl:2.99e-01 	 Rec:2.33e-03 	 Color:4.97e-02 	Time: 1.13
epoch 800:	pdl:3.13e-01 	 Rec:2.25e-03 	 Color:6.19e-02 	Time: 1.13
epoch 850:	pdl:3.15e-01 	 Rec:2.22e-03 	 Color:5.35e-02 	Time: 1.17
epoch 900:	pdl:3.06e-01 	 Rec:2.03e-03 	 Color:6.13e-02 	Time: 1.15
epoch 950:	pdl:3.03e-01 	 Rec:1.87e-03 	 Color:5.90e-02 	Time: 1.16
epoch 1000:	pdl:3.09e-01 	 Rec:1.84e-03 	 Color:5.79e-02 	Time: 1.16
epoch 1050:	pdl:3.27e-01 	 Rec:1.73e-03 	 Color:6.82e-02 	Time: 1.16
epoch 1100:	pdl:2.94e-01 	 Rec:1.57e-03 	 Color:6.43e-02 	Time: 1.15
epoch 1150:	pdl:3.20e-01 	 Rec:1.56e-03 	 Color:5.97e-02 	Time: 1.14
epoch 1200:	pdl:3.02e-01 	 Rec:1.53e-03 	 Color:6.40e-02 	Time: 1.13
epoch 1250:	pdl:3.05e-01 	 Rec:1.55e-03 	 Color:5.66e-02 	Time: 1.14
epoch 1300:	pdl:2.94e-01 	 Rec:1.41e-03 	 Color:5.12e-02 	Time: 1.11
epoch 1350:	pdl:3.25e-01 	 Rec:1.39e-03 	 Color:6.07e-02 	Time: 1.15
epoch 1400:	pdl:2.96e-01 	 Rec:1.24e-03 	 Color:5.80e-02 	Time: 1.14
epoch 1450:	pdl:2.98e-01 	 Rec:1.25e-03 	 Color:5.30e-02 	Time: 1.12
epoch 1500:	pdl:3.11e-01 	 Rec:1.19e-03 	 Color:6.08e-02 	Time: 1.15
epoch 1550:	pdl:3.16e-01 	 Rec:1.19e-03 	 Color:6.39e-02 	Time: 1.17
epoch 1600:	pdl:3.21e-01 	 Rec:1.13e-03 	 Color:5.94e-02 	Time: 1.13
epoch 1650:	pdl:3.31e-01 	 Rec:1.03e-03 	 Color:5.68e-02 	Time: 1.13
epoch 1700:	pdl:2.95e-01 	 Rec:1.04e-03 	 Color:6.68e-02 	Time: 1.14
epoch 1750:	pdl:2.80e-01 	 Rec:1.08e-03 	 Color:5.51e-02 	Time: 1.16
epoch 1800:	pdl:2.99e-01 	 Rec:1.01e-03 	 Color:5.87e-02 	Time: 1.12
epoch 1850:	pdl:2.89e-01 	 Rec:9.48e-04 	 Color:5.63e-02 	Time: 1.12
epoch 1900:	pdl:3.48e-01 	 Rec:9.64e-04 	 Color:6.62e-02 	Time: 1.13
epoch 1950:	pdl:2.77e-01 	 Rec:9.42e-04 	 Color:4.66e-02 	Time: 1.16
epoch 2000:	pdl:2.95e-01 	 Rec:8.48e-04 	 Color:5.86e-02 	Time: 1.15
epoch 2050:	pdl:2.91e-01 	 Rec:9.51e-04 	 Color:6.10e-02 	Time: 1.14
epoch 2100:	pdl:3.07e-01 	 Rec:8.19e-04 	 Color:5.44e-02 	Time: 1.13
epoch 2150:	pdl:3.16e-01 	 Rec:8.42e-04 	 Color:7.07e-02 	Time: 1.17
epoch 2200:	pdl:2.91e-01 	 Rec:8.60e-04 	 Color:5.03e-02 	Time: 1.18
epoch 2250:	pdl:3.23e-01 	 Rec:8.41e-04 	 Color:7.42e-02 	Time: 1.17
epoch 2300:	pdl:2.96e-01 	 Rec:7.76e-04 	 Color:6.18e-02 	Time: 1.19
epoch 2350:	pdl:3.35e-01 	 Rec:8.08e-04 	 Color:7.18e-02 	Time: 1.15
