epoch 0:	pdl:1.62e+00 	 Rec:8.18e-02 	 Color:0.00e+00 	Time: 0.04
epoch 50:	pdl:4.66e-01 	 Rec:1.56e-02 	 Color:0.00e+00 	Time: 1.15
epoch 100:	pdl:4.83e-01 	 Rec:1.18e-02 	 Color:0.00e+00 	Time: 1.18
epoch 150:	pdl:4.37e-01 	 Rec:9.86e-03 	 Color:0.00e+00 	Time: 1.12
epoch 200:	pdl:3.96e-01 	 Rec:8.41e-03 	 Color:0.00e+00 	Time: 1.20
epoch 250:	pdl:4.47e-01 	 Rec:7.69e-03 	 Color:0.00e+00 	Time: 1.14
epoch 300:	pdl:4.56e-01 	 Rec:6.63e-03 	 Color:0.00e+00 	Time: 1.13
epoch 350:	pdl:4.85e-01 	 Rec:5.86e-03 	 Color:0.00e+00 	Time: 1.17
epoch 400:	pdl:4.12e-01 	 Rec:5.25e-03 	 Color:0.00e+00 	Time: 1.16
epoch 450:	pdl:4.04e-01 	 Rec:4.78e-03 	 Color:0.00e+00 	Time: 1.13
epoch 500:	pdl:4.16e-01 	 Rec:4.30e-03 	 Color:0.00e+00 	Time: 1.14
epoch 550:	pdl:4.39e-01 	 Rec:4.29e-03 	 Color:0.00e+00 	Time: 1.15
epoch 600:	pdl:4.35e-01 	 Rec:4.11e-03 	 Color:0.00e+00 	Time: 1.13
epoch 650:	pdl:4.28e-01 	 Rec:3.79e-03 	 Color:0.00e+00 	Time: 1.12
epoch 700:	pdl:4.62e-01 	 Rec:3.41e-03 	 Color:0.00e+00 	Time: 1.12
epoch 750:	pdl:4.17e-01 	 Rec:3.22e-03 	 Color:0.00e+00 	Time: 1.12
epoch 800:	pdl:4.45e-01 	 Rec:2.87e-03 	 Color:0.00e+00 	Time: 1.16
epoch 850:	pdl:4.38e-01 	 Rec:2.79e-03 	 Color:0.00e+00 	Time: 1.13
epoch 900:	pdl:4.15e-01 	 Rec:2.74e-03 	 Color:0.00e+00 	Time: 1.16
epoch 950:	pdl:4.35e-01 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 1.14
epoch 1000:	pdl:3.85e-01 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 1.21
epoch 1050:	pdl:4.03e-01 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 1.13
epoch 1100:	pdl:4.69e-01 	 Rec:2.20e-03 	 Color:0.00e+00 	Time: 1.15
epoch 1150:	pdl:4.30e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 1.16
epoch 1200:	pdl:4.09e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 1.13
epoch 1250:	pdl:4.25e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 1.14
epoch 1300:	pdl:4.35e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 1.14
epoch 1350:	pdl:4.20e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 1.13
epoch 1400:	pdl:4.05e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 1.17
epoch 1450:	pdl:4.39e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 1.14
