epoch 0:	pdl:1.07e+00 	 Rec:1.58e-01 	 Color:3.13e-01 	Time: 0.02
epoch 50:	pdl:2.26e-01 	 Rec:9.34e-03 	 Color:1.65e-01 	Time: 2.15
epoch 100:	pdl:1.92e-01 	 Rec:7.16e-03 	 Color:1.67e-01 	Time: 2.09
epoch 150:	pdl:1.99e-01 	 Rec:6.22e-03 	 Color:1.78e-01 	Time: 2.11
epoch 200:	pdl:1.87e-01 	 Rec:5.39e-03 	 Color:1.68e-01 	Time: 2.11
epoch 250:	pdl:2.03e-01 	 Rec:5.36e-03 	 Color:1.74e-01 	Time: 2.12
epoch 300:	pdl:1.99e-01 	 Rec:5.05e-03 	 Color:1.81e-01 	Time: 2.12
epoch 350:	pdl:1.89e-01 	 Rec:5.03e-03 	 Color:1.69e-01 	Time: 2.12
epoch 400:	pdl:1.91e-01 	 Rec:4.87e-03 	 Color:1.77e-01 	Time: 2.12
epoch 450:	pdl:1.81e-01 	 Rec:4.79e-03 	 Color:1.63e-01 	Time: 2.12
epoch 500:	pdl:1.80e-01 	 Rec:4.68e-03 	 Color:1.67e-01 	Time: 2.12
epoch 550:	pdl:1.82e-01 	 Rec:4.83e-03 	 Color:1.63e-01 	Time: 2.13
epoch 600:	pdl:1.80e-01 	 Rec:4.50e-03 	 Color:1.66e-01 	Time: 2.12
epoch 650:	pdl:1.80e-01 	 Rec:4.54e-03 	 Color:1.68e-01 	Time: 2.13
epoch 700:	pdl:1.78e-01 	 Rec:4.47e-03 	 Color:1.57e-01 	Time: 2.12
epoch 750:	pdl:1.82e-01 	 Rec:4.48e-03 	 Color:1.62e-01 	Time: 2.12
epoch 800:	pdl:1.75e-01 	 Rec:4.50e-03 	 Color:1.64e-01 	Time: 2.16
epoch 850:	pdl:1.81e-01 	 Rec:4.42e-03 	 Color:1.51e-01 	Time: 2.14
epoch 900:	pdl:2.03e-01 	 Rec:4.54e-03 	 Color:1.82e-01 	Time: 2.15
epoch 950:	pdl:1.77e-01 	 Rec:4.63e-03 	 Color:1.57e-01 	Time: 2.14
epoch 1000:	pdl:1.81e-01 	 Rec:4.64e-03 	 Color:1.65e-01 	Time: 2.14
epoch 1050:	pdl:1.66e-01 	 Rec:4.50e-03 	 Color:1.47e-01 	Time: 2.18
epoch 1100:	pdl:1.85e-01 	 Rec:4.29e-03 	 Color:1.69e-01 	Time: 2.13
epoch 1150:	pdl:1.93e-01 	 Rec:4.47e-03 	 Color:1.90e-01 	Time: 2.13
epoch 1200:	pdl:1.76e-01 	 Rec:4.43e-03 	 Color:1.70e-01 	Time: 2.13
epoch 1250:	pdl:1.96e-01 	 Rec:4.47e-03 	 Color:1.74e-01 	Time: 2.13
epoch 1300:	pdl:1.82e-01 	 Rec:4.27e-03 	 Color:1.62e-01 	Time: 2.13
epoch 1350:	pdl:1.87e-01 	 Rec:4.30e-03 	 Color:1.65e-01 	Time: 2.14
epoch 1400:	pdl:1.70e-01 	 Rec:4.10e-03 	 Color:1.61e-01 	Time: 2.16
epoch 1450:	pdl:1.93e-01 	 Rec:4.37e-03 	 Color:1.78e-01 	Time: 2.16
epoch 1500:	pdl:1.79e-01 	 Rec:4.01e-03 	 Color:1.67e-01 	Time: 2.18
epoch 1550:	pdl:1.90e-01 	 Rec:4.32e-03 	 Color:1.71e-01 	Time: 2.15
epoch 1600:	pdl:1.86e-01 	 Rec:4.22e-03 	 Color:1.71e-01 	Time: 2.15
epoch 1650:	pdl:1.90e-01 	 Rec:4.07e-03 	 Color:1.68e-01 	Time: 2.16
epoch 1700:	pdl:1.74e-01 	 Rec:4.20e-03 	 Color:1.57e-01 	Time: 2.15
epoch 1750:	pdl:1.75e-01 	 Rec:4.27e-03 	 Color:1.65e-01 	Time: 2.15
epoch 1800:	pdl:1.80e-01 	 Rec:4.04e-03 	 Color:1.59e-01 	Time: 2.15
epoch 1850:	pdl:1.87e-01 	 Rec:4.02e-03 	 Color:1.76e-01 	Time: 2.16
epoch 1900:	pdl:2.03e-01 	 Rec:4.16e-03 	 Color:1.87e-01 	Time: 2.16
epoch 1950:	pdl:1.88e-01 	 Rec:3.98e-03 	 Color:1.64e-01 	Time: 2.16
epoch 2000:	pdl:1.89e-01 	 Rec:4.10e-03 	 Color:1.83e-01 	Time: 2.16
epoch 2050:	pdl:1.70e-01 	 Rec:3.93e-03 	 Color:1.51e-01 	Time: 2.21
epoch 2100:	pdl:1.81e-01 	 Rec:4.08e-03 	 Color:1.61e-01 	Time: 2.16
epoch 2150:	pdl:1.85e-01 	 Rec:4.14e-03 	 Color:1.58e-01 	Time: 2.21
epoch 2200:	pdl:1.91e-01 	 Rec:4.15e-03 	 Color:1.75e-01 	Time: 2.17
epoch 2250:	pdl:1.73e-01 	 Rec:3.91e-03 	 Color:1.68e-01 	Time: 2.15
epoch 2300:	pdl:1.73e-01 	 Rec:4.01e-03 	 Color:1.71e-01 	Time: 2.28
epoch 2350:	pdl:1.74e-01 	 Rec:4.06e-03 	 Color:1.61e-01 	Time: 2.17
epoch 2400:	pdl:1.70e-01 	 Rec:4.04e-03 	 Color:1.58e-01 	Time: 2.15
epoch 2450:	pdl:1.93e-01 	 Rec:4.07e-03 	 Color:1.69e-01 	Time: 2.22
