epoch 0:	pdl:8.23e-01 	 Rec:3.70e-01 	 Color:0.00e+00 	Time: 0.03
epoch 50:	pdl:1.31e+00 	 Rec:7.19e-01 	 Color:0.00e+00 	Time: 3.51
epoch 100:	pdl:1.22e+00 	 Rec:4.05e-01 	 Color:0.00e+00 	Time: 3.49
epoch 150:	pdl:5.92e-01 	 Rec:5.19e-02 	 Color:0.00e+00 	Time: 3.49
epoch 200:	pdl:5.95e-01 	 Rec:5.71e-02 	 Color:0.00e+00 	Time: 3.50
epoch 250:	pdl:5.79e-01 	 Rec:2.98e-02 	 Color:0.00e+00 	Time: 3.51
epoch 300:	pdl:5.56e-01 	 Rec:2.69e-02 	 Color:0.00e+00 	Time: 3.52
epoch 350:	pdl:3.16e-01 	 Rec:2.73e-02 	 Color:0.00e+00 	Time: 3.53
epoch 400:	pdl:2.97e-01 	 Rec:2.71e-02 	 Color:0.00e+00 	Time: 3.51
epoch 450:	pdl:1.77e-01 	 Rec:2.41e-02 	 Color:0.00e+00 	Time: 3.52
epoch 500:	pdl:1.71e-01 	 Rec:2.55e-02 	 Color:0.00e+00 	Time: 3.53
epoch 550:	pdl:1.62e-01 	 Rec:2.39e-02 	 Color:0.00e+00 	Time: 3.51
epoch 600:	pdl:1.15e-01 	 Rec:2.06e-02 	 Color:0.00e+00 	Time: 3.51
epoch 650:	pdl:1.42e-01 	 Rec:2.16e-02 	 Color:0.00e+00 	Time: 3.51
epoch 700:	pdl:1.90e-01 	 Rec:2.13e-02 	 Color:0.00e+00 	Time: 3.51
epoch 750:	pdl:1.60e-01 	 Rec:1.95e-02 	 Color:0.00e+00 	Time: 3.52
epoch 800:	pdl:1.68e-01 	 Rec:1.91e-02 	 Color:0.00e+00 	Time: 3.53
epoch 850:	pdl:1.49e-01 	 Rec:1.95e-02 	 Color:0.00e+00 	Time: 3.52
epoch 900:	pdl:1.22e-01 	 Rec:1.95e-02 	 Color:0.00e+00 	Time: 3.51
epoch 950:	pdl:1.74e-01 	 Rec:1.82e-02 	 Color:0.00e+00 	Time: 3.50
epoch 1000:	pdl:1.38e-01 	 Rec:1.77e-02 	 Color:0.00e+00 	Time: 3.52
epoch 1050:	pdl:1.46e-01 	 Rec:1.84e-02 	 Color:0.00e+00 	Time: 3.57
epoch 1100:	pdl:1.57e-01 	 Rec:1.73e-02 	 Color:0.00e+00 	Time: 3.52
epoch 1150:	pdl:1.12e-01 	 Rec:1.66e-02 	 Color:0.00e+00 	Time: 3.52
epoch 1200:	pdl:1.51e-01 	 Rec:1.71e-02 	 Color:0.00e+00 	Time: 3.54
epoch 1250:	pdl:2.30e-01 	 Rec:1.71e-02 	 Color:0.00e+00 	Time: 3.53
epoch 1300:	pdl:1.12e-01 	 Rec:1.64e-02 	 Color:0.00e+00 	Time: 3.54
epoch 1350:	pdl:1.16e-01 	 Rec:1.59e-02 	 Color:0.00e+00 	Time: 3.53
epoch 1400:	pdl:1.38e+00 	 Rec:7.73e-01 	 Color:0.00e+00 	Time: 3.52
epoch 1450:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.52
epoch 1500:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.50
epoch 1550:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.50
epoch 1600:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.50
epoch 1650:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.50
epoch 1700:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.49
epoch 1750:	pdl:1.60e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.48
epoch 1800:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.48
epoch 1850:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.49
epoch 1900:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.49
epoch 1950:	pdl:1.60e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.48
epoch 2000:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.49
epoch 2050:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.54
epoch 2100:	pdl:1.60e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.48
epoch 2150:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.48
epoch 2200:	pdl:1.60e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.48
epoch 2250:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.49
epoch 2300:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.49
epoch 2350:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.48
epoch 2400:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.50
epoch 2450:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.52
epoch 2500:	pdl:1.60e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.52
epoch 2550:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.51
epoch 2600:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.50
epoch 2650:	pdl:1.58e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.51
epoch 2700:	pdl:1.59e+00 	 Rec:8.75e-01 	 Color:0.00e+00 	Time: 3.51
