epoch 0:	pdl:8.23e-01 	 Rec:1.83e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:3.97e-01 	 Rec:2.96e-02 	 Color:0.00e+00 	Time: 0.38
epoch 100:	pdl:3.70e-01 	 Rec:9.51e-03 	 Color:0.00e+00 	Time: 0.37
epoch 150:	pdl:3.49e-01 	 Rec:5.95e-03 	 Color:0.00e+00 	Time: 0.38
epoch 200:	pdl:3.38e-01 	 Rec:4.16e-03 	 Color:0.00e+00 	Time: 0.40
epoch 250:	pdl:3.14e-01 	 Rec:3.45e-03 	 Color:0.00e+00 	Time: 0.38
epoch 300:	pdl:3.20e-01 	 Rec:2.81e-03 	 Color:0.00e+00 	Time: 0.39
epoch 350:	pdl:3.29e-01 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 0.40
epoch 400:	pdl:3.00e-01 	 Rec:1.93e-03 	 Color:0.00e+00 	Time: 0.35
epoch 450:	pdl:3.03e-01 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 0.36
epoch 500:	pdl:2.75e-01 	 Rec:2.01e-03 	 Color:0.00e+00 	Time: 0.40
epoch 550:	pdl:3.47e-01 	 Rec:1.74e-03 	 Color:0.00e+00 	Time: 0.41
epoch 600:	pdl:2.98e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.40
epoch 650:	pdl:2.81e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.40
epoch 700:	pdl:2.68e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.37
epoch 750:	pdl:2.81e-01 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.43
epoch 800:	pdl:2.89e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.35
epoch 850:	pdl:2.57e-01 	 Rec:9.86e-04 	 Color:0.00e+00 	Time: 0.38
epoch 900:	pdl:2.79e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.35
epoch 950:	pdl:2.70e-01 	 Rec:9.00e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1000:	pdl:2.95e-01 	 Rec:9.99e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1050:	pdl:2.50e-01 	 Rec:9.36e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1100:	pdl:2.57e-01 	 Rec:8.29e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1150:	pdl:2.73e-01 	 Rec:9.16e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1200:	pdl:2.61e-01 	 Rec:8.19e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1250:	pdl:2.77e-01 	 Rec:7.82e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1300:	pdl:2.70e-01 	 Rec:8.88e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1350:	pdl:2.55e-01 	 Rec:6.31e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1400:	pdl:2.63e-01 	 Rec:8.89e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1450:	pdl:2.73e-01 	 Rec:8.72e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1500:	pdl:2.45e-01 	 Rec:9.32e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1550:	pdl:2.73e-01 	 Rec:9.40e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1600:	pdl:2.60e-01 	 Rec:7.80e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1650:	pdl:2.66e-01 	 Rec:6.80e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1700:	pdl:2.74e-01 	 Rec:7.47e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1750:	pdl:2.51e-01 	 Rec:7.94e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1800:	pdl:2.50e-01 	 Rec:7.02e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1850:	pdl:2.78e-01 	 Rec:9.70e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1900:	pdl:2.60e-01 	 Rec:5.89e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1950:	pdl:2.54e-01 	 Rec:7.77e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2000:	pdl:2.27e-01 	 Rec:6.79e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2050:	pdl:2.62e-01 	 Rec:6.47e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2100:	pdl:2.42e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2150:	pdl:2.55e-01 	 Rec:7.19e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2200:	pdl:2.92e-01 	 Rec:7.11e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2250:	pdl:2.70e-01 	 Rec:5.28e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2300:	pdl:2.50e-01 	 Rec:5.78e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2350:	pdl:2.55e-01 	 Rec:5.95e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2400:	pdl:2.74e-01 	 Rec:7.22e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2450:	pdl:2.52e-01 	 Rec:5.29e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2500:	pdl:2.52e-01 	 Rec:4.56e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2550:	pdl:2.68e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.41
epoch 2600:	pdl:2.39e-01 	 Rec:6.60e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2650:	pdl:2.61e-01 	 Rec:5.11e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2700:	pdl:2.44e-01 	 Rec:6.44e-04 	 Color:0.00e+00 	Time: 0.35
epoch 2750:	pdl:2.53e-01 	 Rec:4.78e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2800:	pdl:2.37e-01 	 Rec:5.17e-04 	 Color:0.00e+00 	Time: 0.40
epoch 2850:	pdl:2.63e-01 	 Rec:6.38e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2900:	pdl:2.35e-01 	 Rec:5.30e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2950:	pdl:2.44e-01 	 Rec:5.59e-04 	 Color:0.00e+00 	Time: 0.35
