epoch 0:	pdl:2.47e+00 	 Rec:1.75e-01 	 Color:9.59e-02 	Time: 0.02
epoch 50:	pdl:2.74e-01 	 Rec:7.42e-03 	 Color:2.19e-02 	Time: 1.49
epoch 100:	pdl:2.38e-01 	 Rec:5.23e-03 	 Color:2.12e-02 	Time: 1.44
epoch 150:	pdl:1.95e-01 	 Rec:4.01e-03 	 Color:2.09e-02 	Time: 1.45
epoch 200:	pdl:1.76e-01 	 Rec:3.13e-03 	 Color:2.42e-02 	Time: 1.45
epoch 250:	pdl:1.67e-01 	 Rec:3.05e-03 	 Color:1.99e-02 	Time: 1.45
epoch 300:	pdl:1.74e-01 	 Rec:2.78e-03 	 Color:1.97e-02 	Time: 1.45
epoch 350:	pdl:1.82e-01 	 Rec:2.83e-03 	 Color:2.04e-02 	Time: 1.43
epoch 400:	pdl:1.52e-01 	 Rec:2.63e-03 	 Color:1.81e-02 	Time: 1.46
epoch 450:	pdl:1.66e-01 	 Rec:2.67e-03 	 Color:2.09e-02 	Time: 1.45
epoch 500:	pdl:1.60e-01 	 Rec:2.59e-03 	 Color:1.84e-02 	Time: 1.46
epoch 550:	pdl:1.76e-01 	 Rec:2.58e-03 	 Color:2.42e-02 	Time: 1.46
epoch 600:	pdl:1.53e-01 	 Rec:2.49e-03 	 Color:1.88e-02 	Time: 1.46
epoch 650:	pdl:1.75e-01 	 Rec:2.77e-03 	 Color:2.11e-02 	Time: 1.47
epoch 700:	pdl:1.58e-01 	 Rec:2.42e-03 	 Color:1.99e-02 	Time: 1.48
epoch 750:	pdl:1.77e-01 	 Rec:2.62e-03 	 Color:1.80e-02 	Time: 1.48
epoch 800:	pdl:1.69e-01 	 Rec:2.46e-03 	 Color:1.89e-02 	Time: 1.47
epoch 850:	pdl:1.61e-01 	 Rec:2.42e-03 	 Color:1.91e-02 	Time: 1.48
epoch 900:	pdl:1.68e-01 	 Rec:2.46e-03 	 Color:1.86e-02 	Time: 1.46
epoch 950:	pdl:1.57e-01 	 Rec:2.40e-03 	 Color:1.60e-02 	Time: 1.50
epoch 1000:	pdl:1.55e-01 	 Rec:2.41e-03 	 Color:1.86e-02 	Time: 1.50
epoch 1050:	pdl:1.56e-01 	 Rec:2.32e-03 	 Color:1.81e-02 	Time: 1.45
epoch 1100:	pdl:1.73e-01 	 Rec:2.40e-03 	 Color:2.29e-02 	Time: 1.45
epoch 1150:	pdl:1.51e-01 	 Rec:2.27e-03 	 Color:1.77e-02 	Time: 1.43
epoch 1200:	pdl:1.70e-01 	 Rec:2.26e-03 	 Color:2.16e-02 	Time: 1.45
epoch 1250:	pdl:1.71e-01 	 Rec:2.61e-03 	 Color:1.76e-02 	Time: 1.46
epoch 1300:	pdl:1.73e-01 	 Rec:2.33e-03 	 Color:2.16e-02 	Time: 1.46
epoch 1350:	pdl:1.74e-01 	 Rec:2.28e-03 	 Color:2.12e-02 	Time: 1.46
epoch 1400:	pdl:1.64e-01 	 Rec:2.37e-03 	 Color:1.92e-02 	Time: 1.47
epoch 1450:	pdl:1.65e-01 	 Rec:2.27e-03 	 Color:2.19e-02 	Time: 1.44
epoch 1500:	pdl:1.56e-01 	 Rec:2.28e-03 	 Color:1.76e-02 	Time: 1.48
epoch 1550:	pdl:1.79e-01 	 Rec:2.53e-03 	 Color:2.15e-02 	Time: 1.50
epoch 1600:	pdl:1.74e-01 	 Rec:2.38e-03 	 Color:1.81e-02 	Time: 1.49
epoch 1650:	pdl:1.61e-01 	 Rec:2.69e-03 	 Color:1.65e-02 	Time: 1.48
epoch 1700:	pdl:1.59e-01 	 Rec:2.24e-03 	 Color:1.70e-02 	Time: 1.44
epoch 1750:	pdl:1.54e-01 	 Rec:2.26e-03 	 Color:1.85e-02 	Time: 1.45
epoch 1800:	pdl:1.78e-01 	 Rec:2.39e-03 	 Color:1.90e-02 	Time: 1.48
epoch 1850:	pdl:1.82e-01 	 Rec:2.51e-03 	 Color:2.02e-02 	Time: 1.51
epoch 1900:	pdl:1.74e-01 	 Rec:2.12e-03 	 Color:2.25e-02 	Time: 1.49
epoch 1950:	pdl:1.76e-01 	 Rec:2.28e-03 	 Color:2.29e-02 	Time: 1.45
epoch 2000:	pdl:1.66e-01 	 Rec:2.18e-03 	 Color:1.91e-02 	Time: 1.45
epoch 2050:	pdl:1.96e-01 	 Rec:2.33e-03 	 Color:2.12e-02 	Time: 1.48
epoch 2100:	pdl:1.56e-01 	 Rec:2.15e-03 	 Color:1.73e-02 	Time: 1.44
epoch 2150:	pdl:1.64e-01 	 Rec:2.36e-03 	 Color:1.87e-02 	Time: 1.50
epoch 2200:	pdl:1.58e-01 	 Rec:2.33e-03 	 Color:1.88e-02 	Time: 1.48
epoch 2250:	pdl:1.54e-01 	 Rec:2.18e-03 	 Color:2.01e-02 	Time: 1.48
epoch 2300:	pdl:1.65e-01 	 Rec:2.39e-03 	 Color:1.83e-02 	Time: 1.44
epoch 2350:	pdl:1.79e-01 	 Rec:2.17e-03 	 Color:2.34e-02 	Time: 1.47
epoch 2400:	pdl:1.75e-01 	 Rec:2.17e-03 	 Color:2.36e-02 	Time: 1.47
epoch 2450:	pdl:1.44e-01 	 Rec:2.17e-03 	 Color:1.73e-02 	Time: 1.46
epoch 2500:	pdl:1.52e-01 	 Rec:2.19e-03 	 Color:2.07e-02 	Time: 1.43
epoch 2550:	pdl:1.57e-01 	 Rec:2.09e-03 	 Color:1.94e-02 	Time: 1.43
epoch 2600:	pdl:1.53e-01 	 Rec:2.15e-03 	 Color:1.96e-02 	Time: 1.44
epoch 2650:	pdl:1.60e-01 	 Rec:2.13e-03 	 Color:2.15e-02 	Time: 1.45
epoch 2700:	pdl:1.64e-01 	 Rec:2.30e-03 	 Color:2.07e-02 	Time: 1.45
epoch 2750:	pdl:1.49e-01 	 Rec:2.11e-03 	 Color:1.71e-02 	Time: 1.47
epoch 2800:	pdl:1.50e-01 	 Rec:2.08e-03 	 Color:1.89e-02 	Time: 1.48
epoch 2850:	pdl:1.43e-01 	 Rec:2.06e-03 	 Color:1.91e-02 	Time: 1.51
epoch 2900:	pdl:1.67e-01 	 Rec:2.04e-03 	 Color:2.07e-02 	Time: 1.46
epoch 2950:	pdl:1.55e-01 	 Rec:2.06e-03 	 Color:1.82e-02 	Time: 1.48
epoch 3000:	pdl:1.53e-01 	 Rec:2.06e-03 	 Color:2.11e-02 	Time: 1.50
epoch 3050:	pdl:1.56e-01 	 Rec:2.06e-03 	 Color:1.91e-02 	Time: 1.51
epoch 3100:	pdl:2.10e-01 	 Rec:2.10e-03 	 Color:2.82e-02 	Time: 1.50
epoch 3150:	pdl:1.56e-01 	 Rec:2.21e-03 	 Color:1.90e-02 	Time: 1.48
epoch 3200:	pdl:1.58e-01 	 Rec:2.14e-03 	 Color:1.80e-02 	Time: 1.46
epoch 3250:	pdl:1.61e-01 	 Rec:2.53e-03 	 Color:1.76e-02 	Time: 1.47
epoch 3300:	pdl:1.51e-01 	 Rec:2.06e-03 	 Color:1.84e-02 	Time: 1.47
epoch 3350:	pdl:1.51e-01 	 Rec:2.20e-03 	 Color:1.98e-02 	Time: 1.47
epoch 3400:	pdl:1.39e-01 	 Rec:2.03e-03 	 Color:1.64e-02 	Time: 1.47
epoch 3450:	pdl:1.66e-01 	 Rec:2.08e-03 	 Color:2.18e-02 	Time: 1.48
epoch 3500:	pdl:1.65e-01 	 Rec:2.22e-03 	 Color:1.87e-02 	Time: 1.49
epoch 3550:	pdl:1.72e-01 	 Rec:2.06e-03 	 Color:2.23e-02 	Time: 1.46
epoch 3600:	pdl:1.72e-01 	 Rec:2.01e-03 	 Color:2.10e-02 	Time: 1.49
epoch 3650:	pdl:1.49e-01 	 Rec:2.04e-03 	 Color:1.91e-02 	Time: 1.47
epoch 3700:	pdl:1.42e-01 	 Rec:2.10e-03 	 Color:1.90e-02 	Time: 1.48
epoch 3750:	pdl:1.54e-01 	 Rec:2.17e-03 	 Color:1.83e-02 	Time: 1.45
epoch 3800:	pdl:1.59e-01 	 Rec:2.17e-03 	 Color:1.91e-02 	Time: 1.49
epoch 3850:	pdl:1.57e-01 	 Rec:2.10e-03 	 Color:1.97e-02 	Time: 1.48
epoch 3900:	pdl:1.77e-01 	 Rec:2.12e-03 	 Color:2.25e-02 	Time: 1.50
epoch 3950:	pdl:1.50e-01 	 Rec:2.00e-03 	 Color:1.77e-02 	Time: 1.47
epoch 4000:	pdl:1.43e-01 	 Rec:2.10e-03 	 Color:1.69e-02 	Time: 1.45
epoch 4050:	pdl:1.71e-01 	 Rec:2.12e-03 	 Color:1.83e-02 	Time: 1.49
epoch 4100:	pdl:1.52e-01 	 Rec:2.20e-03 	 Color:1.98e-02 	Time: 1.47
epoch 4150:	pdl:1.53e-01 	 Rec:2.01e-03 	 Color:1.70e-02 	Time: 1.54
epoch 4200:	pdl:1.63e-01 	 Rec:2.09e-03 	 Color:2.36e-02 	Time: 1.48
epoch 4250:	pdl:1.48e-01 	 Rec:2.17e-03 	 Color:2.10e-02 	Time: 1.46
epoch 4300:	pdl:1.62e-01 	 Rec:2.05e-03 	 Color:1.86e-02 	Time: 1.49
epoch 4350:	pdl:1.65e-01 	 Rec:2.04e-03 	 Color:2.19e-02 	Time: 1.46
epoch 4400:	pdl:1.64e-01 	 Rec:2.15e-03 	 Color:1.92e-02 	Time: 1.47
epoch 4450:	pdl:1.56e-01 	 Rec:2.06e-03 	 Color:1.73e-02 	Time: 1.46
epoch 4500:	pdl:1.66e-01 	 Rec:2.05e-03 	 Color:1.83e-02 	Time: 1.44
epoch 4550:	pdl:1.71e-01 	 Rec:1.99e-03 	 Color:2.29e-02 	Time: 1.45
epoch 4600:	pdl:1.53e-01 	 Rec:1.99e-03 	 Color:1.75e-02 	Time: 1.43
epoch 4650:	pdl:1.49e-01 	 Rec:1.94e-03 	 Color:2.03e-02 	Time: 1.46
epoch 4700:	pdl:1.60e-01 	 Rec:2.05e-03 	 Color:2.18e-02 	Time: 1.49
epoch 4750:	pdl:1.42e-01 	 Rec:1.97e-03 	 Color:1.85e-02 	Time: 1.50
epoch 4800:	pdl:1.72e-01 	 Rec:2.07e-03 	 Color:2.12e-02 	Time: 1.47
epoch 4850:	pdl:1.73e-01 	 Rec:2.14e-03 	 Color:2.18e-02 	Time: 1.45
epoch 4900:	pdl:1.66e-01 	 Rec:1.94e-03 	 Color:2.24e-02 	Time: 1.46
epoch 4950:	pdl:1.42e-01 	 Rec:1.98e-03 	 Color:1.79e-02 	Time: 1.49
epoch 5000:	pdl:1.66e-01 	 Rec:2.03e-03 	 Color:2.33e-02 	Time: 1.47
epoch 5050:	pdl:1.44e-01 	 Rec:2.00e-03 	 Color:1.65e-02 	Time: 1.50
epoch 5100:	pdl:1.45e-01 	 Rec:1.99e-03 	 Color:1.62e-02 	Time: 1.47
epoch 5150:	pdl:1.60e-01 	 Rec:2.04e-03 	 Color:1.63e-02 	Time: 1.46
epoch 5200:	pdl:1.53e-01 	 Rec:2.06e-03 	 Color:1.85e-02 	Time: 1.43
epoch 5250:	pdl:1.54e-01 	 Rec:2.11e-03 	 Color:1.95e-02 	Time: 1.44
epoch 5300:	pdl:1.56e-01 	 Rec:1.95e-03 	 Color:1.99e-02 	Time: 1.45
epoch 5350:	pdl:1.44e-01 	 Rec:1.96e-03 	 Color:1.68e-02 	Time: 1.50
epoch 5400:	pdl:1.62e-01 	 Rec:1.98e-03 	 Color:2.00e-02 	Time: 1.50
epoch 5450:	pdl:1.59e-01 	 Rec:2.27e-03 	 Color:1.69e-02 	Time: 1.50
epoch 5500:	pdl:1.54e-01 	 Rec:2.00e-03 	 Color:1.84e-02 	Time: 1.49
epoch 5550:	pdl:1.60e-01 	 Rec:2.14e-03 	 Color:2.05e-02 	Time: 1.49
epoch 5600:	pdl:1.57e-01 	 Rec:2.00e-03 	 Color:1.96e-02 	Time: 1.46
epoch 5650:	pdl:1.53e-01 	 Rec:1.97e-03 	 Color:1.89e-02 	Time: 1.47
epoch 5700:	pdl:1.47e-01 	 Rec:1.92e-03 	 Color:1.64e-02 	Time: 1.47
epoch 5750:	pdl:1.97e-01 	 Rec:2.07e-03 	 Color:2.35e-02 	Time: 1.45
epoch 5800:	pdl:1.50e-01 	 Rec:1.99e-03 	 Color:1.61e-02 	Time: 1.45
epoch 5850:	pdl:1.49e-01 	 Rec:1.92e-03 	 Color:1.76e-02 	Time: 1.46
epoch 5900:	pdl:1.71e-01 	 Rec:1.94e-03 	 Color:1.90e-02 	Time: 1.48
epoch 5950:	pdl:1.49e-01 	 Rec:1.94e-03 	 Color:1.99e-02 	Time: 1.47
epoch 6000:	pdl:1.55e-01 	 Rec:1.96e-03 	 Color:1.92e-02 	Time: 1.49
epoch 6050:	pdl:1.47e-01 	 Rec:1.96e-03 	 Color:1.83e-02 	Time: 1.49
epoch 6100:	pdl:1.57e-01 	 Rec:1.90e-03 	 Color:1.85e-02 	Time: 1.45
epoch 6150:	pdl:1.63e-01 	 Rec:2.06e-03 	 Color:2.10e-02 	Time: 1.47
epoch 6200:	pdl:1.47e-01 	 Rec:1.91e-03 	 Color:1.67e-02 	Time: 1.46
epoch 6250:	pdl:1.52e-01 	 Rec:1.95e-03 	 Color:1.85e-02 	Time: 1.44
epoch 6300:	pdl:1.67e-01 	 Rec:2.24e-03 	 Color:1.95e-02 	Time: 1.43
epoch 6350:	pdl:1.61e-01 	 Rec:1.95e-03 	 Color:1.97e-02 	Time: 1.47
epoch 6400:	pdl:1.63e-01 	 Rec:1.96e-03 	 Color:1.95e-02 	Time: 1.45
epoch 6450:	pdl:1.56e-01 	 Rec:1.81e-03 	 Color:2.10e-02 	Time: 1.46
epoch 6500:	pdl:1.41e-01 	 Rec:1.80e-03 	 Color:1.88e-02 	Time: 1.46
epoch 6550:	pdl:1.60e-01 	 Rec:1.79e-03 	 Color:2.18e-02 	Time: 1.47
epoch 6600:	pdl:1.43e-01 	 Rec:1.80e-03 	 Color:2.06e-02 	Time: 1.50
epoch 6650:	pdl:1.37e-01 	 Rec:1.79e-03 	 Color:1.87e-02 	Time: 1.49
epoch 6700:	pdl:1.49e-01 	 Rec:1.79e-03 	 Color:2.05e-02 	Time: 1.48
epoch 6750:	pdl:1.42e-01 	 Rec:1.79e-03 	 Color:1.99e-02 	Time: 1.47
epoch 6800:	pdl:1.42e-01 	 Rec:1.78e-03 	 Color:1.88e-02 	Time: 1.43
epoch 6850:	pdl:1.63e-01 	 Rec:1.80e-03 	 Color:2.43e-02 	Time: 1.46
epoch 6900:	pdl:1.32e-01 	 Rec:1.79e-03 	 Color:1.63e-02 	Time: 1.47
epoch 6950:	pdl:1.32e-01 	 Rec:1.78e-03 	 Color:1.64e-02 	Time: 1.49
epoch 7000:	pdl:1.46e-01 	 Rec:1.79e-03 	 Color:1.91e-02 	Time: 1.46
epoch 7050:	pdl:1.51e-01 	 Rec:1.79e-03 	 Color:2.34e-02 	Time: 1.47
epoch 7100:	pdl:1.36e-01 	 Rec:1.79e-03 	 Color:1.77e-02 	Time: 1.48
epoch 7150:	pdl:1.62e-01 	 Rec:1.79e-03 	 Color:2.10e-02 	Time: 1.47
epoch 7200:	pdl:1.29e-01 	 Rec:1.78e-03 	 Color:1.59e-02 	Time: 1.45
epoch 7250:	pdl:1.34e-01 	 Rec:1.77e-03 	 Color:1.91e-02 	Time: 1.49
epoch 7300:	pdl:1.33e-01 	 Rec:1.77e-03 	 Color:1.64e-02 	Time: 1.48
epoch 7350:	pdl:1.27e-01 	 Rec:1.78e-03 	 Color:1.55e-02 	Time: 1.43
epoch 7400:	pdl:1.46e-01 	 Rec:1.77e-03 	 Color:1.83e-02 	Time: 1.45
epoch 7450:	pdl:1.55e-01 	 Rec:1.78e-03 	 Color:2.12e-02 	Time: 1.44
epoch 7500:	pdl:1.50e-01 	 Rec:1.77e-03 	 Color:2.27e-02 	Time: 1.45
epoch 7550:	pdl:1.32e-01 	 Rec:1.78e-03 	 Color:1.68e-02 	Time: 1.49
epoch 7600:	pdl:1.38e-01 	 Rec:1.77e-03 	 Color:1.88e-02 	Time: 1.47
epoch 7650:	pdl:1.36e-01 	 Rec:1.78e-03 	 Color:1.66e-02 	Time: 1.47
epoch 7700:	pdl:1.48e-01 	 Rec:1.77e-03 	 Color:1.95e-02 	Time: 1.46
epoch 7750:	pdl:1.40e-01 	 Rec:1.78e-03 	 Color:1.80e-02 	Time: 1.46
epoch 7800:	pdl:1.48e-01 	 Rec:1.77e-03 	 Color:1.88e-02 	Time: 1.48
epoch 7850:	pdl:1.32e-01 	 Rec:1.77e-03 	 Color:1.66e-02 	Time: 1.47
epoch 7900:	pdl:1.34e-01 	 Rec:1.77e-03 	 Color:1.85e-02 	Time: 1.49
epoch 7950:	pdl:1.49e-01 	 Rec:1.77e-03 	 Color:2.02e-02 	Time: 1.49
