epoch 0:	pdl:9.08e-02 	 Rec:1.59e-03 	 Color:5.78e-02 	Time: 0.02
epoch 50:	pdl:7.70e-02 	 Rec:1.17e-03 	 Color:4.39e-02 	Time: 2.64
epoch 100:	pdl:8.06e-02 	 Rec:1.08e-03 	 Color:4.59e-02 	Time: 2.64
epoch 150:	pdl:8.89e-02 	 Rec:1.14e-03 	 Color:4.91e-02 	Time: 2.69
epoch 200:	pdl:7.95e-02 	 Rec:1.09e-03 	 Color:4.30e-02 	Time: 2.64
epoch 250:	pdl:9.23e-02 	 Rec:9.83e-04 	 Color:5.94e-02 	Time: 2.71
epoch 300:	pdl:8.09e-02 	 Rec:1.06e-03 	 Color:4.82e-02 	Time: 2.64
epoch 350:	pdl:8.79e-02 	 Rec:9.55e-04 	 Color:6.03e-02 	Time: 2.70
epoch 400:	pdl:9.23e-02 	 Rec:9.31e-04 	 Color:5.93e-02 	Time: 2.60
epoch 450:	pdl:8.93e-02 	 Rec:9.20e-04 	 Color:5.52e-02 	Time: 2.60
epoch 500:	pdl:8.59e-02 	 Rec:9.21e-04 	 Color:5.28e-02 	Time: 2.70
epoch 550:	pdl:8.25e-02 	 Rec:9.17e-04 	 Color:4.98e-02 	Time: 2.66
epoch 600:	pdl:8.79e-02 	 Rec:8.63e-04 	 Color:5.03e-02 	Time: 2.70
epoch 650:	pdl:7.73e-02 	 Rec:8.46e-04 	 Color:4.49e-02 	Time: 2.71
epoch 700:	pdl:7.67e-02 	 Rec:9.04e-04 	 Color:4.60e-02 	Time: 2.69
epoch 750:	pdl:8.55e-02 	 Rec:8.73e-04 	 Color:5.54e-02 	Time: 2.65
epoch 800:	pdl:8.90e-02 	 Rec:8.33e-04 	 Color:5.67e-02 	Time: 2.57
epoch 850:	pdl:8.33e-02 	 Rec:7.69e-04 	 Color:4.48e-02 	Time: 2.71
epoch 900:	pdl:8.94e-02 	 Rec:7.83e-04 	 Color:4.68e-02 	Time: 2.69
epoch 950:	pdl:8.61e-02 	 Rec:7.43e-04 	 Color:5.22e-02 	Time: 2.69
epoch 1000:	pdl:8.71e-02 	 Rec:7.22e-04 	 Color:5.35e-02 	Time: 2.54
epoch 1050:	pdl:8.16e-02 	 Rec:6.92e-04 	 Color:4.98e-02 	Time: 2.77
epoch 1100:	pdl:8.97e-02 	 Rec:6.60e-04 	 Color:5.78e-02 	Time: 2.74
epoch 1150:	pdl:7.90e-02 	 Rec:6.57e-04 	 Color:5.23e-02 	Time: 2.75
epoch 1200:	pdl:8.05e-02 	 Rec:7.00e-04 	 Color:5.06e-02 	Time: 2.75
epoch 1250:	pdl:8.06e-02 	 Rec:7.04e-04 	 Color:5.29e-02 	Time: 2.73
epoch 1300:	pdl:8.44e-02 	 Rec:6.71e-04 	 Color:4.92e-02 	Time: 2.74
epoch 1350:	pdl:8.23e-02 	 Rec:6.93e-04 	 Color:5.03e-02 	Time: 2.71
epoch 1400:	pdl:8.77e-02 	 Rec:7.04e-04 	 Color:5.57e-02 	Time: 2.67
epoch 1450:	pdl:8.94e-02 	 Rec:6.35e-04 	 Color:6.01e-02 	Time: 2.71
epoch 1500:	pdl:8.35e-02 	 Rec:6.93e-04 	 Color:5.50e-02 	Time: 2.75
epoch 1550:	pdl:8.99e-02 	 Rec:7.63e-04 	 Color:5.30e-02 	Time: 2.70
epoch 1600:	pdl:7.56e-02 	 Rec:6.36e-04 	 Color:4.95e-02 	Time: 2.68
epoch 1650:	pdl:8.45e-02 	 Rec:5.84e-04 	 Color:5.34e-02 	Time: 2.71
epoch 1700:	pdl:7.64e-02 	 Rec:6.19e-04 	 Color:4.54e-02 	Time: 2.67
epoch 1750:	pdl:8.08e-02 	 Rec:6.02e-04 	 Color:4.71e-02 	Time: 2.72
epoch 1800:	pdl:9.69e-02 	 Rec:6.05e-04 	 Color:5.89e-02 	Time: 2.75
epoch 1850:	pdl:8.33e-02 	 Rec:6.15e-04 	 Color:5.08e-02 	Time: 2.74
epoch 1900:	pdl:7.35e-02 	 Rec:5.43e-04 	 Color:4.59e-02 	Time: 2.73
epoch 1950:	pdl:7.81e-02 	 Rec:5.31e-04 	 Color:5.04e-02 	Time: 2.76
epoch 2000:	pdl:8.82e-02 	 Rec:5.65e-04 	 Color:5.84e-02 	Time: 2.69
epoch 2050:	pdl:7.39e-02 	 Rec:5.26e-04 	 Color:4.25e-02 	Time: 2.71
epoch 2100:	pdl:7.60e-02 	 Rec:5.03e-04 	 Color:4.75e-02 	Time: 2.73
epoch 2150:	pdl:7.83e-02 	 Rec:5.00e-04 	 Color:4.78e-02 	Time: 2.71
epoch 2200:	pdl:7.77e-02 	 Rec:5.95e-04 	 Color:4.41e-02 	Time: 2.66
epoch 2250:	pdl:7.59e-02 	 Rec:5.48e-04 	 Color:4.64e-02 	Time: 2.70
epoch 2300:	pdl:7.65e-02 	 Rec:5.23e-04 	 Color:4.67e-02 	Time: 2.75
epoch 2350:	pdl:8.71e-02 	 Rec:5.33e-04 	 Color:5.18e-02 	Time: 2.72
epoch 2400:	pdl:7.85e-02 	 Rec:5.29e-04 	 Color:4.85e-02 	Time: 2.61
epoch 2450:	pdl:7.36e-02 	 Rec:4.73e-04 	 Color:4.70e-02 	Time: 2.74
epoch 2500:	pdl:7.74e-02 	 Rec:5.28e-04 	 Color:4.73e-02 	Time: 2.72
epoch 2550:	pdl:8.07e-02 	 Rec:4.98e-04 	 Color:5.09e-02 	Time: 2.71
epoch 2600:	pdl:7.45e-02 	 Rec:4.72e-04 	 Color:4.62e-02 	Time: 2.75
epoch 2650:	pdl:7.77e-02 	 Rec:5.26e-04 	 Color:4.47e-02 	Time: 2.75
epoch 2700:	pdl:8.65e-02 	 Rec:6.16e-04 	 Color:5.73e-02 	Time: 2.71
