epoch 0:	pdl:1.02e+00 	 Rec:1.70e-01 	 Color:0.00e+00 	Time: 0.04
epoch 50:	pdl:1.23e-01 	 Rec:2.14e-02 	 Color:0.00e+00 	Time: 4.57
epoch 100:	pdl:1.46e-01 	 Rec:1.47e-02 	 Color:0.00e+00 	Time: 4.58
epoch 150:	pdl:1.27e-01 	 Rec:8.48e-03 	 Color:0.00e+00 	Time: 4.64
epoch 200:	pdl:9.29e-02 	 Rec:7.02e-03 	 Color:0.00e+00 	Time: 4.68
epoch 250:	pdl:8.23e-02 	 Rec:9.99e-03 	 Color:0.00e+00 	Time: 4.67
epoch 300:	pdl:8.79e-02 	 Rec:5.05e-03 	 Color:0.00e+00 	Time: 4.69
epoch 350:	pdl:7.40e-02 	 Rec:5.19e-03 	 Color:0.00e+00 	Time: 4.70
epoch 400:	pdl:8.95e-02 	 Rec:6.23e-03 	 Color:0.00e+00 	Time: 4.70
epoch 450:	pdl:8.43e-02 	 Rec:7.07e-03 	 Color:0.00e+00 	Time: 4.73
epoch 500:	pdl:6.79e-02 	 Rec:4.42e-03 	 Color:0.00e+00 	Time: 4.74
epoch 550:	pdl:7.99e-02 	 Rec:5.32e-03 	 Color:0.00e+00 	Time: 4.73
epoch 600:	pdl:6.57e-02 	 Rec:4.35e-03 	 Color:0.00e+00 	Time: 4.74
epoch 650:	pdl:6.86e-02 	 Rec:4.58e-03 	 Color:0.00e+00 	Time: 4.74
epoch 700:	pdl:6.53e-02 	 Rec:5.51e-03 	 Color:0.00e+00 	Time: 4.74
epoch 750:	pdl:8.34e-02 	 Rec:4.45e-03 	 Color:0.00e+00 	Time: 4.74
epoch 800:	pdl:5.15e-02 	 Rec:4.10e-03 	 Color:0.00e+00 	Time: 4.75
epoch 850:	pdl:6.34e-02 	 Rec:4.41e-03 	 Color:0.00e+00 	Time: 4.73
epoch 900:	pdl:6.80e-02 	 Rec:4.18e-03 	 Color:0.00e+00 	Time: 4.75
epoch 950:	pdl:4.79e-02 	 Rec:5.61e-03 	 Color:0.00e+00 	Time: 4.76
epoch 1000:	pdl:6.98e-02 	 Rec:4.78e-03 	 Color:0.00e+00 	Time: 4.76
epoch 1050:	pdl:6.02e-02 	 Rec:4.03e-03 	 Color:0.00e+00 	Time: 4.78
epoch 1100:	pdl:7.23e-02 	 Rec:4.14e-03 	 Color:0.00e+00 	Time: 4.75
epoch 1150:	pdl:5.98e-02 	 Rec:3.92e-03 	 Color:0.00e+00 	Time: 4.74
