epoch 0:	pdl:8.65e-02 	 Rec:4.01e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:7.30e-02 	 Rec:2.59e-03 	 Color:0.00e+00 	Time: 1.48
epoch 100:	pdl:6.28e-02 	 Rec:2.47e-03 	 Color:0.00e+00 	Time: 1.44
epoch 150:	pdl:6.22e-02 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 1.42
epoch 200:	pdl:7.24e-02 	 Rec:2.32e-03 	 Color:0.00e+00 	Time: 1.42
epoch 250:	pdl:6.70e-02 	 Rec:2.39e-03 	 Color:0.00e+00 	Time: 1.43
epoch 300:	pdl:6.33e-02 	 Rec:2.16e-03 	 Color:0.00e+00 	Time: 1.43
epoch 350:	pdl:6.94e-02 	 Rec:2.08e-03 	 Color:0.00e+00 	Time: 1.40
epoch 400:	pdl:7.59e-02 	 Rec:2.07e-03 	 Color:0.00e+00 	Time: 1.44
epoch 450:	pdl:5.88e-02 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 1.45
epoch 500:	pdl:6.00e-02 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 1.44
epoch 550:	pdl:6.98e-02 	 Rec:2.05e-03 	 Color:0.00e+00 	Time: 1.41
epoch 600:	pdl:6.46e-02 	 Rec:1.94e-03 	 Color:0.00e+00 	Time: 1.41
epoch 650:	pdl:6.28e-02 	 Rec:1.94e-03 	 Color:0.00e+00 	Time: 1.44
epoch 700:	pdl:6.87e-02 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 1.41
epoch 750:	pdl:6.01e-02 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 1.42
epoch 800:	pdl:6.14e-02 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 1.43
epoch 850:	pdl:6.41e-02 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 1.43
epoch 900:	pdl:6.21e-02 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 1.44
epoch 950:	pdl:5.79e-02 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 1.41
epoch 1000:	pdl:6.58e-02 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 1.39
epoch 1050:	pdl:6.32e-02 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 1.45
epoch 1100:	pdl:6.33e-02 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 1.43
epoch 1150:	pdl:6.26e-02 	 Rec:1.75e-03 	 Color:0.00e+00 	Time: 1.43
epoch 1200:	pdl:6.88e-02 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 1.43
epoch 1250:	pdl:6.57e-02 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1300:	pdl:6.52e-02 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1350:	pdl:6.87e-02 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1400:	pdl:6.09e-02 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1450:	pdl:6.44e-02 	 Rec:1.66e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1500:	pdl:6.25e-02 	 Rec:1.75e-03 	 Color:0.00e+00 	Time: 1.39
epoch 1550:	pdl:6.60e-02 	 Rec:1.66e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1600:	pdl:6.89e-02 	 Rec:1.66e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1650:	pdl:6.01e-02 	 Rec:1.75e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1700:	pdl:6.35e-02 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 1.39
epoch 1750:	pdl:6.84e-02 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 1.44
epoch 1800:	pdl:7.04e-02 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 1.44
epoch 1850:	pdl:6.77e-02 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 1.42
epoch 1900:	pdl:6.07e-02 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 1.43
epoch 1950:	pdl:6.27e-02 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 1.44
epoch 2000:	pdl:6.90e-02 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2050:	pdl:6.52e-02 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2100:	pdl:6.53e-02 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2150:	pdl:6.26e-02 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2200:	pdl:6.55e-02 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2250:	pdl:5.69e-02 	 Rec:1.51e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2300:	pdl:6.23e-02 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 1.43
epoch 2350:	pdl:6.90e-02 	 Rec:1.51e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2400:	pdl:7.81e-02 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2450:	pdl:6.54e-02 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2500:	pdl:6.80e-02 	 Rec:1.47e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2550:	pdl:6.00e-02 	 Rec:1.54e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2600:	pdl:6.79e-02 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2650:	pdl:6.38e-02 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2700:	pdl:6.50e-02 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2750:	pdl:6.46e-02 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2800:	pdl:6.84e-02 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 1.40
epoch 2850:	pdl:5.63e-02 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2900:	pdl:7.17e-02 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 1.42
epoch 2950:	pdl:7.49e-02 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 1.39
epoch 3000:	pdl:7.18e-02 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3050:	pdl:6.83e-02 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 1.44
epoch 3100:	pdl:6.18e-02 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.41
epoch 3150:	pdl:6.50e-02 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 1.43
epoch 3200:	pdl:6.68e-02 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.43
epoch 3250:	pdl:6.10e-02 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 1.43
epoch 3300:	pdl:6.45e-02 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3350:	pdl:6.47e-02 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 1.43
epoch 3400:	pdl:6.78e-02 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 1.43
epoch 3450:	pdl:6.97e-02 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3500:	pdl:5.83e-02 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 1.44
epoch 3550:	pdl:6.59e-02 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3600:	pdl:6.25e-02 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3650:	pdl:6.45e-02 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3700:	pdl:5.99e-02 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3750:	pdl:7.21e-02 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 1.43
epoch 3800:	pdl:5.95e-02 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3850:	pdl:5.85e-02 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.39
epoch 3900:	pdl:5.91e-02 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.42
epoch 3950:	pdl:6.34e-02 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4000:	pdl:6.29e-02 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 1.39
epoch 4050:	pdl:6.77e-02 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.45
epoch 4100:	pdl:5.99e-02 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4150:	pdl:6.08e-02 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 1.43
epoch 4200:	pdl:6.75e-02 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 1.39
epoch 4250:	pdl:6.14e-02 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4300:	pdl:6.59e-02 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4350:	pdl:6.45e-02 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.40
epoch 4400:	pdl:7.57e-02 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.43
epoch 4450:	pdl:6.38e-02 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.44
epoch 4500:	pdl:5.84e-02 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4550:	pdl:5.57e-02 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4600:	pdl:6.71e-02 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.41
epoch 4650:	pdl:6.29e-02 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 1.41
epoch 4700:	pdl:6.34e-02 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 1.43
epoch 4750:	pdl:6.52e-02 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4800:	pdl:6.04e-02 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4850:	pdl:5.60e-02 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4900:	pdl:7.03e-02 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.42
epoch 4950:	pdl:6.07e-02 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 1.43
epoch 5000:	pdl:5.93e-02 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 1.39
epoch 5050:	pdl:6.26e-02 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 1.45
epoch 5100:	pdl:6.73e-02 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 1.44
epoch 5150:	pdl:6.98e-02 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 1.40
epoch 5200:	pdl:5.99e-02 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 1.42
epoch 5250:	pdl:6.55e-02 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 1.42
epoch 5300:	pdl:6.13e-02 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 1.39
epoch 5350:	pdl:6.37e-02 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 1.42
epoch 5400:	pdl:6.21e-02 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 1.43
epoch 5450:	pdl:6.59e-02 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 1.39
epoch 5500:	pdl:6.17e-02 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 1.44
epoch 5550:	pdl:6.53e-02 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 1.39
epoch 5600:	pdl:6.18e-02 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 1.42
epoch 5650:	pdl:6.96e-02 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 1.42
epoch 5700:	pdl:6.25e-02 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 1.43
epoch 5750:	pdl:5.91e-02 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 1.43
epoch 5800:	pdl:6.12e-02 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 1.43
epoch 5850:	pdl:5.80e-02 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 1.42
epoch 5900:	pdl:6.62e-02 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 1.42
epoch 5950:	pdl:6.04e-02 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.42
epoch 6000:	pdl:6.39e-02 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 1.39
epoch 6050:	pdl:6.48e-02 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 1.44
epoch 6100:	pdl:5.93e-02 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 1.42
epoch 6150:	pdl:6.11e-02 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.42
epoch 6200:	pdl:5.78e-02 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.40
epoch 6250:	pdl:6.74e-02 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.42
epoch 6300:	pdl:5.96e-02 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 1.42
epoch 6350:	pdl:6.22e-02 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 1.43
epoch 6400:	pdl:6.51e-02 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 1.43
epoch 6450:	pdl:5.82e-02 	 Rec:8.93e-04 	 Color:0.00e+00 	Time: 1.41
epoch 6500:	pdl:5.95e-02 	 Rec:8.77e-04 	 Color:0.00e+00 	Time: 1.42
epoch 6550:	pdl:5.64e-02 	 Rec:8.65e-04 	 Color:0.00e+00 	Time: 1.39
epoch 6600:	pdl:5.73e-02 	 Rec:8.58e-04 	 Color:0.00e+00 	Time: 1.43
epoch 6650:	pdl:6.34e-02 	 Rec:8.53e-04 	 Color:0.00e+00 	Time: 1.43
epoch 6700:	pdl:5.98e-02 	 Rec:8.55e-04 	 Color:0.00e+00 	Time: 1.43
epoch 6750:	pdl:5.76e-02 	 Rec:8.48e-04 	 Color:0.00e+00 	Time: 1.40
epoch 6800:	pdl:6.08e-02 	 Rec:8.40e-04 	 Color:0.00e+00 	Time: 1.44
epoch 6850:	pdl:5.78e-02 	 Rec:8.40e-04 	 Color:0.00e+00 	Time: 1.43
epoch 6900:	pdl:5.65e-02 	 Rec:8.35e-04 	 Color:0.00e+00 	Time: 1.43
epoch 6950:	pdl:6.06e-02 	 Rec:8.40e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7000:	pdl:5.97e-02 	 Rec:8.35e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7050:	pdl:6.14e-02 	 Rec:8.31e-04 	 Color:0.00e+00 	Time: 1.46
epoch 7100:	pdl:5.78e-02 	 Rec:8.27e-04 	 Color:0.00e+00 	Time: 1.40
epoch 7150:	pdl:8.04e-02 	 Rec:8.23e-04 	 Color:0.00e+00 	Time: 1.44
epoch 7200:	pdl:6.11e-02 	 Rec:8.29e-04 	 Color:0.00e+00 	Time: 1.42
epoch 7250:	pdl:5.79e-02 	 Rec:8.22e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7300:	pdl:5.65e-02 	 Rec:8.17e-04 	 Color:0.00e+00 	Time: 1.41
epoch 7350:	pdl:6.09e-02 	 Rec:8.16e-04 	 Color:0.00e+00 	Time: 1.44
epoch 7400:	pdl:6.13e-02 	 Rec:8.23e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7450:	pdl:6.19e-02 	 Rec:8.19e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7500:	pdl:6.25e-02 	 Rec:8.19e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7550:	pdl:5.74e-02 	 Rec:8.09e-04 	 Color:0.00e+00 	Time: 1.40
epoch 7600:	pdl:6.58e-02 	 Rec:8.09e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7650:	pdl:7.05e-02 	 Rec:8.15e-04 	 Color:0.00e+00 	Time: 1.42
epoch 7700:	pdl:6.09e-02 	 Rec:8.09e-04 	 Color:0.00e+00 	Time: 1.44
epoch 7750:	pdl:6.24e-02 	 Rec:8.07e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7800:	pdl:6.11e-02 	 Rec:8.06e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7850:	pdl:5.91e-02 	 Rec:8.13e-04 	 Color:0.00e+00 	Time: 1.43
epoch 7900:	pdl:5.88e-02 	 Rec:8.06e-04 	 Color:0.00e+00 	Time: 1.40
epoch 7950:	pdl:5.81e-02 	 Rec:8.08e-04 	 Color:0.00e+00 	Time: 1.43
