epoch 0:	gram:4.96e-02 	 Rec:1.26e-01 	 Color:2.08e-07 	Time: 0.02
epoch 50:	gram:2.00e-02 	 Rec:3.31e-02 	 Color:1.68e-07 	Time: 1.65
epoch 100:	gram:1.21e-02 	 Rec:9.93e-03 	 Color:1.67e-07 	Time: 1.51
epoch 150:	gram:9.57e-03 	 Rec:7.52e-03 	 Color:1.46e-07 	Time: 1.61
epoch 200:	gram:1.15e-02 	 Rec:1.87e-02 	 Color:1.91e-07 	Time: 1.65
epoch 250:	gram:1.30e-02 	 Rec:2.66e-02 	 Color:1.52e-07 	Time: 1.65
epoch 300:	gram:1.13e-02 	 Rec:7.79e-03 	 Color:1.36e-07 	Time: 1.68
epoch 350:	gram:1.16e-02 	 Rec:7.71e-03 	 Color:1.46e-07 	Time: 1.68
epoch 400:	gram:9.83e-03 	 Rec:7.63e-03 	 Color:1.28e-07 	Time: 1.66
epoch 450:	gram:1.06e-02 	 Rec:7.03e-03 	 Color:1.63e-07 	Time: 1.66
epoch 500:	gram:9.82e-03 	 Rec:7.15e-03 	 Color:1.44e-07 	Time: 1.66
epoch 550:	gram:7.44e-03 	 Rec:6.99e-03 	 Color:1.43e-07 	Time: 1.66
epoch 600:	gram:6.20e-03 	 Rec:6.73e-03 	 Color:1.42e-07 	Time: 1.67
epoch 650:	gram:7.17e-03 	 Rec:6.61e-03 	 Color:1.69e-07 	Time: 1.65
epoch 700:	gram:4.35e-03 	 Rec:6.39e-03 	 Color:1.39e-07 	Time: 1.65
epoch 750:	gram:4.11e-03 	 Rec:6.28e-03 	 Color:1.49e-07 	Time: 1.65
epoch 800:	gram:7.65e-03 	 Rec:6.75e-03 	 Color:1.65e-07 	Time: 1.66
epoch 850:	gram:3.82e-03 	 Rec:5.93e-03 	 Color:1.67e-07 	Time: 1.66
epoch 900:	gram:3.09e-03 	 Rec:5.83e-03 	 Color:1.51e-07 	Time: 1.68
epoch 950:	gram:3.66e-03 	 Rec:5.80e-03 	 Color:1.66e-07 	Time: 1.68
epoch 1000:	gram:2.89e-03 	 Rec:6.01e-03 	 Color:1.82e-07 	Time: 1.67
epoch 1050:	gram:5.27e-03 	 Rec:5.63e-03 	 Color:1.47e-07 	Time: 1.67
epoch 1100:	gram:4.27e-03 	 Rec:5.18e-03 	 Color:1.53e-07 	Time: 1.66
epoch 1150:	gram:4.41e-03 	 Rec:5.54e-03 	 Color:1.43e-07 	Time: 1.66
epoch 1200:	gram:3.59e-03 	 Rec:5.52e-03 	 Color:1.76e-07 	Time: 1.67
epoch 1250:	gram:5.13e-03 	 Rec:5.44e-03 	 Color:1.42e-07 	Time: 1.66
epoch 1300:	gram:3.41e-03 	 Rec:5.17e-03 	 Color:1.52e-07 	Time: 1.67
epoch 1350:	gram:5.16e-03 	 Rec:8.11e-03 	 Color:1.63e-07 	Time: 1.66
epoch 1400:	gram:3.24e-03 	 Rec:5.40e-03 	 Color:1.49e-07 	Time: 1.65
epoch 1450:	gram:2.66e-03 	 Rec:5.34e-03 	 Color:1.93e-07 	Time: 1.66
epoch 1500:	gram:3.44e-03 	 Rec:4.86e-03 	 Color:1.59e-07 	Time: 1.65
epoch 1550:	gram:3.53e-03 	 Rec:4.68e-03 	 Color:1.59e-07 	Time: 1.66
epoch 1600:	gram:3.91e-03 	 Rec:4.54e-03 	 Color:1.30e-07 	Time: 1.64
epoch 1650:	gram:2.91e-03 	 Rec:4.45e-03 	 Color:1.58e-07 	Time: 1.67
epoch 1700:	gram:2.53e-03 	 Rec:4.29e-03 	 Color:1.68e-07 	Time: 1.65
epoch 1750:	gram:3.49e-03 	 Rec:4.12e-03 	 Color:1.41e-07 	Time: 1.64
epoch 1800:	gram:3.41e-03 	 Rec:4.11e-03 	 Color:1.51e-07 	Time: 1.65
epoch 1850:	gram:3.07e-03 	 Rec:3.91e-03 	 Color:1.64e-07 	Time: 1.65
epoch 1900:	gram:2.72e-03 	 Rec:4.09e-03 	 Color:1.59e-07 	Time: 1.59
epoch 1950:	gram:3.37e-03 	 Rec:3.97e-03 	 Color:1.47e-07 	Time: 1.61
epoch 2000:	gram:3.10e-03 	 Rec:4.02e-03 	 Color:1.69e-07 	Time: 1.63
epoch 2050:	gram:2.60e-03 	 Rec:3.64e-03 	 Color:1.44e-07 	Time: 1.66
epoch 2100:	gram:2.40e-03 	 Rec:3.53e-03 	 Color:1.43e-07 	Time: 1.60
epoch 2150:	gram:2.95e-03 	 Rec:3.90e-03 	 Color:1.40e-07 	Time: 1.63
epoch 2200:	gram:2.19e-03 	 Rec:3.29e-03 	 Color:1.41e-07 	Time: 1.61
epoch 2250:	gram:2.91e-03 	 Rec:3.34e-03 	 Color:1.57e-07 	Time: 1.60
epoch 2300:	gram:2.78e-03 	 Rec:3.55e-03 	 Color:1.42e-07 	Time: 1.62
epoch 2350:	gram:3.38e-03 	 Rec:3.31e-03 	 Color:1.56e-07 	Time: 1.61
epoch 2400:	gram:4.76e-03 	 Rec:3.28e-03 	 Color:1.34e-07 	Time: 1.62
epoch 2450:	gram:2.78e-03 	 Rec:2.96e-03 	 Color:1.71e-07 	Time: 1.64
epoch 2500:	gram:2.49e-03 	 Rec:2.71e-03 	 Color:1.55e-07 	Time: 1.63
epoch 2550:	gram:2.36e-03 	 Rec:2.77e-03 	 Color:1.62e-07 	Time: 1.64
epoch 2600:	gram:2.37e-03 	 Rec:2.86e-03 	 Color:1.43e-07 	Time: 1.63
epoch 2650:	gram:3.32e-03 	 Rec:2.77e-03 	 Color:1.62e-07 	Time: 1.63
epoch 2700:	gram:2.57e-03 	 Rec:2.70e-03 	 Color:1.43e-07 	Time: 1.63
epoch 2750:	gram:2.46e-03 	 Rec:2.68e-03 	 Color:1.55e-07 	Time: 1.63
epoch 2800:	gram:5.12e-03 	 Rec:2.85e-03 	 Color:1.57e-07 	Time: 1.63
epoch 2850:	gram:2.53e-03 	 Rec:2.37e-03 	 Color:1.51e-07 	Time: 1.63
epoch 2900:	gram:2.35e-03 	 Rec:2.48e-03 	 Color:1.51e-07 	Time: 1.62
epoch 2950:	gram:3.56e-03 	 Rec:2.15e-03 	 Color:1.66e-07 	Time: 1.62
epoch 3000:	gram:2.24e-03 	 Rec:2.12e-03 	 Color:1.56e-07 	Time: 1.61
epoch 3050:	gram:2.40e-03 	 Rec:2.47e-03 	 Color:1.66e-07 	Time: 1.66
epoch 3100:	gram:2.72e-03 	 Rec:2.33e-03 	 Color:1.65e-07 	Time: 1.60
epoch 3150:	gram:4.05e-03 	 Rec:2.74e-03 	 Color:1.41e-07 	Time: 1.61
epoch 3200:	gram:3.42e-03 	 Rec:2.12e-03 	 Color:1.31e-07 	Time: 1.61
epoch 3250:	gram:4.22e-03 	 Rec:3.37e-03 	 Color:1.49e-07 	Time: 1.63
epoch 3300:	gram:1.06e-02 	 Rec:7.81e-03 	 Color:1.58e-07 	Time: 1.63
epoch 3350:	gram:1.17e-02 	 Rec:7.64e-03 	 Color:1.72e-07 	Time: 1.63
epoch 3400:	gram:1.11e-02 	 Rec:7.46e-03 	 Color:1.72e-07 	Time: 1.62
epoch 3450:	gram:1.10e-02 	 Rec:7.37e-03 	 Color:1.35e-07 	Time: 1.62
epoch 3500:	gram:1.08e-02 	 Rec:7.28e-03 	 Color:1.51e-07 	Time: 1.61
epoch 3550:	gram:1.16e-02 	 Rec:7.25e-03 	 Color:1.46e-07 	Time: 1.64
epoch 3600:	gram:1.12e-02 	 Rec:7.38e-03 	 Color:1.43e-07 	Time: 1.62
epoch 3650:	gram:1.04e-02 	 Rec:7.15e-03 	 Color:1.44e-07 	Time: 1.62
epoch 3700:	gram:1.11e-02 	 Rec:7.19e-03 	 Color:1.32e-07 	Time: 1.62
epoch 3750:	gram:1.01e-02 	 Rec:6.96e-03 	 Color:1.43e-07 	Time: 1.63
epoch 3800:	gram:9.02e-03 	 Rec:6.94e-03 	 Color:1.61e-07 	Time: 1.62
epoch 3850:	gram:1.02e-02 	 Rec:7.07e-03 	 Color:1.51e-07 	Time: 1.62
epoch 3900:	gram:8.62e-03 	 Rec:6.94e-03 	 Color:1.44e-07 	Time: 1.63
epoch 3950:	gram:5.15e-03 	 Rec:6.73e-03 	 Color:1.58e-07 	Time: 1.62
epoch 4000:	gram:4.96e-03 	 Rec:6.50e-03 	 Color:1.46e-07 	Time: 1.62
epoch 4050:	gram:3.73e-03 	 Rec:6.48e-03 	 Color:1.43e-07 	Time: 1.63
epoch 4100:	gram:4.43e-03 	 Rec:6.39e-03 	 Color:1.76e-07 	Time: 1.61
epoch 4150:	gram:4.47e-03 	 Rec:6.19e-03 	 Color:1.49e-07 	Time: 1.55
epoch 4200:	gram:6.73e-03 	 Rec:7.10e-03 	 Color:1.54e-07 	Time: 1.66
epoch 4250:	gram:4.35e-03 	 Rec:5.92e-03 	 Color:1.51e-07 	Time: 1.64
epoch 4300:	gram:4.43e-03 	 Rec:5.93e-03 	 Color:1.49e-07 	Time: 1.64
epoch 4350:	gram:4.04e-03 	 Rec:5.65e-03 	 Color:1.51e-07 	Time: 1.64
epoch 4400:	gram:3.80e-03 	 Rec:5.65e-03 	 Color:1.41e-07 	Time: 1.66
epoch 4450:	gram:3.57e-03 	 Rec:5.69e-03 	 Color:1.86e-07 	Time: 1.63
epoch 4500:	gram:4.16e-03 	 Rec:5.36e-03 	 Color:1.56e-07 	Time: 1.63
epoch 4550:	gram:4.75e-03 	 Rec:5.31e-03 	 Color:1.38e-07 	Time: 1.64
epoch 4600:	gram:4.48e-03 	 Rec:5.37e-03 	 Color:1.50e-07 	Time: 1.66
epoch 4650:	gram:3.65e-03 	 Rec:5.01e-03 	 Color:1.73e-07 	Time: 1.65
epoch 4700:	gram:3.78e-03 	 Rec:4.94e-03 	 Color:1.35e-07 	Time: 1.64
epoch 4750:	gram:3.79e-03 	 Rec:4.92e-03 	 Color:1.48e-07 	Time: 1.65
epoch 4800:	gram:3.36e-03 	 Rec:4.63e-03 	 Color:1.49e-07 	Time: 1.65
epoch 4850:	gram:3.04e-03 	 Rec:4.40e-03 	 Color:1.53e-07 	Time: 1.65
epoch 4900:	gram:3.40e-03 	 Rec:4.38e-03 	 Color:1.57e-07 	Time: 1.65
epoch 4950:	gram:3.36e-03 	 Rec:4.35e-03 	 Color:1.52e-07 	Time: 1.65
epoch 5000:	gram:2.85e-03 	 Rec:4.33e-03 	 Color:1.56e-07 	Time: 1.63
epoch 5050:	gram:3.11e-03 	 Rec:4.30e-03 	 Color:1.57e-07 	Time: 1.66
epoch 5100:	gram:2.38e-03 	 Rec:4.28e-03 	 Color:1.50e-07 	Time: 1.63
epoch 5150:	gram:2.88e-03 	 Rec:4.26e-03 	 Color:1.42e-07 	Time: 1.63
epoch 5200:	gram:3.52e-03 	 Rec:4.24e-03 	 Color:1.47e-07 	Time: 1.64
epoch 5250:	gram:3.63e-03 	 Rec:4.22e-03 	 Color:1.65e-07 	Time: 1.63
epoch 5300:	gram:3.95e-03 	 Rec:4.19e-03 	 Color:1.62e-07 	Time: 1.63
