epoch 0:	gram:6.21e-02 	 Rec:5.10e-02 	 Color:2.11e-06 	Time: 0.01
epoch 50:	gram:4.29e-03 	 Rec:6.31e-03 	 Color:2.26e-06 	Time: 0.65
epoch 100:	gram:4.30e-03 	 Rec:4.46e-03 	 Color:1.94e-06 	Time: 0.53
epoch 150:	gram:3.14e-03 	 Rec:3.80e-03 	 Color:1.68e-06 	Time: 0.53
epoch 200:	gram:2.85e-03 	 Rec:3.46e-03 	 Color:1.97e-06 	Time: 0.54
epoch 250:	gram:4.49e-03 	 Rec:3.16e-03 	 Color:2.35e-06 	Time: 0.53
epoch 300:	gram:3.11e-03 	 Rec:3.04e-03 	 Color:2.09e-06 	Time: 0.52
epoch 350:	gram:2.55e-03 	 Rec:2.77e-03 	 Color:1.48e-06 	Time: 0.52
epoch 400:	gram:2.89e-03 	 Rec:2.71e-03 	 Color:1.81e-06 	Time: 0.52
epoch 450:	gram:2.72e-03 	 Rec:3.07e-03 	 Color:1.79e-06 	Time: 0.53
epoch 500:	gram:3.51e-03 	 Rec:2.39e-03 	 Color:2.18e-06 	Time: 0.52
epoch 550:	gram:3.07e-03 	 Rec:2.64e-03 	 Color:1.72e-06 	Time: 0.52
epoch 600:	gram:3.26e-03 	 Rec:2.25e-03 	 Color:1.52e-06 	Time: 0.52
epoch 650:	gram:2.60e-03 	 Rec:2.22e-03 	 Color:2.40e-06 	Time: 0.55
epoch 700:	gram:3.52e-03 	 Rec:2.14e-03 	 Color:1.42e-06 	Time: 0.53
epoch 750:	gram:3.62e-03 	 Rec:2.13e-03 	 Color:1.51e-06 	Time: 0.52
epoch 800:	gram:2.61e-03 	 Rec:2.04e-03 	 Color:1.64e-06 	Time: 0.53
epoch 850:	gram:2.47e-03 	 Rec:1.86e-03 	 Color:1.63e-06 	Time: 0.55
epoch 900:	gram:3.52e-03 	 Rec:1.89e-03 	 Color:2.32e-06 	Time: 0.53
epoch 950:	gram:2.40e-03 	 Rec:2.09e-03 	 Color:1.75e-06 	Time: 0.53
epoch 1000:	gram:2.48e-03 	 Rec:1.77e-03 	 Color:1.79e-06 	Time: 0.52
epoch 1050:	gram:2.36e-03 	 Rec:1.77e-03 	 Color:2.28e-06 	Time: 0.53
epoch 1100:	gram:2.31e-03 	 Rec:1.66e-03 	 Color:1.88e-06 	Time: 0.53
epoch 1150:	gram:2.34e-03 	 Rec:1.90e-03 	 Color:1.70e-06 	Time: 0.56
epoch 1200:	gram:2.44e-03 	 Rec:1.66e-03 	 Color:1.45e-06 	Time: 0.54
epoch 1250:	gram:3.72e-03 	 Rec:1.68e-03 	 Color:1.47e-06 	Time: 0.53
epoch 1300:	gram:2.57e-03 	 Rec:1.57e-03 	 Color:1.84e-06 	Time: 0.53
epoch 1350:	gram:2.46e-03 	 Rec:1.56e-03 	 Color:1.88e-06 	Time: 0.53
epoch 1400:	gram:2.86e-03 	 Rec:1.49e-03 	 Color:2.11e-06 	Time: 0.52
epoch 1450:	gram:2.80e-03 	 Rec:1.41e-03 	 Color:2.40e-06 	Time: 0.52
epoch 1500:	gram:3.03e-03 	 Rec:1.45e-03 	 Color:2.17e-06 	Time: 0.52
epoch 1550:	gram:2.75e-03 	 Rec:1.63e-03 	 Color:1.55e-06 	Time: 0.52
epoch 1600:	gram:2.33e-03 	 Rec:1.30e-03 	 Color:1.75e-06 	Time: 0.56
epoch 1650:	gram:2.90e-03 	 Rec:1.36e-03 	 Color:1.90e-06 	Time: 0.54
epoch 1700:	gram:2.42e-03 	 Rec:1.45e-03 	 Color:1.45e-06 	Time: 0.52
epoch 1750:	gram:2.38e-03 	 Rec:1.33e-03 	 Color:2.04e-06 	Time: 0.52
epoch 1800:	gram:2.02e-03 	 Rec:1.25e-03 	 Color:2.24e-06 	Time: 0.52
epoch 1850:	gram:3.07e-03 	 Rec:1.28e-03 	 Color:1.74e-06 	Time: 0.52
epoch 1900:	gram:1.99e-03 	 Rec:1.29e-03 	 Color:1.36e-06 	Time: 0.54
epoch 1950:	gram:2.70e-03 	 Rec:1.18e-03 	 Color:2.35e-06 	Time: 0.52
epoch 2000:	gram:2.23e-03 	 Rec:1.18e-03 	 Color:1.57e-06 	Time: 0.52
epoch 2050:	gram:2.47e-03 	 Rec:1.18e-03 	 Color:1.56e-06 	Time: 0.58
epoch 2100:	gram:2.42e-03 	 Rec:1.26e-03 	 Color:1.38e-06 	Time: 0.52
epoch 2150:	gram:2.22e-03 	 Rec:1.22e-03 	 Color:1.45e-06 	Time: 0.52
epoch 2200:	gram:3.36e-03 	 Rec:1.03e-03 	 Color:2.00e-06 	Time: 0.52
epoch 2250:	gram:2.27e-03 	 Rec:1.05e-03 	 Color:1.99e-06 	Time: 0.52
epoch 2300:	gram:2.89e-03 	 Rec:1.24e-03 	 Color:1.55e-06 	Time: 0.52
epoch 2350:	gram:2.81e-03 	 Rec:1.04e-03 	 Color:1.62e-06 	Time: 0.52
epoch 2400:	gram:4.23e-03 	 Rec:1.39e-03 	 Color:2.20e-06 	Time: 0.53
epoch 2450:	gram:2.18e-03 	 Rec:9.90e-04 	 Color:1.47e-06 	Time: 0.52
epoch 2500:	gram:2.62e-03 	 Rec:9.55e-04 	 Color:1.81e-06 	Time: 0.55
epoch 2550:	gram:3.42e-03 	 Rec:9.99e-04 	 Color:1.91e-06 	Time: 0.52
epoch 2600:	gram:2.84e-03 	 Rec:1.09e-03 	 Color:2.01e-06 	Time: 0.52
epoch 2650:	gram:2.20e-03 	 Rec:1.01e-03 	 Color:1.73e-06 	Time: 0.52
epoch 2700:	gram:2.45e-03 	 Rec:1.10e-03 	 Color:1.41e-06 	Time: 0.55
epoch 2750:	gram:2.07e-03 	 Rec:8.20e-04 	 Color:1.52e-06 	Time: 0.52
epoch 2800:	gram:2.40e-03 	 Rec:9.53e-04 	 Color:2.27e-06 	Time: 0.52
epoch 2850:	gram:2.78e-03 	 Rec:9.19e-04 	 Color:2.29e-06 	Time: 0.52
epoch 2900:	gram:2.24e-03 	 Rec:9.34e-04 	 Color:2.17e-06 	Time: 0.52
epoch 2950:	gram:2.34e-03 	 Rec:1.06e-03 	 Color:2.00e-06 	Time: 0.54
epoch 3000:	gram:2.52e-03 	 Rec:9.50e-04 	 Color:1.89e-06 	Time: 0.55
epoch 3050:	gram:2.05e-03 	 Rec:1.02e-03 	 Color:2.19e-06 	Time: 0.54
epoch 3100:	gram:2.85e-03 	 Rec:8.37e-04 	 Color:1.50e-06 	Time: 0.56
epoch 3150:	gram:2.32e-03 	 Rec:9.25e-04 	 Color:1.70e-06 	Time: 0.54
epoch 3200:	gram:2.36e-03 	 Rec:8.68e-04 	 Color:1.59e-06 	Time: 0.54
epoch 3250:	gram:2.35e-03 	 Rec:7.72e-04 	 Color:1.74e-06 	Time: 0.52
epoch 3300:	gram:2.89e-03 	 Rec:8.03e-04 	 Color:1.67e-06 	Time: 0.52
epoch 3350:	gram:2.58e-03 	 Rec:9.11e-04 	 Color:1.82e-06 	Time: 0.52
epoch 3400:	gram:1.80e-03 	 Rec:7.07e-04 	 Color:1.35e-06 	Time: 0.52
epoch 3450:	gram:2.30e-03 	 Rec:7.69e-04 	 Color:1.62e-06 	Time: 0.51
epoch 3500:	gram:2.07e-03 	 Rec:7.80e-04 	 Color:2.04e-06 	Time: 0.51
epoch 3550:	gram:2.55e-03 	 Rec:9.78e-04 	 Color:1.68e-06 	Time: 0.54
epoch 3600:	gram:3.04e-03 	 Rec:9.74e-04 	 Color:1.73e-06 	Time: 0.54
epoch 3650:	gram:2.85e-03 	 Rec:8.52e-04 	 Color:1.53e-06 	Time: 0.51
epoch 3700:	gram:2.11e-03 	 Rec:8.10e-04 	 Color:1.88e-06 	Time: 0.51
