epoch 0:	gram:6.44e-02 	 Rec:6.32e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	gram:5.51e-03 	 Rec:3.63e-03 	 Color:0.00e+00 	Time: 0.54
epoch 100:	gram:4.47e-03 	 Rec:2.70e-03 	 Color:0.00e+00 	Time: 0.50
epoch 150:	gram:4.37e-03 	 Rec:2.32e-03 	 Color:0.00e+00 	Time: 0.44
epoch 200:	gram:4.58e-03 	 Rec:2.08e-03 	 Color:0.00e+00 	Time: 0.50
epoch 250:	gram:3.80e-03 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 0.43
epoch 300:	gram:4.55e-03 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 0.43
epoch 350:	gram:3.31e-03 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 0.45
epoch 400:	gram:4.35e-03 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 0.43
epoch 450:	gram:4.04e-03 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 0.45
epoch 500:	gram:3.45e-03 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.42
epoch 550:	gram:4.20e-03 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.42
epoch 600:	gram:4.35e-03 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.42
epoch 650:	gram:4.39e-03 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.45
epoch 700:	gram:4.28e-03 	 Rec:1.00e-03 	 Color:0.00e+00 	Time: 0.42
epoch 750:	gram:3.85e-03 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.45
epoch 800:	gram:3.58e-03 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.45
epoch 850:	gram:4.76e-03 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.45
epoch 900:	gram:2.80e-03 	 Rec:8.60e-04 	 Color:0.00e+00 	Time: 0.45
epoch 950:	gram:3.73e-03 	 Rec:8.37e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1000:	gram:4.10e-03 	 Rec:8.71e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1050:	gram:3.58e-03 	 Rec:7.84e-04 	 Color:0.00e+00 	Time: 0.50
epoch 1100:	gram:3.60e-03 	 Rec:7.31e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1150:	gram:3.58e-03 	 Rec:7.51e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1200:	gram:3.15e-03 	 Rec:7.95e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1250:	gram:2.91e-03 	 Rec:6.19e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1300:	gram:3.23e-03 	 Rec:6.58e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1350:	gram:3.47e-03 	 Rec:5.50e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1400:	gram:4.13e-03 	 Rec:8.20e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1450:	gram:3.38e-03 	 Rec:6.61e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1500:	gram:3.88e-03 	 Rec:7.79e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1550:	gram:4.34e-03 	 Rec:5.85e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1600:	gram:3.80e-03 	 Rec:7.17e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1650:	gram:4.08e-03 	 Rec:5.08e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1700:	gram:3.81e-03 	 Rec:7.90e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1750:	gram:3.09e-03 	 Rec:5.43e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1800:	gram:3.29e-03 	 Rec:5.43e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1850:	gram:3.15e-03 	 Rec:5.66e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1900:	gram:2.88e-03 	 Rec:6.13e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1950:	gram:2.75e-03 	 Rec:4.40e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2000:	gram:3.11e-03 	 Rec:4.75e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2050:	gram:3.11e-03 	 Rec:5.58e-04 	 Color:0.00e+00 	Time: 0.46
