epoch 0:	gram:5.45e-02 	 Rec:1.19e-01 	 Color:0.00e+00 	Time: 0.02
epoch 50:	gram:3.84e-03 	 Rec:7.33e-03 	 Color:0.00e+00 	Time: 1.32
epoch 100:	gram:2.88e-03 	 Rec:4.77e-03 	 Color:0.00e+00 	Time: 1.27
epoch 150:	gram:2.63e-03 	 Rec:4.46e-03 	 Color:0.00e+00 	Time: 1.25
epoch 200:	gram:2.66e-03 	 Rec:5.64e-03 	 Color:0.00e+00 	Time: 1.26
epoch 250:	gram:2.49e-03 	 Rec:4.22e-03 	 Color:0.00e+00 	Time: 1.26
epoch 300:	gram:3.78e-03 	 Rec:5.24e-03 	 Color:0.00e+00 	Time: 1.26
epoch 350:	gram:3.02e-03 	 Rec:3.89e-03 	 Color:0.00e+00 	Time: 1.26
epoch 400:	gram:2.34e-03 	 Rec:3.55e-03 	 Color:0.00e+00 	Time: 1.26
epoch 450:	gram:3.72e-03 	 Rec:3.92e-03 	 Color:0.00e+00 	Time: 1.27
epoch 500:	gram:1.72e-03 	 Rec:3.81e-03 	 Color:0.00e+00 	Time: 1.26
epoch 550:	gram:2.37e-03 	 Rec:3.60e-03 	 Color:0.00e+00 	Time: 1.26
epoch 600:	gram:2.57e-03 	 Rec:3.16e-03 	 Color:0.00e+00 	Time: 1.28
epoch 650:	gram:2.45e-03 	 Rec:3.27e-03 	 Color:0.00e+00 	Time: 1.27
epoch 700:	gram:2.12e-03 	 Rec:3.02e-03 	 Color:0.00e+00 	Time: 1.28
epoch 750:	gram:2.26e-03 	 Rec:3.45e-03 	 Color:0.00e+00 	Time: 1.26
epoch 800:	gram:3.02e-03 	 Rec:3.25e-03 	 Color:0.00e+00 	Time: 1.26
epoch 850:	gram:2.28e-03 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 1.26
epoch 900:	gram:2.81e-03 	 Rec:4.54e-03 	 Color:0.00e+00 	Time: 1.26
epoch 950:	gram:2.62e-03 	 Rec:3.53e-03 	 Color:0.00e+00 	Time: 1.26
epoch 1000:	gram:1.85e-03 	 Rec:2.49e-03 	 Color:0.00e+00 	Time: 1.26
epoch 1050:	gram:2.08e-03 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 1.30
