epoch 0:	gram:5.98e-02 	 Rec:2.47e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	gram:1.65e-02 	 Rec:1.15e-01 	 Color:0.00e+00 	Time: 0.45
epoch 100:	gram:1.47e-02 	 Rec:6.90e-02 	 Color:0.00e+00 	Time: 0.43
epoch 150:	gram:1.20e-02 	 Rec:4.03e-02 	 Color:0.00e+00 	Time: 0.39
epoch 200:	gram:1.17e-02 	 Rec:2.49e-02 	 Color:0.00e+00 	Time: 0.42
epoch 250:	gram:1.11e-02 	 Rec:1.75e-02 	 Color:0.00e+00 	Time: 0.41
epoch 300:	gram:1.17e-02 	 Rec:1.33e-02 	 Color:0.00e+00 	Time: 0.39
epoch 350:	gram:9.57e-03 	 Rec:1.03e-02 	 Color:0.00e+00 	Time: 0.41
epoch 400:	gram:1.13e-02 	 Rec:8.59e-03 	 Color:0.00e+00 	Time: 0.41
epoch 450:	gram:1.04e-02 	 Rec:7.31e-03 	 Color:0.00e+00 	Time: 0.41
epoch 500:	gram:1.04e-02 	 Rec:6.47e-03 	 Color:0.00e+00 	Time: 0.42
epoch 550:	gram:9.60e-03 	 Rec:5.45e-03 	 Color:0.00e+00 	Time: 0.43
epoch 600:	gram:8.94e-03 	 Rec:4.66e-03 	 Color:0.00e+00 	Time: 0.40
epoch 650:	gram:1.00e-02 	 Rec:4.22e-03 	 Color:0.00e+00 	Time: 0.45
epoch 700:	gram:8.52e-03 	 Rec:3.93e-03 	 Color:0.00e+00 	Time: 0.36
epoch 750:	gram:9.60e-03 	 Rec:3.42e-03 	 Color:0.00e+00 	Time: 0.45
epoch 800:	gram:7.30e-03 	 Rec:3.28e-03 	 Color:0.00e+00 	Time: 0.42
epoch 850:	gram:7.79e-03 	 Rec:2.83e-03 	 Color:0.00e+00 	Time: 0.43
epoch 900:	gram:8.96e-03 	 Rec:3.21e-03 	 Color:0.00e+00 	Time: 0.39
epoch 950:	gram:1.03e-02 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 0.39
epoch 1000:	gram:9.05e-03 	 Rec:2.69e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1050:	gram:8.84e-03 	 Rec:2.18e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1100:	gram:7.87e-03 	 Rec:2.43e-03 	 Color:0.00e+00 	Time: 0.43
epoch 1150:	gram:8.38e-03 	 Rec:1.80e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1200:	gram:1.04e-02 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.37
epoch 1250:	gram:1.01e-02 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1300:	gram:8.72e-03 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1350:	gram:7.50e-03 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 0.44
