epoch 0:	gram:7.61e-02 	 Rec:1.14e-01 	 Color:1.77e-06 	Time: 0.02
epoch 50:	gram:7.62e-03 	 Rec:2.20e-02 	 Color:1.16e-06 	Time: 1.06
epoch 100:	gram:4.61e-03 	 Rec:1.49e-02 	 Color:1.30e-06 	Time: 0.93
epoch 150:	gram:4.22e-03 	 Rec:1.25e-02 	 Color:9.89e-07 	Time: 0.90
epoch 200:	gram:3.52e-03 	 Rec:1.12e-02 	 Color:1.30e-06 	Time: 0.90
epoch 250:	gram:2.85e-03 	 Rec:1.02e-02 	 Color:9.27e-07 	Time: 0.91
epoch 300:	gram:4.10e-03 	 Rec:9.63e-03 	 Color:1.44e-06 	Time: 0.91
epoch 350:	gram:4.11e-03 	 Rec:9.25e-03 	 Color:1.26e-06 	Time: 0.91
epoch 400:	gram:4.12e-03 	 Rec:8.92e-03 	 Color:1.06e-06 	Time: 0.92
epoch 450:	gram:3.30e-03 	 Rec:8.54e-03 	 Color:1.32e-06 	Time: 0.93
epoch 500:	gram:5.00e-03 	 Rec:8.44e-03 	 Color:1.31e-06 	Time: 0.91
epoch 550:	gram:3.36e-03 	 Rec:8.19e-03 	 Color:1.17e-06 	Time: 0.93
epoch 600:	gram:3.62e-03 	 Rec:7.99e-03 	 Color:1.35e-06 	Time: 0.93
epoch 650:	gram:4.64e-03 	 Rec:7.94e-03 	 Color:1.44e-06 	Time: 0.93
epoch 700:	gram:3.17e-03 	 Rec:7.79e-03 	 Color:1.35e-06 	Time: 0.90
epoch 750:	gram:2.87e-03 	 Rec:7.81e-03 	 Color:1.37e-06 	Time: 0.90
epoch 800:	gram:2.88e-03 	 Rec:7.54e-03 	 Color:1.06e-06 	Time: 0.90
epoch 850:	gram:4.30e-03 	 Rec:7.55e-03 	 Color:1.28e-06 	Time: 0.90
epoch 900:	gram:2.90e-03 	 Rec:7.36e-03 	 Color:1.19e-06 	Time: 0.93
epoch 950:	gram:3.91e-03 	 Rec:7.39e-03 	 Color:1.18e-06 	Time: 0.91
epoch 1000:	gram:3.37e-03 	 Rec:7.27e-03 	 Color:1.51e-06 	Time: 0.90
epoch 1050:	gram:2.77e-03 	 Rec:7.16e-03 	 Color:1.22e-06 	Time: 0.93
epoch 1100:	gram:4.15e-03 	 Rec:7.18e-03 	 Color:1.20e-06 	Time: 0.90
epoch 1150:	gram:3.03e-03 	 Rec:6.99e-03 	 Color:9.54e-07 	Time: 0.90
epoch 1200:	gram:3.65e-03 	 Rec:6.95e-03 	 Color:1.15e-06 	Time: 0.90
epoch 1250:	gram:4.05e-03 	 Rec:7.08e-03 	 Color:1.15e-06 	Time: 0.90
epoch 1300:	gram:3.58e-03 	 Rec:6.84e-03 	 Color:1.36e-06 	Time: 0.90
epoch 1350:	gram:4.10e-03 	 Rec:6.97e-03 	 Color:9.61e-07 	Time: 0.90
epoch 1400:	gram:3.65e-03 	 Rec:6.75e-03 	 Color:1.06e-06 	Time: 0.90
epoch 1450:	gram:2.61e-03 	 Rec:6.67e-03 	 Color:9.57e-07 	Time: 0.92
epoch 1500:	gram:2.62e-03 	 Rec:6.64e-03 	 Color:1.34e-06 	Time: 0.91
epoch 1550:	gram:3.45e-03 	 Rec:6.60e-03 	 Color:1.20e-06 	Time: 0.90
epoch 1600:	gram:2.63e-03 	 Rec:6.56e-03 	 Color:1.42e-06 	Time: 0.90
epoch 1650:	gram:3.28e-03 	 Rec:6.88e-03 	 Color:1.24e-06 	Time: 0.90
epoch 1700:	gram:3.78e-03 	 Rec:6.47e-03 	 Color:1.31e-06 	Time: 0.92
epoch 1750:	gram:2.44e-03 	 Rec:6.40e-03 	 Color:9.37e-07 	Time: 0.95
epoch 1800:	gram:3.02e-03 	 Rec:6.43e-03 	 Color:1.23e-06 	Time: 0.91
epoch 1850:	gram:2.96e-03 	 Rec:6.35e-03 	 Color:1.53e-06 	Time: 0.92
epoch 1900:	gram:3.06e-03 	 Rec:6.34e-03 	 Color:1.23e-06 	Time: 0.90
epoch 1950:	gram:4.03e-03 	 Rec:6.26e-03 	 Color:1.26e-06 	Time: 0.90
epoch 2000:	gram:3.25e-03 	 Rec:6.25e-03 	 Color:1.29e-06 	Time: 0.90
epoch 2050:	gram:3.17e-03 	 Rec:6.23e-03 	 Color:1.25e-06 	Time: 0.93
epoch 2100:	gram:2.96e-03 	 Rec:6.29e-03 	 Color:8.88e-07 	Time: 0.90
epoch 2150:	gram:2.76e-03 	 Rec:6.14e-03 	 Color:1.52e-06 	Time: 0.90
epoch 2200:	gram:5.24e-03 	 Rec:6.14e-03 	 Color:1.52e-06 	Time: 0.90
epoch 2250:	gram:3.26e-03 	 Rec:6.29e-03 	 Color:1.12e-06 	Time: 0.90
epoch 2300:	gram:4.04e-03 	 Rec:6.11e-03 	 Color:1.22e-06 	Time: 0.90
epoch 2350:	gram:2.81e-03 	 Rec:6.03e-03 	 Color:1.31e-06 	Time: 0.90
epoch 2400:	gram:2.67e-03 	 Rec:6.06e-03 	 Color:1.17e-06 	Time: 0.93
epoch 2450:	gram:3.13e-03 	 Rec:5.98e-03 	 Color:1.04e-06 	Time: 0.91
epoch 2500:	gram:2.63e-03 	 Rec:6.08e-03 	 Color:1.27e-06 	Time: 0.92
epoch 2550:	gram:3.19e-03 	 Rec:6.06e-03 	 Color:1.36e-06 	Time: 0.90
epoch 2600:	gram:2.86e-03 	 Rec:5.90e-03 	 Color:1.30e-06 	Time: 0.92
epoch 2650:	gram:3.34e-03 	 Rec:5.90e-03 	 Color:1.10e-06 	Time: 0.90
epoch 2700:	gram:2.73e-03 	 Rec:5.90e-03 	 Color:1.13e-06 	Time: 0.91
epoch 2750:	gram:2.48e-03 	 Rec:5.80e-03 	 Color:1.26e-06 	Time: 0.89
epoch 2800:	gram:2.44e-03 	 Rec:5.84e-03 	 Color:1.16e-06 	Time: 0.89
epoch 2850:	gram:2.29e-03 	 Rec:5.74e-03 	 Color:1.10e-06 	Time: 0.89
epoch 2900:	gram:3.78e-03 	 Rec:5.77e-03 	 Color:1.30e-06 	Time: 0.89
epoch 2950:	gram:3.54e-03 	 Rec:5.86e-03 	 Color:1.33e-06 	Time: 0.90
epoch 3000:	gram:2.37e-03 	 Rec:5.95e-03 	 Color:1.30e-06 	Time: 0.90
epoch 3050:	gram:3.33e-03 	 Rec:5.69e-03 	 Color:1.29e-06 	Time: 0.90
epoch 3100:	gram:3.35e-03 	 Rec:5.90e-03 	 Color:1.41e-06 	Time: 0.90
epoch 3150:	gram:2.31e-03 	 Rec:5.69e-03 	 Color:1.20e-06 	Time: 0.89
epoch 3200:	gram:2.77e-03 	 Rec:5.81e-03 	 Color:1.11e-06 	Time: 0.90
epoch 3250:	gram:4.04e-03 	 Rec:5.63e-03 	 Color:1.30e-06 	Time: 0.90
