epoch 0:	gram:7.32e-02 	 Rec:1.02e-01 	 Color:0.00e+00 	Time: 0.02
epoch 50:	gram:8.11e-03 	 Rec:7.83e-03 	 Color:0.00e+00 	Time: 1.08
epoch 100:	gram:8.06e-03 	 Rec:5.33e-03 	 Color:0.00e+00 	Time: 0.99
epoch 150:	gram:6.38e-03 	 Rec:4.59e-03 	 Color:0.00e+00 	Time: 1.00
epoch 200:	gram:5.04e-03 	 Rec:4.21e-03 	 Color:0.00e+00 	Time: 1.00
epoch 250:	gram:4.01e-03 	 Rec:3.98e-03 	 Color:0.00e+00 	Time: 0.99
epoch 300:	gram:4.49e-03 	 Rec:3.80e-03 	 Color:0.00e+00 	Time: 1.00
epoch 350:	gram:4.13e-03 	 Rec:3.70e-03 	 Color:0.00e+00 	Time: 0.99
epoch 400:	gram:4.60e-03 	 Rec:3.56e-03 	 Color:0.00e+00 	Time: 0.99
epoch 450:	gram:4.43e-03 	 Rec:3.48e-03 	 Color:0.00e+00 	Time: 0.99
epoch 500:	gram:4.63e-03 	 Rec:3.40e-03 	 Color:0.00e+00 	Time: 1.01
epoch 550:	gram:3.73e-03 	 Rec:3.32e-03 	 Color:0.00e+00 	Time: 0.99
epoch 600:	gram:4.09e-03 	 Rec:3.26e-03 	 Color:0.00e+00 	Time: 0.99
epoch 650:	gram:4.88e-03 	 Rec:3.17e-03 	 Color:0.00e+00 	Time: 0.99
epoch 700:	gram:6.83e-03 	 Rec:3.10e-03 	 Color:0.00e+00 	Time: 0.99
epoch 750:	gram:4.31e-03 	 Rec:3.04e-03 	 Color:0.00e+00 	Time: 0.99
epoch 800:	gram:4.13e-03 	 Rec:3.02e-03 	 Color:0.00e+00 	Time: 1.03
epoch 850:	gram:4.12e-03 	 Rec:2.99e-03 	 Color:0.00e+00 	Time: 0.99
epoch 900:	gram:3.69e-03 	 Rec:3.02e-03 	 Color:0.00e+00 	Time: 1.00
epoch 950:	gram:5.97e-03 	 Rec:2.88e-03 	 Color:0.00e+00 	Time: 0.99
epoch 1000:	gram:3.52e-03 	 Rec:2.77e-03 	 Color:0.00e+00 	Time: 0.99
epoch 1050:	gram:5.43e-03 	 Rec:2.72e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1100:	gram:4.22e-03 	 Rec:2.76e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1150:	gram:4.30e-03 	 Rec:2.67e-03 	 Color:0.00e+00 	Time: 0.99
epoch 1200:	gram:3.95e-03 	 Rec:2.57e-03 	 Color:0.00e+00 	Time: 1.00
epoch 1250:	gram:3.66e-03 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 1.00
epoch 1300:	gram:3.83e-03 	 Rec:2.50e-03 	 Color:0.00e+00 	Time: 0.98
epoch 1350:	gram:3.94e-03 	 Rec:2.54e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1400:	gram:3.52e-03 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1450:	gram:3.92e-03 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1500:	gram:3.71e-03 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1550:	gram:4.83e-03 	 Rec:2.27e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1600:	gram:3.12e-03 	 Rec:2.30e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1650:	gram:4.61e-03 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1700:	gram:3.85e-03 	 Rec:2.23e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1750:	gram:3.04e-03 	 Rec:2.11e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1800:	gram:3.01e-03 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1850:	gram:3.77e-03 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 0.98
epoch 1900:	gram:3.19e-03 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1950:	gram:3.84e-03 	 Rec:2.04e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2000:	gram:5.44e-03 	 Rec:1.92e-03 	 Color:0.00e+00 	Time: 0.98
epoch 2050:	gram:5.37e-03 	 Rec:1.91e-03 	 Color:0.00e+00 	Time: 1.02
epoch 2100:	gram:3.68e-03 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 1.04
