epoch 0:	gram:9.48e-02 	 Rec:6.53e-02 	 Color:5.90e-06 	Time: 0.01
epoch 50:	gram:8.19e-03 	 Rec:6.83e-03 	 Color:4.77e-06 	Time: 0.56
epoch 100:	gram:7.17e-03 	 Rec:3.92e-03 	 Color:4.85e-06 	Time: 0.49
epoch 150:	gram:6.05e-03 	 Rec:3.13e-03 	 Color:3.98e-06 	Time: 0.49
epoch 200:	gram:5.55e-03 	 Rec:2.66e-03 	 Color:4.87e-06 	Time: 0.47
epoch 250:	gram:5.19e-03 	 Rec:2.37e-03 	 Color:4.90e-06 	Time: 0.44
epoch 300:	gram:7.93e-03 	 Rec:2.14e-03 	 Color:5.00e-06 	Time: 0.46
epoch 350:	gram:4.50e-03 	 Rec:2.00e-03 	 Color:4.94e-06 	Time: 0.48
epoch 400:	gram:5.27e-03 	 Rec:1.84e-03 	 Color:5.05e-06 	Time: 0.48
epoch 450:	gram:4.84e-03 	 Rec:1.73e-03 	 Color:4.96e-06 	Time: 0.47
epoch 500:	gram:5.44e-03 	 Rec:1.62e-03 	 Color:4.44e-06 	Time: 0.50
epoch 550:	gram:5.03e-03 	 Rec:1.53e-03 	 Color:4.89e-06 	Time: 0.47
epoch 600:	gram:4.67e-03 	 Rec:1.46e-03 	 Color:4.79e-06 	Time: 0.48
epoch 650:	gram:5.22e-03 	 Rec:1.37e-03 	 Color:5.65e-06 	Time: 0.45
epoch 700:	gram:5.39e-03 	 Rec:1.30e-03 	 Color:4.14e-06 	Time: 0.46
epoch 750:	gram:5.72e-03 	 Rec:1.24e-03 	 Color:5.06e-06 	Time: 0.46
epoch 800:	gram:5.14e-03 	 Rec:1.18e-03 	 Color:4.15e-06 	Time: 0.52
epoch 850:	gram:5.77e-03 	 Rec:1.13e-03 	 Color:4.97e-06 	Time: 0.53
epoch 900:	gram:4.53e-03 	 Rec:1.07e-03 	 Color:4.19e-06 	Time: 0.48
epoch 950:	gram:4.23e-03 	 Rec:1.02e-03 	 Color:4.22e-06 	Time: 0.48
epoch 1000:	gram:4.60e-03 	 Rec:9.86e-04 	 Color:5.19e-06 	Time: 0.46
epoch 1050:	gram:3.73e-03 	 Rec:9.30e-04 	 Color:4.29e-06 	Time: 0.49
epoch 1100:	gram:4.20e-03 	 Rec:8.89e-04 	 Color:3.98e-06 	Time: 0.46
epoch 1150:	gram:4.99e-03 	 Rec:8.53e-04 	 Color:4.17e-06 	Time: 0.49
epoch 1200:	gram:5.69e-03 	 Rec:8.35e-04 	 Color:4.17e-06 	Time: 0.49
epoch 1250:	gram:4.58e-03 	 Rec:7.74e-04 	 Color:4.73e-06 	Time: 0.49
epoch 1300:	gram:4.16e-03 	 Rec:7.51e-04 	 Color:4.24e-06 	Time: 0.46
epoch 1350:	gram:5.03e-03 	 Rec:7.04e-04 	 Color:4.45e-06 	Time: 0.46
epoch 1400:	gram:4.73e-03 	 Rec:6.90e-04 	 Color:3.90e-06 	Time: 0.46
epoch 1450:	gram:4.22e-03 	 Rec:6.58e-04 	 Color:4.21e-06 	Time: 0.49
epoch 1500:	gram:5.67e-03 	 Rec:6.48e-04 	 Color:4.51e-06 	Time: 0.49
epoch 1550:	gram:4.38e-03 	 Rec:6.09e-04 	 Color:3.98e-06 	Time: 0.46
epoch 1600:	gram:4.28e-03 	 Rec:6.24e-04 	 Color:4.79e-06 	Time: 0.46
epoch 1650:	gram:4.35e-03 	 Rec:5.45e-04 	 Color:4.55e-06 	Time: 0.46
epoch 1700:	gram:4.90e-03 	 Rec:5.36e-04 	 Color:3.97e-06 	Time: 0.45
epoch 1750:	gram:4.15e-03 	 Rec:5.27e-04 	 Color:4.32e-06 	Time: 0.48
epoch 1800:	gram:4.02e-03 	 Rec:4.94e-04 	 Color:4.88e-06 	Time: 0.50
epoch 1850:	gram:4.18e-03 	 Rec:4.73e-04 	 Color:4.04e-06 	Time: 0.45
epoch 1900:	gram:4.13e-03 	 Rec:4.39e-04 	 Color:3.89e-06 	Time: 0.48
epoch 1950:	gram:3.97e-03 	 Rec:4.24e-04 	 Color:4.79e-06 	Time: 0.46
epoch 2000:	gram:4.87e-03 	 Rec:4.14e-04 	 Color:3.93e-06 	Time: 0.48
epoch 2050:	gram:4.74e-03 	 Rec:4.51e-04 	 Color:5.05e-06 	Time: 0.46
epoch 2100:	gram:4.29e-03 	 Rec:4.02e-04 	 Color:5.33e-06 	Time: 0.47
epoch 2150:	gram:4.66e-03 	 Rec:3.81e-04 	 Color:4.07e-06 	Time: 0.46
epoch 2200:	gram:4.20e-03 	 Rec:4.10e-04 	 Color:4.68e-06 	Time: 0.47
epoch 2250:	gram:5.02e-03 	 Rec:3.61e-04 	 Color:4.98e-06 	Time: 0.45
epoch 2300:	gram:3.74e-03 	 Rec:3.62e-04 	 Color:4.72e-06 	Time: 0.46
epoch 2350:	gram:3.28e-03 	 Rec:3.56e-04 	 Color:4.74e-06 	Time: 0.49
epoch 2400:	gram:4.02e-03 	 Rec:3.11e-04 	 Color:4.48e-06 	Time: 0.46
epoch 2450:	gram:4.33e-03 	 Rec:3.15e-04 	 Color:5.22e-06 	Time: 0.45
epoch 2500:	gram:3.75e-03 	 Rec:3.07e-04 	 Color:4.16e-06 	Time: 0.45
epoch 2550:	gram:3.82e-03 	 Rec:2.88e-04 	 Color:3.65e-06 	Time: 0.46
epoch 2600:	gram:4.43e-03 	 Rec:2.97e-04 	 Color:5.01e-06 	Time: 0.47
epoch 2650:	gram:4.64e-03 	 Rec:2.72e-04 	 Color:4.13e-06 	Time: 0.48
epoch 2700:	gram:3.10e-03 	 Rec:2.74e-04 	 Color:3.86e-06 	Time: 0.45
epoch 2750:	gram:4.35e-03 	 Rec:2.82e-04 	 Color:3.46e-06 	Time: 0.45
epoch 2800:	gram:3.94e-03 	 Rec:2.57e-04 	 Color:3.25e-06 	Time: 0.45
epoch 2850:	gram:4.04e-03 	 Rec:2.43e-04 	 Color:4.20e-06 	Time: 0.45
epoch 2900:	gram:4.36e-03 	 Rec:2.34e-04 	 Color:4.90e-06 	Time: 0.45
epoch 2950:	gram:3.98e-03 	 Rec:2.34e-04 	 Color:3.50e-06 	Time: 0.46
epoch 3000:	gram:3.65e-03 	 Rec:2.53e-04 	 Color:4.21e-06 	Time: 0.46
epoch 3050:	gram:4.23e-03 	 Rec:2.35e-04 	 Color:5.01e-06 	Time: 0.47
epoch 3100:	gram:4.45e-03 	 Rec:2.38e-04 	 Color:4.95e-06 	Time: 0.47
epoch 3150:	gram:3.80e-03 	 Rec:2.00e-04 	 Color:4.09e-06 	Time: 0.47
epoch 3200:	gram:4.18e-03 	 Rec:2.09e-04 	 Color:3.99e-06 	Time: 0.47
epoch 3250:	gram:4.25e-03 	 Rec:2.08e-04 	 Color:4.17e-06 	Time: 0.45
epoch 3300:	gram:4.31e-03 	 Rec:1.96e-04 	 Color:3.11e-06 	Time: 0.45
epoch 3350:	gram:4.09e-03 	 Rec:2.95e-04 	 Color:4.12e-06 	Time: 0.49
epoch 3400:	gram:5.43e-03 	 Rec:1.82e-04 	 Color:4.33e-06 	Time: 0.47
epoch 3450:	gram:3.41e-03 	 Rec:1.81e-04 	 Color:5.09e-06 	Time: 0.44
epoch 3500:	gram:4.76e-03 	 Rec:1.97e-04 	 Color:4.51e-06 	Time: 0.47
epoch 3550:	gram:2.95e-03 	 Rec:1.79e-04 	 Color:3.98e-06 	Time: 0.48
epoch 3600:	gram:4.71e-03 	 Rec:1.88e-04 	 Color:4.55e-06 	Time: 0.48
epoch 3650:	gram:3.48e-03 	 Rec:1.76e-04 	 Color:4.29e-06 	Time: 0.47
epoch 3700:	gram:3.95e-03 	 Rec:2.05e-04 	 Color:5.29e-06 	Time: 0.52
epoch 3750:	gram:4.66e-03 	 Rec:1.84e-04 	 Color:5.35e-06 	Time: 0.45
epoch 3800:	gram:4.02e-03 	 Rec:1.82e-04 	 Color:4.20e-06 	Time: 0.45
epoch 3850:	gram:4.20e-03 	 Rec:1.67e-04 	 Color:5.21e-06 	Time: 0.45
epoch 3900:	gram:3.76e-03 	 Rec:1.49e-04 	 Color:4.59e-06 	Time: 0.45
epoch 3950:	gram:3.68e-03 	 Rec:1.65e-04 	 Color:4.15e-06 	Time: 0.47
epoch 4000:	gram:3.25e-03 	 Rec:1.55e-04 	 Color:3.94e-06 	Time: 0.47
epoch 4050:	gram:4.17e-03 	 Rec:1.40e-04 	 Color:3.97e-06 	Time: 0.45
epoch 4100:	gram:4.43e-03 	 Rec:1.54e-04 	 Color:4.48e-06 	Time: 0.47
epoch 4150:	gram:3.53e-03 	 Rec:1.56e-04 	 Color:4.19e-06 	Time: 0.48
epoch 4200:	gram:5.41e-03 	 Rec:1.52e-04 	 Color:3.91e-06 	Time: 0.48
epoch 4250:	gram:3.87e-03 	 Rec:1.43e-04 	 Color:4.43e-06 	Time: 0.46
epoch 4300:	gram:3.45e-03 	 Rec:1.26e-04 	 Color:4.26e-06 	Time: 0.45
