epoch 0:	pdl:1.04e+00 	 Rec:2.47e-01 	Time: 0.03
epoch 50:	pdl:2.39e-01 	 Rec:7.34e-03 	Time: 1.26
epoch 100:	pdl:2.18e-01 	 Rec:6.06e-03 	Time: 1.28
epoch 150:	pdl:1.72e-01 	 Rec:4.30e-03 	Time: 1.23
epoch 200:	pdl:1.64e-01 	 Rec:3.25e-03 	Time: 1.21
epoch 250:	pdl:1.51e-01 	 Rec:2.60e-03 	Time: 1.26
epoch 300:	pdl:1.57e-01 	 Rec:2.70e-03 	Time: 1.24
epoch 350:	pdl:1.66e-01 	 Rec:2.15e-03 	Time: 1.24
epoch 400:	pdl:1.48e-01 	 Rec:2.76e-03 	Time: 1.24
epoch 450:	pdl:1.52e-01 	 Rec:2.66e-03 	Time: 1.24
epoch 500:	pdl:1.41e-01 	 Rec:1.80e-03 	Time: 1.24
epoch 550:	pdl:1.25e-01 	 Rec:2.35e-03 	Time: 1.24
epoch 600:	pdl:1.44e-01 	 Rec:1.87e-03 	Time: 1.25
epoch 650:	pdl:1.24e-01 	 Rec:1.72e-03 	Time: 1.25
epoch 700:	pdl:1.58e-01 	 Rec:1.74e-03 	Time: 1.27
epoch 750:	pdl:1.34e-01 	 Rec:1.23e-03 	Time: 1.26
epoch 800:	pdl:1.50e-01 	 Rec:1.69e-03 	Time: 1.22
epoch 850:	pdl:1.30e-01 	 Rec:1.22e-03 	Time: 1.25
epoch 900:	pdl:1.36e-01 	 Rec:1.42e-03 	Time: 1.26
epoch 950:	pdl:1.19e-01 	 Rec:1.68e-03 	Time: 1.25
epoch 1000:	pdl:1.30e-01 	 Rec:1.22e-03 	Time: 1.25
epoch 1050:	pdl:1.70e-01 	 Rec:1.59e-03 	Time: 1.25
epoch 1100:	pdl:1.32e-01 	 Rec:1.53e-03 	Time: 1.25
epoch 1150:	pdl:1.18e-01 	 Rec:1.66e-03 	Time: 1.25
epoch 1200:	pdl:1.61e-01 	 Rec:1.57e-03 	Time: 1.25
epoch 1250:	pdl:1.03e-01 	 Rec:1.42e-03 	Time: 1.25
epoch 1300:	pdl:1.26e-01 	 Rec:1.14e-03 	Time: 1.25
epoch 1350:	pdl:1.46e-01 	 Rec:1.35e-03 	Time: 1.25
