epoch 0:	pdl:7.94e-01 	 Rec:7.94e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.12e-01 	 Rec:3.61e-02 	 Color:0.00e+00 	Time: 0.51
epoch 100:	pdl:5.18e-01 	 Rec:2.15e-02 	 Color:0.00e+00 	Time: 0.49
epoch 150:	pdl:5.31e-01 	 Rec:2.08e-02 	 Color:0.00e+00 	Time: 0.44
epoch 200:	pdl:4.87e-01 	 Rec:1.22e-02 	 Color:0.00e+00 	Time: 0.44
epoch 250:	pdl:4.94e-01 	 Rec:1.15e-02 	 Color:0.00e+00 	Time: 0.45
epoch 300:	pdl:4.94e-01 	 Rec:8.44e-03 	 Color:0.00e+00 	Time: 0.45
epoch 350:	pdl:5.05e-01 	 Rec:8.39e-03 	 Color:0.00e+00 	Time: 0.44
epoch 400:	pdl:5.65e-01 	 Rec:5.23e-03 	 Color:0.00e+00 	Time: 0.44
epoch 450:	pdl:5.14e-01 	 Rec:3.38e-03 	 Color:0.00e+00 	Time: 0.41
epoch 500:	pdl:4.75e-01 	 Rec:6.62e-03 	 Color:0.00e+00 	Time: 0.44
epoch 550:	pdl:4.85e-01 	 Rec:6.40e-03 	 Color:0.00e+00 	Time: 0.45
epoch 600:	pdl:4.78e-01 	 Rec:3.13e-03 	 Color:0.00e+00 	Time: 0.50
epoch 650:	pdl:5.09e-01 	 Rec:3.26e-03 	 Color:0.00e+00 	Time: 0.45
epoch 700:	pdl:4.95e-01 	 Rec:4.89e-03 	 Color:0.00e+00 	Time: 0.48
epoch 750:	pdl:5.06e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 0.44
epoch 800:	pdl:4.57e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.44
epoch 850:	pdl:5.01e-01 	 Rec:4.13e-03 	 Color:0.00e+00 	Time: 0.44
epoch 900:	pdl:4.96e-01 	 Rec:2.90e-03 	 Color:0.00e+00 	Time: 0.47
epoch 950:	pdl:4.80e-01 	 Rec:3.82e-03 	 Color:0.00e+00 	Time: 0.46
