epoch 0:	pdl:1.67e+00 	 Rec:1.67e+00 	 Color:2.42e-01 	Time: 0.02
epoch 50:	pdl:1.25e+00 	 Rec:1.37e-01 	 Color:1.96e-01 	Time: 0.95
epoch 100:	pdl:1.24e+00 	 Rec:1.47e-01 	 Color:2.17e-01 	Time: 0.95
epoch 150:	pdl:1.22e+00 	 Rec:9.89e-02 	 Color:2.09e-01 	Time: 0.95
epoch 200:	pdl:1.12e+00 	 Rec:9.77e-02 	 Color:2.01e-01 	Time: 0.95
epoch 250:	pdl:1.11e+00 	 Rec:7.96e-02 	 Color:1.92e-01 	Time: 0.95
epoch 300:	pdl:1.00e+00 	 Rec:8.43e-02 	 Color:2.06e-01 	Time: 0.95
epoch 350:	pdl:9.95e-01 	 Rec:7.56e-02 	 Color:2.03e-01 	Time: 0.97
epoch 400:	pdl:9.67e-01 	 Rec:6.04e-02 	 Color:2.14e-01 	Time: 0.96
epoch 450:	pdl:9.14e-01 	 Rec:5.84e-02 	 Color:2.06e-01 	Time: 0.95
epoch 500:	pdl:9.26e-01 	 Rec:5.51e-02 	 Color:2.09e-01 	Time: 0.95
epoch 550:	pdl:9.01e-01 	 Rec:4.94e-02 	 Color:2.02e-01 	Time: 0.95
epoch 600:	pdl:8.98e-01 	 Rec:4.51e-02 	 Color:2.02e-01 	Time: 0.95
epoch 650:	pdl:9.45e-01 	 Rec:3.79e-02 	 Color:2.09e-01 	Time: 0.97
epoch 700:	pdl:8.61e-01 	 Rec:3.34e-02 	 Color:1.96e-01 	Time: 0.94
epoch 750:	pdl:8.78e-01 	 Rec:3.11e-02 	 Color:1.98e-01 	Time: 0.95
epoch 800:	pdl:8.59e-01 	 Rec:2.70e-02 	 Color:2.00e-01 	Time: 0.94
epoch 850:	pdl:9.18e-01 	 Rec:2.62e-02 	 Color:2.08e-01 	Time: 0.95
epoch 900:	pdl:8.47e-01 	 Rec:2.79e-02 	 Color:1.88e-01 	Time: 0.94
epoch 950:	pdl:8.67e-01 	 Rec:2.79e-02 	 Color:1.92e-01 	Time: 0.98
epoch 1000:	pdl:9.18e-01 	 Rec:2.42e-02 	 Color:2.07e-01 	Time: 0.95
epoch 1050:	pdl:9.02e-01 	 Rec:2.50e-02 	 Color:2.02e-01 	Time: 0.95
epoch 1100:	pdl:8.55e-01 	 Rec:3.88e-02 	 Color:1.99e-01 	Time: 0.95
epoch 1150:	pdl:8.67e-01 	 Rec:1.89e-02 	 Color:2.07e-01 	Time: 0.95
epoch 1200:	pdl:8.94e-01 	 Rec:1.85e-02 	 Color:2.02e-01 	Time: 0.95
epoch 1250:	pdl:8.71e-01 	 Rec:1.86e-02 	 Color:2.07e-01 	Time: 0.95
epoch 1300:	pdl:8.51e-01 	 Rec:1.62e-02 	 Color:2.04e-01 	Time: 0.93
epoch 1350:	pdl:8.55e-01 	 Rec:2.16e-02 	 Color:1.98e-01 	Time: 0.94
epoch 1400:	pdl:8.59e-01 	 Rec:1.46e-02 	 Color:2.02e-01 	Time: 0.92
epoch 1450:	pdl:8.54e-01 	 Rec:1.55e-02 	 Color:1.98e-01 	Time: 0.93
epoch 1500:	pdl:8.53e-01 	 Rec:1.42e-02 	 Color:1.98e-01 	Time: 0.96
epoch 1550:	pdl:8.63e-01 	 Rec:1.98e-02 	 Color:1.99e-01 	Time: 0.96
epoch 1600:	pdl:8.78e-01 	 Rec:2.23e-02 	 Color:2.05e-01 	Time: 0.95
epoch 1650:	pdl:9.14e-01 	 Rec:1.68e-02 	 Color:2.12e-01 	Time: 0.96
epoch 1700:	pdl:8.62e-01 	 Rec:1.75e-02 	 Color:2.12e-01 	Time: 0.96
epoch 1750:	pdl:8.65e-01 	 Rec:1.32e-02 	 Color:1.97e-01 	Time: 0.97
epoch 1800:	pdl:8.74e-01 	 Rec:1.51e-02 	 Color:2.02e-01 	Time: 0.95
epoch 1850:	pdl:8.34e-01 	 Rec:1.25e-02 	 Color:2.01e-01 	Time: 0.95
epoch 1900:	pdl:8.76e-01 	 Rec:1.32e-02 	 Color:2.04e-01 	Time: 0.97
epoch 1950:	pdl:8.49e-01 	 Rec:1.12e-02 	 Color:1.92e-01 	Time: 0.96
epoch 2000:	pdl:8.44e-01 	 Rec:9.18e-03 	 Color:1.94e-01 	Time: 0.95
epoch 2050:	pdl:8.54e-01 	 Rec:1.34e-02 	 Color:2.00e-01 	Time: 0.96
epoch 2100:	pdl:8.69e-01 	 Rec:8.91e-03 	 Color:2.05e-01 	Time: 0.96
epoch 2150:	pdl:8.24e-01 	 Rec:1.14e-02 	 Color:2.00e-01 	Time: 0.97
epoch 2200:	pdl:8.39e-01 	 Rec:1.11e-02 	 Color:2.04e-01 	Time: 0.96
epoch 2250:	pdl:8.35e-01 	 Rec:1.41e-02 	 Color:1.98e-01 	Time: 0.96
epoch 2300:	pdl:8.65e-01 	 Rec:1.57e-02 	 Color:1.98e-01 	Time: 0.97
epoch 2350:	pdl:8.65e-01 	 Rec:1.14e-02 	 Color:2.05e-01 	Time: 0.96
epoch 2400:	pdl:8.67e-01 	 Rec:1.11e-02 	 Color:2.05e-01 	Time: 0.96
epoch 2450:	pdl:8.56e-01 	 Rec:1.19e-02 	 Color:2.01e-01 	Time: 0.96
epoch 2500:	pdl:8.62e-01 	 Rec:1.09e-02 	 Color:2.16e-01 	Time: 0.95
epoch 2550:	pdl:8.62e-01 	 Rec:1.01e-02 	 Color:2.11e-01 	Time: 0.98
epoch 2600:	pdl:8.19e-01 	 Rec:9.79e-03 	 Color:1.91e-01 	Time: 0.96
epoch 2650:	pdl:8.36e-01 	 Rec:7.60e-03 	 Color:2.10e-01 	Time: 0.96
epoch 2700:	pdl:8.54e-01 	 Rec:1.23e-02 	 Color:1.96e-01 	Time: 0.96
epoch 2750:	pdl:8.43e-01 	 Rec:1.31e-02 	 Color:2.04e-01 	Time: 0.96
epoch 2800:	pdl:8.34e-01 	 Rec:1.13e-02 	 Color:1.93e-01 	Time: 0.96
epoch 2850:	pdl:9.01e-01 	 Rec:7.58e-03 	 Color:2.08e-01 	Time: 0.96
epoch 2900:	pdl:8.25e-01 	 Rec:8.17e-03 	 Color:2.03e-01 	Time: 0.96
epoch 2950:	pdl:8.21e-01 	 Rec:7.52e-03 	 Color:1.97e-01 	Time: 0.96
epoch 3000:	pdl:8.71e-01 	 Rec:7.04e-03 	 Color:2.06e-01 	Time: 0.96
epoch 3050:	pdl:8.15e-01 	 Rec:1.16e-02 	 Color:1.94e-01 	Time: 0.97
epoch 3100:	pdl:8.12e-01 	 Rec:6.95e-03 	 Color:2.01e-01 	Time: 0.97
epoch 3150:	pdl:8.26e-01 	 Rec:8.21e-03 	 Color:1.99e-01 	Time: 0.96
