epoch 0:	pdl:2.05e+00 	 Rec:2.05e+00 	 Color:2.05e-05 	Time: 0.01
epoch 50:	pdl:8.33e-01 	 Rec:1.50e-02 	 Color:1.55e-05 	Time: 0.35
epoch 100:	pdl:8.27e-01 	 Rec:2.78e-02 	 Color:2.79e-05 	Time: 0.35
epoch 150:	pdl:7.54e-01 	 Rec:5.14e-03 	 Color:1.50e-05 	Time: 0.34
epoch 200:	pdl:7.21e-01 	 Rec:1.86e-03 	 Color:1.38e-05 	Time: 0.34
epoch 250:	pdl:7.79e-01 	 Rec:2.77e-04 	 Color:1.32e-05 	Time: 0.34
epoch 300:	pdl:7.90e-01 	 Rec:2.42e-02 	 Color:1.82e-05 	Time: 0.34
epoch 350:	pdl:7.65e-01 	 Rec:8.80e-04 	 Color:1.40e-05 	Time: 0.35
epoch 400:	pdl:7.26e-01 	 Rec:1.25e-03 	 Color:1.81e-05 	Time: 0.34
epoch 450:	pdl:7.46e-01 	 Rec:1.80e-03 	 Color:2.28e-05 	Time: 0.36
epoch 500:	pdl:7.28e-01 	 Rec:5.41e-04 	 Color:2.14e-05 	Time: 0.34
epoch 550:	pdl:7.65e-01 	 Rec:2.31e-04 	 Color:7.93e-06 	Time: 0.34
epoch 600:	pdl:7.29e-01 	 Rec:3.24e-04 	 Color:1.17e-05 	Time: 0.34
epoch 650:	pdl:6.79e-01 	 Rec:4.82e-04 	 Color:1.23e-05 	Time: 0.35
epoch 700:	pdl:6.95e-01 	 Rec:6.26e-04 	 Color:1.33e-05 	Time: 0.34
epoch 750:	pdl:7.14e-01 	 Rec:8.15e-04 	 Color:1.61e-05 	Time: 0.34
epoch 800:	pdl:7.38e-01 	 Rec:4.16e-04 	 Color:8.77e-06 	Time: 0.35
epoch 850:	pdl:7.03e-01 	 Rec:1.01e-03 	 Color:1.33e-05 	Time: 0.35
epoch 900:	pdl:6.93e-01 	 Rec:9.11e-04 	 Color:1.21e-05 	Time: 0.35
epoch 950:	pdl:7.13e-01 	 Rec:5.85e-04 	 Color:1.01e-05 	Time: 0.35
epoch 1000:	pdl:6.99e-01 	 Rec:8.66e-04 	 Color:1.55e-05 	Time: 0.35
epoch 1050:	pdl:6.93e-01 	 Rec:2.50e-04 	 Color:8.82e-06 	Time: 0.34
epoch 1100:	pdl:7.14e-01 	 Rec:5.09e-04 	 Color:1.31e-05 	Time: 0.35
