epoch 0:	pdl:1.06e+00 	 Rec:1.06e+00 	Time: 0.01
epoch 50:	pdl:6.05e-01 	 Rec:1.71e-01 	Time: 0.95
epoch 100:	pdl:5.87e-01 	 Rec:1.55e-01 	Time: 0.93
epoch 150:	pdl:5.76e-01 	 Rec:1.27e-01 	Time: 0.93
epoch 200:	pdl:5.76e-01 	 Rec:1.35e-01 	Time: 0.90
epoch 250:	pdl:6.08e-01 	 Rec:1.11e-01 	Time: 0.93
epoch 300:	pdl:5.81e-01 	 Rec:1.13e-01 	Time: 0.92
epoch 350:	pdl:5.62e-01 	 Rec:9.74e-02 	Time: 0.97
epoch 400:	pdl:5.40e-01 	 Rec:9.83e-02 	Time: 0.95
epoch 450:	pdl:4.81e-01 	 Rec:1.02e-01 	Time: 0.95
epoch 500:	pdl:4.83e-01 	 Rec:8.98e-02 	Time: 0.95
epoch 550:	pdl:5.01e-01 	 Rec:8.51e-02 	Time: 0.96
epoch 600:	pdl:5.31e-01 	 Rec:9.31e-02 	Time: 0.96
epoch 650:	pdl:5.14e-01 	 Rec:9.44e-02 	Time: 0.95
epoch 700:	pdl:5.08e-01 	 Rec:7.90e-02 	Time: 0.90
epoch 750:	pdl:5.17e-01 	 Rec:8.06e-02 	Time: 0.94
epoch 800:	pdl:4.95e-01 	 Rec:7.22e-02 	Time: 0.94
epoch 850:	pdl:5.28e-01 	 Rec:7.95e-02 	Time: 0.92
epoch 900:	pdl:5.67e-01 	 Rec:8.40e-02 	Time: 0.94
epoch 950:	pdl:5.49e-01 	 Rec:7.83e-02 	Time: 0.95
epoch 1000:	pdl:5.53e-01 	 Rec:7.44e-02 	Time: 0.95
epoch 1050:	pdl:4.79e-01 	 Rec:6.65e-02 	Time: 0.95
epoch 1100:	pdl:4.46e-01 	 Rec:6.41e-02 	Time: 0.93
epoch 1150:	pdl:5.58e-01 	 Rec:5.91e-02 	Time: 0.94
epoch 1200:	pdl:5.26e-01 	 Rec:6.40e-02 	Time: 0.90
epoch 1250:	pdl:4.76e-01 	 Rec:5.90e-02 	Time: 0.92
epoch 1300:	pdl:4.85e-01 	 Rec:6.14e-02 	Time: 0.93
epoch 1350:	pdl:6.08e-01 	 Rec:6.10e-02 	Time: 0.92
epoch 1400:	pdl:4.96e-01 	 Rec:5.95e-02 	Time: 0.95
epoch 1450:	pdl:4.76e-01 	 Rec:5.73e-02 	Time: 0.95
epoch 1500:	pdl:5.04e-01 	 Rec:6.01e-02 	Time: 0.93
epoch 1550:	pdl:4.53e-01 	 Rec:5.72e-02 	Time: 0.94
epoch 1600:	pdl:4.74e-01 	 Rec:5.99e-02 	Time: 0.92
epoch 1650:	pdl:4.78e-01 	 Rec:4.98e-02 	Time: 0.92
epoch 1700:	pdl:5.36e-01 	 Rec:5.32e-02 	Time: 0.94
epoch 1750:	pdl:4.76e-01 	 Rec:5.05e-02 	Time: 0.94
epoch 1800:	pdl:5.05e-01 	 Rec:5.14e-02 	Time: 0.93
epoch 1850:	pdl:5.43e-01 	 Rec:5.33e-02 	Time: 0.92
epoch 1900:	pdl:5.11e-01 	 Rec:5.20e-02 	Time: 0.92
epoch 1950:	pdl:4.44e-01 	 Rec:4.84e-02 	Time: 0.94
epoch 2000:	pdl:4.72e-01 	 Rec:4.67e-02 	Time: 0.94
epoch 2050:	pdl:4.44e-01 	 Rec:4.74e-02 	Time: 0.91
epoch 2100:	pdl:4.94e-01 	 Rec:4.58e-02 	Time: 0.91
epoch 2150:	pdl:5.53e-01 	 Rec:5.55e-02 	Time: 0.92
epoch 2200:	pdl:5.33e-01 	 Rec:4.21e-02 	Time: 0.92
epoch 2250:	pdl:5.23e-01 	 Rec:4.74e-02 	Time: 0.94
epoch 2300:	pdl:5.04e-01 	 Rec:4.95e-02 	Time: 0.93
epoch 2350:	pdl:5.30e-01 	 Rec:5.46e-02 	Time: 0.93
epoch 2400:	pdl:4.47e-01 	 Rec:4.43e-02 	Time: 0.92
epoch 2450:	pdl:5.05e-01 	 Rec:4.88e-02 	Time: 0.96
epoch 2500:	pdl:5.85e-01 	 Rec:5.58e-02 	Time: 0.95
epoch 2550:	pdl:4.68e-01 	 Rec:4.31e-02 	Time: 0.94
epoch 2600:	pdl:4.80e-01 	 Rec:4.54e-02 	Time: 0.95
epoch 2650:	pdl:5.02e-01 	 Rec:4.53e-02 	Time: 0.95
epoch 2700:	pdl:4.94e-01 	 Rec:4.86e-02 	Time: 0.95
epoch 2750:	pdl:4.72e-01 	 Rec:4.34e-02 	Time: 0.97
epoch 2800:	pdl:4.53e-01 	 Rec:4.72e-02 	Time: 0.95
epoch 2850:	pdl:4.81e-01 	 Rec:4.59e-02 	Time: 0.94
epoch 2900:	pdl:4.82e-01 	 Rec:4.31e-02 	Time: 0.94
epoch 2950:	pdl:4.75e-01 	 Rec:3.97e-02 	Time: 0.94
epoch 3000:	pdl:4.69e-01 	 Rec:4.36e-02 	Time: 0.94
epoch 3050:	pdl:4.66e-01 	 Rec:3.86e-02 	Time: 0.95
epoch 3100:	pdl:5.21e-01 	 Rec:4.29e-02 	Time: 0.95
epoch 3150:	pdl:5.01e-01 	 Rec:3.78e-02 	Time: 0.94
epoch 3200:	pdl:4.62e-01 	 Rec:3.84e-02 	Time: 0.92
epoch 3250:	pdl:4.75e-01 	 Rec:4.34e-02 	Time: 0.95
epoch 3300:	pdl:4.97e-01 	 Rec:4.05e-02 	Time: 0.95
epoch 3350:	pdl:4.58e-01 	 Rec:3.93e-02 	Time: 0.95
epoch 3400:	pdl:4.78e-01 	 Rec:3.56e-02 	Time: 0.95
epoch 3450:	pdl:5.21e-01 	 Rec:3.34e-02 	Time: 0.96
epoch 3500:	pdl:4.65e-01 	 Rec:3.54e-02 	Time: 0.95
epoch 3550:	pdl:4.70e-01 	 Rec:3.63e-02 	Time: 0.94
epoch 3600:	pdl:4.62e-01 	 Rec:3.70e-02 	Time: 0.94
epoch 3650:	pdl:4.48e-01 	 Rec:4.20e-02 	Time: 0.95
epoch 3700:	pdl:4.97e-01 	 Rec:3.56e-02 	Time: 0.92
epoch 3750:	pdl:5.29e-01 	 Rec:3.92e-02 	Time: 0.95
epoch 3800:	pdl:4.76e-01 	 Rec:4.01e-02 	Time: 0.94
epoch 3850:	pdl:5.08e-01 	 Rec:3.38e-02 	Time: 0.92
epoch 3900:	pdl:4.83e-01 	 Rec:3.71e-02 	Time: 0.94
epoch 3950:	pdl:4.63e-01 	 Rec:4.07e-02 	Time: 0.94
epoch 4000:	pdl:5.20e-01 	 Rec:3.67e-02 	Time: 0.95
epoch 4050:	pdl:5.11e-01 	 Rec:3.54e-02 	Time: 0.94
epoch 4100:	pdl:5.29e-01 	 Rec:3.81e-02 	Time: 0.97
epoch 4150:	pdl:4.95e-01 	 Rec:3.56e-02 	Time: 0.96
epoch 4200:	pdl:4.36e-01 	 Rec:3.09e-02 	Time: 0.94
epoch 4250:	pdl:4.66e-01 	 Rec:3.56e-02 	Time: 0.95
epoch 4300:	pdl:4.64e-01 	 Rec:3.18e-02 	Time: 0.94
epoch 4350:	pdl:4.59e-01 	 Rec:3.44e-02 	Time: 0.94
epoch 4400:	pdl:4.84e-01 	 Rec:4.29e-02 	Time: 0.92
epoch 4450:	pdl:4.92e-01 	 Rec:3.27e-02 	Time: 0.95
epoch 4500:	pdl:4.84e-01 	 Rec:3.39e-02 	Time: 0.94
epoch 4550:	pdl:4.92e-01 	 Rec:4.06e-02 	Time: 0.94
epoch 4600:	pdl:4.98e-01 	 Rec:2.96e-02 	Time: 0.93
epoch 4650:	pdl:4.44e-01 	 Rec:3.63e-02 	Time: 0.94
epoch 4700:	pdl:4.97e-01 	 Rec:3.18e-02 	Time: 0.94
epoch 4750:	pdl:4.61e-01 	 Rec:2.99e-02 	Time: 0.90
epoch 4800:	pdl:5.11e-01 	 Rec:3.99e-02 	Time: 0.91
epoch 4850:	pdl:4.56e-01 	 Rec:3.26e-02 	Time: 0.92
epoch 4900:	pdl:4.59e-01 	 Rec:3.14e-02 	Time: 0.95
epoch 4950:	pdl:4.63e-01 	 Rec:3.35e-02 	Time: 0.90
