epoch 0:	pdl:3.52e-01 	 Rec:3.52e-01 	Time: 0.02
epoch 50:	pdl:2.83e-01 	 Rec:1.94e-01 	Time: 2.12
epoch 100:	pdl:2.61e-01 	 Rec:1.64e-01 	Time: 2.06
epoch 150:	pdl:2.36e-01 	 Rec:1.45e-01 	Time: 2.07
epoch 200:	pdl:2.50e-01 	 Rec:1.35e-01 	Time: 2.10
epoch 250:	pdl:2.40e-01 	 Rec:1.26e-01 	Time: 2.09
epoch 300:	pdl:3.30e-01 	 Rec:1.19e-01 	Time: 2.01
epoch 350:	pdl:2.77e-01 	 Rec:1.14e-01 	Time: 2.12
epoch 400:	pdl:2.54e-01 	 Rec:1.08e-01 	Time: 2.08
epoch 450:	pdl:2.46e-01 	 Rec:1.02e-01 	Time: 2.06
epoch 500:	pdl:2.56e-01 	 Rec:9.82e-02 	Time: 2.08
epoch 550:	pdl:2.39e-01 	 Rec:9.69e-02 	Time: 2.12
epoch 600:	pdl:2.49e-01 	 Rec:9.10e-02 	Time: 2.06
epoch 650:	pdl:2.55e-01 	 Rec:9.28e-02 	Time: 2.07
epoch 700:	pdl:2.62e-01 	 Rec:8.81e-02 	Time: 2.09
epoch 750:	pdl:2.48e-01 	 Rec:8.45e-02 	Time: 2.08
epoch 800:	pdl:2.49e-01 	 Rec:8.34e-02 	Time: 2.08
epoch 850:	pdl:3.01e-01 	 Rec:8.30e-02 	Time: 2.07
epoch 900:	pdl:2.54e-01 	 Rec:7.82e-02 	Time: 2.08
epoch 950:	pdl:2.72e-01 	 Rec:8.07e-02 	Time: 2.09
epoch 1000:	pdl:2.60e-01 	 Rec:7.54e-02 	Time: 2.08
epoch 1050:	pdl:2.72e-01 	 Rec:7.24e-02 	Time: 2.07
epoch 1100:	pdl:2.63e-01 	 Rec:7.24e-02 	Time: 2.05
epoch 1150:	pdl:2.50e-01 	 Rec:7.56e-02 	Time: 2.08
epoch 1200:	pdl:2.64e-01 	 Rec:8.78e-02 	Time: 2.07
epoch 1250:	pdl:2.71e-01 	 Rec:1.45e-01 	Time: 2.12
epoch 1300:	pdl:2.51e-01 	 Rec:6.77e-02 	Time: 2.09
epoch 1350:	pdl:2.54e-01 	 Rec:6.73e-02 	Time: 2.05
epoch 1400:	pdl:2.65e-01 	 Rec:6.42e-02 	Time: 2.09
epoch 1450:	pdl:2.53e-01 	 Rec:6.45e-02 	Time: 2.10
epoch 1500:	pdl:2.51e-01 	 Rec:6.90e-02 	Time: 2.10
epoch 1550:	pdl:2.42e-01 	 Rec:6.25e-02 	Time: 2.11
epoch 1600:	pdl:2.47e-01 	 Rec:6.14e-02 	Time: 2.05
epoch 1650:	pdl:2.47e-01 	 Rec:5.89e-02 	Time: 2.05
epoch 1700:	pdl:2.47e-01 	 Rec:5.86e-02 	Time: 2.05
epoch 1750:	pdl:2.66e-01 	 Rec:5.92e-02 	Time: 2.09
epoch 1800:	pdl:2.38e-01 	 Rec:6.71e-02 	Time: 2.06
epoch 1850:	pdl:2.39e-01 	 Rec:5.84e-02 	Time: 2.08
epoch 1900:	pdl:2.69e-01 	 Rec:5.78e-02 	Time: 2.06
epoch 1950:	pdl:2.51e-01 	 Rec:5.55e-02 	Time: 2.06
epoch 2000:	pdl:2.60e-01 	 Rec:5.48e-02 	Time: 2.04
epoch 2050:	pdl:2.47e-01 	 Rec:5.83e-02 	Time: 2.07
epoch 2100:	pdl:2.47e-01 	 Rec:5.59e-02 	Time: 2.07
epoch 2150:	pdl:2.54e-01 	 Rec:5.35e-02 	Time: 2.14
epoch 2200:	pdl:2.68e-01 	 Rec:5.50e-02 	Time: 2.04
epoch 2250:	pdl:2.47e-01 	 Rec:5.26e-02 	Time: 2.07
epoch 2300:	pdl:2.35e-01 	 Rec:5.29e-02 	Time: 2.08
epoch 2350:	pdl:2.65e-01 	 Rec:5.53e-02 	Time: 2.08
epoch 2400:	pdl:2.47e-01 	 Rec:5.35e-02 	Time: 2.10
epoch 2450:	pdl:2.50e-01 	 Rec:5.11e-02 	Time: 2.10
epoch 2500:	pdl:2.47e-01 	 Rec:4.83e-02 	Time: 2.07
epoch 2550:	pdl:2.49e-01 	 Rec:5.02e-02 	Time: 2.04
epoch 2600:	pdl:2.40e-01 	 Rec:4.78e-02 	Time: 2.07
epoch 2650:	pdl:3.22e-01 	 Rec:5.09e-02 	Time: 2.10
epoch 2700:	pdl:2.77e-01 	 Rec:4.90e-02 	Time: 2.02
epoch 2750:	pdl:3.02e-01 	 Rec:5.34e-02 	Time: 2.28
epoch 2800:	pdl:2.51e-01 	 Rec:4.73e-02 	Time: 2.08
epoch 2850:	pdl:2.54e-01 	 Rec:4.70e-02 	Time: 2.02
epoch 2900:	pdl:2.28e-01 	 Rec:4.68e-02 	Time: 2.06
epoch 2950:	pdl:2.48e-01 	 Rec:4.72e-02 	Time: 2.08
