epoch 0:	pdl:1.11e+00 	 Rec:1.11e+00 	Time: 0.01
epoch 50:	pdl:5.00e-01 	 Rec:1.01e-01 	Time: 0.49
epoch 100:	pdl:5.62e-01 	 Rec:7.64e-02 	Time: 0.46
epoch 150:	pdl:4.66e-01 	 Rec:6.24e-02 	Time: 0.58
epoch 200:	pdl:4.68e-01 	 Rec:5.75e-02 	Time: 0.59
epoch 250:	pdl:4.75e-01 	 Rec:5.98e-02 	Time: 0.49
epoch 300:	pdl:4.83e-01 	 Rec:4.17e-02 	Time: 0.52
epoch 350:	pdl:5.63e-01 	 Rec:4.90e-02 	Time: 0.62
epoch 400:	pdl:4.35e-01 	 Rec:3.58e-02 	Time: 0.52
epoch 450:	pdl:5.48e-01 	 Rec:4.32e-02 	Time: 0.49
epoch 500:	pdl:5.74e-01 	 Rec:3.23e-02 	Time: 0.48
epoch 550:	pdl:5.13e-01 	 Rec:3.31e-02 	Time: 0.47
epoch 600:	pdl:4.67e-01 	 Rec:3.39e-02 	Time: 0.48
epoch 650:	pdl:4.90e-01 	 Rec:3.08e-02 	Time: 0.48
epoch 700:	pdl:4.85e-01 	 Rec:2.86e-02 	Time: 0.47
epoch 750:	pdl:4.47e-01 	 Rec:2.98e-02 	Time: 0.48
epoch 800:	pdl:4.30e-01 	 Rec:3.52e-02 	Time: 0.48
epoch 850:	pdl:5.57e-01 	 Rec:3.27e-02 	Time: 0.49
epoch 900:	pdl:5.15e-01 	 Rec:3.17e-02 	Time: 0.48
epoch 950:	pdl:5.18e-01 	 Rec:3.17e-02 	Time: 0.48
epoch 1000:	pdl:4.47e-01 	 Rec:2.39e-02 	Time: 0.48
epoch 1050:	pdl:4.50e-01 	 Rec:2.81e-02 	Time: 0.48
epoch 1100:	pdl:4.26e-01 	 Rec:2.09e-02 	Time: 0.47
epoch 1150:	pdl:4.28e-01 	 Rec:2.32e-02 	Time: 0.47
epoch 1200:	pdl:4.76e-01 	 Rec:2.55e-02 	Time: 0.47
epoch 1250:	pdl:4.43e-01 	 Rec:2.44e-02 	Time: 0.47
epoch 1300:	pdl:4.39e-01 	 Rec:2.86e-02 	Time: 0.46
epoch 1350:	pdl:4.29e-01 	 Rec:2.65e-02 	Time: 0.47
epoch 1400:	pdl:4.31e-01 	 Rec:2.51e-02 	Time: 0.46
epoch 1450:	pdl:4.70e-01 	 Rec:2.45e-02 	Time: 0.47
epoch 1500:	pdl:4.90e-01 	 Rec:2.54e-02 	Time: 0.46
epoch 1550:	pdl:4.50e-01 	 Rec:2.39e-02 	Time: 0.46
epoch 1600:	pdl:4.58e-01 	 Rec:1.81e-02 	Time: 0.49
epoch 1650:	pdl:4.51e-01 	 Rec:2.15e-02 	Time: 0.46
epoch 1700:	pdl:4.83e-01 	 Rec:2.31e-02 	Time: 0.46
epoch 1750:	pdl:4.13e-01 	 Rec:2.37e-02 	Time: 0.46
epoch 1800:	pdl:5.77e-01 	 Rec:2.55e-02 	Time: 0.46
epoch 1850:	pdl:4.77e-01 	 Rec:3.43e-02 	Time: 0.46
epoch 1900:	pdl:4.03e-01 	 Rec:1.89e-02 	Time: 0.46
epoch 1950:	pdl:4.67e-01 	 Rec:2.30e-02 	Time: 0.46
epoch 2000:	pdl:4.34e-01 	 Rec:2.23e-02 	Time: 0.46
epoch 2050:	pdl:4.22e-01 	 Rec:2.06e-02 	Time: 0.45
epoch 2100:	pdl:3.96e-01 	 Rec:1.88e-02 	Time: 0.46
epoch 2150:	pdl:4.48e-01 	 Rec:2.40e-02 	Time: 0.47
epoch 2200:	pdl:4.45e-01 	 Rec:2.12e-02 	Time: 0.46
epoch 2250:	pdl:4.55e-01 	 Rec:1.78e-02 	Time: 0.46
epoch 2300:	pdl:4.42e-01 	 Rec:2.67e-02 	Time: 0.46
epoch 2350:	pdl:4.15e-01 	 Rec:1.72e-02 	Time: 0.46
epoch 2400:	pdl:4.32e-01 	 Rec:1.72e-02 	Time: 0.47
epoch 2450:	pdl:4.16e-01 	 Rec:1.84e-02 	Time: 0.47
epoch 2500:	pdl:4.04e-01 	 Rec:1.47e-02 	Time: 0.47
epoch 2550:	pdl:4.97e-01 	 Rec:2.23e-02 	Time: 0.47
epoch 2600:	pdl:4.10e-01 	 Rec:2.46e-02 	Time: 0.47
epoch 2650:	pdl:4.23e-01 	 Rec:1.95e-02 	Time: 0.47
epoch 2700:	pdl:4.16e-01 	 Rec:2.08e-02 	Time: 0.46
epoch 2750:	pdl:3.89e-01 	 Rec:2.53e-02 	Time: 0.46
epoch 2800:	pdl:4.87e-01 	 Rec:1.52e-02 	Time: 0.47
epoch 2850:	pdl:4.46e-01 	 Rec:3.13e-02 	Time: 0.46
epoch 2900:	pdl:4.54e-01 	 Rec:1.58e-02 	Time: 0.46
epoch 2950:	pdl:4.35e-01 	 Rec:1.44e-02 	Time: 0.46
epoch 3000:	pdl:4.88e-01 	 Rec:1.94e-02 	Time: 0.47
epoch 3050:	pdl:4.17e-01 	 Rec:1.54e-02 	Time: 0.47
epoch 3100:	pdl:3.91e-01 	 Rec:2.00e-02 	Time: 0.46
epoch 3150:	pdl:4.38e-01 	 Rec:1.99e-02 	Time: 0.46
epoch 3200:	pdl:4.02e-01 	 Rec:1.45e-02 	Time: 0.46
epoch 3250:	pdl:4.39e-01 	 Rec:1.73e-02 	Time: 0.46
epoch 3300:	pdl:4.04e-01 	 Rec:1.89e-02 	Time: 0.49
epoch 3350:	pdl:4.00e-01 	 Rec:2.27e-02 	Time: 0.47
epoch 3400:	pdl:4.03e-01 	 Rec:1.75e-02 	Time: 0.46
epoch 3450:	pdl:3.93e-01 	 Rec:1.50e-02 	Time: 0.46
epoch 3500:	pdl:4.98e-01 	 Rec:1.76e-02 	Time: 0.47
epoch 3550:	pdl:4.04e-01 	 Rec:1.59e-02 	Time: 0.46
epoch 3600:	pdl:4.41e-01 	 Rec:1.57e-02 	Time: 0.46
epoch 3650:	pdl:3.93e-01 	 Rec:1.63e-02 	Time: 0.46
epoch 3700:	pdl:4.80e-01 	 Rec:1.71e-02 	Time: 0.47
epoch 3750:	pdl:4.34e-01 	 Rec:1.48e-02 	Time: 0.46
epoch 3800:	pdl:4.51e-01 	 Rec:1.56e-02 	Time: 0.46
epoch 3850:	pdl:4.39e-01 	 Rec:1.30e-02 	Time: 0.46
epoch 3900:	pdl:4.08e-01 	 Rec:2.10e-02 	Time: 0.46
epoch 3950:	pdl:4.48e-01 	 Rec:1.93e-02 	Time: 0.47
epoch 4000:	pdl:5.10e-01 	 Rec:1.78e-02 	Time: 0.46
epoch 4050:	pdl:4.29e-01 	 Rec:1.22e-02 	Time: 0.46
epoch 4100:	pdl:4.46e-01 	 Rec:1.36e-02 	Time: 0.46
epoch 4150:	pdl:3.89e-01 	 Rec:1.35e-02 	Time: 0.46
epoch 4200:	pdl:4.11e-01 	 Rec:1.56e-02 	Time: 0.45
epoch 4250:	pdl:4.48e-01 	 Rec:1.27e-02 	Time: 0.47
epoch 4300:	pdl:4.29e-01 	 Rec:1.74e-02 	Time: 0.46
epoch 4350:	pdl:4.29e-01 	 Rec:2.16e-02 	Time: 0.47
epoch 4400:	pdl:4.15e-01 	 Rec:1.78e-02 	Time: 0.47
epoch 4450:	pdl:4.34e-01 	 Rec:1.24e-02 	Time: 0.47
epoch 4500:	pdl:4.77e-01 	 Rec:2.25e-02 	Time: 0.47
epoch 4550:	pdl:4.17e-01 	 Rec:1.70e-02 	Time: 0.47
epoch 4600:	pdl:3.97e-01 	 Rec:1.44e-02 	Time: 0.47
epoch 4650:	pdl:3.90e-01 	 Rec:1.38e-02 	Time: 0.47
epoch 4700:	pdl:4.46e-01 	 Rec:1.68e-02 	Time: 0.49
epoch 4750:	pdl:4.51e-01 	 Rec:1.32e-02 	Time: 0.47
epoch 4800:	pdl:3.67e-01 	 Rec:1.74e-02 	Time: 0.47
epoch 4850:	pdl:4.44e-01 	 Rec:2.48e-02 	Time: 0.47
epoch 4900:	pdl:3.92e-01 	 Rec:1.22e-02 	Time: 0.47
epoch 4950:	pdl:4.11e-01 	 Rec:1.36e-02 	Time: 0.47
epoch 5000:	pdl:4.23e-01 	 Rec:1.37e-02 	Time: 0.47
epoch 5050:	pdl:3.90e-01 	 Rec:1.20e-02 	Time: 0.47
epoch 5100:	pdl:3.76e-01 	 Rec:1.33e-02 	Time: 0.47
epoch 5150:	pdl:3.97e-01 	 Rec:1.37e-02 	Time: 0.47
epoch 5200:	pdl:3.93e-01 	 Rec:1.19e-02 	Time: 0.48
epoch 5250:	pdl:4.60e-01 	 Rec:1.14e-02 	Time: 0.47
epoch 5300:	pdl:3.84e-01 	 Rec:1.13e-02 	Time: 0.47
epoch 5350:	pdl:3.87e-01 	 Rec:1.67e-02 	Time: 0.47
epoch 5400:	pdl:3.85e-01 	 Rec:1.25e-02 	Time: 0.47
epoch 5450:	pdl:4.05e-01 	 Rec:1.26e-02 	Time: 0.50
epoch 5500:	pdl:4.01e-01 	 Rec:1.24e-02 	Time: 0.47
epoch 5550:	pdl:3.85e-01 	 Rec:1.46e-02 	Time: 0.47
epoch 5600:	pdl:4.14e-01 	 Rec:1.11e-02 	Time: 0.47
epoch 5650:	pdl:4.29e-01 	 Rec:1.31e-02 	Time: 0.46
epoch 5700:	pdl:4.24e-01 	 Rec:1.65e-02 	Time: 0.45
epoch 5750:	pdl:4.34e-01 	 Rec:1.22e-02 	Time: 0.47
epoch 5800:	pdl:4.18e-01 	 Rec:1.09e-02 	Time: 0.47
epoch 5850:	pdl:3.99e-01 	 Rec:1.44e-02 	Time: 0.46
epoch 5900:	pdl:3.95e-01 	 Rec:1.07e-02 	Time: 0.46
epoch 5950:	pdl:3.76e-01 	 Rec:1.27e-02 	Time: 0.46
epoch 6000:	pdl:3.70e-01 	 Rec:1.33e-02 	Time: 0.46
epoch 6050:	pdl:4.30e-01 	 Rec:1.30e-02 	Time: 0.47
epoch 6100:	pdl:4.28e-01 	 Rec:1.19e-02 	Time: 0.46
epoch 6150:	pdl:3.72e-01 	 Rec:1.02e-02 	Time: 0.46
epoch 6200:	pdl:3.77e-01 	 Rec:1.18e-02 	Time: 0.47
epoch 6250:	pdl:4.02e-01 	 Rec:1.65e-02 	Time: 0.47
epoch 6300:	pdl:4.20e-01 	 Rec:1.35e-02 	Time: 0.46
epoch 6350:	pdl:3.72e-01 	 Rec:1.10e-02 	Time: 0.47
epoch 6400:	pdl:4.02e-01 	 Rec:1.18e-02 	Time: 0.47
epoch 6450:	pdl:3.82e-01 	 Rec:1.24e-02 	Time: 0.47
epoch 6500:	pdl:3.69e-01 	 Rec:1.22e-02 	Time: 0.50
epoch 6550:	pdl:3.86e-01 	 Rec:1.56e-02 	Time: 0.46
epoch 6600:	pdl:4.03e-01 	 Rec:1.16e-02 	Time: 0.46
epoch 6650:	pdl:4.35e-01 	 Rec:1.25e-02 	Time: 0.47
epoch 6700:	pdl:3.95e-01 	 Rec:1.08e-02 	Time: 0.49
epoch 6750:	pdl:3.75e-01 	 Rec:1.29e-02 	Time: 0.46
epoch 6800:	pdl:4.27e-01 	 Rec:1.36e-02 	Time: 0.48
epoch 6850:	pdl:4.50e-01 	 Rec:1.36e-02 	Time: 0.48
epoch 6900:	pdl:4.03e-01 	 Rec:1.61e-02 	Time: 0.46
epoch 6950:	pdl:3.93e-01 	 Rec:1.35e-02 	Time: 0.47
epoch 7000:	pdl:4.77e-01 	 Rec:1.29e-02 	Time: 0.46
epoch 7050:	pdl:3.78e-01 	 Rec:1.73e-02 	Time: 0.47
epoch 7100:	pdl:4.59e-01 	 Rec:1.27e-02 	Time: 0.47
epoch 7150:	pdl:3.63e-01 	 Rec:1.07e-02 	Time: 0.47
epoch 7200:	pdl:3.80e-01 	 Rec:1.10e-02 	Time: 0.46
epoch 7250:	pdl:4.18e-01 	 Rec:9.57e-03 	Time: 0.47
epoch 7300:	pdl:4.02e-01 	 Rec:1.53e-02 	Time: 0.46
epoch 7350:	pdl:4.40e-01 	 Rec:1.45e-02 	Time: 0.46
epoch 7400:	pdl:3.78e-01 	 Rec:1.21e-02 	Time: 0.47
epoch 7450:	pdl:3.88e-01 	 Rec:1.12e-02 	Time: 0.49
epoch 7500:	pdl:4.27e-01 	 Rec:9.57e-03 	Time: 0.47
epoch 7550:	pdl:4.31e-01 	 Rec:2.21e-02 	Time: 0.48
epoch 7600:	pdl:4.15e-01 	 Rec:9.21e-03 	Time: 0.48
epoch 7650:	pdl:3.85e-01 	 Rec:1.24e-02 	Time: 0.47
epoch 7700:	pdl:3.78e-01 	 Rec:1.12e-02 	Time: 0.47
epoch 7750:	pdl:4.10e-01 	 Rec:1.14e-02 	Time: 0.47
epoch 7800:	pdl:3.79e-01 	 Rec:1.41e-02 	Time: 0.48
epoch 7850:	pdl:4.47e-01 	 Rec:1.28e-02 	Time: 0.48
epoch 7900:	pdl:3.99e-01 	 Rec:1.02e-02 	Time: 0.48
epoch 7950:	pdl:4.12e-01 	 Rec:1.02e-02 	Time: 0.48
epoch 8000:	pdl:3.74e-01 	 Rec:1.02e-02 	Time: 0.48
epoch 8050:	pdl:4.18e-01 	 Rec:9.51e-03 	Time: 0.47
epoch 8100:	pdl:3.73e-01 	 Rec:9.18e-03 	Time: 0.48
epoch 8150:	pdl:3.93e-01 	 Rec:1.44e-02 	Time: 0.49
epoch 8200:	pdl:3.88e-01 	 Rec:1.48e-02 	Time: 0.48
epoch 8250:	pdl:3.59e-01 	 Rec:9.62e-03 	Time: 0.48
epoch 8300:	pdl:3.53e-01 	 Rec:8.08e-03 	Time: 0.48
epoch 8350:	pdl:3.93e-01 	 Rec:1.25e-02 	Time: 0.49
epoch 8400:	pdl:3.73e-01 	 Rec:1.43e-02 	Time: 0.49
epoch 8450:	pdl:4.03e-01 	 Rec:9.15e-03 	Time: 0.50
epoch 8500:	pdl:3.99e-01 	 Rec:9.04e-03 	Time: 0.48
epoch 8550:	pdl:3.88e-01 	 Rec:1.22e-02 	Time: 0.48
epoch 8600:	pdl:3.89e-01 	 Rec:1.08e-02 	Time: 0.48
epoch 8650:	pdl:4.04e-01 	 Rec:1.25e-02 	Time: 0.48
epoch 8700:	pdl:3.89e-01 	 Rec:1.35e-02 	Time: 0.48
epoch 8750:	pdl:3.78e-01 	 Rec:1.10e-02 	Time: 0.48
epoch 8800:	pdl:3.99e-01 	 Rec:1.20e-02 	Time: 0.50
epoch 8850:	pdl:3.81e-01 	 Rec:1.16e-02 	Time: 0.52
epoch 8900:	pdl:4.24e-01 	 Rec:9.24e-03 	Time: 0.50
epoch 8950:	pdl:4.00e-01 	 Rec:1.57e-02 	Time: 0.47
epoch 9000:	pdl:4.23e-01 	 Rec:1.02e-02 	Time: 0.48
epoch 9050:	pdl:3.80e-01 	 Rec:1.19e-02 	Time: 0.49
epoch 9100:	pdl:3.89e-01 	 Rec:1.19e-02 	Time: 0.53
epoch 9150:	pdl:4.08e-01 	 Rec:9.40e-03 	Time: 0.46
epoch 9200:	pdl:4.13e-01 	 Rec:8.94e-03 	Time: 0.46
epoch 9250:	pdl:3.82e-01 	 Rec:1.19e-02 	Time: 0.47
epoch 9300:	pdl:3.84e-01 	 Rec:1.26e-02 	Time: 0.47
epoch 9350:	pdl:4.24e-01 	 Rec:1.46e-02 	Time: 0.47
epoch 9400:	pdl:3.78e-01 	 Rec:9.08e-03 	Time: 0.48
epoch 9450:	pdl:3.83e-01 	 Rec:1.24e-02 	Time: 0.50
epoch 9500:	pdl:3.68e-01 	 Rec:1.07e-02 	Time: 0.50
epoch 9550:	pdl:3.79e-01 	 Rec:1.23e-02 	Time: 0.50
epoch 9600:	pdl:3.83e-01 	 Rec:8.70e-03 	Time: 0.46
epoch 9650:	pdl:3.67e-01 	 Rec:9.99e-03 	Time: 0.50
epoch 9700:	pdl:4.09e-01 	 Rec:1.19e-02 	Time: 0.46
epoch 9750:	pdl:3.71e-01 	 Rec:7.83e-03 	Time: 0.47
epoch 9800:	pdl:3.89e-01 	 Rec:1.01e-02 	Time: 0.47
epoch 9850:	pdl:4.01e-01 	 Rec:8.55e-03 	Time: 0.46
epoch 9900:	pdl:3.81e-01 	 Rec:1.36e-02 	Time: 0.47
epoch 9950:	pdl:3.58e-01 	 Rec:8.35e-03 	Time: 0.47
epoch 10000:	pdl:3.83e-01 	 Rec:9.31e-03 	Time: 0.46
epoch 10050:	pdl:3.97e-01 	 Rec:1.59e-02 	Time: 0.46
epoch 10100:	pdl:3.79e-01 	 Rec:9.42e-03 	Time: 0.46
epoch 10150:	pdl:3.84e-01 	 Rec:9.51e-03 	Time: 0.47
epoch 10200:	pdl:4.03e-01 	 Rec:9.57e-03 	Time: 0.49
epoch 10250:	pdl:3.79e-01 	 Rec:1.17e-02 	Time: 0.52
epoch 10300:	pdl:3.62e-01 	 Rec:1.21e-02 	Time: 0.47
epoch 10350:	pdl:4.09e-01 	 Rec:1.06e-02 	Time: 0.48
epoch 10400:	pdl:3.87e-01 	 Rec:1.27e-02 	Time: 0.49
epoch 10450:	pdl:3.76e-01 	 Rec:1.45e-02 	Time: 0.52
epoch 10500:	pdl:3.63e-01 	 Rec:1.17e-02 	Time: 0.45
epoch 10550:	pdl:3.81e-01 	 Rec:8.95e-03 	Time: 0.46
epoch 10600:	pdl:3.85e-01 	 Rec:9.57e-03 	Time: 0.48
epoch 10650:	pdl:4.16e-01 	 Rec:1.01e-02 	Time: 0.46
epoch 10700:	pdl:4.11e-01 	 Rec:9.82e-03 	Time: 0.46
epoch 10750:	pdl:3.67e-01 	 Rec:8.95e-03 	Time: 0.47
epoch 10800:	pdl:4.18e-01 	 Rec:8.53e-03 	Time: 0.46
epoch 10850:	pdl:3.74e-01 	 Rec:1.01e-02 	Time: 0.51
epoch 10900:	pdl:4.04e-01 	 Rec:8.88e-03 	Time: 0.49
epoch 10950:	pdl:3.79e-01 	 Rec:1.15e-02 	Time: 0.48
epoch 11000:	pdl:3.78e-01 	 Rec:9.48e-03 	Time: 0.45
epoch 11050:	pdl:4.50e-01 	 Rec:1.05e-02 	Time: 0.47
epoch 11100:	pdl:3.90e-01 	 Rec:1.13e-02 	Time: 0.47
epoch 11150:	pdl:3.77e-01 	 Rec:9.80e-03 	Time: 0.47
epoch 11200:	pdl:4.18e-01 	 Rec:1.11e-02 	Time: 0.47
epoch 11250:	pdl:3.94e-01 	 Rec:1.14e-02 	Time: 0.51
epoch 11300:	pdl:3.98e-01 	 Rec:1.00e-02 	Time: 0.52
epoch 11350:	pdl:4.12e-01 	 Rec:1.04e-02 	Time: 0.51
epoch 11400:	pdl:3.82e-01 	 Rec:1.17e-02 	Time: 0.46
epoch 11450:	pdl:3.90e-01 	 Rec:9.69e-03 	Time: 0.47
epoch 11500:	pdl:3.49e-01 	 Rec:8.68e-03 	Time: 0.45
epoch 11550:	pdl:3.79e-01 	 Rec:1.59e-02 	Time: 0.48
epoch 11600:	pdl:3.55e-01 	 Rec:8.61e-03 	Time: 0.46
epoch 11650:	pdl:3.80e-01 	 Rec:7.61e-03 	Time: 0.46
epoch 11700:	pdl:4.03e-01 	 Rec:8.56e-03 	Time: 0.45
epoch 11750:	pdl:3.81e-01 	 Rec:9.98e-03 	Time: 0.46
epoch 11800:	pdl:3.75e-01 	 Rec:1.33e-02 	Time: 0.46
epoch 11850:	pdl:3.76e-01 	 Rec:8.35e-03 	Time: 0.46
epoch 11900:	pdl:4.00e-01 	 Rec:7.42e-03 	Time: 0.45
epoch 11950:	pdl:3.81e-01 	 Rec:8.97e-03 	Time: 0.46
epoch 12000:	pdl:3.66e-01 	 Rec:8.53e-03 	Time: 0.45
epoch 12050:	pdl:3.77e-01 	 Rec:7.75e-03 	Time: 0.46
epoch 12100:	pdl:3.76e-01 	 Rec:7.14e-03 	Time: 0.46
epoch 12150:	pdl:3.80e-01 	 Rec:9.60e-03 	Time: 0.46
epoch 12200:	pdl:3.82e-01 	 Rec:8.73e-03 	Time: 0.47
epoch 12250:	pdl:4.15e-01 	 Rec:9.74e-03 	Time: 0.50
epoch 12300:	pdl:3.93e-01 	 Rec:8.09e-03 	Time: 0.46
epoch 12350:	pdl:3.72e-01 	 Rec:8.70e-03 	Time: 0.47
epoch 12400:	pdl:3.74e-01 	 Rec:7.63e-03 	Time: 0.47
epoch 12450:	pdl:3.72e-01 	 Rec:8.56e-03 	Time: 0.46
epoch 12500:	pdl:3.80e-01 	 Rec:7.36e-03 	Time: 0.46
epoch 12550:	pdl:4.22e-01 	 Rec:1.07e-02 	Time: 0.46
epoch 12600:	pdl:3.64e-01 	 Rec:7.30e-03 	Time: 0.45
epoch 12650:	pdl:3.81e-01 	 Rec:7.85e-03 	Time: 0.47
epoch 12700:	pdl:4.03e-01 	 Rec:9.04e-03 	Time: 0.46
epoch 12750:	pdl:4.12e-01 	 Rec:1.09e-02 	Time: 0.45
epoch 12800:	pdl:3.62e-01 	 Rec:1.04e-02 	Time: 0.47
epoch 12850:	pdl:3.80e-01 	 Rec:9.37e-03 	Time: 0.48
epoch 12900:	pdl:3.71e-01 	 Rec:6.69e-03 	Time: 0.46
epoch 12950:	pdl:3.77e-01 	 Rec:8.55e-03 	Time: 0.47
epoch 13000:	pdl:3.65e-01 	 Rec:1.21e-02 	Time: 0.45
epoch 13050:	pdl:3.73e-01 	 Rec:7.82e-03 	Time: 0.46
epoch 13100:	pdl:3.69e-01 	 Rec:1.29e-02 	Time: 0.47
epoch 13150:	pdl:3.78e-01 	 Rec:8.21e-03 	Time: 0.46
epoch 13200:	pdl:3.82e-01 	 Rec:7.67e-03 	Time: 0.45
epoch 13250:	pdl:3.94e-01 	 Rec:8.73e-03 	Time: 0.48
epoch 13300:	pdl:4.06e-01 	 Rec:9.40e-03 	Time: 0.47
epoch 13350:	pdl:3.90e-01 	 Rec:9.44e-03 	Time: 0.47
epoch 13400:	pdl:3.97e-01 	 Rec:1.19e-02 	Time: 0.46
epoch 13450:	pdl:3.78e-01 	 Rec:9.84e-03 	Time: 0.46
epoch 13500:	pdl:3.77e-01 	 Rec:7.87e-03 	Time: 0.47
epoch 13550:	pdl:4.25e-01 	 Rec:1.05e-02 	Time: 0.47
epoch 13600:	pdl:4.06e-01 	 Rec:9.88e-03 	Time: 0.46
